time,Dallas,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. H. Barnes (K. Walker gains possession),,,,Jump ball: D. Howard vs. H. Barnes (K. Walker gains possession)
11:40.0,,,0-2,2,M. Kidd-Gilchrist makes 2-pt shot from 2 ft
11:20.0,W. Matthews misses 3-pt shot from 25 ft,,0-2,,
11:18.0,,,0-2,,Defensive rebound by D. Howard
11:00.0,,,0-4,2,D. Howard makes 2-pt shot from 4 ft (assist by M. Kidd-Gilchrist)
10:43.0,H. Barnes misses 3-pt shot from 26 ft,,0-4,,
10:40.0,,,0-4,,Defensive rebound by M. Kidd-Gilchrist
10:35.0,,,0-4,,Shooting foul by D. Nowitzki (drawn by D. Howard)
10:35.0,,,0-4,,D. Howard misses free throw 1 of 2
10:35.0,,,0-4,,Offensive rebound by Team
10:35.0,,,0-4,,D. Howard misses free throw 2 of 2
10:30.0,Defensive rebound by Y. Ferrell,,0-4,,
10:12.0,D. Nowitzki misses 2-pt shot from 18 ft,,0-4,,
10:07.0,,,0-4,,Defensive rebound by N. Batum
10:01.0,,,0-6,2,K. Walker makes 2-pt shot from 1 ft (assist by M. Williams)
10:01.0,,,0-6,,Shooting foul by Y. Ferrell (drawn by K. Walker)
10:01.0,Dallas full timeout,,0-6,,
10:01.0,,,0-7,1,K. Walker makes free throw 1 of 1
9:38.0,W. Matthews misses 2-pt shot from 17 ft,,0-7,,
9:35.0,,,0-7,,Defensive rebound by M. Williams
9:28.0,,,0-9,2,K. Walker makes 2-pt shot from 15 ft (assist by N. Batum)
9:15.0,D. Smith makes 2-pt shot from 17 ft,2,2-9,,
8:52.0,,,2-11,2,M. Williams makes 2-pt shot from 1 ft (assist by D. Howard)
8:43.0,D. Smith misses 3-pt shot from 24 ft,,2-11,,
8:38.0,Offensive rebound by H. Barnes,,2-11,,
8:34.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by H. Barnes),3,5-11,,
8:17.0,,,5-11,,K. Walker misses 3-pt shot from 22 ft
8:16.0,Defensive rebound by Team,,5-11,,
8:16.0,M. Kleber enters the game for D. Nowitzki,,5-11,,
7:53.0,Y. Ferrell makes 3-pt shot from 27 ft (assist by D. Smith),3,8-11,,
7:35.0,,,8-11,,Turnover by N. Batum (bad pass; steal by M. Kleber)
7:22.0,H. Barnes makes 3-pt shot from 22 ft (assist by W. Matthews),3,11-11,,
7:05.0,,,11-11,,N. Batum misses 3-pt shot from 26 ft
7:02.0,Defensive rebound by H. Barnes,,11-11,,
6:58.0,H. Barnes misses 2-pt shot from 12 ft,,11-11,,
6:54.0,,,11-11,,Defensive rebound by M. Kidd-Gilchrist
6:48.0,,,11-11,,Shooting foul by H. Barnes (drawn by D. Howard)
6:48.0,,,11-12,1,D. Howard makes free throw 1 of 2
6:48.0,,,11-12,,D. Howard misses free throw 2 of 2
6:44.0,Defensive rebound by H. Barnes,,11-12,,
6:40.0,Y. Ferrell misses 3-pt shot from 25 ft,,11-12,,
6:40.0,,,11-12,,Defensive rebound by M. Williams
6:24.0,,,11-14,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by M. Williams)
6:03.0,M. Kleber makes 2-pt shot from 1 ft (assist by D. Smith),2,13-14,,
5:50.0,,,13-16,2,K. Walker makes 2-pt shot from 1 ft
5:33.0,M. Kleber misses 2-pt shot from 17 ft,,13-16,,
5:33.0,,,13-16,,Defensive rebound by D. Howard
5:20.0,,,13-16,,M. Kidd-Gilchrist misses 2-pt shot from 6 ft (block by D. Smith)
5:17.0,Defensive rebound by W. Matthews,,13-16,,
5:13.0,D. Smith misses 3-pt shot from 24 ft,,13-16,,
5:09.0,,,13-16,,Defensive rebound by N. Batum
5:00.0,,,13-16,,N. Batum misses 2-pt shot from 2 ft (block by W. Matthews)
5:00.0,Defensive rebound by H. Barnes,,13-16,,
4:53.0,D. Smith misses 2-pt shot from 1 ft (block by D. Howard),,13-16,,
4:53.0,Offensive rebound by Team,,13-16,,
4:53.0,J. Barea enters the game for Y. Ferrell,,13-16,,
4:53.0,D. Harris enters the game for W. Matthews,,13-16,,
4:49.0,D. Harris misses 2-pt shot from 2 ft,,13-16,,
4:47.0,,,13-16,,Defensive rebound by D. Howard
4:39.0,,,13-18,2,K. Walker makes 2-pt shot from 1 ft
4:27.0,Turnover by J. Barea (bad pass),,13-18,,
4:12.0,,,13-20,2,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by K. Walker)
3:55.0,D. Harris misses 2-pt shot from 3 ft (block by D. Howard),,13-20,,
3:52.0,,,13-20,,Defensive rebound by M. Williams
3:47.0,,,13-20,,M. Kidd-Gilchrist misses 2-pt shot from 19 ft
3:44.0,,,13-20,,Offensive rebound by D. Howard
3:44.0,,,13-22,2,D. Howard makes 2-pt shot at rim
3:44.0,Dallas full timeout,,13-22,,
3:44.0,,,13-22,,J. Lamb enters the game for M. Williams
3:44.0,,,13-22,,T. Graham enters the game for N. Batum
3:44.0,,,13-22,,F. Kaminsky enters the game for M. Kidd-Gilchrist
3:44.0,S. Mejri enters the game for D. Smith,,13-22,,
3:44.0,D. Nowitzki enters the game for H. Barnes,,13-22,,
3:44.0,W. Matthews enters the game for M. Kleber,,13-22,,
3:28.0,Turnover by S. Mejri (lost ball; steal by D. Howard),,13-22,,
3:23.0,,,13-24,2,D. Howard makes 2-pt shot from 1 ft
3:07.0,D. Nowitzki misses 2-pt shot from 18 ft,,13-24,,
3:07.0,,,13-24,,Defensive rebound by F. Kaminsky
2:56.0,,,13-24,,K. Walker misses 2-pt shot from 1 ft (block by S. Mejri)
2:56.0,Defensive rebound by J. Barea,,13-24,,
2:42.0,W. Matthews makes 2-pt shot from 5 ft,2,15-24,,
2:20.0,,,15-24,,J. Lamb misses 3-pt shot from 22 ft
2:17.0,Defensive rebound by S. Mejri,,15-24,,
2:07.0,J. Barea misses 2-pt shot from 12 ft,,15-24,,
2:04.0,,,15-24,,Defensive rebound by D. Howard
1:54.0,,,15-24,,F. Kaminsky misses 3-pt shot from 28 ft
1:51.0,Defensive rebound by W. Matthews,,15-24,,
1:38.0,D. Nowitzki makes 2-pt shot from 10 ft (assist by J. Barea),2,17-24,,
1:22.0,,,17-26,2,K. Walker makes 2-pt shot from 9 ft
1:11.0,Turnover by J. Barea (bad pass; steal by J. Lamb),,17-26,,
1:04.0,,,17-26,,Turnover by J. Lamb (traveling)
1:04.0,,,17-26,,M. Carter-Williams enters the game for D. Howard
1:04.0,,,17-26,,J. O'Bryant enters the game for K. Walker
1:04.0,D. Powell enters the game for S. Mejri,,17-26,,
1:04.0,Y. Ferrell enters the game for W. Matthews,,17-26,,
0:51.0,,,17-26,,Personal foul by J. Lamb (drawn by D. Powell)
0:43.0,D. Nowitzki misses 3-pt shot from 25 ft,,17-26,,
0:40.0,,,17-26,,Defensive rebound by T. Graham
0:31.0,,,17-26,,T. Graham misses 2-pt shot from 20 ft
0:28.0,Defensive rebound by J. Barea,,17-26,,
0:21.0,Y. Ferrell makes 3-pt shot from 25 ft (assist by J. Barea),3,20-26,,
0:07.0,,,20-26,,M. Carter-Williams misses 2-pt shot from 15 ft
0:06.0,,,20-26,,Offensive rebound by Team
0:06.0,Loose ball foul by J. Barea (drawn by F. Kaminsky),,20-26,,
0:06.0,M. Kleber enters the game for D. Nowitzki,,20-26,,
0:00.0,,,20-28,2,J. Lamb makes 2-pt shot from 5 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,D. Harris makes 2-pt shot from 4 ft,2,22-28,,
11:49.0,Shooting foul by J. O'Bryant (drawn by D. Harris),,22-28,,
11:49.0,D. Harris misses free throw 1 of 1,,22-28,,
11:46.0,,,22-28,,Defensive rebound by J. O'Bryant
11:35.0,,,22-28,,J. O'Bryant misses 3-pt shot from 23 ft
11:31.0,Defensive rebound by J. Barea,,22-28,,
11:26.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by J. Barea),2,24-28,,
11:03.0,,,24-30,2,F. Kaminsky makes 2-pt shot from 10 ft (assist by M. Carter-Williams)
10:57.0,,,24-30,,Personal foul by M. Carter-Williams (drawn by D. Powell)
10:57.0,,,24-30,,M. Monk enters the game for J. O'Bryant
10:40.0,D. Harris makes 2-pt shot at rim (assist by D. Nowitzki),2,26-30,,
10:23.0,,,26-33,3,T. Graham makes 3-pt shot from 22 ft (assist by M. Carter-Williams)
9:56.0,D. Nowitzki makes 2-pt shot from 11 ft,2,28-33,,
9:41.0,,,28-33,,J. Lamb misses 2-pt shot from 16 ft
9:38.0,Defensive rebound by J. Barea,,28-33,,
9:37.0,Shooting foul by M. Carter-Williams (drawn by D. Harris),,28-33,,
9:37.0,D. Harris makes free throw 1 of 2,1,29-33,,
9:37.0,D. Smith enters the game for Y. Ferrell,,29-33,,
9:37.0,D. Harris makes free throw 2 of 2,1,30-33,,
9:24.0,,,30-36,3,F. Kaminsky makes 3-pt shot from 25 ft (assist by M. Monk)
9:08.0,D. Nowitzki misses 3-pt shot from 25 ft,,30-36,,
9:05.0,,,30-36,,Defensive rebound by M. Carter-Williams
8:59.0,,,30-36,,F. Kaminsky misses 2-pt shot from 14 ft
8:56.0,Defensive rebound by D. Powell,,30-36,,
8:45.0,D. Nowitzki misses 2-pt shot from 18 ft,,30-36,,
8:41.0,,,30-36,,Defensive rebound by T. Graham
8:35.0,,,30-36,,J. Lamb misses 3-pt shot from 25 ft
8:32.0,Defensive rebound by D. Smith,,30-36,,
8:26.0,Shooting foul by J. Lamb (drawn by D. Harris),,30-36,,
8:26.0,D. Harris misses free throw 1 of 2,,30-36,,
8:26.0,Offensive rebound by Team,,30-36,,
8:26.0,H. Barnes enters the game for D. Nowitzki,,30-36,,
8:26.0,D. Harris makes free throw 2 of 2,1,31-36,,
8:10.0,Personal foul by D. Harris (drawn by F. Kaminsky),,31-36,,
7:56.0,,,31-36,,M. Carter-Williams misses 2-pt shot from 23 ft
7:54.0,Defensive rebound by J. Barea,,31-36,,
7:52.0,,,31-36,,Personal foul by T. Graham (drawn by D. Powell)
7:52.0,D. Powell misses free throw 1 of 2,,31-36,,
7:52.0,Offensive rebound by Team,,31-36,,
7:52.0,,,31-36,,N. Batum enters the game for M. Monk
7:52.0,,,31-36,,K. Walker enters the game for M. Carter-Williams
7:52.0,W. Matthews enters the game for D. Harris,,31-36,,
7:52.0,D. Powell makes free throw 2 of 2,1,32-36,,
7:35.0,,,32-38,2,F. Kaminsky makes 2-pt shot from 3 ft
7:26.0,J. Barea misses 2-pt shot from 18 ft,,32-38,,
7:24.0,,,32-38,,Defensive rebound by T. Graham
7:16.0,,,32-38,,F. Kaminsky misses 2-pt shot from 5 ft (block by D. Powell)
7:15.0,Defensive rebound by Team,,32-38,,
7:15.0,,,32-38,,D. Howard enters the game for T. Graham
7:15.0,S. Mejri enters the game for D. Powell,,32-38,,
7:00.0,H. Barnes makes 3-pt shot from 25 ft (assist by D. Smith),3,35-38,,
6:51.0,,,35-38,,Offensive foul by D. Howard (drawn by J. Barea)
6:51.0,,,35-38,,Turnover by D. Howard (offensive foul)
6:51.0,,,35-38,,Charlotte full timeout
6:32.0,S. Mejri makes 2-pt shot from 1 ft (assist by J. Barea),2,37-38,,
6:17.0,,,37-38,,F. Kaminsky misses 2-pt shot from 5 ft
6:14.0,Defensive rebound by S. Mejri,,37-38,,
