time,Charlotte,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. D. Howard (M. Williams gains possession),,,,Jump ball: B. Biyombo vs. D. Howard (M. Williams gains possession)
11:50.0,Shooting foul by M. Hezonja (drawn by K. Walker),,0-0,,
11:50.0,K. Walker makes free throw 1 of 2,1,1-0,,
11:50.0,K. Walker makes free throw 2 of 2,1,2-0,,
11:34.0,,,2-0,,B. Biyombo misses 2-pt shot from 11 ft
11:32.0,Defensive rebound by N. Batum,,2-0,,
11:20.0,D. Howard misses 2-pt shot from 15 ft,,2-0,,
11:16.0,,,2-0,,Defensive rebound by J. Artis
11:06.0,,,2-3,3,D. Augustin makes 3-pt shot from 24 ft (assist by J. Artis)
10:50.0,M. Williams misses 3-pt shot from 24 ft,,2-3,,
10:47.0,,,2-3,,Defensive rebound by D. Augustin
10:41.0,,,2-3,,D. Augustin misses 2-pt shot from 13 ft
10:38.0,Defensive rebound by D. Howard,,2-3,,
10:23.0,M. Williams makes 2-pt shot from 9 ft (assist by M. Kidd-Gilchrist),2,4-3,,
9:59.0,,,4-3,,J. Artis misses 3-pt shot from 23 ft
9:56.0,Defensive rebound by N. Batum,,4-3,,
9:50.0,M. Williams makes 2-pt shot from 2 ft (assist by N. Batum),2,6-3,,
9:35.0,,,6-3,,W. Iwundu misses 3-pt shot from 25 ft
9:30.0,Defensive rebound by K. Walker,,6-3,,
9:21.0,K. Walker makes 2-pt shot from 2 ft,2,8-3,,
9:00.0,,,8-3,,B. Biyombo misses 2-pt shot from 12 ft
8:56.0,Defensive rebound by M. Kidd-Gilchrist,,8-3,,
8:48.0,Shooting foul by B. Biyombo (drawn by D. Howard),,8-3,,
8:48.0,D. Howard makes free throw 1 of 2,1,9-3,,
8:48.0,D. Howard misses free throw 2 of 2,,9-3,,
8:45.0,,,9-3,,Defensive rebound by M. Hezonja
8:31.0,,,9-3,,B. Biyombo misses 2-pt shot from 7 ft (block by D. Howard)
8:27.0,Defensive rebound by N. Batum,,9-3,,
8:22.0,D. Howard makes 2-pt shot at rim (assist by N. Batum),2,11-3,,
8:22.0,,,11-3,,Orlando full timeout
8:07.0,,,11-5,2,M. Hezonja makes 2-pt shot from 1 ft (assist by D. Augustin)
7:53.0,K. Walker makes 3-pt shot from 25 ft,3,14-5,,
7:34.0,,,14-5,,B. Biyombo misses 2-pt shot from 3 ft (block by D. Howard)
7:30.0,Defensive rebound by M. Kidd-Gilchrist,,14-5,,
7:21.0,Shooting foul by B. Biyombo (drawn by M. Kidd-Gilchrist),,14-5,,
7:21.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,15-5,,
7:21.0,,,15-5,,K. Birch enters the game for B. Biyombo
7:21.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,16-5,,
7:07.0,,,16-5,,Shooting foul by M. Williams (drawn by M. Hezonja)
7:07.0,,,16-6,1,M. Hezonja makes free throw 1 of 2
7:07.0,,,16-7,1,M. Hezonja makes free throw 2 of 2
6:50.0,D. Howard makes 2-pt shot from 1 ft (assist by N. Batum),2,18-7,,
6:38.0,,,18-9,2,D. Augustin makes 2-pt shot from 8 ft (assist by K. Birch)
6:19.0,K. Walker misses 3-pt shot from 24 ft,,18-9,,
6:19.0,,,18-9,,Defensive rebound by M. Hezonja
6:10.0,,,18-11,2,D. Augustin makes 2-pt shot from 3 ft
6:10.0,,,18-11,,Shooting foul by N. Batum (drawn by D. Augustin)
6:10.0,,,18-12,1,D. Augustin makes free throw 1 of 1
