time,Milwaukee,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. T. Zeller (B. Ingram gains possession),,,,Jump ball: B. Lopez vs. T. Zeller (B. Ingram gains possession)
11:39.0,,,0-0,,Turnover by B. Ingram (bad pass; steal by T. Zeller)
11:19.0,E. Bledsoe makes 3-pt shot from 23 ft,3,3-0,,
11:01.0,,,3-3,3,K. Kuzma makes 3-pt shot from 25 ft
10:43.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,3-3,,
10:40.0,Offensive rebound by G. Antetokounmpo,,3-3,,
10:38.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,5-3,,
10:15.0,,,5-3,,Turnover by K. Kuzma (bad pass; steal by E. Bledsoe)
10:11.0,T. Snell makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,7-3,,
10:11.0,,,7-3,,LA Lakers full timeout
9:55.0,,,7-5,2,B. Lopez makes 2-pt shot from 2 ft (assist by B. Ingram)
9:55.0,,,7-5,,Shooting foul by T. Zeller (drawn by B. Lopez)
9:55.0,,,7-5,,B. Lopez misses free throw 1 of 1
9:55.0,Defensive rebound by G. Antetokounmpo,,7-5,,
9:42.0,E. Bledsoe misses 2-pt shot from 17 ft,,7-5,,
9:38.0,,,7-5,,Defensive rebound by K. Kuzma
9:32.0,,,7-5,,Turnover by J. Randle (bad pass; steal by K. Middleton)
9:29.0,Turnover by K. Middleton (bad pass; steal by K. Kuzma),,7-5,,
9:25.0,,,7-7,2,B. Ingram makes 2-pt shot from 1 ft
9:11.0,G. Antetokounmpo misses 2-pt shot from 15 ft,,7-7,,
9:08.0,,,7-7,,Defensive rebound by J. Randle
9:02.0,Personal foul by E. Bledsoe (drawn by B. Ingram),,7-7,,
8:56.0,,,7-10,3,B. Lopez makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope)
8:35.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,9-10,,
8:35.0,Shooting foul by B. Lopez (drawn by G. Antetokounmpo),,9-10,,
8:35.0,G. Antetokounmpo makes free throw 1 of 1,1,10-10,,
8:11.0,,,10-13,3,J. Randle makes 3-pt shot from 26 ft (assist by B. Lopez)
7:55.0,K. Middleton makes 2-pt shot from 19 ft (assist by E. Bledsoe),2,12-13,,
7:55.0,Shooting foul by B. Ingram (drawn by K. Middleton),,12-13,,
7:55.0,K. Middleton misses free throw 1 of 1,,12-13,,
7:55.0,,,12-13,,Defensive rebound by J. Randle
7:38.0,,,12-15,2,J. Randle makes 2-pt shot from 19 ft
7:26.0,T. Snell makes 3-pt shot from 23 ft (assist by K. Middleton),3,15-15,,
7:08.0,,,15-17,2,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by J. Randle)
6:52.0,G. Antetokounmpo makes 2-pt shot from 10 ft (assist by K. Middleton),2,17-17,,
6:41.0,,,17-19,2,K. Caldwell-Pope makes 2-pt shot from 2 ft (assist by B. Ingram)
6:26.0,T. Zeller misses 2-pt shot from 17 ft,,17-19,,
6:24.0,,,17-19,,Defensive rebound by B. Ingram
6:16.0,,,17-21,2,J. Randle makes 2-pt shot from 1 ft (assist by B. Ingram)
6:14.0,Milwaukee full timeout,,17-21,,
6:14.0,J. Parker enters the game for G. Antetokounmpo,,17-21,,
5:57.0,K. Middleton makes 2-pt shot from 14 ft,2,19-21,,
5:47.0,,,19-21,,K. Kuzma misses 3-pt shot from 27 ft
5:45.0,Defensive rebound by T. Zeller,,19-21,,
5:33.0,K. Middleton makes 3-pt shot from 25 ft (assist by J. Parker),3,22-21,,
