time,LA Lakers,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Allen vs. B. Lopez (A. Crabbe gains possession),,,,Jump ball: J. Allen vs. B. Lopez (A. Crabbe gains possession)
11:38.0,,,0-0,,Shooting foul by J. Hart (drawn by J. Allen)
11:38.0,,,0-1,1,J. Allen makes free throw 1 of 2
11:38.0,,,0-1,,J. Allen misses free throw 2 of 2
11:35.0,Defensive rebound by J. Randle,,0-1,,
11:21.0,B. Ingram makes 2-pt shot from 1 ft (assist by J. Randle),2,2-1,,
11:01.0,,,2-3,2,J. Allen makes 2-pt shot at rim (assist by S. Dinwiddie)
10:50.0,J. Randle makes 2-pt shot from 5 ft (assist by B. Ingram),2,4-3,,
10:31.0,,,4-5,2,J. Allen makes 2-pt shot from 6 ft (assist by Q. Acy)
10:01.0,B. Lopez makes 3-pt shot from 23 ft (assist by K. Caldwell-Pope),3,7-5,,
9:36.0,,,7-5,,D. Carroll misses 3-pt shot from 24 ft
9:32.0,Defensive rebound by J. Randle,,7-5,,
9:30.0,,,7-5,,Personal foul by J. Allen (drawn by B. Lopez)
9:25.0,Turnover by K. Caldwell-Pope (turnover),,7-5,,
9:09.0,,,7-5,,A. Crabbe misses 2-pt shot from 10 ft
9:07.0,Defensive rebound by J. Hart,,7-5,,
8:45.0,B. Lopez misses 3-pt shot from 25 ft,,7-5,,
8:43.0,,,7-5,,Defensive rebound by S. Dinwiddie
8:35.0,,,7-5,,Turnover by D. Carroll (bad pass; steal by J. Hart)
8:31.0,J. Hart makes 2-pt shot from 1 ft,2,9-5,,
8:10.0,,,9-5,,S. Dinwiddie misses 3-pt shot from 24 ft
8:07.0,Defensive rebound by J. Hart,,9-5,,
7:55.0,Shooting foul by J. Allen (drawn by B. Ingram),,9-5,,
7:55.0,B. Ingram makes free throw 1 of 2,1,10-5,,
7:55.0,B. Ingram makes free throw 2 of 2,1,11-5,,
7:45.0,,,11-5,,Shooting foul by B. Ingram (drawn by J. Allen)
7:45.0,,,11-5,,J. Allen misses free throw 1 of 2
7:45.0,,,11-5,,Offensive rebound by Team
7:45.0,,,11-6,1,J. Allen makes free throw 2 of 2
7:34.0,B. Ingram misses 2-pt shot from 17 ft,,11-6,,
7:32.0,Offensive rebound by J. Hart,,11-6,,
7:24.0,J. Randle makes 2-pt shot from 7 ft,2,13-6,,
7:13.0,,,13-6,,Turnover by D. Carroll (bad pass)
7:04.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,13-6,,
7:01.0,,,13-6,,Defensive rebound by Q. Acy
6:46.0,,,13-9,3,A. Crabbe makes 3-pt shot from 25 ft (assist by Q. Acy)
6:28.0,B. Lopez makes 2-pt shot from 6 ft,2,15-9,,
6:26.0,,,15-9,,Brooklyn full timeout
6:14.0,,,15-9,,Shooting foul by B. Ingram (drawn by J. Allen)
6:14.0,,,15-10,1,J. Allen makes free throw 1 of 2
6:14.0,,,15-11,1,J. Allen makes free throw 2 of 2
5:59.0,Turnover by J. Randle (bad pass),,15-11,,
5:59.0,,,15-11,,J. Okafor enters the game for J. Allen
5:59.0,,,15-11,,J. Harris enters the game for Q. Acy
5:41.0,,,15-11,,A. Crabbe misses 2-pt shot from 18 ft
5:40.0,Defensive rebound by Team,,15-11,,
5:40.0,A. Caruso enters the game for B. Ingram,,15-11,,
5:26.0,B. Lopez misses 2-pt shot from 5 ft,,15-11,,
5:22.0,,,15-11,,Defensive rebound by D. Carroll
5:20.0,,,15-11,,Turnover by D. Carroll (out of bounds lost ball)
5:07.0,Turnover by B. Lopez (lost ball; steal by A. Crabbe),,15-11,,
4:58.0,,,15-11,,Shooting foul by K. Caldwell-Pope (drawn by J. Okafor)
4:58.0,,,15-12,1,J. Okafor makes free throw 1 of 2
4:58.0,,,15-12,,C. LeVert enters the game for A. Crabbe
4:58.0,,,15-13,1,J. Okafor makes free throw 2 of 2
4:41.0,J. Randle makes 2-pt shot at rim,2,17-13,,
4:29.0,Personal foul by B. Lopez (drawn by J. Okafor),,17-13,,
4:29.0,,,17-14,1,J. Okafor makes free throw 1 of 2
4:29.0,,,17-14,,D. Russell enters the game for S. Dinwiddie
4:29.0,K. Kuzma enters the game for B. Lopez,,17-14,,
4:29.0,,,17-14,,J. Okafor misses free throw 2 of 2
4:27.0,Defensive rebound by J. Hart,,17-14,,
4:13.0,J. Randle misses 2-pt shot from 6 ft,,17-14,,
4:09.0,Offensive rebound by J. Randle,,17-14,,
4:05.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,17-14,,
4:02.0,Offensive rebound by J. Hart,,17-14,,
4:02.0,Shooting foul by J. Okafor (drawn by K. Caldwell-Pope),,17-14,,
4:02.0,K. Caldwell-Pope makes free throw 1 of 2,1,18-14,,
4:02.0,K. Caldwell-Pope makes free throw 2 of 2,1,19-14,,
3:39.0,,,19-14,,C. LeVert misses 2-pt shot from 12 ft
3:35.0,Defensive rebound by J. Hart,,19-14,,
3:27.0,J. Randle misses 2-pt shot from 5 ft (block by J. Okafor),,19-14,,
3:24.0,Offensive rebound by A. Caruso,,19-14,,
3:24.0,J. Randle makes 2-pt shot from 2 ft,2,21-14,,
3:23.0,,,21-14,,Brooklyn full timeout
3:08.0,Personal foul by J. Hart (drawn by D. Carroll),,21-14,,
3:08.0,,,21-14,,D. Carroll misses free throw 1 of 2
3:08.0,,,21-14,,Offensive rebound by Team
3:08.0,,,21-15,1,D. Carroll makes free throw 2 of 2
2:54.0,Shooting foul by C. LeVert (drawn by K. Caldwell-Pope),,21-15,,
2:54.0,K. Caldwell-Pope misses free throw 1 of 2,,21-15,,
2:54.0,Offensive rebound by Team,,21-15,,
2:54.0,,,21-15,,J. Webb enters the game for D. Carroll
2:54.0,J. Clarkson enters the game for J. Hart,,21-15,,
2:54.0,K. Caldwell-Pope makes free throw 2 of 2,1,22-15,,
2:37.0,,,22-17,2,C. LeVert makes 2-pt shot from 1 ft
2:27.0,K. Caldwell-Pope misses 2-pt shot from 2 ft (block by C. LeVert),,22-17,,
2:24.0,,,22-17,,Defensive rebound by J. Okafor
2:18.0,,,22-17,,Turnover by C. LeVert (lost ball; steal by A. Caruso)
2:11.0,C. Brewer enters the game for K. Caldwell-Pope,,22-17,,
2:05.0,A. Caruso misses 3-pt shot from 24 ft,,22-17,,
2:02.0,,,22-17,,Defensive rebound by C. LeVert
1:53.0,,,22-19,2,J. Harris makes 2-pt shot from 3 ft
1:53.0,,,22-19,,Shooting foul by C. Brewer (drawn by J. Harris)
1:53.0,L. Nance enters the game for J. Randle,,22-19,,
1:53.0,,,22-20,1,J. Harris makes free throw 1 of 1
1:36.0,K. Kuzma misses 2-pt shot from 6 ft,,22-20,,
1:32.0,,,22-20,,Defensive rebound by J. Harris
1:24.0,,,22-22,2,J. Okafor makes 2-pt shot from 1 ft
1:14.0,J. Clarkson misses 2-pt shot from 17 ft,,22-22,,
1:11.0,,,22-22,,Defensive rebound by J. Harris
1:04.0,,,22-22,,D. Russell misses 2-pt shot from 9 ft
1:01.0,Defensive rebound by L. Nance,,22-22,,
0:50.0,K. Kuzma misses 2-pt shot at rim,,22-22,,
0:49.0,Offensive rebound by K. Kuzma,,22-22,,
0:49.0,K. Kuzma makes 2-pt shot at rim,2,24-22,,
0:30.0,,,24-24,2,C. LeVert makes 2-pt shot from 21 ft
0:05.0,Turnover by Team (shot clock),,24-24,,
0:05.0,,,24-24,,Q. Acy enters the game for J. Okafor
0:01.0,,,24-26,2,D. Russell makes 2-pt shot from 2 ft (assist by C. LeVert)
0:01.0,,,24-26,,Shooting foul by C. Brewer (drawn by D. Russell)
0:01.0,,,24-26,,D. Russell misses free throw 1 of 1
0:00.0,,,24-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,K. Kuzma misses 2-pt shot from 21 ft,,24-26,,
11:44.0,,,24-26,,Defensive rebound by C. LeVert
11:36.0,,,24-26,,Turnover by C. LeVert (bad pass; steal by L. Nance)
11:32.0,Turnover by A. Caruso (bad pass; steal by J. Harris),,24-26,,
11:20.0,B. Ingram enters the game for A. Caruso,,24-26,,
11:09.0,,,24-26,,Turnover by Team (shot clock)
10:56.0,J. Clarkson misses 2-pt shot from 15 ft,,24-26,,
10:53.0,,,24-26,,Defensive rebound by J. Harris
10:47.0,,,24-28,2,D. Russell makes 2-pt shot from 18 ft
10:40.0,J. Clarkson misses 3-pt shot from 22 ft,,24-28,,
10:36.0,,,24-28,,Defensive rebound by D. Russell
10:29.0,,,24-28,,D. Russell misses 2-pt shot from 21 ft
10:27.0,Defensive rebound by J. Clarkson,,24-28,,
10:20.0,Shooting foul by J. Webb (drawn by B. Ingram),,24-28,,
10:20.0,B. Ingram makes free throw 1 of 2,1,25-28,,
10:20.0,B. Ingram misses free throw 2 of 2,,25-28,,
10:16.0,Offensive rebound by L. Nance,,25-28,,
10:15.0,L. Nance makes 2-pt shot at rim,2,27-28,,
10:08.0,,,27-28,,C. LeVert misses 3-pt shot from 23 ft
10:08.0,Defensive rebound by L. Nance,,27-28,,
10:08.0,,,27-28,,Personal foul by J. Webb (drawn by L. Nance)
9:54.0,C. Brewer makes 2-pt shot from 6 ft (assist by B. Ingram),2,29-28,,
9:38.0,,,29-31,3,J. Webb makes 3-pt shot from 22 ft (assist by D. Russell)
9:29.0,L. Nance makes 3-pt shot from 24 ft (assist by B. Ingram),3,32-31,,
9:13.0,,,32-31,,Turnover by J. Okafor (lost ball; steal by K. Kuzma)
9:07.0,J. Clarkson misses 2-pt shot from 5 ft,,32-31,,
9:05.0,Offensive rebound by L. Nance,,32-31,,
9:04.0,B. Ingram makes 2-pt shot at rim (assist by L. Nance),2,34-31,,
9:04.0,Shooting foul by J. Harris (drawn by B. Ingram),,34-31,,
9:04.0,,,34-31,,Brooklyn full timeout
9:04.0,,,34-31,,J. Allen enters the game for J. Okafor
9:04.0,B. Ingram makes free throw 1 of 1,1,35-31,,
8:51.0,Personal foul by C. Brewer (drawn by D. Russell),,35-31,,
8:45.0,,,35-31,,D. Russell misses 2-pt shot from 2 ft
8:40.0,,,35-31,,Offensive rebound by J. Allen
8:40.0,,,35-33,2,J. Allen makes 2-pt shot at rim
8:34.0,J. Clarkson misses 2-pt shot from 19 ft,,35-33,,
8:34.0,,,35-33,,Defensive rebound by J. Webb
8:22.0,,,35-35,2,J. Allen makes 2-pt shot from 1 ft (assist by J. Webb)
8:03.0,C. Brewer misses 2-pt shot from 2 ft,,35-35,,
8:00.0,Offensive rebound by L. Nance,,35-35,,
7:59.0,L. Nance makes 2-pt shot from 1 ft,2,37-35,,
7:55.0,,,37-35,,Turnover by C. LeVert (bad pass; steal by C. Brewer)
7:51.0,K. Kuzma makes 2-pt shot from 1 ft (assist by B. Ingram),2,39-35,,
7:30.0,,,39-37,2,J. Allen makes 2-pt shot at rim (assist by D. Russell)
7:13.0,L. Nance misses 2-pt shot from 15 ft,,39-37,,
7:09.0,,,39-37,,Defensive rebound by J. Harris
7:01.0,,,39-37,,Turnover by D. Russell (bad pass)
7:01.0,,,39-37,,Q. Acy enters the game for J. Webb
7:01.0,,,39-37,,S. Dinwiddie enters the game for J. Harris
6:41.0,C. Brewer misses 3-pt shot from 23 ft,,39-37,,
6:38.0,,,39-37,,Defensive rebound by D. Russell
6:31.0,,,39-37,,D. Russell misses 2-pt shot from 4 ft
6:29.0,,,39-37,,Offensive rebound by Team
6:29.0,,,39-37,,A. Crabbe enters the game for C. LeVert
6:29.0,J. Hart enters the game for C. Brewer,,39-37,,
6:23.0,,,39-39,2,D. Russell makes 2-pt shot from 6 ft (assist by S. Dinwiddie)
6:15.0,LA Lakers full timeout,,39-39,,
6:15.0,,,39-39,,D. Carroll enters the game for D. Russell
6:15.0,B. Lopez enters the game for K. Kuzma,,39-39,,
6:15.0,J. Randle enters the game for L. Nance,,39-39,,
6:04.0,Shooting foul by Q. Acy (drawn by J. Clarkson),,39-39,,
6:04.0,J. Clarkson makes free throw 1 of 2,1,40-39,,
6:04.0,J. Clarkson makes free throw 2 of 2,1,41-39,,
5:53.0,,,41-39,,D. Carroll misses 2-pt shot from 11 ft
5:51.0,Defensive rebound by J. Hart,,41-39,,
5:44.0,Turnover by B. Lopez (bad pass; steal by Q. Acy),,41-39,,
5:37.0,,,41-39,,S. Dinwiddie misses 2-pt shot from 11 ft
5:34.0,Defensive rebound by J. Hart,,41-39,,
5:26.0,J. Randle misses 2-pt shot from 5 ft,,41-39,,
5:24.0,,,41-39,,Defensive rebound by A. Crabbe
5:19.0,,,41-39,,Q. Acy misses 3-pt shot from 22 ft
5:17.0,Defensive rebound by B. Ingram,,41-39,,
5:01.0,K. Caldwell-Pope enters the game for J. Clarkson,,41-39,,
4:57.0,B. Ingram misses 2-pt shot from 18 ft,,41-39,,
4:54.0,,,41-39,,Defensive rebound by S. Dinwiddie
4:47.0,,,41-41,2,J. Allen makes 2-pt shot from 4 ft (assist by S. Dinwiddie)
4:24.0,J. Hart misses 3-pt shot from 23 ft,,41-41,,
4:21.0,Offensive rebound by J. Randle,,41-41,,
4:20.0,J. Randle misses 2-pt shot from 1 ft,,41-41,,
4:17.0,,,41-41,,Defensive rebound by J. Allen
4:12.0,,,41-41,,Turnover by D. Carroll (bad pass)
4:12.0,,,41-41,,Personal foul by D. Carroll (drawn by J. Hart)
4:12.0,J. Hart makes free throw 1 of 2,1,42-41,,
4:12.0,J. Hart misses free throw 2 of 2,,42-41,,
4:08.0,,,42-41,,Defensive rebound by J. Allen
3:48.0,,,42-41,,S. Dinwiddie misses 3-pt shot from 26 ft
3:44.0,,,42-41,,Offensive rebound by Q. Acy
3:42.0,,,42-43,2,D. Carroll makes 2-pt shot at rim (assist by Q. Acy)
3:38.0,B. Ingram makes 2-pt shot at rim,2,44-43,,
3:38.0,Shooting foul by J. Allen (drawn by B. Ingram),,44-43,,
3:38.0,,,44-43,,J. Harris enters the game for J. Allen
3:38.0,B. Ingram makes free throw 1 of 1,1,45-43,,
3:19.0,,,45-43,,S. Dinwiddie misses 2-pt shot from 1 ft
3:18.0,Defensive rebound by J. Randle,,45-43,,
3:12.0,J. Randle makes 2-pt shot from 4 ft,2,47-43,,
3:04.0,,,47-43,,A. Crabbe misses 3-pt shot from 24 ft
3:01.0,Defensive rebound by J. Hart,,47-43,,
2:59.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,47-43,,
2:59.0,Offensive rebound by J. Randle,,47-43,,
2:54.0,J. Randle makes 2-pt shot from 2 ft,2,49-43,,
2:33.0,,,49-45,2,S. Dinwiddie makes 2-pt shot from 1 ft
2:10.0,J. Randle makes 2-pt shot from 2 ft,2,51-45,,
1:59.0,,,51-48,3,J. Harris makes 3-pt shot from 25 ft (assist by S. Dinwiddie)
1:59.0,LA Lakers full timeout,,51-48,,
1:47.0,B. Ingram makes 2-pt shot from 2 ft (assist by J. Randle),2,53-48,,
1:47.0,Shooting foul by J. Harris (drawn by B. Ingram),,53-48,,
1:47.0,K. Kuzma enters the game for B. Lopez,,53-48,,
1:47.0,B. Ingram makes free throw 1 of 1,1,54-48,,
1:32.0,,,54-50,2,S. Dinwiddie makes 2-pt shot at rim
1:20.0,J. Hart makes 3-pt shot from 25 ft (assist by B. Ingram),3,57-50,,
1:08.0,,,57-50,,Shooting foul by K. Kuzma (drawn by J. Harris)
1:08.0,,,57-51,1,J. Harris makes free throw 1 of 2
1:08.0,,,57-52,1,J. Harris makes free throw 2 of 2
0:52.0,K. Kuzma misses 2-pt shot from 21 ft,,57-52,,
0:49.0,,,57-52,,Defensive rebound by S. Dinwiddie
0:46.0,,,57-55,3,J. Harris makes 3-pt shot from 27 ft (assist by S. Dinwiddie)
0:38.0,J. Hart misses 3-pt shot from 24 ft,,57-55,,
0:37.0,Offensive rebound by K. Kuzma,,57-55,,
0:37.0,K. Kuzma misses 2-pt shot from 4 ft,,57-55,,
0:36.0,,,57-55,,Defensive rebound by J. Harris
0:28.0,,,57-57,2,D. Carroll makes 2-pt shot from 1 ft (assist by S. Dinwiddie)
0:07.0,J. Randle makes 2-pt shot from 8 ft,2,59-57,,
0:02.0,,,59-57,,S. Dinwiddie misses 3-pt shot from 26 ft
0:02.0,Defensive rebound by K. Kuzma,,59-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,K. Caldwell-Pope misses 2-pt shot from 15 ft,,59-57,,
11:44.0,,,59-57,,Defensive rebound by Q. Acy
11:27.0,,,59-57,,A. Crabbe misses 3-pt shot from 27 ft
11:26.0,Defensive rebound by B. Ingram,,59-57,,
11:21.0,Offensive foul by B. Lopez (drawn by S. Dinwiddie),,59-57,,
11:21.0,Turnover by B. Lopez (offensive foul),,59-57,,
11:00.0,,,59-60,3,S. Dinwiddie makes 3-pt shot from 26 ft
10:39.0,Turnover by J. Randle (lost ball; steal by Q. Acy),,59-60,,
10:31.0,,,59-60,,D. Carroll misses 2-pt shot from 3 ft
10:29.0,Defensive rebound by J. Randle,,59-60,,
10:22.0,Turnover by J. Randle (lost ball; steal by Q. Acy),,59-60,,
10:18.0,,,59-62,2,S. Dinwiddie makes 2-pt shot at rim
9:54.0,B. Ingram misses 2-pt shot from 14 ft,,59-62,,
9:52.0,,,59-62,,Defensive rebound by A. Crabbe
9:39.0,,,59-62,,Shooting foul by B. Lopez (drawn by A. Crabbe)
9:39.0,,,59-63,1,A. Crabbe makes free throw 1 of 2
9:39.0,,,59-64,1,A. Crabbe makes free throw 2 of 2
9:19.0,J. Hart misses 3-pt shot from 24 ft,,59-64,,
9:16.0,,,59-64,,Defensive rebound by Q. Acy
9:07.0,,,59-64,,J. Allen misses 2-pt shot from 1 ft
9:05.0,Defensive rebound by J. Randle,,59-64,,
9:01.0,B. Ingram misses 3-pt shot from 22 ft,,59-64,,
8:58.0,,,59-64,,Defensive rebound by Q. Acy
8:43.0,,,59-64,,A. Crabbe misses 3-pt shot from 26 ft
8:41.0,Defensive rebound by B. Lopez,,59-64,,
8:36.0,J. Hart makes 2-pt shot at rim,2,61-64,,
8:21.0,,,61-66,2,S. Dinwiddie makes 2-pt shot from 2 ft
8:06.0,B. Ingram makes 2-pt shot from 4 ft,2,63-66,,
8:06.0,Shooting foul by J. Allen (drawn by B. Ingram),,63-66,,
8:06.0,,,63-66,,J. Okafor enters the game for J. Allen
8:06.0,B. Ingram misses free throw 1 of 1,,63-66,,
8:03.0,,,63-66,,Defensive rebound by J. Okafor
7:53.0,,,63-68,2,S. Dinwiddie makes 2-pt shot from 1 ft
7:40.0,,,63-68,,Personal foul by Q. Acy (drawn by B. Lopez)
7:30.0,B. Lopez makes 2-pt shot from 8 ft (assist by J. Hart),2,65-68,,
7:06.0,,,65-70,2,S. Dinwiddie makes 2-pt shot from 1 ft
7:06.0,,,65-70,,Shooting foul by K. Caldwell-Pope (drawn by S. Dinwiddie)
7:06.0,,,65-70,,S. Dinwiddie misses free throw 1 of 1
7:03.0,Defensive rebound by J. Randle,,65-70,,
6:52.0,J. Randle misses 2-pt shot from 3 ft (block by J. Okafor),,65-70,,
6:48.0,,,65-70,,Defensive rebound by S. Dinwiddie
6:41.0,,,65-73,3,A. Crabbe makes 3-pt shot from 22 ft (assist by S. Dinwiddie)
6:41.0,LA Lakers full timeout,,65-73,,
6:29.0,B. Lopez makes 2-pt shot from 5 ft (assist by J. Hart),2,67-73,,
6:07.0,,,67-76,3,S. Dinwiddie makes 3-pt shot from 26 ft (assist by Q. Acy)
5:41.0,B. Lopez makes 2-pt shot from 7 ft,2,69-76,,
5:17.0,,,69-76,,J. Okafor misses 2-pt shot from 10 ft
5:15.0,Defensive rebound by B. Ingram,,69-76,,
5:10.0,B. Ingram misses 2-pt shot from 7 ft (block by J. Okafor),,69-76,,
5:10.0,,,69-76,,Defensive rebound by Team
5:10.0,,,69-76,,J. Harris enters the game for Q. Acy
4:48.0,,,69-76,,S. Dinwiddie misses 2-pt shot from 3 ft (block by B. Lopez)
4:48.0,,,69-76,,Offensive rebound by Team
4:45.0,,,69-78,2,D. Carroll makes 2-pt shot at rim (assist by A. Crabbe)
4:35.0,J. Randle makes 2-pt shot at rim (assist by B. Ingram),2,71-78,,
4:20.0,,,71-78,,J. Okafor misses 2-pt shot from 12 ft
4:17.0,Defensive rebound by J. Randle,,71-78,,
4:10.0,,,71-78,,Personal foul by D. Carroll (drawn by J. Randle)
4:10.0,J. Clarkson enters the game for K. Caldwell-Pope,,71-78,,
4:10.0,,,71-78,,C. LeVert enters the game for A. Crabbe
3:58.0,B. Lopez makes 3-pt shot from 25 ft (assist by B. Ingram),3,74-78,,
3:37.0,,,74-78,,S. Dinwiddie misses 3-pt shot from 22 ft
3:33.0,Defensive rebound by B. Lopez,,74-78,,
3:26.0,B. Lopez makes 3-pt shot from 30 ft (assist by B. Ingram),3,77-78,,
3:26.0,,,77-78,,Brooklyn full timeout
3:26.0,,,77-78,,D. Russell enters the game for S. Dinwiddie
3:11.0,,,77-78,,Turnover by C. LeVert (step out of bounds)
3:00.0,B. Ingram misses 2-pt shot from 1 ft,,77-78,,
2:59.0,Offensive rebound by B. Ingram,,77-78,,
2:59.0,B. Ingram misses 2-pt shot from 1 ft,,77-78,,
2:58.0,Offensive rebound by J. Randle,,77-78,,
2:46.0,J. Clarkson makes 3-pt shot from 24 ft (assist by B. Ingram),3,80-78,,
2:20.0,,,80-81,3,C. LeVert makes 3-pt shot from 24 ft (assist by J. Harris)
2:00.0,B. Ingram misses 2-pt shot from 18 ft,,80-81,,
1:56.0,,,80-81,,Defensive rebound by J. Harris
1:39.0,,,80-81,,J. Okafor misses 2-pt shot from 7 ft
1:36.0,Defensive rebound by J. Hart,,80-81,,
1:31.0,J. Randle misses 2-pt shot from 7 ft (block by D. Carroll),,80-81,,
1:31.0,Offensive rebound by Team,,80-81,,
1:31.0,Turnover by J. Randle (traveling),,80-81,,
1:31.0,L. Nance enters the game for B. Lopez,,80-81,,
1:31.0,K. Kuzma enters the game for J. Randle,,80-81,,
1:31.0,,,80-81,,Q. Acy enters the game for J. Okafor
1:31.0,,,80-81,,J. Webb enters the game for D. Carroll
1:19.0,,,80-81,,D. Russell misses 3-pt shot from 29 ft
1:15.0,Defensive rebound by B. Ingram,,80-81,,
1:08.0,J. Hart makes 3-pt shot from 25 ft (assist by K. Kuzma),3,83-81,,
0:48.0,,,83-83,2,D. Russell makes 2-pt shot from 1 ft
0:37.0,K. Kuzma makes 2-pt shot from 8 ft (assist by J. Clarkson),2,85-83,,
0:25.0,,,85-85,2,D. Russell makes 2-pt shot from 1 ft
0:05.0,Offensive charge foul by B. Ingram (drawn by Q. Acy),,85-85,,
0:05.0,Turnover by B. Ingram (offensive foul),,85-85,,
0:05.0,A. Caruso enters the game for B. Ingram,,85-85,,
0:00.0,,,85-85,,D. Russell misses 3-pt shot from 30 ft
0:00.0,,,85-85,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,85-85,,D. Russell misses 2-pt shot from 10 ft
11:41.0,Defensive rebound by L. Nance,,85-85,,
11:22.0,A. Caruso misses 3-pt shot from 25 ft,,85-85,,
11:19.0,,,85-85,,Defensive rebound by J. Harris
11:14.0,,,85-87,2,D. Russell makes 2-pt shot from 1 ft
10:51.0,J. Clarkson misses 2-pt shot from 9 ft (block by Q. Acy),,85-87,,
10:49.0,Offensive rebound by C. Brewer,,85-87,,
10:47.0,C. Brewer makes 2-pt shot from 1 ft,2,87-87,,
10:33.0,,,87-87,,D. Russell misses 2-pt shot from 3 ft (block by A. Caruso)
10:33.0,,,87-87,,Offensive rebound by Team
10:27.0,,,87-87,,Q. Acy misses 3-pt shot from 24 ft
10:23.0,,,87-87,,Offensive rebound by J. Webb
10:20.0,,,87-87,,D. Russell misses 3-pt shot from 24 ft
10:20.0,Defensive rebound by Team,,87-87,,
10:01.0,J. Clarkson makes 3-pt shot from 27 ft (assist by A. Caruso),3,90-87,,
9:39.0,,,90-87,,Q. Acy misses 3-pt shot from 22 ft
9:35.0,Defensive rebound by J. Clarkson,,90-87,,
9:25.0,L. Nance misses 2-pt shot from 3 ft,,90-87,,
9:23.0,,,90-87,,Defensive rebound by J. Webb
9:20.0,,,90-87,,Turnover by Q. Acy (traveling)
9:04.0,J. Clarkson makes 3-pt shot from 26 ft,3,93-87,,
9:03.0,,,93-87,,Brooklyn full timeout
9:03.0,,,93-87,,D. Carroll enters the game for J. Webb
9:03.0,,,93-87,,S. Dinwiddie enters the game for D. Russell
9:03.0,,,93-87,,A. Crabbe enters the game for Q. Acy
9:03.0,,,93-87,,J. Allen enters the game for C. LeVert
8:52.0,,,93-87,,S. Dinwiddie misses 2-pt shot from 2 ft (block by A. Caruso)
8:51.0,Defensive rebound by L. Nance,,93-87,,
8:28.0,J. Clarkson misses 3-pt shot from 25 ft,,93-87,,
8:25.0,Offensive rebound by L. Nance,,93-87,,
8:15.0,Jump ball: J. Allen vs. L. Nance (J. Harris gains possession),,,,Jump ball: J. Allen vs. L. Nance (J. Harris gains possession)
8:15.0,Turnover by L. Nance (turnover; steal by J. Allen),,93-87,,
8:11.0,,,93-87,,D. Carroll misses 3-pt shot from 22 ft
8:09.0,Defensive rebound by C. Brewer,,93-87,,
7:59.0,C. Brewer makes 2-pt shot at rim (assist by L. Nance),2,95-87,,
7:33.0,,,95-87,,J. Harris misses 3-pt shot from 24 ft
7:29.0,,,95-87,,Offensive rebound by J. Allen
7:19.0,,,95-87,,S. Dinwiddie misses 2-pt shot from 10 ft (block by J. Clarkson)
7:16.0,Defensive rebound by J. Clarkson,,95-87,,
7:15.0,J. Clarkson misses 2-pt shot from 1 ft,,95-87,,
7:13.0,Offensive rebound by C. Brewer,,95-87,,
7:13.0,C. Brewer misses 2-pt shot at rim,,95-87,,
7:13.0,Offensive rebound by Team,,95-87,,
7:13.0,,,95-87,,D. Russell enters the game for J. Harris
7:13.0,LA Lakers full timeout,,95-87,,
7:13.0,B. Ingram enters the game for C. Brewer,,95-87,,
7:13.0,J. Hart enters the game for A. Caruso,,95-87,,
7:05.0,K. Kuzma misses 3-pt shot from 25 ft,,95-87,,
7:02.0,,,95-87,,Defensive rebound by J. Allen
6:40.0,,,95-87,,A. Crabbe misses 2-pt shot from 4 ft
6:38.0,Defensive rebound by J. Hart,,95-87,,
6:36.0,Shooting foul by D. Russell (drawn by J. Hart),,95-87,,
6:36.0,J. Hart misses free throw 1 of 2,,95-87,,
6:36.0,Offensive rebound by Team,,95-87,,
