time,Brooklyn,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Love vs. T. Zeller (J. Smith gains possession),,,,Jump ball: K. Love vs. T. Zeller (J. Smith gains possession)
11:44.0,,,0-0,,K. Love misses 3-pt shot from 22 ft
11:41.0,Defensive rebound by R. Hollis-Jefferson,,0-0,,
11:18.0,R. Hollis-Jefferson misses 3-pt shot from 26 ft,,0-0,,
11:16.0,,,0-0,,Defensive rebound by L. James
11:00.0,,,0-2,2,J. Calderon makes 2-pt shot from 15 ft
10:45.0,A. Crabbe makes 3-pt shot from 24 ft (assist by R. Hollis-Jefferson),3,3-2,,
10:30.0,,,3-4,2,K. Love makes 2-pt shot from 16 ft (assist by L. James)
10:13.0,Offensive foul by S. Dinwiddie (drawn by J. Smith),,3-4,,
10:13.0,Turnover by S. Dinwiddie (offensive foul),,3-4,,
9:59.0,,,3-4,,K. Love misses 2-pt shot from 10 ft
9:57.0,Defensive rebound by R. Hollis-Jefferson,,3-4,,
9:50.0,A. Crabbe makes 2-pt shot from 1 ft (assist by R. Hollis-Jefferson),2,5-4,,
9:30.0,,,5-6,2,L. James makes 2-pt shot from 2 ft
9:11.0,Turnover by R. Hollis-Jefferson (lost ball; steal by J. Smith),,5-6,,
8:55.0,,,5-9,3,J. Crowder makes 3-pt shot from 23 ft (assist by J. Smith)
8:41.0,A. Crabbe misses 2-pt shot from 5 ft,,5-9,,
8:39.0,,,5-9,,Defensive rebound by J. Smith
8:31.0,,,5-9,,K. Love misses 2-pt shot from 21 ft
8:29.0,Defensive rebound by R. Hollis-Jefferson,,5-9,,
8:24.0,D. Carroll misses 3-pt shot from 26 ft,,5-9,,
8:22.0,,,5-9,,Defensive rebound by J. Calderon
8:16.0,,,5-9,,J. Calderon misses 3-pt shot from 25 ft
8:11.0,Defensive rebound by T. Zeller,,5-9,,
8:00.0,D. Carroll makes 2-pt shot from 20 ft,2,7-9,,
7:42.0,,,7-9,,Shooting foul by A. Crabbe (drawn by K. Love)
7:42.0,,,7-9,,K. Love misses free throw 1 of 2
7:42.0,,,7-9,,Offensive rebound by Team
7:42.0,,,7-10,1,K. Love makes free throw 2 of 2
7:26.0,A. Crabbe misses 3-pt shot from 28 ft,,7-10,,
7:23.0,,,7-10,,Defensive rebound by J. Smith
7:18.0,,,7-10,,K. Love misses 2-pt shot from 6 ft (block by S. Dinwiddie)
7:18.0,,,7-10,,Offensive rebound by Team
7:09.0,,,7-10,,K. Love misses 2-pt shot from 11 ft
7:06.0,Defensive rebound by R. Hollis-Jefferson,,7-10,,
7:02.0,R. Hollis-Jefferson misses 2-pt shot from 9 ft,,7-10,,
6:59.0,,,7-10,,Defensive rebound by L. James
6:47.0,,,7-10,,Turnover by L. James (traveling)
6:47.0,,,7-10,,Cleveland full timeout
6:35.0,T. Zeller misses 2-pt shot from 7 ft (block by K. Love),,7-10,,
6:35.0,Offensive rebound by Team,,7-10,,
6:22.0,S. Dinwiddie misses 3-pt shot from 25 ft,,7-10,,
6:19.0,Offensive rebound by D. Carroll,,7-10,,
6:18.0,,,7-10,,Personal foul by J. Smith (drawn by A. Crabbe)
6:18.0,Q. Acy enters the game for T. Zeller,,7-10,,
6:09.0,,,7-10,,Violation by J. Crowder (kicked ball)
6:03.0,D. Carroll misses 3-pt shot from 26 ft,,7-10,,
6:01.0,,,7-10,,Defensive rebound by Team
5:45.0,,,7-13,3,J. Crowder makes 3-pt shot from 25 ft (assist by K. Love)
5:22.0,Q. Acy misses 3-pt shot from 24 ft,,7-13,,
5:20.0,,,7-13,,Defensive rebound by J. Crowder
5:14.0,,,7-16,3,L. James makes 3-pt shot from 27 ft (assist by J. Calderon)
4:51.0,S. Dinwiddie misses 2-pt shot from 18 ft,,7-16,,
4:48.0,,,7-16,,Defensive rebound by K. Love
4:37.0,Jump ball: L. James vs. S. Dinwiddie (D. Carroll gains possession),,,,Jump ball: L. James vs. S. Dinwiddie (D. Carroll gains possession)
4:37.0,,,7-16,,Turnover by L. James (turnover; steal by S. Dinwiddie)
4:37.0,,,7-16,,Personal foul by J. Calderon (drawn by R. Hollis-Jefferson)
4:37.0,J. Allen enters the game for R. Hollis-Jefferson,,7-16,,
4:37.0,J. Harris enters the game for A. Crabbe,,7-16,,
4:19.0,J. Harris makes 3-pt shot from 22 ft (assist by D. Carroll),3,10-16,,
3:59.0,,,10-18,2,L. James makes 2-pt shot from 11 ft (assist by K. Love)
3:58.0,Brooklyn full timeout,,10-18,,
3:58.0,C. LeVert enters the game for S. Dinwiddie,,10-18,,
3:42.0,Turnover by C. LeVert (bad pass; steal by L. James),,10-18,,
3:39.0,,,10-18,,L. James misses 2-pt shot from 2 ft
3:34.0,Defensive rebound by J. Allen,,10-18,,
3:31.0,D. Carroll misses 3-pt shot from 22 ft,,10-18,,
3:31.0,,,10-18,,Defensive rebound by K. Love
3:25.0,,,10-18,,L. James misses 3-pt shot from 25 ft
3:25.0,Defensive rebound by Team,,10-18,,
3:12.0,Turnover by J. Harris (lost ball; steal by J. Calderon),,10-18,,
2:50.0,,,10-18,,L. James misses 3-pt shot from 22 ft
2:41.0,Defensive rebound by Q. Acy,,10-18,,
2:41.0,J. Harris makes 3-pt shot from 24 ft (assist by C. LeVert),3,13-18,,
2:41.0,,,13-18,,Cleveland full timeout
2:41.0,,,13-18,,J. Green enters the game for J. Calderon
2:41.0,,,13-18,,D. Wade enters the game for J. Crowder
2:41.0,S. Kilpatrick enters the game for D. Carroll,,13-18,,
2:27.0,,,13-18,,K. Love misses 2-pt shot from 9 ft (block by J. Harris)
2:25.0,,,13-18,,Offensive rebound by K. Love
2:25.0,,,13-18,,Turnover by K. Love (lost ball; steal by J. Harris)
2:19.0,Turnover by S. Kilpatrick (bad pass),,13-18,,
2:11.0,,,13-18,,Shooting foul by C. LeVert (drawn by D. Wade)
2:11.0,,,13-18,,D. Wade misses free throw 1 of 2
2:11.0,,,13-18,,Offensive rebound by Team
2:11.0,,,13-18,,D. Wade misses free throw 2 of 2
2:11.0,Defensive rebound by J. Allen,,13-18,,
2:11.0,,,13-18,,C. Frye enters the game for K. Love
2:11.0,,,13-18,,K. Korver enters the game for L. James
1:57.0,C. LeVert makes 2-pt shot at rim,2,15-18,,
1:40.0,,,15-18,,J. Smith misses 3-pt shot from 26 ft
1:37.0,Defensive rebound by J. Harris,,15-18,,
1:30.0,Q. Acy misses 2-pt shot from 9 ft (block by K. Korver),,15-18,,
1:30.0,,,15-18,,Defensive rebound by D. Wade
1:23.0,,,15-20,2,D. Wade makes 2-pt shot at rim
1:16.0,C. LeVert misses 3-pt shot from 25 ft,,15-20,,
1:16.0,,,15-20,,Defensive rebound by D. Wade
1:02.0,,,15-20,,C. Frye misses 3-pt shot from 22 ft
1:02.0,Defensive rebound by C. LeVert,,15-20,,
0:46.0,J. Allen makes 2-pt shot from 9 ft (assist by J. Harris),2,17-20,,
0:35.0,,,17-20,,K. Korver misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by Q. Acy,,17-20,,
0:15.0,S. Kilpatrick misses 2-pt shot from 15 ft,,17-20,,
0:12.0,,,17-20,,Defensive rebound by D. Wade
0:00.0,,,17-20,,D. Wade misses 2-pt shot from 11 ft
0:00.0,Defensive rebound by Q. Acy,,17-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,C. LeVert misses 2-pt shot from 11 ft,,17-20,,
11:41.0,,,17-20,,Defensive rebound by J. Green
11:36.0,,,17-20,,J. Green misses 2-pt shot from 2 ft
11:36.0,Defensive rebound by T. Zeller,,17-20,,
11:36.0,T. Zeller makes 3-pt shot from 23 ft (assist by J. Allen),3,20-20,,
11:13.0,,,20-20,,K. Korver misses 3-pt shot from 26 ft
11:11.0,Defensive rebound by C. LeVert,,20-20,,
10:47.0,S. Kilpatrick makes 3-pt shot from 25 ft,3,23-20,,
10:27.0,,,23-22,2,C. Frye makes 2-pt shot at rim (assist by D. Wade)
10:16.0,J. Harris misses 3-pt shot from 28 ft,,23-22,,
10:14.0,Offensive rebound by C. LeVert,,23-22,,
10:06.0,J. Allen makes 2-pt shot at rim (assist by C. LeVert),2,25-22,,
9:55.0,,,25-22,,C. Frye misses 3-pt shot from 24 ft
9:53.0,Defensive rebound by Team,,25-22,,
9:53.0,Q. Acy enters the game for J. Allen,,25-22,,
9:42.0,Turnover by J. Harris (bad pass),,25-22,,
9:32.0,,,25-25,3,D. Wade makes 3-pt shot from 25 ft
9:18.0,,,25-25,,Personal foul by C. Osman (drawn by S. Kilpatrick)
9:12.0,C. LeVert misses 3-pt shot from 25 ft,,25-25,,
9:09.0,,,25-25,,Defensive rebound by C. Frye
9:09.0,Personal foul by C. LeVert (drawn by D. Wade),,25-25,,
8:58.0,,,25-25,,D. Wade misses 2-pt shot from 2 ft
8:58.0,Defensive rebound by T. Zeller,,25-25,,
8:52.0,Q. Acy misses 2-pt shot from 1 ft,,25-25,,
8:52.0,,,25-25,,Defensive rebound by J. Green
8:31.0,,,25-25,,J. Green misses 2-pt shot from 22 ft
8:31.0,Defensive rebound by T. Zeller,,25-25,,
8:26.0,Turnover by S. Kilpatrick (bad pass; steal by C. Osman),,25-25,,
8:18.0,,,25-27,2,C. Osman makes 2-pt shot at rim (assist by K. Korver)
8:18.0,Brooklyn full timeout,,25-27,,
8:18.0,A. Crabbe enters the game for S. Kilpatrick,,25-27,,
8:06.0,Offensive foul by Q. Acy (drawn by C. Osman),,25-27,,
8:06.0,Turnover by Q. Acy (offensive foul),,25-27,,
7:52.0,,,25-29,2,C. Frye makes 2-pt shot from 1 ft (assist by D. Wade)
7:33.0,T. Zeller misses 2-pt shot from 18 ft,,25-29,,
7:33.0,,,25-29,,Defensive rebound by C. Osman
7:23.0,,,25-31,2,D. Wade makes 2-pt shot at rim
7:14.0,C. LeVert misses 2-pt shot from 3 ft,,25-31,,
7:14.0,Offensive rebound by T. Zeller,,25-31,,
7:09.0,T. Zeller makes 2-pt shot at rim,2,27-31,,
6:48.0,,,27-31,,C. Osman misses 3-pt shot from 23 ft
6:48.0,Defensive rebound by J. Harris,,27-31,,
6:42.0,J. Harris makes 3-pt shot from 27 ft (assist by C. LeVert),3,30-31,,
6:25.0,,,30-33,2,J. Green makes 2-pt shot at rim
6:10.0,A. Crabbe makes 2-pt shot from 11 ft (assist by J. Harris),2,32-33,,
5:57.0,,,32-36,3,K. Korver makes 3-pt shot from 23 ft (assist by D. Wade)
5:43.0,A. Crabbe misses 2-pt shot from 1 ft,,32-36,,
5:43.0,,,32-36,,Defensive rebound by C. Frye
5:35.0,,,32-36,,D. Wade misses 2-pt shot from 12 ft
5:35.0,Defensive rebound by T. Zeller,,32-36,,
5:19.0,Q. Acy makes 3-pt shot from 23 ft (assist by A. Crabbe),3,35-36,,
5:05.0,,,35-36,,Turnover by D. Wade (bad pass; steal by C. LeVert)
5:02.0,C. LeVert makes 2-pt shot from 1 ft,2,37-36,,
5:02.0,,,37-36,,Cleveland full timeout
5:02.0,,,37-36,,J. Crowder enters the game for C. Frye
5:02.0,,,37-36,,L. James enters the game for D. Wade
5:02.0,,,37-36,,J. Calderon enters the game for C. Osman
5:02.0,,,37-36,,K. Love enters the game for K. Korver
5:02.0,,,37-36,,J. Smith enters the game for J. Green
5:02.0,S. Dinwiddie enters the game for Q. Acy,,37-36,,
5:02.0,D. Carroll enters the game for C. LeVert,,37-36,,
5:02.0,R. Hollis-Jefferson enters the game for T. Zeller,,37-36,,
4:39.0,,,37-39,3,J. Calderon makes 3-pt shot from 22 ft (assist by L. James)
4:15.0,D. Carroll misses 3-pt shot from 23 ft,,37-39,,
4:15.0,,,37-39,,Defensive rebound by K. Love
4:09.0,,,37-39,,Shooting foul by A. Crabbe (drawn by L. James)
4:09.0,,,37-39,,L. James misses free throw 1 of 2
4:09.0,,,37-39,,Offensive rebound by Team
4:09.0,,,37-40,1,L. James makes free throw 2 of 2
3:49.0,J. Harris makes 2-pt shot from 9 ft (assist by S. Dinwiddie),2,39-40,,
3:36.0,,,39-42,2,K. Love makes 2-pt shot at rim
3:17.0,S. Dinwiddie makes 3-pt shot from 23 ft (assist by J. Harris),3,42-42,,
2:54.0,Personal foul by R. Hollis-Jefferson (drawn by K. Love),,42-42,,
2:54.0,C. LeVert enters the game for J. Harris,,42-42,,
2:54.0,J. Allen enters the game for R. Hollis-Jefferson,,42-42,,
2:38.0,,,42-42,,K. Love misses 2-pt shot from 1 ft
2:36.0,Defensive rebound by C. LeVert,,42-42,,
2:34.0,S. Dinwiddie misses 3-pt shot from 24 ft,,42-42,,
2:34.0,Offensive rebound by J. Allen,,42-42,,
2:30.0,D. Carroll misses 3-pt shot from 25 ft,,42-42,,
2:30.0,,,42-42,,Defensive rebound by L. James
2:24.0,,,42-42,,J. Crowder misses 2-pt shot from 20 ft
2:24.0,Defensive rebound by D. Carroll,,42-42,,
2:01.0,D. Carroll misses 2-pt shot from 11 ft,,42-42,,
1:58.0,,,42-42,,Defensive rebound by K. Love
1:50.0,,,42-45,3,J. Crowder makes 3-pt shot from 24 ft (assist by L. James)
1:32.0,C. LeVert makes 2-pt shot at rim (assist by S. Dinwiddie),2,44-45,,
1:09.0,,,44-45,,L. James misses 2-pt shot from 17 ft
1:08.0,Defensive rebound by Team,,44-45,,
1:06.0,S. Kilpatrick enters the game for S. Dinwiddie,,44-45,,
0:43.0,D. Carroll makes 2-pt shot from 1 ft (assist by J. Allen),2,46-45,,
0:31.0,,,46-45,,J. Calderon misses 3-pt shot from 25 ft
0:27.0,Defensive rebound by J. Allen,,46-45,,
0:09.0,Turnover by C. LeVert (bad pass; steal by J. Crowder),,46-45,,
0:05.0,,,46-45,,Turnover by J. Crowder (bad pass; steal by A. Crabbe)
0:05.0,Turnover by A. Crabbe (bad pass),,46-45,,
0:05.0,R. Hollis-Jefferson enters the game for S. Kilpatrick,,46-45,,
0:01.0,,,46-45,,L. James misses 2-pt shot from 8 ft
0:01.0,Defensive rebound by D. Carroll,,46-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,A. Crabbe misses 3-pt shot from 26 ft,,46-45,,
11:41.0,,,46-45,,Defensive rebound by L. James
11:41.0,Personal foul by D. Carroll (drawn by L. James),,46-45,,
11:30.0,,,46-45,,Offensive foul by L. James (drawn by S. Dinwiddie)
11:30.0,,,46-45,,Turnover by L. James (offensive foul)
11:11.0,Turnover by A. Crabbe (step out of bounds),,46-45,,
11:06.0,,,46-45,,J. Smith misses 3-pt shot from 26 ft
11:02.0,Defensive rebound by D. Carroll,,46-45,,
10:38.0,R. Hollis-Jefferson makes 2-pt shot at rim (assist by S. Dinwiddie),2,48-45,,
10:25.0,,,48-45,,J. Smith misses 2-pt shot from 5 ft
10:22.0,Defensive rebound by A. Crabbe,,48-45,,
10:12.0,D. Carroll makes 2-pt shot from 8 ft (assist by A. Crabbe),2,50-45,,
9:59.0,,,50-45,,K. Love misses 3-pt shot from 26 ft
9:56.0,Defensive rebound by A. Crabbe,,50-45,,
9:48.0,Turnover by T. Zeller (lost ball; steal by L. James),,50-45,,
9:31.0,,,50-47,2,K. Love makes 2-pt shot from 16 ft
9:30.0,,,50-47,,D. Wade enters the game for L. James
9:17.0,,,50-47,,Personal foul by K. Love (drawn by A. Crabbe)
9:12.0,R. Hollis-Jefferson makes 2-pt shot from 15 ft,2,52-47,,
9:00.0,,,52-47,,Shooting foul by T. Zeller (drawn by K. Love)
9:00.0,,,52-48,1,K. Love makes free throw 1 of 2
9:00.0,,,52-49,1,K. Love makes free throw 2 of 2
8:44.0,Turnover by A. Crabbe (bad pass; steal by J. Crowder),,52-49,,
8:39.0,,,52-51,2,D. Wade makes 2-pt shot from 1 ft (assist by J. Crowder)
8:34.0,A. Crabbe makes 3-pt shot from 25 ft (assist by S. Dinwiddie),3,55-51,,
8:19.0,,,55-53,2,K. Love makes 2-pt shot from 1 ft (assist by J. Calderon)
8:05.0,A. Crabbe misses 3-pt shot from 25 ft,,55-53,,
8:01.0,Offensive rebound by R. Hollis-Jefferson,,55-53,,
7:59.0,R. Hollis-Jefferson makes 2-pt shot from 8 ft,2,57-53,,
7:52.0,,,57-53,,Shooting foul by R. Hollis-Jefferson (drawn by J. Crowder)
7:52.0,,,57-54,1,J. Crowder makes free throw 1 of 3
7:52.0,,,57-55,1,J. Crowder makes free throw 2 of 3
7:52.0,,,57-56,1,J. Crowder makes free throw 3 of 3
7:33.0,Turnover by S. Dinwiddie (traveling),,57-56,,
7:33.0,J. Allen enters the game for D. Carroll,,57-56,,
7:33.0,J. Harris enters the game for T. Zeller,,57-56,,
7:24.0,,,57-56,,Turnover by J. Calderon (bad pass; steal by J. Harris)
7:21.0,J. Harris makes 2-pt shot from 1 ft,2,59-56,,
7:10.0,,,59-56,,K. Love misses 3-pt shot from 27 ft
7:10.0,Defensive rebound by J. Harris,,59-56,,
7:01.0,A. Crabbe makes 3-pt shot from 22 ft (assist by J. Harris),3,62-56,,
6:59.0,,,62-56,,Cleveland full timeout
6:59.0,,,62-56,,K. Korver enters the game for J. Calderon
6:45.0,,,62-58,2,K. Love makes 2-pt shot from 1 ft (assist by K. Korver)
6:29.0,Turnover by S. Dinwiddie (bad pass),,62-58,,
6:11.0,,,62-60,2,K. Love makes 2-pt shot from 11 ft (assist by K. Korver)
5:52.0,J. Harris makes 3-pt shot from 24 ft (assist by S. Dinwiddie),3,65-60,,
5:39.0,,,65-60,,Turnover by D. Wade (bad pass)
5:30.0,,,65-60,,Personal foul by J. Smith (drawn by A. Crabbe)
5:27.0,Shooting foul by K. Love (drawn by R. Hollis-Jefferson),,65-60,,
5:27.0,R. Hollis-Jefferson makes free throw 1 of 2,1,66-60,,
5:27.0,C. LeVert enters the game for S. Dinwiddie,,66-60,,
5:27.0,R. Hollis-Jefferson makes free throw 2 of 2,1,67-60,,
5:07.0,,,67-60,,K. Love misses 2-pt shot from 3 ft (block by J. Allen)
5:07.0,,,67-60,,Offensive rebound by Team
5:05.0,,,67-62,2,J. Crowder makes 2-pt shot from 2 ft (assist by D. Wade)
4:44.0,R. Hollis-Jefferson makes 2-pt shot from 13 ft,2,69-62,,
4:33.0,,,69-62,,L. James enters the game for J. Smith
4:33.0,Q. Acy enters the game for R. Hollis-Jefferson,,69-62,,
4:33.0,D. Carroll enters the game for A. Crabbe,,69-62,,
4:30.0,,,69-64,2,K. Korver makes 2-pt shot from 12 ft (assist by D. Wade)
4:12.0,J. Allen makes 2-pt shot from 21 ft (assist by C. LeVert),2,71-64,,
3:58.0,,,71-67,3,K. Korver makes 3-pt shot from 26 ft (assist by K. Love)
3:36.0,Offensive charge foul by J. Harris (drawn by K. Love),,71-67,,
3:36.0,Turnover by J. Harris (offensive foul),,71-67,,
3:28.0,,,71-67,,Offensive foul by K. Korver (drawn by Q. Acy)
3:28.0,,,71-67,,Turnover by K. Korver (offensive foul)
3:28.0,Brooklyn full timeout,,71-67,,
3:11.0,C. LeVert makes 2-pt shot from 8 ft,2,73-67,,
2:51.0,,,73-67,,K. Korver misses 3-pt shot from 22 ft
2:47.0,Defensive rebound by C. LeVert,,73-67,,
2:45.0,Turnover by Q. Acy (turnover),,73-67,,
2:39.0,,,73-67,,K. Love misses 3-pt shot from 25 ft
2:36.0,Defensive rebound by J. Harris,,73-67,,
2:22.0,Q. Acy misses 3-pt shot from 22 ft,,73-67,,
2:17.0,,,73-67,,Defensive rebound by K. Love
2:10.0,,,73-67,,D. Wade misses 2-pt shot from 11 ft
1:57.0,,,73-67,,Offensive rebound by K. Love
1:56.0,,,73-69,2,K. Love makes 2-pt shot from 1 ft
1:41.0,Q. Acy makes 3-pt shot from 22 ft (assist by C. LeVert),3,76-69,,
1:32.0,,,76-69,,Shooting foul by J. Harris (drawn by K. Korver)
1:32.0,,,76-70,1,K. Korver makes free throw 1 of 3
1:32.0,,,76-71,1,K. Korver makes free throw 2 of 3
1:32.0,,,76-71,,C. Frye enters the game for K. Love
1:32.0,,,76-71,,K. Korver misses free throw 3 of 3
1:30.0,Defensive rebound by C. LeVert,,76-71,,
1:15.0,D. Carroll misses 2-pt shot from 9 ft,,76-71,,
1:12.0,,,76-71,,Defensive rebound by L. James
1:07.0,,,76-73,2,L. James makes 2-pt shot from 1 ft
0:50.0,Turnover by C. LeVert (lost ball; steal by D. Wade),,76-73,,
0:43.0,,,76-75,2,D. Wade makes 2-pt shot from 1 ft
0:30.0,Turnover by J. Allen (traveling),,76-75,,
0:15.0,,,76-75,,C. Frye misses 2-pt shot at rim
0:14.0,,,76-75,,Offensive rebound by C. Frye
0:14.0,,,76-77,2,C. Frye makes 2-pt shot at rim
0:04.0,,,76-77,,Personal foul by D. Wade (drawn by C. LeVert)
0:04.0,,,76-77,,J. Green enters the game for C. Frye
0:02.0,,,76-77,,Personal foul by J. Green (drawn by C. LeVert)
0:02.0,C. LeVert misses free throw 1 of 2,,76-77,,
0:02.0,Offensive rebound by Team,,76-77,,
0:02.0,C. LeVert makes free throw 2 of 2,1,77-77,,
0:00.0,,,77-77,,J. Green misses 3-pt shot from 47 ft
0:00.0,,,77-77,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,77-77,,J. Green misses 3-pt shot from 25 ft
