time,Miami,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. H. Whiteside (J. Winslow gains possession),,,,Jump ball: A. Len vs. H. Whiteside (J. Winslow gains possession)
11:44.0,J. Winslow makes 2-pt shot at rim,2,2-0,,
11:20.0,,,2-0,,M. Chriss misses 2-pt shot from 8 ft
11:16.0,Defensive rebound by J. Richardson,,2-0,,
11:03.0,D. Waiters misses 2-pt shot from 17 ft,,2-0,,
11:03.0,H. Whiteside makes 2-pt shot from 1 ft,2,4-0,,
10:56.0,Offensive rebound by H. Whiteside,,4-0,,
10:43.0,,,4-0,,D. Booker misses 2-pt shot from 13 ft
10:39.0,Defensive rebound by H. Whiteside,,4-0,,
10:37.0,,,4-0,,Personal foul by T. Warren (drawn by D. Waiters)
10:29.0,J. Richardson makes 2-pt shot at rim (assist by D. Waiters),2,6-0,,
10:24.0,,,6-0,,Shooting foul by J. Richardson (drawn by D. Booker)
10:24.0,,,6-1,1,D. Booker makes free throw 1 of 2
10:24.0,,,6-2,1,D. Booker makes free throw 2 of 2
10:13.0,J. Winslow misses 2-pt shot from 8 ft,,6-2,,
10:11.0,,,6-2,,Defensive rebound by T. Warren
10:03.0,,,6-2,,A. Len misses 2-pt shot from 17 ft
10:01.0,Defensive rebound by J. Richardson,,6-2,,
9:54.0,J. Richardson misses 3-pt shot from 24 ft,,6-2,,
9:50.0,,,6-2,,Defensive rebound by M. James
9:46.0,,,6-2,,D. Booker misses 2-pt shot from 8 ft
9:43.0,Defensive rebound by J. Richardson,,6-2,,
9:26.0,H. Whiteside makes 2-pt shot from 3 ft,2,8-2,,
9:16.0,,,8-2,,Turnover by M. Chriss (lost ball; steal by J. Winslow)
9:11.0,,,8-2,,Phoenix full timeout
9:10.0,G. Dragic makes 2-pt shot at rim (assist by J. Winslow),2,10-2,,
8:55.0,,,10-2,,M. Chriss misses 3-pt shot from 22 ft
8:52.0,Defensive rebound by D. Waiters,,10-2,,
8:45.0,Turnover by H. Whiteside (turnover),,10-2,,
8:35.0,,,10-2,,Turnover by A. Len (bad pass; steal by J. Richardson)
8:30.0,Shooting foul by M. Chriss (drawn by H. Whiteside),,10-2,,
8:30.0,H. Whiteside makes free throw 1 of 2,1,11-2,,
8:30.0,H. Whiteside makes free throw 2 of 2,1,12-2,,
8:16.0,,,12-4,2,M. James makes 2-pt shot from 4 ft
7:55.0,J. Winslow makes 3-pt shot from 25 ft (assist by D. Waiters),3,15-4,,
7:43.0,,,15-4,,Offensive foul by A. Len (drawn by J. Richardson)
7:43.0,,,15-4,,Turnover by A. Len (offensive foul)
7:43.0,,,15-4,,D. Bender enters the game for M. Chriss
7:29.0,D. Waiters misses 2-pt shot from 2 ft,,15-4,,
7:28.0,,,15-4,,Defensive rebound by Team
7:18.0,,,15-4,,Offensive foul by A. Len (drawn by G. Dragic)
7:18.0,,,15-4,,Turnover by A. Len (offensive foul)
7:18.0,,,15-4,,J. Dudley enters the game for A. Len
7:09.0,G. Dragic makes 2-pt shot from 9 ft,2,17-4,,
