time,Boston,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Horford (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. A. Horford (R. Westbrook gains possession)
11:45.0,,,0-0,,P. George misses 3-pt shot from 26 ft
11:41.0,Defensive rebound by J. Tatum,,0-0,,
11:33.0,Shooting foul by P. George (drawn by A. Baynes),,0-0,,
11:33.0,A. Baynes misses free throw 1 of 2,,0-0,,
11:33.0,Offensive rebound by Team,,0-0,,
11:33.0,A. Baynes makes free throw 2 of 2,1,1-0,,
11:15.0,,,1-0,,C. Anthony misses 2-pt shot from 11 ft
11:12.0,Defensive rebound by A. Horford,,1-0,,
11:04.0,K. Irving misses 2-pt shot from 9 ft,,1-0,,
10:59.0,Offensive rebound by A. Baynes,,1-0,,
10:59.0,A. Baynes misses 2-pt shot at rim,,1-0,,
10:59.0,,,1-0,,Defensive rebound by S. Adams
10:49.0,,,1-0,,R. Westbrook misses 2-pt shot from 13 ft
10:45.0,,,1-0,,Offensive rebound by P. George
10:44.0,,,1-2,2,P. George makes 2-pt shot from 1 ft
10:25.0,Turnover by J. Tatum (bad pass),,1-2,,
10:14.0,,,1-2,,Turnover by R. Westbrook (bad pass)
10:01.0,Shooting foul by S. Adams (drawn by J. Tatum),,1-2,,
10:01.0,J. Tatum misses free throw 1 of 2,,1-2,,
10:01.0,Offensive rebound by Team,,1-2,,
10:01.0,J. Tatum makes free throw 2 of 2,1,2-2,,
9:38.0,,,2-2,,Shooting foul by J. Tatum (drawn by C. Anthony)
9:38.0,,,2-3,1,C. Anthony makes free throw 1 of 2
9:38.0,,,2-4,1,C. Anthony makes free throw 2 of 2
9:27.0,K. Irving misses 3-pt shot from 25 ft,,2-4,,
9:22.0,Offensive rebound by A. Horford,,2-4,,
9:20.0,J. Tatum makes 2-pt shot from 14 ft (assist by A. Horford),2,4-4,,
9:06.0,,,4-4,,R. Westbrook misses 2-pt shot from 1 ft
9:04.0,,,4-4,,Offensive rebound by S. Adams
9:03.0,,,4-4,,Turnover by S. Adams (lost ball; steal by K. Irving)
8:58.0,Turnover by J. Tatum (bad pass),,4-4,,
8:42.0,,,4-6,2,P. George makes 2-pt shot at rim (assist by S. Adams)
8:15.0,Turnover by Team (shot clock),,4-6,,
8:03.0,,,4-6,,Turnover by P. George (bad pass; steal by K. Irving)
7:58.0,K. Irving misses 2-pt shot from 2 ft,,4-6,,
7:55.0,Offensive rebound by J. Brown,,4-6,,
7:54.0,J. Brown makes 2-pt shot from 1 ft,2,6-6,,
7:38.0,,,6-9,3,P. George makes 3-pt shot from 24 ft (assist by R. Westbrook)
7:24.0,K. Irving misses 3-pt shot from 24 ft,,6-9,,
7:22.0,,,6-9,,Defensive rebound by C. Anthony
7:15.0,,,6-9,,R. Westbrook misses 2-pt shot at rim (block by K. Irving)
7:12.0,,,6-9,,Offensive rebound by S. Adams
7:12.0,,,6-11,2,S. Adams makes 2-pt shot at rim
6:51.0,A. Baynes makes 2-pt shot from 13 ft (assist by J. Tatum),2,8-11,,
6:38.0,,,8-13,2,R. Westbrook makes 2-pt shot from 11 ft
6:14.0,J. Tatum makes 3-pt shot from 25 ft,3,11-13,,
5:56.0,,,11-15,2,C. Anthony makes 2-pt shot from 16 ft (assist by A. Roberson)
5:36.0,J. Tatum misses 3-pt shot from 24 ft,,11-15,,
5:31.0,,,11-15,,Defensive rebound by P. George
5:28.0,,,11-15,,R. Westbrook misses 3-pt shot from 24 ft
5:24.0,Defensive rebound by K. Irving,,11-15,,
5:17.0,J. Brown misses 2-pt shot from 16 ft,,11-15,,
5:15.0,,,11-15,,Defensive rebound by C. Anthony
5:09.0,,,11-15,,Oklahoma City full timeout
5:09.0,,,11-15,,J. Grant enters the game for C. Anthony
5:09.0,M. Morris enters the game for J. Tatum,,11-15,,
5:09.0,M. Smart enters the game for A. Baynes,,11-15,,
4:59.0,,,11-15,,A. Roberson misses 3-pt shot from 22 ft
4:56.0,Defensive rebound by A. Horford,,11-15,,
4:40.0,,,11-15,,A. Abrines enters the game for A. Roberson
4:39.0,Turnover by M. Smart (bad pass; steal by P. George),,11-15,,
4:36.0,,,11-17,2,P. George makes 2-pt shot from 1 ft
4:36.0,,,11-17,,Shooting foul by K. Irving (drawn by P. George)
4:36.0,,,11-18,1,P. George makes free throw 1 of 1
4:22.0,A. Horford misses 2-pt shot from 9 ft (block by S. Adams),,11-18,,
4:22.0,Offensive rebound by Team,,11-18,,
4:19.0,J. Brown misses 2-pt shot from 1 ft,,11-18,,
4:17.0,,,11-18,,Defensive rebound by R. Westbrook
4:04.0,Personal foul by M. Smart (drawn by A. Abrines),,11-18,,
3:54.0,,,11-18,,Turnover by R. Westbrook (traveling)
3:41.0,Shooting foul by A. Abrines (drawn by M. Smart),,11-18,,
3:41.0,M. Smart makes free throw 1 of 2,1,12-18,,
3:41.0,T. Rozier enters the game for K. Irving,,12-18,,
3:41.0,M. Smart makes free throw 2 of 2,1,13-18,,
3:32.0,,,13-21,3,A. Abrines makes 3-pt shot from 23 ft (assist by R. Westbrook)
3:10.0,T. Rozier misses 3-pt shot from 24 ft,,13-21,,
3:05.0,Jump ball: R. Westbrook vs. J. Brown (M. Morris gains possession),,,,Jump ball: R. Westbrook vs. J. Brown (M. Morris gains possession)
3:05.0,Defensive rebound by J. Brown,,13-21,,
3:03.0,Boston full timeout,,13-21,,
3:03.0,,,13-21,,Technical foul by R. Westbrook (drawn by J. Brown)
3:03.0,J. Brown misses flagrant free throw 1 of 2,,13-21,,
3:03.0,Offensive rebound by Team,,13-21,,
3:03.0,J. Brown misses flagrant free throw 2 of 2,,13-21,,
3:03.0,Offensive rebound by Team,,13-21,,
2:56.0,M. Morris misses 2-pt shot at rim,,13-21,,
2:54.0,,,13-21,,Defensive rebound by R. Westbrook
2:50.0,,,13-23,2,J. Grant makes 2-pt shot from 1 ft (assist by R. Westbrook)
2:31.0,M. Morris misses 2-pt shot from 17 ft,,13-23,,
2:27.0,,,13-23,,Defensive rebound by P. George
2:19.0,,,13-25,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
2:02.0,J. Brown misses 3-pt shot from 22 ft,,13-25,,
1:59.0,,,13-25,,Defensive rebound by S. Adams
1:49.0,,,13-28,3,R. Westbrook makes 3-pt shot from 26 ft (assist by S. Adams)
1:31.0,A. Horford makes 3-pt shot from 25 ft (assist by M. Smart),3,16-28,,
1:18.0,,,16-28,,P. George misses 3-pt shot from 25 ft
1:14.0,Defensive rebound by M. Morris,,16-28,,
1:00.0,T. Rozier makes 2-pt shot from 15 ft,2,18-28,,
0:48.0,,,18-31,3,J. Grant makes 3-pt shot from 25 ft (assist by R. Westbrook)
0:28.0,M. Morris misses 2-pt shot from 23 ft,,18-31,,
0:25.0,,,18-31,,Defensive rebound by S. Adams
0:06.0,,,18-31,,R. Westbrook misses 2-pt shot from 1 ft
0:05.0,,,18-31,,Offensive rebound by S. Adams
0:03.0,,,18-31,,S. Adams misses 2-pt shot from 1 ft
0:03.0,,,18-31,,Offensive rebound by R. Westbrook
0:02.0,,,18-31,,R. Westbrook misses 2-pt shot at rim
0:01.0,Defensive rebound by M. Morris,,18-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,M. Smart makes 2-pt shot from 6 ft (assist by M. Morris),2,20-31,,
11:25.0,,,20-31,,Shooting foul by M. Morris (drawn by C. Anthony)
11:25.0,,,20-32,1,C. Anthony makes free throw 1 of 2
11:25.0,,,20-33,1,C. Anthony makes free throw 2 of 2
11:15.0,M. Smart makes 3-pt shot from 24 ft,3,23-33,,
10:57.0,,,23-33,,A. Abrines misses 3-pt shot from 24 ft
10:55.0,Defensive rebound by D. Theis,,23-33,,
10:44.0,M. Morris makes 2-pt shot from 12 ft (assist by T. Rozier),2,25-33,,
10:22.0,,,25-33,,C. Anthony misses 2-pt shot from 16 ft
10:21.0,Defensive rebound by J. Tatum,,25-33,,
10:14.0,M. Smart misses 2-pt shot from 18 ft,,25-33,,
10:09.0,,,25-33,,Defensive rebound by C. Anthony
10:07.0,,,25-36,3,A. Abrines makes 3-pt shot from 24 ft (assist by C. Anthony)
9:48.0,J. Tatum misses 2-pt shot at rim,,25-36,,
9:46.0,,,25-36,,Defensive rebound by J. Grant
9:43.0,,,25-36,,A. Abrines misses 3-pt shot from 27 ft
9:40.0,Defensive rebound by T. Rozier,,25-36,,
9:25.0,D. Theis misses 2-pt shot from 1 ft (block by J. Grant),,25-36,,
9:22.0,,,25-36,,Defensive rebound by R. Felton
9:13.0,,,25-36,,Turnover by J. Grant (traveling)
9:13.0,,,25-36,,T. Ferguson enters the game for A. Abrines
8:58.0,Turnover by M. Morris (lost ball; steal by R. Felton),,25-36,,
8:45.0,,,25-38,2,C. Anthony makes 2-pt shot from 16 ft
8:24.0,T. Rozier makes 2-pt shot from 1 ft,2,27-38,,
8:21.0,,,27-38,,Oklahoma City full timeout
8:21.0,K. Irving enters the game for M. Morris,,27-38,,
8:09.0,,,27-38,,R. Felton misses 2-pt shot from 10 ft
8:06.0,Defensive rebound by M. Smart,,27-38,,
7:54.0,Offensive foul by D. Theis (drawn by P. Patterson),,27-38,,
7:54.0,Turnover by D. Theis (offensive foul),,27-38,,
7:54.0,,,27-38,,R. Westbrook enters the game for J. Grant
7:43.0,,,27-38,,Shooting foul by D. Theis (drawn by R. Westbrook)
7:43.0,,,27-39,1,R. Westbrook makes free throw 1 of 2
7:43.0,,,27-40,1,R. Westbrook makes free throw 2 of 2
7:26.0,,,27-40,,Personal foul by T. Ferguson (drawn by M. Smart)
7:26.0,,,27-40,,P. George enters the game for T. Ferguson
7:23.0,,,27-40,,Personal foul by P. Patterson (drawn by K. Irving)
7:11.0,T. Rozier misses 3-pt shot from 24 ft,,27-40,,
7:08.0,,,27-40,,Defensive rebound by R. Westbrook
7:03.0,,,27-40,,Offensive foul by R. Westbrook (drawn by D. Theis)
7:03.0,,,27-40,,Turnover by R. Westbrook (offensive foul)
6:42.0,K. Irving misses 2-pt shot from 4 ft,,27-40,,
6:40.0,,,27-40,,Defensive rebound by C. Anthony
6:36.0,,,27-40,,P. Patterson misses 3-pt shot from 25 ft
6:32.0,Defensive rebound by T. Rozier,,27-40,,
6:22.0,M. Smart misses 2-pt shot from 8 ft (block by C. Anthony),,27-40,,
6:19.0,Offensive rebound by J. Tatum,,27-40,,
6:17.0,M. Smart misses 3-pt shot from 26 ft,,27-40,,
6:15.0,Offensive rebound by J. Tatum,,27-40,,
6:15.0,Shooting foul by C. Anthony (drawn by J. Tatum),,27-40,,
6:15.0,J. Tatum makes free throw 1 of 2,1,28-40,,
6:15.0,S. Ojeleye enters the game for M. Smart,,28-40,,
6:15.0,J. Tatum makes free throw 2 of 2,1,29-40,,
6:05.0,,,29-42,2,R. Westbrook makes 2-pt shot from 1 ft
5:47.0,J. Tatum makes 3-pt shot from 25 ft (assist by T. Rozier),3,32-42,,
5:27.0,,,32-45,3,P. Patterson makes 3-pt shot from 22 ft (assist by R. Felton)
5:05.0,J. Tatum makes 2-pt shot from 1 ft,2,34-45,,
4:55.0,,,34-45,,C. Anthony misses 3-pt shot from 25 ft
4:52.0,Defensive rebound by S. Ojeleye,,34-45,,
4:45.0,J. Tatum misses 2-pt shot from 12 ft,,34-45,,
4:43.0,,,34-45,,Defensive rebound by C. Anthony
4:37.0,,,34-48,3,P. Patterson makes 3-pt shot from 25 ft (assist by R. Westbrook)
4:32.0,Boston full timeout,,34-48,,
4:32.0,,,34-48,,S. Adams enters the game for P. Patterson
4:32.0,A. Baynes enters the game for T. Rozier,,34-48,,
4:32.0,A. Horford enters the game for D. Theis,,34-48,,
4:32.0,,,34-48,,A. Roberson enters the game for C. Anthony
4:32.0,,,34-48,,J. Grant enters the game for R. Felton
4:23.0,Offensive foul by A. Horford (drawn by A. Roberson),,34-48,,
4:23.0,Turnover by A. Horford (offensive foul),,34-48,,
4:11.0,,,34-48,,P. George misses 2-pt shot from 6 ft
4:07.0,,,34-48,,Offensive rebound by S. Adams
3:58.0,,,34-50,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
3:33.0,J. Tatum misses 2-pt shot from 1 ft,,34-50,,
3:31.0,,,34-50,,Defensive rebound by S. Adams
3:12.0,,,34-52,2,J. Grant makes 2-pt shot at rim
2:47.0,A. Baynes misses 2-pt shot from 10 ft,,34-52,,
2:44.0,,,34-52,,Defensive rebound by P. George
2:43.0,,,34-52,,P. George misses 3-pt shot from 25 ft
2:37.0,Defensive rebound by K. Irving,,34-52,,
2:21.0,,,34-52,,Personal foul by P. George (drawn by K. Irving)
2:21.0,M. Smart enters the game for J. Tatum,,34-52,,
2:21.0,J. Brown enters the game for S. Ojeleye,,34-52,,
2:14.0,Turnover by M. Smart (lost ball; steal by R. Westbrook),,34-52,,
2:09.0,,,34-52,,A. Roberson misses 2-pt shot at rim
2:04.0,Defensive rebound by A. Horford,,34-52,,
2:02.0,K. Irving makes 3-pt shot from 24 ft (assist by M. Smart),3,37-52,,
1:48.0,,,37-52,,P. George misses 3-pt shot from 25 ft
1:48.0,Defensive rebound by K. Irving,,37-52,,
1:41.0,K. Irving misses 3-pt shot from 25 ft,,37-52,,
1:41.0,,,37-52,,Defensive rebound by R. Westbrook
1:32.0,Personal foul by M. Smart (drawn by S. Adams),,37-52,,
1:32.0,,,37-52,,C. Anthony enters the game for J. Grant
1:20.0,,,37-52,,P. George misses 2-pt shot from 15 ft
1:14.0,Defensive rebound by J. Brown,,37-52,,
1:04.0,K. Irving misses 2-pt shot from 1 ft,,37-52,,
1:01.0,A. Baynes misses 2-pt shot at rim,,37-52,,
1:00.0,Offensive rebound by J. Brown,,37-52,,
0:59.0,,,37-52,,Defensive rebound by C. Anthony
0:45.0,,,37-52,,Turnover by C. Anthony (traveling)
0:29.0,M. Smart misses 2-pt shot from 1 ft (block by S. Adams),,37-52,,
0:25.0,,,37-52,,Defensive rebound by S. Adams
0:23.0,,,37-55,3,R. Westbrook makes 3-pt shot from 26 ft (assist by C. Anthony)
0:00.0,K. Irving misses 2-pt shot from 1 ft (block by A. Roberson),,37-55,,
0:00.0,Offensive rebound by Team,,37-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,A. Horford misses 2-pt shot from 9 ft,,37-55,,
11:37.0,,,37-55,,Defensive rebound by C. Anthony
11:24.0,,,37-55,,S. Adams misses 2-pt shot from 3 ft
11:16.0,,,37-55,,Offensive rebound by C. Anthony
11:11.0,,,37-55,,Turnover by R. Westbrook (bad pass; steal by J. Brown)
11:07.0,K. Irving misses 2-pt shot at rim,,37-55,,
11:04.0,,,37-55,,Defensive rebound by A. Roberson
11:00.0,,,37-55,,R. Westbrook misses 2-pt shot at rim
10:58.0,Defensive rebound by J. Brown,,37-55,,
10:54.0,Shooting foul by C. Anthony (drawn by M. Morris),,37-55,,
10:54.0,M. Morris makes free throw 1 of 2,1,38-55,,
10:54.0,M. Morris makes free throw 2 of 2,1,39-55,,
10:36.0,,,39-55,,C. Anthony misses 2-pt shot from 7 ft
10:33.0,,,39-55,,Offensive rebound by A. Roberson
10:31.0,,,39-55,,P. George misses 3-pt shot from 24 ft
10:29.0,Defensive rebound by M. Morris,,39-55,,
10:06.0,A. Horford makes 2-pt shot at rim,2,41-55,,
9:58.0,,,41-58,3,P. George makes 3-pt shot from 24 ft
9:54.0,Boston full timeout,,41-58,,
9:45.0,M. Morris makes 2-pt shot from 12 ft (assist by K. Irving),2,43-58,,
9:25.0,,,43-60,2,R. Westbrook makes 2-pt shot from 15 ft
9:15.0,A. Horford makes 2-pt shot from 1 ft (assist by J. Tatum),2,45-60,,
8:56.0,,,45-60,,Turnover by P. George (lost ball; steal by M. Morris)
8:53.0,M. Morris makes 2-pt shot at rim (assist by K. Irving),2,47-60,,
8:53.0,Shooting foul by R. Westbrook (drawn by M. Morris),,47-60,,
