time,New York,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Davis vs. K. Porzingis (E. Kanter gains possession),,,,Jump ball: D. Davis vs. K. Porzingis (E. Kanter gains possession)
11:43.0,C. Lee misses 3-pt shot from 25 ft,,0-0,,
11:41.0,Offensive rebound by E. Kanter,,0-0,,
11:39.0,E. Kanter makes 2-pt shot at rim,2,2-0,,
11:20.0,,,2-2,2,D. Brooks makes 2-pt shot from 1 ft (assist by T. Evans)
11:09.0,J. Jack misses 3-pt shot from 26 ft,,2-2,,
11:06.0,,,2-2,,Defensive rebound by J. Green
10:58.0,,,2-2,,T. Evans misses 3-pt shot from 25 ft
10:56.0,Defensive rebound by E. Kanter,,2-2,,
10:45.0,E. Kanter makes 2-pt shot from 16 ft (assist by J. Jack),2,4-2,,
10:30.0,,,4-4,2,D. Brooks makes 2-pt shot from 21 ft (assist by T. Evans)
10:06.0,E. Kanter makes 2-pt shot from 8 ft (assist by L. Thomas),2,6-4,,
9:53.0,,,6-6,2,A. Harrison makes 2-pt shot from 22 ft
9:42.0,K. Porzingis misses 3-pt shot from 25 ft,,6-6,,
9:40.0,,,6-6,,Defensive rebound by D. Davis
9:35.0,,,6-6,,T. Evans misses 2-pt shot from 1 ft (block by K. Porzingis)
9:31.0,Defensive rebound by K. Porzingis,,6-6,,
9:20.0,E. Kanter misses 2-pt shot from 6 ft,,6-6,,
9:15.0,,,6-6,,Defensive rebound by J. Green
8:58.0,,,6-8,2,J. Green makes 2-pt shot at rim (assist by T. Evans)
8:43.0,C. Lee makes 2-pt shot from 16 ft (assist by J. Jack),2,8-8,,
8:30.0,,,8-8,,D. Brooks misses 3-pt shot from 25 ft
8:28.0,,,8-8,,Offensive rebound by J. Green
8:22.0,,,8-10,2,D. Davis makes 2-pt shot at rim (assist by D. Brooks)
8:00.0,K. Porzingis misses 2-pt shot from 12 ft,,8-10,,
7:57.0,,,8-10,,Defensive rebound by T. Evans
7:54.0,,,8-12,2,T. Evans makes 2-pt shot from 1 ft
7:40.0,E. Kanter makes 2-pt shot from 1 ft (assist by J. Jack),2,10-12,,
7:29.0,,,10-15,3,T. Evans makes 3-pt shot from 25 ft
7:14.0,K. Porzingis makes 2-pt shot at rim (assist by L. Thomas),2,12-15,,
7:00.0,,,12-15,,J. Green misses 3-pt shot from 25 ft
6:58.0,Defensive rebound by E. Kanter,,12-15,,
6:54.0,,,12-15,,Personal foul by J. Green (drawn by K. Porzingis)
6:54.0,,,12-15,,Memphis full timeout
6:54.0,,,12-15,,J. Martin enters the game for J. Green
6:54.0,,,12-15,,M. Chalmers enters the game for A. Harrison
6:40.0,,,12-15,,Personal foul by D. Brooks (drawn by J. Jack)
6:34.0,K. Porzingis misses 3-pt shot from 25 ft,,12-15,,
6:31.0,,,12-15,,Defensive rebound by M. Chalmers
6:15.0,,,12-15,,M. Chalmers misses 3-pt shot from 23 ft
6:11.0,Defensive rebound by E. Kanter,,12-15,,
6:00.0,C. Lee makes 2-pt shot from 14 ft,2,14-15,,
5:44.0,,,14-15,,Turnover by T. Evans (bad pass; steal by K. Porzingis)
