time,Orlando,pts.away,score,pts.home,LA Clippers
0:56.0,W. Iwundu misses 2-pt shot from 8 ft,,25-25,,
0:53.0,,,25-25,,Defensive rebound by D. Jordan
0:41.0,,,25-25,,Shooting foul by K. Birch (drawn by T. Harris)
0:41.0,,,25-26,1,T. Harris makes free throw 1 of 2
0:41.0,,,25-26,,M. Harrell enters the game for D. Jordan
0:41.0,,,25-27,1,T. Harris makes free throw 2 of 2
0:30.0,J. Simmons misses 2-pt shot from 1 ft,,25-27,,
0:27.0,,,25-27,,Defensive rebound by W. Johnson
0:23.0,,,25-30,3,J. Evans makes 3-pt shot from 22 ft (assist by M. Teodosic)
0:01.0,K. Birch makes 2-pt shot from 15 ft (assist by J. Simmons),2,27-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,S. Mack misses 2-pt shot from 6 ft,,27-30,,
11:39.0,Offensive rebound by Team,,27-30,,
11:25.0,S. Mack makes 2-pt shot from 14 ft,2,29-30,,
11:11.0,Personal foul by W. Iwundu (drawn by M. Teodosic),,29-30,,
11:07.0,,,29-32,2,J. Evans makes 2-pt shot from 11 ft
10:57.0,B. Biyombo makes 2-pt shot from 18 ft (assist by S. Mack),2,31-32,,
10:46.0,,,31-32,,Offensive charge foul by M. Harrell (drawn by K. Birch)
10:46.0,,,31-32,,Turnover by M. Harrell (offensive foul)
10:23.0,S. Mack makes 3-pt shot from 25 ft,3,34-32,,
10:06.0,Personal foul by K. Birch (drawn by M. Harrell),,34-32,,
9:59.0,,,34-34,2,B. Marjanovic makes 2-pt shot at rim (assist by M. Teodosic)
9:36.0,Turnover by K. Birch (bad pass; steal by B. Marjanovic),,34-34,,
9:32.0,,,34-34,,Shooting foul by R. Purvis (drawn by M. Harrell)
9:32.0,,,34-35,1,M. Harrell makes free throw 1 of 2
9:32.0,,,34-36,1,M. Harrell makes free throw 2 of 2
9:19.0,B. Biyombo makes 2-pt shot at rim (assist by S. Mack),2,36-36,,
8:59.0,,,36-38,2,M. Harrell makes 2-pt shot from 2 ft
8:53.0,Shooting foul by J. Evans (drawn by S. Mack),,36-38,,
8:53.0,S. Mack misses free throw 1 of 2,,36-38,,
8:53.0,Offensive rebound by Team,,36-38,,
8:53.0,S. Mack makes free throw 2 of 2,1,37-38,,
8:41.0,,,37-38,,Turnover by W. Johnson (bad pass; steal by K. Birch)
8:36.0,S. Mack makes 2-pt shot from 1 ft (assist by R. Purvis),2,39-38,,
8:19.0,,,39-38,,M. Teodosic misses 2-pt shot from 17 ft
8:18.0,Defensive rebound by K. Birch,,39-38,,
8:04.0,W. Iwundu misses 2-pt shot from 22 ft,,39-38,,
7:59.0,,,39-38,,Defensive rebound by W. Johnson
7:52.0,,,39-38,,B. Marjanovic misses 2-pt shot from 15 ft
7:48.0,Defensive rebound by B. Biyombo,,39-38,,
7:39.0,S. Mack misses 3-pt shot from 25 ft,,39-38,,
7:39.0,,,39-38,,Defensive rebound by Team
7:39.0,,,39-38,,L. Williams enters the game for W. Johnson
7:21.0,,,39-38,,M. Harrell misses 2-pt shot from 1 ft
7:21.0,Defensive rebound by Team,,39-38,,
7:21.0,,,39-38,,D. Jordan enters the game for B. Marjanovic
7:05.0,W. Iwundu misses 2-pt shot from 6 ft,,39-38,,
7:05.0,Offensive rebound by K. Birch,,39-38,,
6:59.0,Turnover by B. Biyombo (lost ball; steal by M. Harrell),,39-38,,
6:53.0,,,39-40,2,M. Harrell makes 2-pt shot at rim
6:40.0,,,39-40,,Def 3 sec tech foul by D. Jordan
6:40.0,,,39-40,,LA Clippers full timeout
6:40.0,,,39-40,,Technical foul by M. Harrell
6:40.0,,,39-40,,A. Rivers enters the game for J. Evans
6:40.0,,,39-40,,T. Harris enters the game for M. Harrell
6:40.0,D. Augustin enters the game for S. Mack,,39-40,,
6:40.0,R. Purvis makes technical free throw,1,40-40,,
6:40.0,R. Purvis makes technical free throw,1,41-40,,
6:30.0,R. Purvis makes 2-pt shot from 20 ft,2,43-40,,
6:08.0,,,43-43,3,T. Harris makes 3-pt shot from 25 ft (assist by M. Teodosic)
5:53.0,R. Purvis makes 2-pt shot from 19 ft (assist by D. Augustin),2,45-43,,
5:42.0,,,45-45,2,M. Teodosic makes 2-pt shot from 2 ft
5:20.0,Turnover by B. Biyombo (bad pass),,45-45,,
5:20.0,J. Isaac enters the game for K. Birch,,45-45,,
4:58.0,,,45-45,,D. Jordan misses 2-pt shot from 2 ft
4:52.0,Defensive rebound by W. Iwundu,,45-45,,
4:40.0,J. Isaac misses 3-pt shot from 22 ft,,45-45,,
4:37.0,,,45-45,,Defensive rebound by A. Rivers
4:35.0,,,45-47,2,M. Teodosic makes 2-pt shot from 1 ft (assist by A. Rivers)
4:27.0,D. Augustin misses 3-pt shot from 26 ft,,45-47,,
4:24.0,,,45-47,,Defensive rebound by T. Harris
4:17.0,,,45-49,2,T. Harris makes 2-pt shot from 1 ft
4:17.0,Orlando full timeout,,45-49,,
4:17.0,M. Hezonja enters the game for B. Biyombo,,45-49,,
4:17.0,N. Vucevic enters the game for W. Iwundu,,45-49,,
3:58.0,N. Vucevic misses 2-pt shot from 20 ft,,45-49,,
3:54.0,,,45-49,,Defensive rebound by D. Jordan
3:49.0,,,45-49,,L. Williams misses 2-pt shot from 18 ft
3:49.0,Defensive rebound by Team,,45-49,,
3:49.0,,,45-49,,Loose ball foul by D. Jordan (drawn by N. Vucevic)
3:34.0,J. Isaac misses 2-pt shot from 18 ft,,45-49,,
3:31.0,,,45-49,,Defensive rebound by M. Teodosic
3:26.0,,,45-49,,Shooting foul by M. Hezonja (drawn by D. Jordan)
3:26.0,,,45-50,1,D. Jordan makes free throw 1 of 2
3:26.0,J. Simmons enters the game for R. Purvis,,45-50,,
3:26.0,,,45-51,1,D. Jordan makes free throw 2 of 2
3:16.0,Turnover by J. Simmons (bad pass),,45-51,,
3:13.0,,,45-51,,Turnover by M. Teodosic (bad pass; steal by N. Vucevic)
2:55.0,N. Vucevic misses 2-pt shot from 9 ft,,45-51,,
2:51.0,,,45-51,,Defensive rebound by D. Jordan
2:32.0,,,45-51,,M. Teodosic misses 3-pt shot from 25 ft
2:28.0,Defensive rebound by D. Augustin,,45-51,,
2:22.0,N. Vucevic makes 2-pt shot from 19 ft,2,47-51,,
2:14.0,Personal foul by J. Simmons (drawn by L. Williams),,47-51,,
2:14.0,,,47-52,1,L. Williams makes free throw 1 of 2
2:14.0,,,47-52,,L. Williams misses free throw 2 of 2
2:12.0,Defensive rebound by N. Vucevic,,47-52,,
2:04.0,D. Augustin makes 2-pt shot from 1 ft,2,49-52,,
1:52.0,,,49-52,,L. Williams misses 2-pt shot from 10 ft
1:51.0,Defensive rebound by Team,,49-52,,
1:51.0,,,49-52,,J. Evans enters the game for M. Teodosic
1:37.0,D. Augustin makes 2-pt shot from 5 ft,2,51-52,,
1:26.0,,,51-54,2,L. Williams makes 2-pt shot from 13 ft
1:22.0,Orlando full timeout,,51-54,,
