time,Orlando,pts.away,score,pts.home,LA Clippers
3:46.0,,,97-108,2,T. Harris makes 2-pt shot from 10 ft (assist by M. Teodosic)
3:27.0,J. Simmons misses 2-pt shot from 3 ft,,97-108,,
3:24.0,,,97-108,,Defensive rebound by T. Harris
3:24.0,,,97-108,,Shooting foul by B. Biyombo (drawn by D. Jordan)
3:24.0,,,97-108,,D. Jordan misses free throw 1 of 2
3:24.0,,,97-108,,Offensive rebound by Team
3:24.0,,,97-109,1,D. Jordan makes free throw 2 of 2
3:06.0,J. Simmons misses 2-pt shot from 4 ft,,97-109,,
3:06.0,Offensive rebound by Team,,97-109,,
3:03.0,D. Augustin misses 3-pt shot from 22 ft,,97-109,,
3:00.0,Offensive rebound by J. Isaac,,97-109,,
2:55.0,J. Simmons makes 3-pt shot from 25 ft,3,100-109,,
2:32.0,,,100-109,,T. Harris misses 2-pt shot from 1 ft (block by J. Isaac)
2:30.0,,,100-109,,Offensive rebound by D. Jordan
2:29.0,,,100-111,2,D. Jordan makes 2-pt shot at rim
2:18.0,J. Simmons makes 2-pt shot from 18 ft,2,102-111,,
1:50.0,,,102-111,,L. Williams misses 2-pt shot from 2 ft
1:47.0,Defensive rebound by J. Isaac,,102-111,,
1:26.0,S. Mack makes 3-pt shot from 27 ft,3,105-111,,
1:16.0,,,105-111,,Shooting foul by S. Mack (drawn by M. Teodosic)
1:16.0,,,105-112,1,M. Teodosic makes free throw 1 of 2
1:16.0,,,105-112,,S. Thornwell enters the game for L. Williams
1:16.0,N. Vucevic enters the game for B. Biyombo,,105-112,,
1:16.0,,,105-113,1,M. Teodosic makes free throw 2 of 2
1:06.0,D. Augustin misses 3-pt shot from 25 ft,,105-113,,
1:05.0,,,105-113,,Defensive rebound by T. Harris
1:05.0,,,105-113,,LA Clippers full timeout
1:05.0,,,105-113,,L. Williams enters the game for S. Thornwell
0:55.0,,,105-113,,L. Williams misses 2-pt shot from 13 ft
0:51.0,Defensive rebound by J. Isaac,,105-113,,
0:42.0,J. Isaac misses 2-pt shot from 10 ft,,105-113,,
0:39.0,,,105-113,,Defensive rebound by T. Harris
0:20.0,,,105-113,,M. Teodosic misses 3-pt shot from 25 ft
0:17.0,,,105-113,,Offensive rebound by T. Harris
