time,Washington,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Zeller vs. M. Gortat (M. Morris gains possession),,,,Jump ball: T. Zeller vs. M. Gortat (M. Morris gains possession)
11:48.0,J. Wall misses 2-pt shot from 19 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by R. Hollis-Jefferson
11:22.0,,,0-0,,Turnover by Team (shot clock)
11:11.0,M. Gortat misses 2-pt shot from 9 ft,,0-0,,
11:08.0,,,0-0,,Defensive rebound by R. Hollis-Jefferson
11:02.0,,,0-2,2,D. Carroll makes 2-pt shot from 1 ft (assist by R. Hollis-Jefferson)
10:49.0,B. Beal misses 2-pt shot from 10 ft,,0-2,,
10:47.0,,,0-2,,Defensive rebound by R. Hollis-Jefferson
10:43.0,,,0-5,3,D. Carroll makes 3-pt shot from 22 ft (assist by R. Hollis-Jefferson)
10:22.0,M. Morris makes 2-pt shot from 8 ft,2,2-5,,
10:10.0,,,2-7,2,A. Crabbe makes 2-pt shot from 3 ft (assist by D. Carroll)
9:55.0,M. Morris misses 2-pt shot from 10 ft,,2-7,,
9:52.0,,,2-7,,Defensive rebound by S. Dinwiddie
9:46.0,,,2-7,,A. Crabbe misses 3-pt shot from 26 ft
9:42.0,Defensive rebound by M. Gortat,,2-7,,
9:30.0,J. Wall makes 2-pt shot from 16 ft,2,4-7,,
9:06.0,,,4-9,2,R. Hollis-Jefferson makes 2-pt shot from 15 ft (assist by S. Dinwiddie)
8:39.0,B. Beal misses 2-pt shot from 6 ft,,4-9,,
8:33.0,Offensive rebound by M. Morris,,4-9,,
8:33.0,M. Morris misses 2-pt shot at rim,,4-9,,
8:32.0,,,4-9,,Defensive rebound by R. Hollis-Jefferson
8:32.0,,,4-9,,Turnover by R. Hollis-Jefferson (out of bounds lost ball)
8:14.0,M. Morris misses 2-pt shot from 13 ft,,4-9,,
8:11.0,,,4-9,,Defensive rebound by T. Zeller
8:07.0,,,4-9,,Turnover by R. Hollis-Jefferson (lost ball; steal by M. Morris)
8:03.0,Jump ball: S. Dinwiddie vs. B. Beal (T. Zeller gains possession),,,,Jump ball: S. Dinwiddie vs. B. Beal (T. Zeller gains possession)
8:03.0,Turnover by B. Beal (turnover; steal by S. Dinwiddie),,4-9,,
7:48.0,,,4-11,2,R. Hollis-Jefferson makes 2-pt shot from 12 ft
7:33.0,J. Wall makes 2-pt shot from 8 ft,2,6-11,,
7:26.0,,,6-14,3,D. Carroll makes 3-pt shot from 25 ft (assist by S. Dinwiddie)
7:09.0,Turnover by O. Porter (bad pass; steal by D. Carroll),,6-14,,
7:04.0,,,6-14,,A. Crabbe misses 3-pt shot from 22 ft
7:01.0,,,6-14,,Offensive rebound by T. Zeller
6:59.0,,,6-14,,T. Zeller misses 2-pt shot from 10 ft
6:59.0,,,6-14,,Offensive rebound by R. Hollis-Jefferson
6:56.0,,,6-14,,R. Hollis-Jefferson misses 2-pt shot at rim
6:54.0,Defensive rebound by M. Morris,,6-14,,
6:50.0,J. Wall misses 2-pt shot from 17 ft (block by S. Dinwiddie),,6-14,,
6:41.0,Offensive rebound by J. Wall,,6-14,,
6:38.0,J. Wall makes 3-pt shot from 25 ft,3,9-14,,
6:26.0,,,9-14,,D. Carroll misses 3-pt shot from 25 ft
6:26.0,Defensive rebound by M. Gortat,,9-14,,
6:15.0,J. Wall misses 2-pt shot from 19 ft,,9-14,,
6:11.0,,,9-14,,Defensive rebound by A. Crabbe
