time,Cleveland,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. T. Thompson (K. Irving gains possession),,,,Jump ball: A. Horford vs. T. Thompson (K. Irving gains possession)
11:45.0,,,0-2,2,K. Irving makes 2-pt shot from 1 ft (assist by A. Horford)
11:28.0,T. Thompson makes 2-pt shot from 6 ft (assist by L. James),2,2-2,,
11:15.0,Personal foul by G. Hill (drawn by A. Horford),,2-2,,
11:07.0,,,2-2,,J. Brown misses 2-pt shot from 9 ft
11:04.0,Defensive rebound by L. James,,2-2,,
11:00.0,J. Smith makes 3-pt shot from 22 ft (assist by L. James),3,5-2,,
10:45.0,,,5-2,,J. Tatum misses 2-pt shot from 20 ft
10:40.0,,,5-2,,Offensive rebound by M. Morris
10:39.0,,,5-4,2,M. Morris makes 2-pt shot at rim
10:21.0,L. James misses 3-pt shot from 29 ft,,5-4,,
10:18.0,,,5-4,,Defensive rebound by A. Horford
10:10.0,,,5-6,2,J. Tatum makes 2-pt shot from 20 ft (assist by A. Horford)
9:47.0,L. James misses 2-pt shot from 18 ft,,5-6,,
9:45.0,,,5-6,,Defensive rebound by J. Brown
9:35.0,,,5-8,2,K. Irving makes 2-pt shot from 16 ft
9:13.0,Shooting foul by M. Morris (drawn by L. James),,5-8,,
9:13.0,L. James makes free throw 1 of 2,1,6-8,,
9:13.0,L. James makes free throw 2 of 2,1,7-8,,
9:02.0,,,7-10,2,A. Horford makes 2-pt shot from 11 ft (assist by K. Irving)
8:49.0,Shooting foul by J. Tatum (drawn by C. Osman),,7-10,,
8:49.0,C. Osman makes free throw 1 of 2,1,8-10,,
8:49.0,C. Osman misses free throw 2 of 2,,8-10,,
8:49.0,,,8-10,,Defensive rebound by J. Brown
8:35.0,,,8-10,,M. Morris misses 2-pt shot from 1 ft (block by T. Thompson)
8:32.0,Defensive rebound by T. Thompson,,8-10,,
8:29.0,Shooting foul by J. Brown (drawn by G. Hill),,8-10,,
8:29.0,G. Hill makes free throw 1 of 2,1,9-10,,
8:29.0,G. Hill makes free throw 2 of 2,1,10-10,,
8:16.0,,,10-12,2,K. Irving makes 2-pt shot from 15 ft (assist by J. Brown)
7:52.0,L. James makes 2-pt shot from 1 ft,2,12-12,,
7:35.0,,,12-12,,J. Brown misses 2-pt shot from 1 ft
7:30.0,,,12-12,,Offensive rebound by J. Brown
7:23.0,,,12-12,,M. Morris misses 3-pt shot from 26 ft
7:20.0,Defensive rebound by C. Osman,,12-12,,
7:13.0,C. Osman misses 2-pt shot from 4 ft,,12-12,,
7:10.0,Offensive rebound by T. Thompson,,12-12,,
7:01.0,G. Hill misses 2-pt shot from 19 ft,,12-12,,
6:58.0,,,12-12,,Defensive rebound by A. Horford
6:51.0,,,12-12,,J. Tatum misses 2-pt shot from 1 ft (block by J. Smith)
6:49.0,Defensive rebound by C. Osman,,12-12,,
6:47.0,L. James misses 2-pt shot from 4 ft (block by A. Horford),,12-12,,
6:47.0,Offensive rebound by Team,,12-12,,
6:47.0,,,12-12,,Boston full timeout
6:47.0,,,12-12,,T. Rozier enters the game for J. Tatum
6:47.0,,,12-12,,S. Ojeleye enters the game for J. Brown
6:47.0,,,12-12,,A. Baynes enters the game for A. Horford
6:41.0,J. Smith makes 2-pt shot at rim (assist by L. James),2,14-12,,
6:28.0,,,14-15,3,M. Morris makes 3-pt shot from 26 ft (assist by K. Irving)
6:21.0,Offensive charge foul by G. Hill (drawn by K. Irving),,14-15,,
6:21.0,Turnover by G. Hill (offensive foul),,14-15,,
6:10.0,,,14-15,,K. Irving misses 3-pt shot from 26 ft
6:08.0,Defensive rebound by Team,,14-15,,
6:08.0,,,14-15,,Loose ball foul by A. Baynes (drawn by T. Thompson)
5:59.0,Shooting foul by T. Rozier (drawn by G. Hill),,14-15,,
5:59.0,G. Hill makes free throw 1 of 2,1,15-15,,
5:59.0,G. Hill makes free throw 2 of 2,1,16-15,,
5:43.0,,,16-15,,M. Morris misses 3-pt shot from 26 ft
5:39.0,Defensive rebound by L. James,,16-15,,
5:35.0,J. Clarkson enters the game for G. Hill,,16-15,,
5:29.0,C. Osman makes 2-pt shot from 19 ft,2,18-15,,
5:16.0,,,18-18,3,K. Irving makes 3-pt shot from 27 ft
5:04.0,Offensive charge foul by L. James (drawn by A. Baynes),,18-18,,
5:04.0,Turnover by L. James (offensive foul),,18-18,,
5:04.0,J. Green enters the game for L. James,,18-18,,
4:58.0,,,18-18,,K. Irving misses 3-pt shot from 25 ft
4:54.0,Defensive rebound by J. Smith,,18-18,,
4:49.0,J. Smith makes 2-pt shot from 1 ft,2,20-18,,
4:49.0,,,20-18,,Violation by A. Baynes (def goaltending)
4:32.0,,,20-18,,T. Rozier misses 2-pt shot from 18 ft
4:28.0,Defensive rebound by J. Green,,20-18,,
4:23.0,J. Green misses 2-pt shot from 2 ft,,20-18,,
4:22.0,Offensive rebound by J. Green,,20-18,,
4:22.0,J. Green makes 2-pt shot from 2 ft,2,22-18,,
4:09.0,Personal foul by C. Osman (drawn by K. Irving),,22-18,,
3:56.0,,,22-18,,S. Ojeleye misses 3-pt shot from 24 ft (block by J. Smith)
3:55.0,,,22-18,,Offensive rebound by Team
3:55.0,,,22-18,,Turnover by Team (shot clock)
3:43.0,J. Clarkson misses 2-pt shot from 19 ft,,22-18,,
3:41.0,,,22-18,,Defensive rebound by S. Ojeleye
3:22.0,,,22-18,,A. Baynes misses 2-pt shot from 7 ft
3:22.0,Defensive rebound by J. Smith,,22-18,,
3:14.0,Turnover by J. Smith (out of bounds lost ball),,22-18,,
2:59.0,,,22-20,2,T. Rozier makes 2-pt shot from 6 ft
2:38.0,C. Osman misses 2-pt shot from 2 ft,,22-20,,
2:36.0,,,22-20,,Defensive rebound by A. Baynes
2:33.0,,,22-23,3,M. Morris makes 3-pt shot from 26 ft (assist by T. Rozier)
2:32.0,Cleveland full timeout,,22-23,,
2:32.0,,,22-23,,J. Tatum enters the game for K. Irving
2:32.0,,,22-23,,J. Brown enters the game for M. Morris
2:32.0,,,22-23,,A. Horford enters the game for A. Baynes
2:32.0,R. Hood enters the game for J. Smith,,22-23,,
2:32.0,L. Nance enters the game for T. Thompson,,22-23,,
2:32.0,K. Korver enters the game for C. Osman,,22-23,,
2:19.0,L. Nance misses 2-pt shot from 19 ft,,22-23,,
2:18.0,Offensive rebound by J. Green,,22-23,,
2:18.0,J. Green makes 2-pt shot at rim,2,24-23,,
2:03.0,,,24-23,,Shooting foul by K. Korver (drawn by S. Ojeleye)
2:03.0,,,24-24,1,S. Ojeleye makes free throw 1 of 2
2:03.0,,,24-25,1,S. Ojeleye makes free throw 2 of 2
1:48.0,R. Hood misses 2-pt shot from 5 ft (block by A. Horford),,24-25,,
1:45.0,,,24-25,,Defensive rebound by A. Horford
1:35.0,,,24-28,3,J. Tatum makes 3-pt shot from 24 ft (assist by A. Horford)
1:13.0,J. Green makes 2-pt shot from 11 ft,2,26-28,,
1:00.0,,,26-28,,Shooting foul by J. Clarkson (drawn by T. Rozier)
1:00.0,,,26-29,1,T. Rozier makes free throw 1 of 3
1:00.0,,,26-29,,T. Rozier misses free throw 2 of 3
1:00.0,,,26-29,,Offensive rebound by Team
1:00.0,,,26-30,1,T. Rozier makes free throw 3 of 3
0:50.0,J. Clarkson makes 2-pt shot from 19 ft (assist by L. Nance),2,28-30,,
0:50.0,,,28-30,,Loose ball foul by S. Ojeleye (drawn by L. Nance)
