time,Atlanta,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. James vs. D. Dedmon (L. Babbitt gains possession),,,,Jump ball: L. James vs. D. Dedmon (L. Babbitt gains possession)
11:48.0,Turnover by D. Schroder (bad pass; steal by J. Smith),,0-0,,
11:25.0,,,0-3,3,J. Smith makes 3-pt shot from 23 ft
11:07.0,D. Dedmon makes 2-pt shot from 4 ft (assist by D. Schroder),2,2-3,,
10:57.0,Personal foul by D. Dedmon (drawn by K. Love),,2-3,,
10:49.0,,,2-3,,K. Love misses 3-pt shot from 25 ft
10:46.0,Defensive rebound by K. Bazemore,,2-3,,
10:24.0,Turnover by T. Waller-Prince (lost ball; steal by K. Love),,2-3,,
10:18.0,,,2-3,,D. Rose misses 2-pt shot from 1 ft
10:18.0,Defensive rebound by D. Dedmon,,2-3,,
10:18.0,Turnover by D. Dedmon (step out of bounds),,2-3,,
10:09.0,,,2-3,,D. Rose misses 2-pt shot from 7 ft
10:05.0,,,2-3,,Offensive rebound by D. Rose
10:04.0,,,2-5,2,D. Rose makes 2-pt shot from 1 ft
9:40.0,L. Babbitt makes 3-pt shot from 22 ft (assist by D. Schroder),3,5-5,,
9:21.0,,,5-5,,L. James misses 2-pt shot from 21 ft
9:19.0,Defensive rebound by D. Schroder,,5-5,,
9:15.0,L. Babbitt misses 3-pt shot from 27 ft,,5-5,,
9:11.0,Offensive rebound by K. Bazemore,,5-5,,
9:00.0,Shooting foul by J. Crowder (drawn by T. Waller-Prince),,5-5,,
9:00.0,T. Waller-Prince makes free throw 1 of 2,1,6-5,,
9:00.0,T. Waller-Prince makes free throw 2 of 2,1,7-5,,
8:38.0,,,7-5,,D. Rose misses 3-pt shot from 27 ft
8:37.0,Defensive rebound by K. Bazemore,,7-5,,
8:24.0,L. Babbitt makes 3-pt shot from 23 ft (assist by T. Waller-Prince),3,10-5,,
8:04.0,,,10-5,,L. James misses 3-pt shot from 25 ft
8:01.0,Defensive rebound by D. Dedmon,,10-5,,
7:54.0,D. Dedmon makes 2-pt shot at rim (assist by K. Bazemore),2,12-5,,
7:54.0,,,12-5,,Cleveland full timeout
7:35.0,,,12-5,,J. Crowder misses 3-pt shot from 25 ft
7:31.0,,,12-5,,Offensive rebound by L. James
7:29.0,,,12-5,,Shooting foul by D. Dedmon (drawn by K. Love)
7:29.0,,,12-6,1,K. Love makes free throw 1 of 2
7:29.0,,,12-7,1,K. Love makes free throw 2 of 2
7:18.0,,,12-7,,Violation by K. Love (kicked ball)
7:12.0,D. Dedmon makes 2-pt shot from 1 ft (assist by D. Schroder),2,14-7,,
6:53.0,,,14-7,,Shooting foul by K. Bazemore (drawn by D. Rose)
6:53.0,,,14-8,1,D. Rose makes free throw 1 of 2
6:53.0,,,14-9,1,D. Rose makes free throw 2 of 2
6:43.0,Shooting foul by K. Love (drawn by K. Bazemore),,14-9,,
6:43.0,K. Bazemore makes free throw 1 of 2,1,15-9,,
6:43.0,J. Collins enters the game for D. Dedmon,,15-9,,
6:43.0,K. Bazemore misses free throw 2 of 2,,15-9,,
6:41.0,Offensive rebound by Team,,15-9,,
6:35.0,T. Waller-Prince makes 3-pt shot from 23 ft (assist by D. Schroder),3,18-9,,
6:26.0,,,18-9,,Offensive foul by L. James (drawn by D. Schroder)
6:26.0,,,18-9,,Turnover by L. James (offensive foul)
6:17.0,J. Collins makes 2-pt shot from 1 ft (assist by D. Schroder),2,20-9,,
6:03.0,,,20-9,,L. James misses 2-pt shot from 11 ft
6:01.0,,,20-9,,Offensive rebound by K. Love
6:00.0,,,20-9,,K. Love misses 2-pt shot from 8 ft
6:00.0,,,20-9,,Offensive rebound by L. James
5:51.0,,,20-11,2,L. James makes 2-pt shot at rim
5:40.0,D. Schroder makes 2-pt shot from 15 ft,2,22-11,,
5:33.0,,,22-11,,Offensive charge foul by D. Rose (drawn by D. Schroder)
5:33.0,,,22-11,,Turnover by D. Rose (offensive foul)
5:25.0,J. Collins misses 2-pt shot from 9 ft,,22-11,,
5:22.0,Offensive rebound by J. Collins,,22-11,,
5:18.0,Offensive foul by J. Collins (drawn by J. Smith),,22-11,,
5:18.0,Turnover by J. Collins (offensive foul),,22-11,,
5:08.0,,,22-11,,J. Crowder misses 2-pt shot from 20 ft
5:03.0,Defensive rebound by K. Bazemore,,22-11,,
4:53.0,K. Bazemore makes 3-pt shot from 26 ft (assist by D. Schroder),3,25-11,,
