time,Milwaukee,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. J. Henson (B. Griffin gains possession),,,,Jump ball: A. Drummond vs. J. Henson (B. Griffin gains possession)
11:45.0,,,0-2,2,J. Ennis makes 2-pt shot from 1 ft (assist by B. Griffin)
11:22.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,0-2,,
11:19.0,,,0-2,,Defensive rebound by B. Griffin
11:13.0,,,0-2,,A. Drummond misses 2-pt shot from 8 ft
11:10.0,Defensive rebound by E. Bledsoe,,0-2,,
11:03.0,K. Middleton misses 2-pt shot from 20 ft,,0-2,,
11:00.0,,,0-2,,Defensive rebound by A. Drummond
10:52.0,,,0-2,,J. Ennis misses 3-pt shot from 26 ft
10:47.0,,,0-2,,Offensive rebound by A. Drummond
10:45.0,,,0-2,,I. Smith misses 2-pt shot from 7 ft
10:42.0,Defensive rebound by J. Henson,,0-2,,
10:35.0,J. Henson misses 2-pt shot from 18 ft,,0-2,,
10:31.0,,,0-2,,Defensive rebound by A. Drummond
10:22.0,,,0-2,,R. Bullock misses 2-pt shot from 5 ft
10:18.0,Defensive rebound by S. Brown,,0-2,,
10:07.0,Shooting foul by J. Ennis (drawn by K. Middleton),,0-2,,
10:07.0,K. Middleton makes free throw 1 of 2,1,1-2,,
10:07.0,K. Middleton makes free throw 2 of 2,1,2-2,,
9:57.0,,,2-4,2,R. Bullock makes 2-pt shot from 1 ft (assist by A. Drummond)
9:41.0,G. Antetokounmpo makes 2-pt shot from 3 ft,2,4-4,,
9:28.0,Personal foul by K. Middleton (drawn by J. Ennis),,4-4,,
9:21.0,Personal foul by S. Brown (drawn by B. Griffin),,4-4,,
9:14.0,,,4-4,,I. Smith misses 2-pt shot from 17 ft
9:12.0,,,4-4,,Offensive rebound by Team
9:10.0,,,4-4,,J. Ennis misses 2-pt shot from 1 ft
9:07.0,Defensive rebound by J. Henson,,4-4,,
8:49.0,E. Bledsoe makes 3-pt shot from 25 ft,3,7-4,,
8:30.0,,,7-4,,R. Bullock misses 2-pt shot from 5 ft
8:29.0,,,7-4,,Offensive rebound by A. Drummond
8:28.0,,,7-6,2,A. Drummond makes 2-pt shot from 1 ft
8:11.0,E. Bledsoe misses 2-pt shot from 7 ft,,7-6,,
8:09.0,,,7-6,,Defensive rebound by I. Smith
7:54.0,,,7-8,2,I. Smith makes 2-pt shot from 4 ft (assist by B. Griffin)
7:34.0,S. Brown misses 3-pt shot from 23 ft,,7-8,,
7:30.0,,,7-8,,Defensive rebound by J. Ennis
7:28.0,,,7-11,3,R. Bullock makes 3-pt shot from 27 ft
7:12.0,J. Henson misses 2-pt shot from 7 ft,,7-11,,
7:10.0,Offensive rebound by E. Bledsoe,,7-11,,
7:04.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,9-11,,
6:51.0,,,9-11,,B. Griffin misses 3-pt shot from 25 ft
6:47.0,Defensive rebound by J. Henson,,9-11,,
6:38.0,G. Antetokounmpo makes 2-pt shot at rim (assist by E. Bledsoe),2,11-11,,
6:11.0,,,11-11,,R. Bullock misses 3-pt shot from 25 ft
6:09.0,Defensive rebound by S. Brown,,11-11,,
6:02.0,,,11-11,,Violation by B. Griffin (kicked ball)
6:02.0,,,11-11,,Detroit full timeout
5:50.0,J. Henson makes 2-pt shot from 7 ft (assist by E. Bledsoe),2,13-11,,
5:24.0,,,13-11,,J. Ennis misses 2-pt shot from 9 ft
5:22.0,Defensive rebound by E. Bledsoe,,13-11,,
5:18.0,J. Henson makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,15-11,,
5:01.0,,,15-13,2,R. Bullock makes 2-pt shot from 3 ft (assist by B. Griffin)
4:53.0,K. Middleton makes 3-pt shot from 22 ft (assist by G. Antetokounmpo),3,18-13,,
4:37.0,,,18-15,2,J. Ennis makes 2-pt shot from 14 ft (assist by B. Griffin)
4:15.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,18-15,,
4:10.0,Offensive rebound by J. Henson,,18-15,,
4:10.0,J. Henson makes 2-pt shot at rim,2,20-15,,
4:04.0,,,20-18,3,R. Bullock makes 3-pt shot from 25 ft (assist by B. Griffin)
3:43.0,E. Bledsoe makes 3-pt shot from 25 ft (assist by J. Henson),3,23-18,,
3:27.0,Personal foul by E. Bledsoe (drawn by A. Drummond),,23-18,,
3:27.0,,,23-18,,S. Johnson enters the game for J. Ennis
3:27.0,J. Parker enters the game for S. Brown,,23-18,,
3:27.0,S. Kilpatrick enters the game for G. Antetokounmpo,,23-18,,
3:15.0,,,23-18,,S. Johnson misses 3-pt shot from 22 ft
3:13.0,Defensive rebound by S. Kilpatrick,,23-18,,
3:06.0,E. Bledsoe makes 2-pt shot from 6 ft,2,25-18,,
2:43.0,,,25-18,,A. Drummond misses 2-pt shot at rim (block by J. Henson)
2:43.0,,,25-18,,Offensive rebound by Team
2:43.0,Milwaukee full timeout,,25-18,,
2:43.0,,,25-18,,D. Buycks enters the game for I. Smith
2:43.0,,,25-18,,A. Tolliver enters the game for B. Griffin
2:35.0,,,25-18,,D. Buycks misses 2-pt shot from 16 ft
2:34.0,,,25-18,,Offensive rebound by A. Drummond
2:34.0,,,25-20,2,A. Drummond makes 2-pt shot at rim
2:34.0,,,25-20,,Shooting foul by J. Henson (drawn by A. Drummond)
2:34.0,,,25-20,,A. Drummond misses free throw 1 of 1
2:31.0,Defensive rebound by J. Parker,,25-20,,
2:20.0,J. Parker makes 2-pt shot from 15 ft (assist by J. Henson),2,27-20,,
2:04.0,,,27-20,,R. Bullock misses 2-pt shot from 16 ft
2:04.0,Defensive rebound by Team,,27-20,,
2:04.0,,,27-20,,Loose ball foul by A. Drummond (drawn by J. Henson)
2:04.0,T. Maker enters the game for J. Henson,,27-20,,
1:54.0,J. Parker makes 2-pt shot from 17 ft,2,29-20,,
1:38.0,,,29-20,,Shooting foul by T. Maker (drawn by A. Drummond)
1:38.0,,,29-21,1,A. Drummond makes free throw 1 of 2
1:38.0,,,29-22,1,A. Drummond makes free throw 2 of 2
1:27.0,Turnover by J. Parker (lost ball; steal by A. Drummond),,29-22,,
1:27.0,Personal foul by J. Parker (drawn by D. Buycks),,29-22,,
1:27.0,,,29-23,1,D. Buycks makes free throw 1 of 2
1:27.0,,,29-23,,E. Moreland enters the game for A. Drummond
1:27.0,G. Antetokounmpo enters the game for E. Bledsoe,,29-23,,
1:27.0,J. Terry enters the game for K. Middleton,,29-23,,
1:27.0,,,29-24,1,D. Buycks makes free throw 2 of 2
