time,Detroit,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. A. Drummond (B. Griffin gains possession),,,,Jump ball: A. Len vs. A. Drummond (B. Griffin gains possession)
11:47.0,B. Griffin makes 2-pt shot at rim (assist by R. Bullock),2,2-0,,
11:24.0,,,2-0,,Turnover by J. Jackson (out of bounds lost ball)
11:17.0,,,2-0,,Personal foul by T. Daniels (drawn by R. Bullock)
11:09.0,A. Drummond misses 2-pt shot from 1 ft,,2-0,,
11:07.0,,,2-0,,Defensive rebound by D. Bender
11:03.0,,,2-2,2,J. Jackson makes 2-pt shot at rim
10:50.0,R. Jackson misses 2-pt shot from 18 ft,,2-2,,
10:48.0,,,2-2,,Defensive rebound by J. Jackson
10:39.0,,,2-2,,J. Jackson misses 2-pt shot from 6 ft
10:35.0,,,2-2,,Offensive rebound by A. Len
10:35.0,,,2-4,2,A. Len makes 2-pt shot at rim
10:21.0,B. Griffin misses 3-pt shot from 24 ft,,2-4,,
10:17.0,Offensive rebound by A. Drummond,,2-4,,
10:16.0,A. Drummond misses 2-pt shot from 2 ft,,2-4,,
10:15.0,,,2-4,,Defensive rebound by E. Payton
10:04.0,,,2-4,,Turnover by D. Bender (bad pass; steal by S. Johnson)
10:01.0,S. Johnson misses 2-pt shot from 1 ft (block by D. Bender),,2-4,,
9:57.0,,,2-4,,Defensive rebound by J. Jackson
9:53.0,,,2-6,2,J. Jackson makes 2-pt shot at rim
9:43.0,R. Bullock makes 3-pt shot from 24 ft,3,5-6,,
9:33.0,,,5-6,,Turnover by E. Payton (bad pass)
9:19.0,R. Bullock misses 2-pt shot from 6 ft (block by A. Len),,5-6,,
9:19.0,,,5-6,,Defensive rebound by A. Len
9:19.0,Loose ball foul by A. Drummond (drawn by A. Len),,5-6,,
9:04.0,,,5-6,,D. Bender misses 2-pt shot from 3 ft
8:59.0,,,5-6,,Offensive rebound by J. Jackson
8:59.0,,,5-6,,Shooting foul by R. Bullock (drawn by J. Jackson)
8:59.0,,,5-6,,J. Jackson misses free throw 1 of 2
8:59.0,,,5-6,,Offensive rebound by Team
8:59.0,,,5-6,,J. Jackson misses free throw 2 of 2
8:58.0,Defensive rebound by Team,,5-6,,
8:47.0,B. Griffin misses 3-pt shot from 25 ft,,5-6,,
8:43.0,,,5-6,,Defensive rebound by A. Len
8:33.0,,,5-8,2,T. Daniels makes 2-pt shot from 16 ft (assist by A. Len)
8:17.0,B. Griffin makes 2-pt shot from 4 ft,2,7-8,,
8:01.0,,,7-8,,E. Payton misses 3-pt shot from 25 ft
7:56.0,Defensive rebound by B. Griffin,,7-8,,
7:49.0,Turnover by R. Bullock (bad pass),,7-8,,
7:49.0,I. Smith enters the game for R. Jackson,,7-8,,
7:38.0,,,7-8,,J. Jackson misses 2-pt shot from 2 ft (block by A. Drummond)
7:38.0,,,7-8,,Offensive rebound by Team
7:34.0,,,7-10,2,T. Daniels makes 2-pt shot from 13 ft (assist by D. Bender)
7:13.0,S. Johnson misses 3-pt shot from 25 ft,,7-10,,
7:11.0,,,7-10,,Defensive rebound by D. Bender
7:05.0,,,7-13,3,T. Daniels makes 3-pt shot from 24 ft (assist by E. Payton)
6:57.0,Detroit full timeout,,7-13,,
6:46.0,A. Drummond misses 2-pt shot at rim,,7-13,,
6:44.0,,,7-13,,Defensive rebound by E. Payton
6:35.0,,,7-13,,D. Bender misses 3-pt shot from 25 ft
6:31.0,Defensive rebound by B. Griffin,,7-13,,
6:10.0,Turnover by A. Drummond (bad pass; steal by J. Jackson),,7-13,,
6:06.0,,,7-13,,Shooting foul by I. Smith (drawn by J. Jackson)
6:06.0,,,7-13,,J. Jackson misses free throw 1 of 2
6:06.0,,,7-13,,Offensive rebound by Team
6:06.0,,,7-13,,M. Chriss enters the game for A. Len
6:06.0,,,7-14,1,J. Jackson makes free throw 2 of 2
5:56.0,,,7-14,,Shooting block foul by T. Daniels (drawn by R. Bullock)
