time,Orlando,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. N. Vucevic (T. Snell gains possession),,,,Jump ball: J. Henson vs. N. Vucevic (T. Snell gains possession)
11:45.0,,,0-2,2,J. Henson makes 2-pt shot from 6 ft (assist by T. Snell)
11:31.0,D. Augustin makes 3-pt shot from 27 ft (assist by N. Vucevic),3,3-2,,
11:14.0,,,3-4,2,J. Henson makes 2-pt shot from 5 ft (assist by E. Bledsoe)
11:00.0,D. Augustin misses 2-pt shot from 4 ft,,3-4,,
10:57.0,,,3-4,,Defensive rebound by J. Henson
10:48.0,,,3-7,3,J. Parker makes 3-pt shot from 23 ft (assist by J. Henson)
10:28.0,Turnover by A. Gordon (bad pass; steal by K. Middleton),,3-7,,
10:21.0,,,3-7,,T. Snell misses 3-pt shot from 23 ft
10:18.0,,,3-7,,Offensive rebound by J. Parker
10:17.0,,,3-7,,Turnover by J. Parker (lost ball; steal by W. Iwundu)
10:15.0,A. Gordon makes 2-pt shot from 1 ft (assist by D. Augustin),2,5-7,,
10:15.0,Shooting foul by K. Middleton (drawn by A. Gordon),,5-7,,
10:15.0,A. Gordon misses free throw 1 of 1,,5-7,,
10:12.0,,,5-7,,Defensive rebound by J. Parker
10:01.0,,,5-7,,J. Parker misses 2-pt shot from 15 ft
9:59.0,Defensive rebound by W. Iwundu,,5-7,,
9:52.0,Turnover by D. Augustin (bad pass; steal by T. Snell),,5-7,,
9:47.0,,,5-7,,Turnover by E. Bledsoe (lost ball; steal by A. Gordon)
9:35.0,A. Gordon misses 2-pt shot from 9 ft,,5-7,,
9:33.0,,,5-7,,Defensive rebound by E. Bledsoe
9:26.0,,,5-7,,Turnover by K. Middleton (bad pass; steal by M. Hezonja)
9:21.0,M. Hezonja makes 2-pt shot from 1 ft,2,7-7,,
9:03.0,,,7-10,3,E. Bledsoe makes 3-pt shot from 26 ft
8:53.0,A. Gordon makes 2-pt shot from 1 ft (assist by N. Vucevic),2,9-10,,
8:53.0,Shooting foul by T. Snell (drawn by A. Gordon),,9-10,,
8:53.0,A. Gordon makes free throw 1 of 1,1,10-10,,
8:38.0,,,10-10,,T. Snell misses 2-pt shot from 10 ft
8:36.0,Defensive rebound by M. Hezonja,,10-10,,
8:29.0,N. Vucevic misses 2-pt shot from 15 ft,,10-10,,
