time,Cleveland,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Maker vs. K. Love (D. Rose gains possession),,,,Jump ball: T. Maker vs. K. Love (D. Rose gains possession)
11:39.0,L. James misses 2-pt shot from 2 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by Team
11:38.0,Jump ball: G. Antetokounmpo vs. K. Love (K. Middleton gains possession),,,,Jump ball: G. Antetokounmpo vs. K. Love (K. Middleton gains possession)
11:17.0,,,0-2,2,T. Maker makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
10:57.0,Turnover by D. Wade (bad pass; steal by M. Brogdon),,0-2,,
10:56.0,,,0-2,,Shooting foul by J. Crowder (drawn by G. Antetokounmpo)
10:56.0,,,0-3,1,G. Antetokounmpo makes free throw 1 of 2
10:56.0,,,0-3,,G. Antetokounmpo misses free throw 2 of 2
10:52.0,Defensive rebound by K. Love,,0-3,,
10:36.0,K. Love makes 2-pt shot from 1 ft (assist by D. Wade),2,2-3,,
10:20.0,,,2-5,2,G. Antetokounmpo makes 2-pt shot at rim
10:07.0,K. Love misses 3-pt shot from 28 ft,,2-5,,
10:07.0,,,2-5,,Defensive rebound by G. Antetokounmpo
9:59.0,Personal foul by D. Wade (drawn by T. Maker),,2-5,,
9:45.0,,,2-7,2,G. Antetokounmpo makes 2-pt shot from 7 ft
9:35.0,D. Wade misses 2-pt shot from 15 ft,,2-7,,
9:33.0,,,2-7,,Defensive rebound by G. Antetokounmpo
9:30.0,,,2-7,,Turnover by G. Antetokounmpo (out of bounds lost ball)
9:21.0,J. Crowder makes 2-pt shot at rim (assist by K. Love),2,4-7,,
9:09.0,,,4-7,,Turnover by K. Middleton (bad pass)
9:01.0,D. Wade makes 2-pt shot from 1 ft (assist by D. Rose),2,6-7,,
8:43.0,,,6-7,,K. Middleton misses 3-pt shot from 25 ft
8:40.0,Defensive rebound by J. Crowder,,6-7,,
8:37.0,Turnover by L. James (bad pass),,6-7,,
8:27.0,,,6-7,,G. Antetokounmpo misses 2-pt shot from 20 ft
8:21.0,Defensive rebound by K. Love,,6-7,,
8:18.0,Turnover by K. Love (bad pass; steal by T. Snell),,6-7,,
8:17.0,,,6-10,3,M. Brogdon makes 3-pt shot from 26 ft (assist by T. Snell)
8:10.0,Shooting foul by T. Maker (drawn by D. Rose),,6-10,,
8:10.0,D. Rose makes free throw 1 of 2,1,7-10,,
8:10.0,Turnover by K. Love (turnover; steal by G. Antetokounmpo),,7-10,,
8:10.0,D. Rose makes free throw 2 of 2,1,8-10,,
8:01.0,,,8-10,,M. Brogdon misses 3-pt shot from 26 ft
7:58.0,Defensive rebound by K. Love,,8-10,,
7:50.0,D. Rose makes 2-pt shot at rim (assist by L. James),2,10-10,,
7:30.0,,,10-13,3,T. Snell makes 3-pt shot from 25 ft (assist by K. Middleton)
7:11.0,K. Love makes 2-pt shot at rim (assist by D. Wade),2,12-13,,
