time,New York,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. E. Kanter (A. Aminu gains possession),,,,Jump ball: J. Nurkic vs. E. Kanter (A. Aminu gains possession)
11:44.0,,,0-0,,Turnover by J. Nurkic (bad pass; steal by L. Thomas)
11:38.0,Shooting foul by C. McCollum (drawn by E. Kanter),,0-0,,
11:38.0,E. Kanter makes free throw 1 of 2,1,1-0,,
11:38.0,E. Kanter makes free throw 2 of 2,1,2-0,,
11:18.0,,,2-0,,C. McCollum misses 2-pt shot from 1 ft (block by F. Ntilikina)
11:17.0,Defensive rebound by L. Thomas,,2-0,,
11:11.0,L. Thomas makes 3-pt shot from 24 ft (assist by E. Kanter),3,5-0,,
10:53.0,,,5-0,,Offensive foul by J. Nurkic (drawn by T. Hardaway)
10:53.0,,,5-0,,Turnover by J. Nurkic (offensive foul)
10:36.0,Turnover by L. Thomas (traveling),,5-0,,
10:26.0,,,5-0,,J. Nurkic misses 2-pt shot at rim
10:24.0,Defensive rebound by E. Kanter,,5-0,,
10:16.0,L. Thomas makes 3-pt shot from 24 ft (assist by F. Ntilikina),3,8-0,,
10:03.0,,,8-2,2,E. Turner makes 2-pt shot from 9 ft
9:48.0,F. Ntilikina misses 2-pt shot from 2 ft,,8-2,,
9:46.0,,,8-2,,Defensive rebound by C. McCollum
9:42.0,,,8-2,,C. McCollum misses 2-pt shot from 15 ft
9:40.0,Defensive rebound by E. Kanter,,8-2,,
9:30.0,T. Hardaway misses 2-pt shot from 8 ft,,8-2,,
9:28.0,,,8-2,,Defensive rebound by J. Nurkic
9:19.0,Personal foul by L. Thomas (drawn by D. Lillard),,8-2,,
9:13.0,,,8-5,3,D. Lillard makes 3-pt shot from 24 ft (assist by E. Turner)
8:52.0,E. Kanter makes 2-pt shot from 1 ft,2,10-5,,
8:37.0,,,10-5,,Shooting foul by F. Ntilikina (drawn by D. Lillard)
8:37.0,,,10-5,,D. Lillard misses free throw 1 of 3
8:37.0,,,10-5,,Offensive rebound by Team
8:37.0,,,10-6,1,D. Lillard makes free throw 2 of 3
