time,Philadelphia,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. J. Embiid (B. Simmons gains possession),,,,Jump ball: A. Horford vs. J. Embiid (B. Simmons gains possession)
11:46.0,Turnover by J. Bayless (bad pass),,0-0,,
11:32.0,,,0-0,,J. Brown misses 3-pt shot from 23 ft
11:31.0,Defensive rebound by D. Saric,,0-0,,
11:18.0,D. Saric misses 2-pt shot from 1 ft,,0-0,,
11:17.0,,,0-0,,Defensive rebound by A. Baynes
11:07.0,,,0-2,2,A. Horford makes 2-pt shot from 14 ft
10:54.0,Turnover by B. Simmons (bad pass),,0-2,,
10:41.0,,,0-2,,J. Brown misses 2-pt shot from 17 ft
10:40.0,Defensive rebound by J. Embiid,,0-2,,
10:29.0,D. Saric misses 2-pt shot from 18 ft,,0-2,,
10:27.0,,,0-2,,Defensive rebound by J. Brown
10:20.0,,,0-4,2,J. Tatum makes 2-pt shot from 2 ft (assist by J. Brown)
10:10.0,B. Simmons misses 2-pt shot from 11 ft (block by A. Baynes),,0-4,,
10:07.0,,,0-4,,Defensive rebound by M. Smart
10:05.0,,,0-4,,Turnover by M. Smart (bad pass)
9:50.0,J. Embiid misses 2-pt shot from 18 ft,,0-4,,
9:49.0,,,0-4,,Defensive rebound by J. Tatum
9:38.0,,,0-4,,J. Tatum misses 3-pt shot from 27 ft
9:37.0,Defensive rebound by J. Embiid,,0-4,,
9:28.0,J. Embiid misses 3-pt shot from 24 ft,,0-4,,
9:26.0,,,0-4,,Defensive rebound by A. Baynes
9:12.0,,,0-6,2,A. Horford makes 2-pt shot from 12 ft
8:58.0,,,0-6,,Personal foul by J. Tatum (drawn by D. Saric)
8:51.0,J. Bayless misses 2-pt shot from 19 ft,,0-6,,
8:50.0,,,0-6,,Defensive rebound by A. Baynes
8:35.0,,,0-6,,Turnover by A. Horford (bad pass)
8:18.0,J. Embiid misses 2-pt shot from 16 ft,,0-6,,
8:17.0,Offensive rebound by B. Simmons,,0-6,,
8:09.0,J. Bayless makes 2-pt shot at rim (assist by D. Saric),2,2-6,,
7:46.0,,,2-8,2,A. Baynes makes 2-pt shot from 1 ft
7:30.0,J. Embiid makes 2-pt shot from 8 ft,2,4-8,,
7:20.0,,,4-8,,A. Baynes misses 2-pt shot from 10 ft (block by J. Embiid)
7:19.0,Defensive rebound by J. Embiid,,4-8,,
7:18.0,,,4-8,,Personal foul by A. Baynes (drawn by J. Embiid)
7:18.0,T. Luwawu-Cabarrot enters the game for R. Covington,,4-8,,
7:09.0,D. Saric makes 2-pt shot from 23 ft (assist by B. Simmons),2,6-8,,
6:41.0,,,6-10,2,A. Horford makes 2-pt shot from 17 ft
6:33.0,,,6-10,,Personal foul by A. Baynes (drawn by J. Embiid)
6:33.0,,,6-10,,Boston full timeout
6:33.0,,,6-10,,T. Rozier enters the game for J. Tatum
6:33.0,,,6-10,,M. Morris enters the game for A. Baynes
6:33.0,A. Johnson enters the game for J. Bayless,,6-10,,
6:33.0,T. McConnell enters the game for J. Embiid,,6-10,,
6:27.0,B. Simmons makes 2-pt shot from 7 ft,2,8-10,,
6:13.0,,,8-10,,Turnover by A. Horford (traveling)
5:54.0,B. Simmons misses 2-pt shot from 8 ft,,8-10,,
5:52.0,Offensive rebound by B. Simmons,,8-10,,
5:50.0,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft,,8-10,,
5:49.0,,,8-10,,Defensive rebound by M. Morris
5:38.0,,,8-10,,Turnover by T. Rozier (bad pass; steal by B. Simmons)
5:32.0,T. Luwawu-Cabarrot misses 2-pt shot from 2 ft,,8-10,,
5:31.0,,,8-10,,Defensive rebound by J. Brown
5:28.0,,,8-10,,J. Brown misses 2-pt shot at rim
5:27.0,Defensive rebound by D. Saric,,8-10,,
5:21.0,A. Johnson makes 2-pt shot from 1 ft (assist by B. Simmons),2,10-10,,
5:00.0,,,10-12,2,M. Morris makes 2-pt shot from 16 ft (assist by T. Rozier)
4:52.0,T. Luwawu-Cabarrot misses 2-pt shot from 2 ft (block by A. Horford),,10-12,,
4:51.0,,,10-12,,Defensive rebound by T. Rozier
4:46.0,,,10-14,2,T. Rozier makes 2-pt shot from 14 ft
4:36.0,B. Simmons misses 2-pt shot from 14 ft,,10-14,,
4:35.0,,,10-14,,Defensive rebound by M. Morris
4:19.0,,,10-14,,T. Rozier misses 3-pt shot from 26 ft
4:17.0,Defensive rebound by A. Johnson,,10-14,,
4:04.0,B. Simmons misses 2-pt shot from 10 ft,,10-14,,
4:01.0,,,10-14,,Defensive rebound by A. Horford
3:52.0,,,10-14,,J. Brown misses 2-pt shot from 6 ft (block by T. Luwawu-Cabarrot)
3:52.0,Defensive rebound by T. McConnell,,10-14,,
3:43.0,Philadelphia full timeout,,10-14,,
3:43.0,,,10-14,,S. Larkin enters the game for M. Smart
3:43.0,,,10-14,,D. Theis enters the game for A. Horford
3:43.0,J. Anderson enters the game for T. Luwawu-Cabarrot,,10-14,,
3:43.0,J. Embiid enters the game for D. Saric,,10-14,,
3:43.0,R. Covington enters the game for B. Simmons,,10-14,,
3:43.0,T. Booker enters the game for A. Johnson,,10-14,,
3:28.0,J. Embiid makes 2-pt shot from 10 ft,2,12-14,,
3:01.0,,,12-14,,M. Morris misses 3-pt shot from 26 ft
2:59.0,Defensive rebound by J. Embiid,,12-14,,
2:48.0,T. Booker makes 2-pt shot from 3 ft (assist by J. Embiid),2,14-14,,
2:32.0,,,14-14,,T. Rozier misses 3-pt shot from 26 ft
2:30.0,Defensive rebound by T. McConnell,,14-14,,
2:23.0,T. Booker makes 2-pt shot from 1 ft (assist by T. McConnell),2,16-14,,
1:58.0,,,16-14,,D. Theis misses 2-pt shot from 7 ft
1:53.0,,,16-14,,Offensive rebound by D. Theis
1:51.0,,,16-17,3,M. Morris makes 3-pt shot from 27 ft (assist by D. Theis)
1:30.0,T. Booker makes 2-pt shot from 2 ft (assist by J. Embiid),2,18-17,,
1:15.0,,,18-17,,Turnover by S. Larkin (bad pass)
1:15.0,,,18-17,,A. Horford enters the game for M. Morris
0:52.0,J. Anderson misses 2-pt shot from 6 ft,,18-17,,
0:51.0,Offensive rebound by Team,,18-17,,
0:51.0,Turnover by Team (shot clock),,18-17,,
0:33.0,,,18-19,2,D. Theis makes 2-pt shot from 21 ft (assist by J. Brown)
0:10.0,J. Anderson makes 3-pt shot from 23 ft,3,21-19,,
0:01.0,,,21-19,,Turnover by D. Theis (traveling)
0:00.0,T. McConnell misses 2-pt shot from 19 ft,,21-19,,
0:00.0,Offensive rebound by Team,,21-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,21-19,,Boston full timeout
11:41.0,,,21-19,,Turnover by T. Rozier (lost ball; steal by R. Covington)
11:39.0,,,21-19,,Personal foul by M. Morris (drawn by R. Covington)
11:27.0,Turnover by R. Covington (bad pass),,21-19,,
11:19.0,,,21-21,2,S. Larkin makes 2-pt shot from 18 ft
11:03.0,J. Anderson misses 2-pt shot from 1 ft (block by J. Tatum),,21-21,,
11:01.0,,,21-21,,Defensive rebound by M. Morris
