time,New York,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. K. Porzingis (T. Harris gains possession),,,,Jump ball: A. Drummond vs. K. Porzingis (T. Harris gains possession)
11:42.0,,,0-0,,T. Harris misses 3-pt shot from 27 ft
11:36.0,,,0-0,,Offensive rebound by A. Drummond
11:36.0,,,0-2,2,A. Drummond makes 2-pt shot at rim
11:23.0,K. Porzingis makes 2-pt shot from 16 ft (assist by E. Kanter),2,2-2,,
11:02.0,,,2-2,,R. Bullock misses 2-pt shot from 13 ft
10:58.0,,,2-2,,Offensive rebound by R. Bullock
10:58.0,,,2-4,2,R. Bullock makes 2-pt shot at rim
10:46.0,E. Kanter misses 2-pt shot from 3 ft (block by T. Harris),,2-4,,
10:43.0,,,2-4,,Defensive rebound by R. Jackson
10:40.0,Personal foul by E. Kanter (drawn by A. Drummond),,2-4,,
10:31.0,,,2-4,,A. Drummond misses 2-pt shot from 3 ft
10:30.0,,,2-4,,Offensive rebound by A. Drummond
10:30.0,Personal foul by L. Thomas (drawn by A. Drummond),,2-4,,
10:24.0,,,2-4,,A. Tolliver misses 3-pt shot from 26 ft
10:21.0,,,2-4,,Offensive rebound by A. Drummond
10:20.0,,,2-4,,A. Drummond misses 2-pt shot from 3 ft (block by E. Kanter)
10:16.0,,,2-4,,Offensive rebound by A. Tolliver
10:15.0,,,2-4,,T. Harris misses 3-pt shot from 25 ft
10:11.0,Defensive rebound by K. Porzingis,,2-4,,
10:07.0,K. Porzingis misses 3-pt shot from 26 ft,,2-4,,
10:02.0,,,2-4,,Defensive rebound by R. Bullock
9:57.0,,,2-4,,Shooting foul by K. Porzingis (drawn by T. Harris)
9:57.0,,,2-5,1,T. Harris makes free throw 1 of 2
9:57.0,,,2-5,,T. Harris misses free throw 2 of 2
9:55.0,Defensive rebound by K. Porzingis,,2-5,,
9:45.0,C. Lee misses 2-pt shot from 14 ft,,2-5,,
9:42.0,,,2-5,,Defensive rebound by R. Jackson
9:37.0,,,2-8,3,A. Tolliver makes 3-pt shot from 26 ft (assist by R. Jackson)
9:16.0,L. Thomas misses 3-pt shot from 25 ft,,2-8,,
9:13.0,,,2-8,,Defensive rebound by R. Bullock
9:06.0,,,2-8,,A. Tolliver misses 3-pt shot from 27 ft
9:02.0,Defensive rebound by L. Thomas,,2-8,,
8:49.0,E. Kanter misses 2-pt shot from 5 ft,,2-8,,
8:46.0,,,2-8,,Defensive rebound by A. Drummond
8:39.0,,,2-10,2,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson)
8:26.0,J. Jack misses 2-pt shot from 5 ft,,2-10,,
8:24.0,,,2-10,,Defensive rebound by A. Drummond
8:20.0,,,2-12,2,R. Bullock makes 2-pt shot at rim (assist by R. Jackson)
8:11.0,New York full timeout,,2-12,,
8:11.0,,,2-13,1,R. Jackson makes technical free throw
8:06.0,K. Porzingis misses 2-pt shot from 9 ft,,2-13,,
8:03.0,,,2-13,,Defensive rebound by A. Drummond
8:01.0,,,2-13,,Turnover by R. Jackson (bad pass)
7:44.0,L. Thomas misses 2-pt shot from 4 ft (block by A. Drummond),,2-13,,
7:40.0,,,2-13,,Defensive rebound by R. Bullock
7:36.0,,,2-15,2,A. Drummond makes 2-pt shot from 3 ft (assist by R. Jackson)
7:25.0,,,2-15,,Personal foul by A. Drummond (drawn by K. Porzingis)
7:19.0,,,2-15,,Personal foul by A. Tolliver (drawn by J. Jack)
7:14.0,K. Porzingis makes 2-pt shot from 1 ft (assist by J. Jack),2,4-15,,
7:14.0,Shooting foul by A. Drummond (drawn by K. Porzingis),,4-15,,
7:14.0,,,4-15,,E. Moreland enters the game for A. Drummond
7:14.0,K. Porzingis makes free throw 1 of 1,1,5-15,,
6:52.0,,,5-17,2,R. Jackson makes 2-pt shot from 13 ft
6:22.0,K. Porzingis misses 2-pt shot from 15 ft,,5-17,,
6:22.0,Offensive rebound by Team,,5-17,,
6:22.0,,,5-17,,Personal foul by E. Moreland (drawn by E. Kanter)
6:17.0,K. Porzingis misses 2-pt shot from 15 ft,,5-17,,
6:15.0,Offensive rebound by E. Kanter,,5-17,,
6:12.0,E. Kanter makes 2-pt shot from 1 ft,2,7-17,,
