time,Milwaukee,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. J. Henson (M. Brogdon gains possession),,,,Jump ball: D. Howard vs. J. Henson (M. Brogdon gains possession)
11:40.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by M. Kidd-Gilchrist
11:26.0,,,0-0,,M. Kidd-Gilchrist misses 2-pt shot from 19 ft
11:23.0,Defensive rebound by J. Henson,,0-0,,
11:17.0,M. Brogdon makes 3-pt shot from 23 ft (assist by K. Middleton),3,3-0,,
10:55.0,,,3-0,,J. Lamb misses 2-pt shot from 8 ft (block by G. Antetokounmpo)
10:51.0,Defensive rebound by G. Antetokounmpo,,3-0,,
10:51.0,G. Antetokounmpo makes 2-pt shot at rim,2,5-0,,
10:51.0,Shooting foul by M. Kidd-Gilchrist (drawn by G. Antetokounmpo),,5-0,,
10:51.0,G. Antetokounmpo makes free throw 1 of 1,1,6-0,,
10:40.0,Def 3 sec tech foul by K. Middleton,,6-0,,
10:40.0,,,6-1,1,K. Walker makes technical free throw
10:28.0,,,6-3,2,D. Howard makes 2-pt shot from 2 ft (assist by M. Kidd-Gilchrist)
10:09.0,K. Middleton makes 2-pt shot from 12 ft,2,8-3,,
9:57.0,Personal foul by M. Brogdon (drawn by D. Howard),,8-3,,
9:49.0,,,8-3,,M. Williams misses 3-pt shot from 29 ft
9:45.0,Defensive rebound by J. Henson,,8-3,,
9:33.0,G. Antetokounmpo makes 2-pt shot from 18 ft (assist by J. Henson),2,10-3,,
9:10.0,,,10-5,2,K. Walker makes 2-pt shot from 1 ft
9:10.0,Violation by G. Antetokounmpo (def goaltending),,10-5,,
8:55.0,Turnover by J. Henson (traveling),,10-5,,
8:39.0,,,10-7,2,D. Howard makes 2-pt shot from 1 ft (assist by K. Walker)
8:25.0,K. Middleton misses 3-pt shot from 24 ft,,10-7,,
8:23.0,Offensive rebound by G. Antetokounmpo,,10-7,,
8:21.0,G. Antetokounmpo makes 2-pt shot at rim,2,12-7,,
8:05.0,,,12-9,2,J. Lamb makes 2-pt shot from 22 ft
7:48.0,M. Brogdon makes 2-pt shot from 6 ft (assist by J. Henson),2,14-9,,
7:34.0,,,14-9,,Offensive foul by D. Howard (drawn by J. Henson)
7:34.0,,,14-9,,Turnover by D. Howard (offensive foul)
7:34.0,T. Maker enters the game for J. Henson,,14-9,,
7:22.0,M. Brogdon makes 2-pt shot from 12 ft,2,16-9,,
7:04.0,,,16-9,,Shooting foul by T. Maker (drawn by D. Howard)
7:04.0,,,16-9,,D. Howard misses free throw 1 of 2
7:04.0,,,16-9,,Offensive rebound by Team
7:04.0,,,16-9,,D. Howard misses free throw 2 of 2
6:59.0,Defensive rebound by G. Antetokounmpo,,16-9,,
6:54.0,T. Snell makes 3-pt shot from 23 ft (assist by M. Brogdon),3,19-9,,
6:47.0,,,19-9,,Charlotte full timeout
6:27.0,,,19-9,,Turnover by J. Lamb (bad pass; steal by G. Antetokounmpo)
6:24.0,G. Antetokounmpo misses 2-pt shot at rim,,19-9,,
6:21.0,,,19-9,,Defensive rebound by D. Howard
6:13.0,Personal foul by G. Antetokounmpo (drawn by M. Williams),,19-9,,
6:05.0,,,19-12,3,M. Williams makes 3-pt shot from 22 ft (assist by D. Howard)
5:45.0,T. Maker misses 2-pt shot from 12 ft,,19-12,,
5:41.0,,,19-12,,Defensive rebound by D. Howard
5:29.0,,,19-12,,M. Kidd-Gilchrist misses 2-pt shot from 16 ft
5:26.0,Defensive rebound by G. Antetokounmpo,,19-12,,
5:23.0,Offensive charge foul by G. Antetokounmpo (drawn by J. Lamb),,19-12,,
5:23.0,Turnover by G. Antetokounmpo (offensive foul),,19-12,,
5:23.0,M. Teletovic enters the game for G. Antetokounmpo,,19-12,,
5:02.0,,,19-15,3,K. Walker makes 3-pt shot from 26 ft
4:47.0,T. Maker misses 3-pt shot from 25 ft,,19-15,,
4:39.0,,,19-15,,Defensive rebound by D. Howard
4:35.0,,,19-15,,Shooting foul by T. Maker (drawn by K. Walker)
4:35.0,,,19-16,1,K. Walker makes free throw 1 of 2
4:35.0,,,19-16,,D. Bacon enters the game for M. Kidd-Gilchrist
4:35.0,M. Dellavedova enters the game for M. Brogdon,,19-16,,
4:35.0,,,19-17,1,K. Walker makes free throw 2 of 2
4:29.0,K. Middleton misses 2-pt shot from 3 ft (block by D. Bacon),,19-17,,
4:29.0,Offensive rebound by Team,,19-17,,
4:29.0,K. Middleton makes 2-pt shot from 3 ft (assist by M. Dellavedova),2,21-17,,
4:21.0,,,21-17,,D. Howard misses 2-pt shot from 2 ft
4:18.0,Defensive rebound by M. Dellavedova,,21-17,,
4:12.0,K. Middleton misses 2-pt shot from 10 ft,,21-17,,
4:10.0,,,21-17,,Defensive rebound by M. Williams
4:02.0,,,21-17,,J. Lamb misses 2-pt shot from 2 ft
3:56.0,,,21-17,,Offensive rebound by D. Howard
3:56.0,,,21-19,2,D. Howard makes 2-pt shot at rim
3:41.0,M. Teletovic makes 3-pt shot from 26 ft (assist by K. Middleton),3,24-19,,
3:22.0,,,24-19,,J. Lamb misses 3-pt shot from 28 ft
3:18.0,Defensive rebound by M. Teletovic,,24-19,,
3:13.0,M. Dellavedova misses 3-pt shot from 25 ft,,24-19,,
3:10.0,,,24-19,,Defensive rebound by D. Bacon
3:03.0,,,24-21,2,D. Howard makes 2-pt shot at rim (assist by J. Lamb)
2:52.0,K. Middleton makes 2-pt shot from 10 ft,2,26-21,,
2:38.0,,,26-23,2,M. Williams makes 2-pt shot from 1 ft (assist by K. Walker)
2:38.0,Milwaukee full timeout,,26-23,,
2:38.0,,,26-23,,F. Kaminsky enters the game for M. Williams
2:38.0,,,26-23,,C. Zeller enters the game for D. Howard
2:38.0,,,26-23,,M. Monk enters the game for K. Walker
2:38.0,D. Liggins enters the game for T. Maker,,26-23,,
2:38.0,J. Henson enters the game for T. Snell,,26-23,,
2:20.0,K. Middleton makes 2-pt shot from 1 ft,2,28-23,,
2:20.0,Shooting foul by M. Monk (drawn by K. Middleton),,28-23,,
2:20.0,K. Middleton makes free throw 1 of 1,1,29-23,,
2:01.0,,,29-23,,C. Zeller misses 2-pt shot from 20 ft
1:58.0,Defensive rebound by M. Teletovic,,29-23,,
1:37.0,M. Teletovic makes 3-pt shot from 22 ft (assist by J. Henson),3,32-23,,
1:10.0,,,32-25,2,C. Zeller makes 2-pt shot from 1 ft (assist by F. Kaminsky)
0:57.0,J. Henson misses 2-pt shot from 3 ft,,32-25,,
0:54.0,,,32-25,,Defensive rebound by C. Zeller
0:48.0,,,32-25,,J. Lamb misses 2-pt shot from 12 ft
0:44.0,Defensive rebound by J. Henson,,32-25,,
0:42.0,D. Liggins misses 2-pt shot from 1 ft,,32-25,,
0:40.0,,,32-25,,Defensive rebound by J. Lamb
0:30.0,,,32-25,,F. Kaminsky misses 2-pt shot from 2 ft
0:28.0,Defensive rebound by J. Henson,,32-25,,
0:15.0,K. Middleton misses 2-pt shot from 16 ft,,32-25,,
0:11.0,,,32-25,,Defensive rebound by J. Lamb
0:01.0,,,32-25,,M. Monk misses 3-pt shot from 26 ft
0:01.0,,,32-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,32-28,3,M. Monk makes 3-pt shot from 25 ft (assist by T. Graham)
11:33.0,,,32-28,,Personal foul by D. Bacon (drawn by D. Liggins)
11:25.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,34-28,,
11:25.0,Shooting foul by T. Graham (drawn by G. Antetokounmpo),,34-28,,
11:25.0,G. Antetokounmpo makes free throw 1 of 1,1,35-28,,
11:16.0,,,35-28,,M. Monk misses 2-pt shot from 1 ft (block by J. Henson)
11:12.0,Defensive rebound by J. Henson,,35-28,,
11:09.0,D. Liggins misses 3-pt shot from 23 ft,,35-28,,
11:05.0,Offensive rebound by M. Dellavedova,,35-28,,
11:02.0,D. Liggins makes 3-pt shot from 25 ft (assist by M. Teletovic),3,38-28,,
10:43.0,,,38-28,,Turnover by F. Kaminsky (traveling)
10:43.0,M. Brogdon enters the game for M. Dellavedova,,38-28,,
10:27.0,Turnover by M. Teletovic (bad pass; steal by D. Bacon),,38-28,,
10:22.0,,,38-30,2,M. Monk makes 2-pt shot at rim (assist by T. Graham)
10:09.0,M. Brogdon misses 2-pt shot from 15 ft,,38-30,,
10:09.0,Offensive rebound by J. Henson,,38-30,,
10:04.0,M. Brogdon makes 2-pt shot at rim (assist by J. Henson),2,40-30,,
9:42.0,,,40-32,2,F. Kaminsky makes 2-pt shot from 13 ft (assist by M. Monk)
9:29.0,G. Antetokounmpo misses 2-pt shot from 8 ft,,40-32,,
9:26.0,,,40-32,,Defensive rebound by D. Bacon
9:19.0,,,40-32,,D. Bacon misses 2-pt shot from 11 ft
9:16.0,Defensive rebound by D. Liggins,,40-32,,
9:15.0,Turnover by D. Liggins (bad pass),,40-32,,
9:06.0,,,40-32,,C. Zeller misses 2-pt shot from 1 ft
9:03.0,Defensive rebound by M. Teletovic,,40-32,,
8:56.0,M. Brogdon makes 2-pt shot from 1 ft (assist by J. Henson),2,42-32,,
8:32.0,,,42-32,,D. Bacon misses 2-pt shot from 19 ft
8:29.0,Defensive rebound by G. Antetokounmpo,,42-32,,
8:20.0,,,42-32,,Def 3 sec tech foul by D. Bacon
8:20.0,M. Brogdon misses technical free throw,,42-32,,
8:20.0,Offensive rebound by Team,,42-32,,
8:10.0,J. Henson misses 2-pt shot from 7 ft,,42-32,,
8:07.0,,,42-32,,Defensive rebound by C. Zeller
8:00.0,,,42-34,2,F. Kaminsky makes 2-pt shot from 13 ft
8:00.0,,,42-34,,Shooting foul by M. Teletovic (drawn by F. Kaminsky)
8:00.0,T. Snell enters the game for D. Liggins,,42-34,,
8:00.0,,,42-35,1,F. Kaminsky makes free throw 1 of 1
7:51.0,T. Snell misses 3-pt shot from 24 ft,,42-35,,
7:48.0,,,42-35,,Defensive rebound by C. Zeller
7:42.0,,,42-37,2,M. Monk makes 2-pt shot from 10 ft
7:25.0,M. Teletovic misses 3-pt shot from 23 ft,,42-37,,
7:21.0,,,42-37,,Defensive rebound by D. Bacon
7:14.0,,,42-39,2,D. Bacon makes 2-pt shot at rim
7:14.0,Milwaukee full timeout,,42-39,,
7:14.0,,,42-39,,K. Walker enters the game for D. Bacon
7:14.0,T. Maker enters the game for J. Henson,,42-39,,
6:59.0,T. Maker makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,45-39,,
6:44.0,,,45-39,,Shooting foul by G. Antetokounmpo (drawn by C. Zeller)
6:44.0,,,45-40,1,C. Zeller makes free throw 1 of 2
6:44.0,,,45-41,1,C. Zeller makes free throw 2 of 2
6:32.0,,,45-41,,D. Howard enters the game for C. Zeller
6:25.0,Turnover by T. Maker (traveling),,45-41,,
6:09.0,,,45-41,,M. Monk misses 2-pt shot from 19 ft
6:05.0,Defensive rebound by T. Snell,,45-41,,
5:59.0,M. Teletovic misses 2-pt shot from 12 ft,,45-41,,
5:56.0,,,45-41,,Defensive rebound by M. Monk
5:42.0,,,45-41,,F. Kaminsky misses 2-pt shot from 9 ft
5:39.0,Defensive rebound by G. Antetokounmpo,,45-41,,
5:25.0,Turnover by T. Maker (turnover),,45-41,,
5:25.0,K. Middleton enters the game for G. Antetokounmpo,,45-41,,
5:15.0,,,45-43,2,K. Walker makes 2-pt shot from 1 ft
4:57.0,Turnover by M. Brogdon (bad pass; steal by M. Monk),,45-43,,
4:41.0,,,45-43,,K. Walker misses 2-pt shot from 21 ft
4:36.0,,,45-43,,Offensive rebound by T. Graham
4:34.0,,,45-43,,D. Howard misses 2-pt shot from 2 ft
4:34.0,,,45-43,,Offensive rebound by F. Kaminsky
4:34.0,,,45-45,2,F. Kaminsky makes 2-pt shot at rim
4:15.0,K. Middleton misses 3-pt shot from 26 ft,,45-45,,
4:10.0,Offensive rebound by M. Teletovic,,45-45,,
4:06.0,M. Brogdon makes 3-pt shot from 25 ft (assist by T. Snell),3,48-45,,
3:43.0,,,48-48,3,K. Walker makes 3-pt shot from 25 ft (assist by F. Kaminsky)
3:29.0,Shooting foul by T. Graham (drawn by K. Middleton),,48-48,,
3:29.0,K. Middleton makes free throw 1 of 2,1,49-48,,
3:29.0,,,49-48,,M. Williams enters the game for M. Monk
3:29.0,,,49-48,,J. Lamb enters the game for T. Graham
3:29.0,M. Dellavedova enters the game for M. Teletovic,,49-48,,
3:29.0,K. Middleton makes free throw 2 of 2,1,50-48,,
3:15.0,,,50-51,3,J. Lamb makes 3-pt shot from 23 ft (assist by D. Howard)
2:58.0,M. Dellavedova misses 2-pt shot from 12 ft,,50-51,,
2:56.0,,,50-51,,Defensive rebound by M. Williams
2:51.0,,,50-54,3,K. Walker makes 3-pt shot from 24 ft
2:30.0,Turnover by T. Snell (bad pass; steal by M. Williams),,50-54,,
2:22.0,,,50-54,,M. Williams misses 3-pt shot from 23 ft
2:19.0,Defensive rebound by T. Maker,,50-54,,
2:08.0,M. Brogdon misses 2-pt shot from 2 ft,,50-54,,
2:05.0,,,50-54,,Defensive rebound by D. Howard
1:46.0,,,50-54,,J. Lamb misses 3-pt shot from 25 ft
1:41.0,Defensive rebound by K. Middleton,,50-54,,
1:37.0,M. Dellavedova makes 3-pt shot from 24 ft (assist by K. Middleton),3,53-54,,
1:23.0,,,53-56,2,K. Walker makes 2-pt shot from 1 ft
1:14.0,M. Brogdon makes 2-pt shot from 1 ft,2,55-56,,
1:07.0,Personal foul by M. Brogdon (drawn by K. Walker),,55-56,,
1:07.0,,,55-56,,Charlotte full timeout
1:07.0,J. Henson enters the game for T. Maker,,55-56,,
0:48.0,,,55-58,2,J. Lamb makes 2-pt shot from 1 ft (assist by D. Howard)
0:34.0,K. Middleton makes 2-pt shot from 17 ft (assist by M. Brogdon),2,57-58,,
0:15.0,,,57-58,,Shooting foul by J. Henson (drawn by K. Walker)
0:15.0,,,57-59,1,K. Walker makes free throw 1 of 2
0:15.0,,,57-60,1,K. Walker makes free throw 2 of 2
0:00.0,M. Brogdon misses 2-pt shot from 11 ft (block by K. Walker),,57-60,,
0:00.0,Offensive rebound by K. Middleton,,57-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,57-60,,D. Howard misses 2-pt shot from 1 ft
11:47.0,,,57-60,,Offensive rebound by Team
11:47.0,,,57-60,,Turnover by D. Howard (offensive goaltending)
11:28.0,T. Snell makes 3-pt shot from 25 ft (assist by K. Middleton),3,60-60,,
11:11.0,,,60-60,,J. Lamb misses 2-pt shot from 11 ft
11:07.0,Defensive rebound by T. Snell,,60-60,,
10:57.0,T. Snell makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,63-60,,
10:34.0,,,63-60,,Turnover by D. Howard (bad pass; steal by G. Antetokounmpo)
