time,Atlanta,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Vucevic vs. M. Plumlee (E. Payton gains possession),,,,Jump ball: N. Vucevic vs. M. Plumlee (E. Payton gains possession)
11:40.0,,,0-0,,A. Gordon misses 2-pt shot from 6 ft
11:36.0,Defensive rebound by E. Ilyasova,,0-0,,
11:20.0,E. Ilyasova misses 2-pt shot from 21 ft,,0-0,,
11:17.0,,,0-0,,Defensive rebound by N. Vucevic
10:59.0,,,0-0,,E. Payton misses 3-pt shot from 24 ft
10:56.0,Defensive rebound by K. Bazemore,,0-0,,
10:51.0,T. Waller-Prince makes 3-pt shot from 23 ft (assist by K. Bazemore),3,3-0,,
10:35.0,,,3-0,,J. Simmons misses 2-pt shot from 1 ft
10:35.0,,,3-0,,Offensive rebound by N. Vucevic
10:28.0,,,3-2,2,N. Vucevic makes 2-pt shot from 2 ft
10:13.0,M. Plumlee misses 2-pt shot from 5 ft,,3-2,,
10:13.0,,,3-2,,Defensive rebound by A. Gordon
10:02.0,,,3-2,,E. Fournier misses 3-pt shot from 26 ft
10:02.0,Defensive rebound by E. Ilyasova,,3-2,,
9:43.0,D. Schroder makes 3-pt shot from 26 ft (assist by K. Bazemore),3,6-2,,
9:29.0,,,6-4,2,N. Vucevic makes 2-pt shot from 20 ft (assist by E. Payton)
9:08.0,Turnover by K. Bazemore (bad pass; steal by N. Vucevic),,6-4,,
8:58.0,,,6-6,2,A. Gordon makes 2-pt shot from 1 ft
8:43.0,D. Schroder makes 2-pt shot from 15 ft,2,8-6,,
8:35.0,,,8-8,2,E. Payton makes 2-pt shot from 3 ft
8:19.0,M. Plumlee misses 2-pt shot from 2 ft,,8-8,,
8:17.0,,,8-8,,Defensive rebound by A. Gordon
8:12.0,,,8-8,,A. Gordon misses 2-pt shot from 1 ft
8:12.0,,,8-8,,Offensive rebound by A. Gordon
8:12.0,,,8-10,2,A. Gordon makes 2-pt shot from 1 ft
8:12.0,Atlanta full timeout,,8-10,,
8:12.0,T. Cavanaugh enters the game for M. Plumlee,,8-10,,
8:03.0,K. Bazemore misses 2-pt shot from 21 ft,,8-10,,
8:00.0,,,8-10,,Defensive rebound by A. Gordon
7:47.0,,,8-12,2,J. Simmons makes 2-pt shot from 15 ft
7:33.0,K. Bazemore misses 2-pt shot from 2 ft,,8-12,,
7:30.0,,,8-12,,Defensive rebound by E. Payton
7:23.0,,,8-12,,E. Payton misses 2-pt shot from 2 ft (block by E. Ilyasova)
7:16.0,Defensive rebound by E. Ilyasova,,8-12,,
7:08.0,D. Schroder misses 2-pt shot from 11 ft,,8-12,,
7:06.0,Offensive rebound by T. Cavanaugh,,8-12,,
7:05.0,T. Cavanaugh misses 2-pt shot from 1 ft,,8-12,,
7:04.0,Offensive rebound by T. Cavanaugh,,8-12,,
7:02.0,T. Cavanaugh misses 2-pt shot from 3 ft (block by A. Gordon),,8-12,,
7:00.0,,,8-12,,Defensive rebound by J. Simmons
6:46.0,Personal foul by K. Bazemore (drawn by E. Fournier),,8-12,,
6:36.0,,,8-14,2,A. Gordon makes 2-pt shot from 3 ft
6:36.0,,,8-14,,Shooting foul by D. Schroder (drawn by A. Gordon)
6:36.0,,,8-14,,A. Gordon misses free throw 1 of 1
6:32.0,,,8-14,,Offensive rebound by A. Gordon
6:26.0,,,8-16,2,A. Gordon makes 2-pt shot from 15 ft
6:16.0,T. Cavanaugh makes 3-pt shot from 23 ft (assist by T. Waller-Prince),3,11-16,,
6:04.0,,,11-18,2,E. Fournier makes 2-pt shot at rim (assist by E. Payton)
5:42.0,K. Bazemore misses 2-pt shot from 21 ft,,11-18,,
5:38.0,,,11-18,,Defensive rebound by A. Gordon
5:29.0,,,11-18,,N. Vucevic misses 2-pt shot from 7 ft
5:26.0,Defensive rebound by T. Waller-Prince,,11-18,,
5:20.0,D. Schroder makes 2-pt shot from 6 ft,2,13-18,,
5:07.0,,,13-18,,N. Vucevic misses 3-pt shot from 25 ft
5:07.0,Defensive rebound by T. Waller-Prince,,13-18,,
4:56.0,T. Cavanaugh misses 3-pt shot from 24 ft,,13-18,,
4:52.0,Offensive rebound by E. Ilyasova,,13-18,,
4:52.0,E. Ilyasova makes 2-pt shot at rim,2,15-18,,
4:52.0,,,15-18,,Orlando full timeout
4:52.0,L. Babbitt enters the game for E. Ilyasova,,15-18,,
4:52.0,D. Bembry enters the game for K. Bazemore,,15-18,,
4:35.0,,,15-18,,J. Simmons misses 3-pt shot from 25 ft
4:32.0,,,15-18,,Offensive rebound by E. Payton
4:30.0,,,15-18,,E. Payton misses 2-pt shot from 6 ft
4:30.0,,,15-18,,Offensive rebound by N. Vucevic
4:21.0,,,15-18,,N. Vucevic misses 2-pt shot at rim
4:21.0,,,15-18,,Offensive rebound by E. Payton
4:15.0,,,15-18,,E. Fournier misses 2-pt shot from 22 ft
4:15.0,Defensive rebound by T. Waller-Prince,,15-18,,
4:02.0,D. Schroder misses 2-pt shot from 2 ft,,15-18,,
4:02.0,Offensive rebound by Team,,15-18,,
4:02.0,,,15-18,,A. Afflalo enters the game for J. Simmons
4:02.0,M. Belinelli enters the game for T. Waller-Prince,,15-18,,
3:47.0,M. Belinelli misses 2-pt shot from 16 ft,,15-18,,
3:43.0,,,15-18,,Defensive rebound by N. Vucevic
3:30.0,,,15-20,2,A. Gordon makes 2-pt shot from 14 ft
3:10.0,M. Belinelli misses 2-pt shot from 17 ft,,15-20,,
3:07.0,,,15-20,,Defensive rebound by E. Fournier
3:02.0,,,15-20,,E. Fournier misses 2-pt shot from 3 ft
3:01.0,,,15-20,,Offensive rebound by N. Vucevic
3:01.0,,,15-22,2,N. Vucevic makes 2-pt shot at rim
2:38.0,L. Babbitt makes 3-pt shot from 23 ft (assist by D. Schroder),3,18-22,,
2:22.0,,,18-22,,Shooting foul by D. Bembry (drawn by E. Fournier)
2:22.0,,,18-22,,E. Fournier misses free throw 1 of 2
2:22.0,,,18-22,,Offensive rebound by Team
2:22.0,,,18-22,,B. Biyombo enters the game for E. Payton
2:22.0,,,18-22,,D. Augustin enters the game for N. Vucevic
2:22.0,M. Plumlee enters the game for D. Schroder,,18-22,,
2:22.0,I. Taylor enters the game for T. Cavanaugh,,18-22,,
2:22.0,,,18-23,1,E. Fournier makes free throw 2 of 2
2:08.0,D. Bembry makes 2-pt shot from 2 ft,2,20-23,,
1:50.0,,,20-23,,E. Fournier misses 2-pt shot from 4 ft
1:50.0,,,20-23,,Offensive rebound by Team
1:50.0,Loose ball foul by L. Babbitt (drawn by B. Biyombo),,20-23,,
1:38.0,,,20-25,2,B. Biyombo makes 2-pt shot from 2 ft (assist by E. Fournier)
1:24.0,Turnover by M. Belinelli (lost ball; steal by E. Fournier),,20-25,,
1:16.0,,,20-27,2,E. Fournier makes 2-pt shot from 2 ft (assist by D. Augustin)
1:03.0,,,20-27,,Personal foul by A. Afflalo (drawn by M. Plumlee)
0:55.0,I. Taylor misses 2-pt shot from 11 ft,,20-27,,
0:53.0,,,20-27,,Defensive rebound by A. Afflalo
0:40.0,,,20-29,2,E. Fournier makes 2-pt shot from 4 ft
0:27.0,L. Babbitt misses 2-pt shot from 10 ft,,20-29,,
0:24.0,Offensive rebound by M. Plumlee,,20-29,,
