time,Minnesota,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. K. Towns (N. Jokic gains possession),,,,Jump ball: M. Plumlee vs. K. Towns (N. Jokic gains possession)
11:48.0,,,0-0,,Turnover by N. Jokic (bad pass)
11:33.0,K. Towns makes 2-pt shot from 1 ft (assist by J. Butler),2,2-0,,
11:13.0,,,2-3,3,J. Murray makes 3-pt shot from 24 ft (assist by N. Jokic)
10:57.0,Turnover by J. Butler (lost ball; steal by M. Plumlee),,2-3,,
10:52.0,,,2-3,,Turnover by T. Craig (lost ball; steal by T. Gibson)
10:44.0,K. Towns misses 2-pt shot from 13 ft,,2-3,,
10:41.0,,,2-3,,Defensive rebound by J. Murray
10:33.0,,,2-6,3,T. Craig makes 3-pt shot from 25 ft (assist by W. Chandler)
10:09.0,Turnover by J. Teague (bad pass; steal by J. Murray),,2-6,,
10:05.0,,,2-9,3,J. Murray makes 3-pt shot from 24 ft (assist by W. Chandler)
9:54.0,Minnesota full timeout,,2-9,,
9:40.0,,,2-9,,Personal foul by W. Chandler (drawn by A. Wiggins)
9:35.0,Shooting foul by T. Craig (drawn by J. Butler),,2-9,,
9:35.0,J. Butler makes free throw 1 of 2,1,3-9,,
9:35.0,J. Butler makes free throw 2 of 2,1,4-9,,
9:16.0,,,4-9,,Turnover by N. Jokic (bad pass; steal by J. Butler)
9:15.0,Turnover by J. Butler (bad pass),,4-9,,
9:04.0,,,4-9,,Turnover by N. Jokic (bad pass; steal by K. Towns)
8:54.0,J. Butler misses 3-pt shot from 22 ft,,4-9,,
8:51.0,,,4-9,,Defensive rebound by W. Chandler
8:40.0,,,4-11,2,T. Craig makes 2-pt shot from 2 ft (assist by N. Jokic)
8:24.0,T. Gibson makes 2-pt shot from 4 ft (assist by J. Teague),2,6-11,,
7:58.0,,,6-11,,J. Murray misses 2-pt shot from 20 ft
7:55.0,,,6-11,,Offensive rebound by M. Plumlee
7:54.0,,,6-11,,W. Chandler misses 3-pt shot from 24 ft
7:51.0,Defensive rebound by T. Gibson,,6-11,,
7:39.0,A. Wiggins misses 2-pt shot from 3 ft,,6-11,,
7:36.0,,,6-11,,Defensive rebound by J. Murray
7:29.0,,,6-13,2,J. Murray makes 2-pt shot from 14 ft (assist by T. Craig)
7:08.0,J. Butler makes 2-pt shot from 1 ft (assist by J. Teague),2,8-13,,
6:47.0,,,8-13,,Shooting foul by K. Towns (drawn by M. Plumlee)
6:47.0,,,8-13,,M. Plumlee misses free throw 2 of 2
6:47.0,Defensive rebound by T. Gibson,,8-13,,
6:47.0,,,8-14,1,M. Plumlee makes free throw 1 of 2
6:34.0,A. Wiggins misses 3-pt shot from 24 ft,,8-14,,
6:30.0,,,8-14,,Defensive rebound by J. Murray
6:16.0,,,8-14,,Turnover by W. Chandler (turnover)
6:02.0,T. Gibson makes 2-pt shot from 2 ft (assist by A. Wiggins),2,10-14,,
5:50.0,,,10-14,,Turnover by N. Jokic (bad pass; steal by K. Towns)
5:41.0,J. Teague misses 3-pt shot from 24 ft,,10-14,,
5:38.0,,,10-14,,Defensive rebound by M. Plumlee
5:30.0,,,10-14,,Shooting foul by K. Towns (drawn by N. Jokic)
5:30.0,,,10-15,1,N. Jokic makes free throw 1 of 2
5:30.0,G. Dieng enters the game for K. Towns,,10-15,,
5:30.0,,,10-16,1,N. Jokic makes free throw 2 of 2
5:15.0,J. Teague misses 2-pt shot from 6 ft,,10-16,,
5:13.0,,,10-16,,Defensive rebound by N. Jokic
4:57.0,,,10-16,,Shooting foul by G. Dieng (drawn by N. Jokic)
4:57.0,,,10-17,1,N. Jokic makes free throw 1 of 2
4:57.0,,,10-17,,T. Lyles enters the game for T. Craig
4:57.0,,,10-17,,W. Barton enters the game for M. Plumlee
4:57.0,,,10-18,1,N. Jokic makes free throw 2 of 2
4:51.0,Turnover by J. Teague (bad pass; steal by W. Barton),,10-18,,
4:46.0,,,10-18,,J. Murray misses 3-pt shot from 22 ft
4:42.0,Defensive rebound by G. Dieng,,10-18,,
4:29.0,J. Butler misses 2-pt shot from 19 ft,,10-18,,
4:23.0,,,10-18,,Defensive rebound by W. Chandler
4:07.0,,,10-18,,W. Chandler misses 3-pt shot from 25 ft
4:04.0,Defensive rebound by J. Teague,,10-18,,
3:56.0,J. Teague misses 2-pt shot from 5 ft (block by W. Barton),,10-18,,
3:52.0,,,10-18,,Defensive rebound by N. Jokic
3:42.0,,,10-18,,Turnover by J. Murray (traveling)
3:42.0,T. Jones enters the game for J. Teague,,10-18,,
3:42.0,J. Crawford enters the game for J. Butler,,10-18,,
3:26.0,T. Jones misses 3-pt shot from 22 ft,,10-18,,
3:24.0,,,10-18,,Defensive rebound by W. Chandler
3:16.0,,,10-18,,Shooting foul by G. Dieng (drawn by N. Jokic)
3:16.0,,,10-18,,N. Jokic misses free throw 1 of 2
3:16.0,,,10-18,,Offensive rebound by Team
3:16.0,,,10-18,,M. Beasley enters the game for J. Murray
3:16.0,,,10-19,1,N. Jokic makes free throw 2 of 2
3:05.0,A. Wiggins misses 2-pt shot from 19 ft,,10-19,,
3:02.0,,,10-19,,Defensive rebound by N. Jokic
2:49.0,,,10-21,2,T. Lyles makes 2-pt shot from 2 ft (assist by N. Jokic)
2:34.0,G. Dieng misses 2-pt shot from 20 ft,,10-21,,
2:31.0,Offensive rebound by T. Gibson,,10-21,,
2:30.0,T. Gibson makes 2-pt shot from 1 ft,2,12-21,,
2:10.0,,,12-21,,M. Beasley misses 2-pt shot from 2 ft (block by T. Gibson)
2:07.0,Defensive rebound by G. Dieng,,12-21,,
2:01.0,J. Crawford misses 2-pt shot from 17 ft,,12-21,,
1:58.0,,,12-21,,Defensive rebound by W. Barton
1:55.0,,,12-21,,M. Beasley misses 3-pt shot from 25 ft
1:50.0,Defensive rebound by A. Wiggins,,12-21,,
1:44.0,A. Wiggins makes 2-pt shot from 1 ft,2,14-21,,
1:44.0,,,14-21,,Denver full timeout
1:44.0,,,14-21,,M. Plumlee enters the game for N. Jokic
1:44.0,,,14-21,,T. Craig enters the game for W. Chandler
1:28.0,,,14-24,3,T. Lyles makes 3-pt shot from 22 ft (assist by M. Beasley)
1:08.0,G. Dieng makes 2-pt shot from 20 ft (assist by T. Jones),2,16-24,,
0:48.0,,,16-24,,W. Barton misses 2-pt shot from 7 ft
0:43.0,,,16-24,,Offensive rebound by M. Plumlee
0:43.0,,,16-24,,M. Plumlee misses 2-pt shot at rim
0:43.0,Defensive rebound by G. Dieng,,16-24,,
0:35.0,Shooting foul by T. Lyles (drawn by G. Dieng),,16-24,,
0:35.0,G. Dieng misses free throw 1 of 2,,16-24,,
0:35.0,Offensive rebound by Team,,16-24,,
0:35.0,G. Dieng makes free throw 2 of 2,1,17-24,,
0:19.0,,,17-24,,M. Beasley misses 3-pt shot from 26 ft
0:15.0,,,17-24,,Offensive rebound by M. Plumlee
0:15.0,,,17-24,,M. Plumlee misses 2-pt shot at rim
0:14.0,Defensive rebound by G. Dieng,,17-24,,
0:00.0,T. Jones misses 3-pt shot from 24 ft,,17-24,,
0:00.0,Offensive rebound by Team,,17-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,K. Towns makes 3-pt shot from 24 ft (assist by J. Crawford),3,20-24,,
11:34.0,,,22-26,2,T. Lyles makes 2-pt shot from 1 ft (assist by M. Plumlee)
11:18.0,J. Crawford makes 2-pt shot from 19 ft (assist by T. Jones),2,22-26,,
10:58.0,,,22-26,,Turnover by M. Beasley (bad pass; steal by G. Dieng)
