time,LA Lakers,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Barnes vs. B. Lopez (L. Ball gains possession),,,,Jump ball: H. Barnes vs. B. Lopez (L. Ball gains possession)
11:44.0,J. Randle makes 2-pt shot from 9 ft (assist by B. Ingram),2,2-0,,
11:29.0,,,2-3,3,H. Barnes makes 3-pt shot from 25 ft (assist by W. Matthews)
11:12.0,B. Ingram makes 2-pt shot from 13 ft (assist by L. Ball),2,4-3,,
10:57.0,,,4-5,2,D. Smith makes 2-pt shot at rim (assist by Y. Ferrell)
10:45.0,J. Randle makes 2-pt shot from 5 ft,2,6-5,,
10:25.0,,,6-5,,D. Nowitzki misses 2-pt shot from 12 ft
10:22.0,Defensive rebound by L. Ball,,6-5,,
10:13.0,B. Lopez misses 3-pt shot from 25 ft,,6-5,,
10:10.0,,,6-5,,Defensive rebound by D. Smith
9:58.0,,,6-5,,H. Barnes misses 2-pt shot from 9 ft
9:55.0,,,6-5,,Offensive rebound by Y. Ferrell
9:54.0,,,6-5,,W. Matthews misses 3-pt shot from 25 ft
9:52.0,Defensive rebound by L. Ball,,6-5,,
9:43.0,B. Lopez misses 2-pt shot from 7 ft,,6-5,,
9:41.0,,,6-5,,Defensive rebound by D. Nowitzki
9:25.0,,,6-5,,Y. Ferrell misses 3-pt shot from 24 ft
9:20.0,Defensive rebound by B. Ingram,,6-5,,
9:15.0,J. Randle makes 2-pt shot at rim (assist by B. Ingram),2,8-5,,
8:56.0,,,8-5,,W. Matthews misses 3-pt shot from 25 ft
8:54.0,Defensive rebound by L. Ball,,8-5,,
8:42.0,B. Lopez misses 2-pt shot from 6 ft (block by D. Nowitzki),,8-5,,
8:40.0,Offensive rebound by B. Lopez,,8-5,,
8:38.0,B. Lopez makes 2-pt shot from 9 ft,2,10-5,,
8:20.0,,,10-8,3,D. Smith makes 3-pt shot from 29 ft (assist by W. Matthews)
8:06.0,Turnover by J. Randle (lost ball; steal by H. Barnes),,10-8,,
8:00.0,,,10-11,3,D. Smith makes 3-pt shot from 25 ft (assist by H. Barnes)
7:39.0,B. Ingram makes 2-pt shot from 17 ft,2,12-11,,
7:19.0,,,12-11,,D. Smith misses 2-pt shot from 12 ft
7:17.0,Defensive rebound by B. Ingram,,12-11,,
7:12.0,K. Caldwell-Pope makes 2-pt shot from 18 ft (assist by B. Ingram),2,14-11,,
6:56.0,Personal foul by J. Randle (drawn by H. Barnes),,14-11,,
6:56.0,,,14-11,,Dallas full timeout
6:56.0,,,14-11,,S. Mejri enters the game for D. Nowitzki
6:44.0,,,14-11,,H. Barnes misses 2-pt shot from 23 ft
6:40.0,Defensive rebound by B. Ingram,,14-11,,
6:34.0,B. Lopez misses 2-pt shot from 12 ft,,14-11,,
6:34.0,Offensive rebound by Team,,14-11,,
6:34.0,,,14-11,,Loose ball foul by S. Mejri (drawn by J. Randle)
6:28.0,K. Caldwell-Pope misses 2-pt shot from 19 ft,,14-11,,
6:25.0,,,14-11,,Defensive rebound by H. Barnes
6:21.0,,,14-11,,Turnover by D. Smith (bad pass)
6:00.0,J. Randle makes 2-pt shot from 7 ft,2,16-11,,
5:47.0,,,16-11,,Y. Ferrell misses 3-pt shot from 26 ft
5:44.0,Defensive rebound by J. Randle,,16-11,,
5:33.0,J. Randle misses 2-pt shot from 9 ft,,16-11,,
5:30.0,Offensive rebound by K. Caldwell-Pope,,16-11,,
5:24.0,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by B. Ingram),3,19-11,,
5:04.0,,,19-11,,H. Barnes misses 3-pt shot from 22 ft
5:03.0,Defensive rebound by B. Ingram,,19-11,,
5:03.0,K. Kuzma enters the game for L. Ball,,19-11,,
5:03.0,T. Ennis enters the game for B. Lopez,,19-11,,
4:54.0,K. Caldwell-Pope misses 2-pt shot from 17 ft,,19-11,,
4:49.0,,,19-11,,Defensive rebound by Y. Ferrell
4:48.0,Personal block foul by K. Caldwell-Pope (drawn by Y. Ferrell),,19-11,,
4:48.0,,,19-11,,D. Harris enters the game for Y. Ferrell
4:40.0,,,19-13,2,W. Matthews makes 2-pt shot from 6 ft (assist by S. Mejri)
4:28.0,J. Randle makes 2-pt shot from 1 ft,2,21-13,,
4:05.0,,,21-13,,D. Smith misses 2-pt shot from 17 ft
4:01.0,,,21-13,,Offensive rebound by S. Mejri
3:58.0,,,21-15,2,H. Barnes makes 2-pt shot at rim (assist by W. Matthews)
3:43.0,,,21-15,,Personal foul by S. Mejri (drawn by J. Randle)
3:43.0,,,21-15,,M. Kleber enters the game for S. Mejri
3:29.0,Turnover by Team (shot clock),,21-15,,
3:13.0,,,21-15,,H. Barnes misses 2-pt shot from 14 ft
3:11.0,Defensive rebound by B. Ingram,,21-15,,
3:06.0,K. Kuzma makes 2-pt shot at rim (assist by B. Ingram),2,23-15,,
2:53.0,Personal foul by T. Ennis (drawn by H. Barnes),,23-15,,
2:53.0,LA Lakers full timeout,,23-15,,
2:53.0,,,23-15,,J. Barea enters the game for D. Smith
2:53.0,,,23-15,,D. Powell enters the game for W. Matthews
2:53.0,,,23-15,,D. Nowitzki enters the game for H. Barnes
2:53.0,,,23-15,,Y. Ferrell enters the game for M. Kleber
2:53.0,L. Nance enters the game for J. Randle,,23-15,,
2:39.0,,,23-15,,D. Nowitzki misses 3-pt shot from 25 ft
2:36.0,Defensive rebound by K. Caldwell-Pope,,23-15,,
2:27.0,,,23-15,,Personal foul by D. Harris (drawn by B. Ingram)
2:27.0,K. Caldwell-Pope makes technical free throw,1,24-15,,
2:18.0,T. Ennis misses 2-pt shot from 16 ft,,24-15,,
2:14.0,,,24-15,,Defensive rebound by D. Harris
2:07.0,,,24-15,,Y. Ferrell misses 3-pt shot from 23 ft
2:05.0,Defensive rebound by B. Ingram,,24-15,,
1:49.0,T. Ennis misses 3-pt shot from 24 ft,,24-15,,
1:47.0,Offensive rebound by K. Kuzma,,24-15,,
1:42.0,K. Kuzma makes 2-pt shot from 11 ft,2,26-15,,
1:24.0,,,26-18,3,J. Barea makes 3-pt shot from 24 ft (assist by D. Powell)
1:12.0,Turnover by K. Kuzma (bad pass; steal by D. Nowitzki),,26-18,,
1:04.0,Personal foul by T. Ennis (drawn by D. Nowitzki),,26-18,,
1:04.0,J. Hart enters the game for K. Caldwell-Pope,,26-18,,
1:04.0,J. Clarkson enters the game for B. Ingram,,26-18,,
0:54.0,,,26-18,,J. Barea misses 2-pt shot from 5 ft
0:54.0,Defensive rebound by L. Nance,,26-18,,
0:45.0,L. Nance makes 2-pt shot from 5 ft (assist by T. Ennis),2,28-18,,
0:33.0,,,28-20,2,D. Powell makes 2-pt shot at rim (assist by D. Harris)
0:15.0,T. Ennis makes 3-pt shot from 24 ft,3,31-20,,
0:03.0,,,31-20,,D. Nowitzki misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by T. Ennis,,31-20,,
0:00.0,T. Ennis misses 3-pt shot from 67 ft,,31-20,,
0:00.0,Offensive rebound by Team,,31-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,31-22,2,Y. Ferrell makes 2-pt shot from 17 ft
11:19.0,J. Clarkson makes 2-pt shot from 15 ft,2,33-22,,
10:53.0,,,33-22,,J. Barea misses 2-pt shot from 19 ft
10:51.0,Defensive rebound by J. Hart,,33-22,,
10:47.0,Turnover by J. Hart (traveling),,33-22,,
10:47.0,L. Ball enters the game for T. Ennis,,33-22,,
10:32.0,Personal foul by J. Hart (drawn by D. Nowitzki),,33-22,,
10:22.0,,,33-22,,Turnover by J. Barea (bad pass; steal by K. Kuzma)
10:17.0,L. Ball misses 3-pt shot from 24 ft,,33-22,,
10:14.0,,,33-22,,Defensive rebound by Y. Ferrell
10:10.0,,,33-25,3,D. Harris makes 3-pt shot from 25 ft (assist by Y. Ferrell)
9:47.0,L. Ball misses 3-pt shot from 24 ft,,33-25,,
9:46.0,,,33-25,,Defensive rebound by D. Powell
9:46.0,Loose ball foul by L. Nance (drawn by D. Powell),,33-25,,
9:30.0,,,33-27,2,D. Powell makes 2-pt shot from 3 ft (assist by J. Barea)
9:19.0,J. Clarkson misses 2-pt shot from 3 ft,,33-27,,
9:17.0,,,33-27,,Defensive rebound by D. Powell
9:04.0,,,33-27,,D. Nowitzki misses 2-pt shot from 13 ft
9:04.0,Defensive rebound by J. Clarkson,,33-27,,
8:54.0,J. Clarkson makes 2-pt shot from 18 ft,2,35-27,,
8:36.0,,,35-27,,J. Barea misses 3-pt shot from 25 ft
8:34.0,Defensive rebound by K. Kuzma,,35-27,,
8:30.0,L. Ball makes 2-pt shot at rim (assist by K. Kuzma),2,37-27,,
8:30.0,,,37-27,,Dallas full timeout
8:30.0,,,37-27,,D. Smith enters the game for Y. Ferrell
8:17.0,,,37-27,,Turnover by D. Harris (bad pass; steal by J. Hart)
8:11.0,J. Hart misses 3-pt shot from 24 ft,,37-27,,
8:06.0,Offensive rebound by L. Ball,,37-27,,
8:06.0,L. Ball misses 2-pt shot from 1 ft,,37-27,,
8:04.0,,,37-27,,Defensive rebound by D. Nowitzki
7:51.0,,,37-27,,Shooting foul by L. Nance (drawn by D. Nowitzki)
7:51.0,,,37-28,1,D. Nowitzki makes free throw 1 of 2
7:51.0,,,37-29,1,D. Nowitzki makes free throw 2 of 2
7:37.0,K. Kuzma makes 2-pt shot from 8 ft,2,39-29,,
7:26.0,,,39-31,2,D. Powell makes 2-pt shot from 1 ft (assist by J. Barea)
7:17.0,Offensive foul by K. Kuzma (drawn by J. Barea),,39-31,,
7:17.0,Turnover by K. Kuzma (offensive foul),,39-31,,
7:04.0,Personal foul by J. Hart (drawn by D. Powell),,39-31,,
6:52.0,,,39-31,,Shooting foul by J. Hart (drawn by J. Barea)
6:52.0,,,39-32,1,J. Barea makes free throw 1 of 3
6:52.0,,,39-32,,J. Barea misses free throw 2 of 3
6:52.0,,,39-32,,Offensive rebound by Team
6:52.0,,,39-32,,W. Matthews enters the game for D. Harris
6:52.0,B. Ingram enters the game for J. Hart,,39-32,,
6:52.0,,,39-33,1,J. Barea makes free throw 3 of 3
6:42.0,J. Clarkson misses 3-pt shot from 24 ft,,39-33,,
6:40.0,Offensive rebound by Team,,39-33,,
6:31.0,L. Nance misses 2-pt shot from 14 ft,,39-33,,
6:29.0,,,39-33,,Defensive rebound by J. Barea
6:22.0,,,39-35,2,D. Powell makes 2-pt shot from 3 ft (assist by J. Barea)
6:22.0,,,39-35,,Shooting foul by K. Kuzma (drawn by D. Powell)
