time,Indiana,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Allen vs. M. Turner (S. Dinwiddie gains possession),,,,Jump ball: J. Allen vs. M. Turner (S. Dinwiddie gains possession)
11:37.0,,,0-0,,Turnover by D. Carroll (bad pass; steal by C. Joseph)
11:31.0,Turnover by C. Joseph (bad pass; steal by S. Dinwiddie),,0-0,,
11:20.0,,,0-0,,Q. Acy misses 3-pt shot from 26 ft
11:17.0,Defensive rebound by M. Turner,,0-0,,
10:59.0,B. Bogdanovic misses 2-pt shot from 7 ft,,0-0,,
10:57.0,,,0-0,,Defensive rebound by S. Dinwiddie
10:49.0,,,0-3,3,A. Crabbe makes 3-pt shot from 23 ft (assist by Q. Acy)
10:29.0,,,0-3,,Violation by J. Allen (kicked ball)
10:17.0,T. Young misses 2-pt shot from 21 ft,,0-3,,
10:12.0,Offensive rebound by C. Joseph,,0-3,,
10:10.0,B. Bogdanovic misses 3-pt shot from 25 ft,,0-3,,
10:07.0,,,0-3,,Defensive rebound by S. Dinwiddie
9:53.0,,,0-3,,A. Crabbe misses 3-pt shot from 25 ft
9:49.0,Defensive rebound by T. Young,,0-3,,
9:46.0,V. Oladipo makes 2-pt shot from 13 ft,2,2-3,,
9:19.0,,,2-3,,Turnover by Team (shot clock)
9:09.0,T. Young misses 2-pt shot from 4 ft,,2-3,,
9:08.0,Offensive rebound by M. Turner,,2-3,,
9:05.0,T. Young misses 2-pt shot from 5 ft (block by D. Carroll),,2-3,,
9:03.0,,,2-3,,Defensive rebound by S. Dinwiddie
9:01.0,T. Young misses 2-pt shot at rim,,2-3,,
9:01.0,Offensive rebound by M. Turner,,2-3,,
8:56.0,,,2-3,,S. Dinwiddie misses 3-pt shot from 25 ft
8:54.0,Defensive rebound by C. Joseph,,2-3,,
8:51.0,M. Turner misses 2-pt shot from 2 ft (block by S. Dinwiddie),,2-3,,
8:51.0,Offensive rebound by T. Young,,2-3,,
8:47.0,Jump ball: S. Dinwiddie vs. C. Joseph (J. Allen gains possession),,,,Jump ball: S. Dinwiddie vs. C. Joseph (J. Allen gains possession)
8:47.0,Turnover by C. Joseph (turnover; steal by S. Dinwiddie),,2-3,,
8:31.0,,,2-5,2,A. Crabbe makes 2-pt shot from 4 ft
8:15.0,V. Oladipo misses 2-pt shot from 14 ft,,2-5,,
8:15.0,Offensive rebound by M. Turner,,2-5,,
8:07.0,B. Bogdanovic makes 2-pt shot from 12 ft,2,4-5,,
7:44.0,,,4-5,,Turnover by D. Carroll (bad pass; steal by C. Joseph)
7:35.0,C. Joseph makes 2-pt shot from 16 ft,2,6-5,,
7:23.0,,,6-7,2,J. Allen makes 2-pt shot from 2 ft (assist by S. Dinwiddie)
7:23.0,,,6-7,,Shooting foul by M. Turner (drawn by J. Allen)
7:23.0,,,6-8,1,J. Allen makes free throw 1 of 1
7:14.0,M. Turner makes free throw 1 of 2,1,7-8,,
7:14.0,M. Turner makes free throw 2 of 2,1,8-8,,
7:02.0,,,8-8,,S. Dinwiddie misses 3-pt shot from 26 ft
7:01.0,,,8-8,,Offensive rebound by Team
6:52.0,,,8-8,,A. Crabbe misses 3-pt shot from 27 ft
6:50.0,Defensive rebound by Team,,8-8,,
6:50.0,,,8-8,,Brooklyn full timeout
6:50.0,,,8-8,,D. Cunningham enters the game for J. Allen
6:40.0,T. Young makes 2-pt shot from 6 ft (assist by C. Joseph),2,10-8,,
6:20.0,,,10-8,,S. Dinwiddie misses 2-pt shot from 22 ft
6:17.0,Defensive rebound by C. Joseph,,10-8,,
6:08.0,C. Joseph misses 2-pt shot from 21 ft,,10-8,,
6:07.0,,,10-8,,Defensive rebound by D. Carroll
5:49.0,,,10-10,2,A. Crabbe makes 2-pt shot from 3 ft
5:28.0,T. Young misses 2-pt shot from 15 ft,,10-10,,
5:25.0,,,10-10,,Defensive rebound by A. Crabbe
5:20.0,,,10-10,,D. Carroll misses 3-pt shot from 25 ft
