time,Cleveland,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. T. Thompson (C. Anthony gains possession),,,,Jump ball: S. Adams vs. T. Thompson (C. Anthony gains possession)
11:42.0,,,0-2,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
11:28.0,G. Hill misses 3-pt shot from 25 ft,,0-2,,
11:24.0,Offensive rebound by T. Thompson,,0-2,,
11:20.0,J. Smith makes 3-pt shot from 24 ft (assist by T. Thompson),3,3-2,,
11:00.0,,,3-2,,C. Anthony misses 3-pt shot from 24 ft
10:58.0,Defensive rebound by J. Smith,,3-2,,
10:41.0,L. James makes 2-pt shot from 13 ft,2,5-2,,
10:27.0,,,5-5,3,P. George makes 3-pt shot from 24 ft (assist by R. Westbrook)
10:09.0,L. James makes 2-pt shot from 1 ft,2,7-5,,
10:00.0,,,7-5,,R. Westbrook misses 2-pt shot from 15 ft
9:57.0,,,7-5,,Offensive rebound by S. Adams
9:52.0,Jump ball: S. Adams vs. L. James (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. L. James (R. Westbrook gains possession)
9:51.0,Personal foul by G. Hill (drawn by C. Anthony),,7-5,,
9:38.0,,,7-5,,R. Westbrook misses 2-pt shot from 13 ft
9:36.0,,,7-5,,Offensive rebound by S. Adams
9:36.0,,,7-5,,S. Adams misses 2-pt shot at rim
9:35.0,,,7-5,,Offensive rebound by Team
9:32.0,,,7-7,2,S. Adams makes 2-pt shot from 1 ft (assist by P. George)
9:13.0,T. Thompson misses 2-pt shot from 10 ft,,7-7,,
9:09.0,,,7-7,,Defensive rebound by C. Anthony
9:04.0,,,7-9,2,C. Anthony makes 2-pt shot from 20 ft
8:41.0,Turnover by L. James (bad pass; steal by S. Adams),,7-9,,
8:40.0,Personal foul by J. Smith (drawn by R. Westbrook),,7-9,,
8:33.0,,,7-9,,P. George misses 3-pt shot from 24 ft
8:33.0,,,7-9,,Offensive rebound by S. Adams
8:28.0,,,7-9,,Shooting foul by T. Thompson (drawn by S. Adams)
8:28.0,,,7-9,,S. Adams misses free throw 1 of 2
8:28.0,,,7-9,,Offensive rebound by Team
8:28.0,,,7-10,1,S. Adams makes free throw 2 of 2
8:12.0,J. Smith misses 2-pt shot from 20 ft,,7-10,,
8:10.0,Offensive rebound by G. Hill,,7-10,,
8:04.0,C. Osman makes 3-pt shot from 25 ft (assist by L. James),3,10-10,,
7:47.0,,,10-12,2,P. George makes 2-pt shot from 6 ft
7:40.0,Shooting foul by A. Abrines (drawn by L. James),,10-12,,
7:40.0,L. James makes free throw 1 of 2,1,11-12,,
7:40.0,L. James makes free throw 2 of 2,1,12-12,,
7:24.0,,,12-14,2,C. Anthony makes 2-pt shot at rim
7:09.0,G. Hill misses 2-pt shot from 1 ft (block by S. Adams),,12-14,,
7:09.0,Offensive rebound by Team,,12-14,,
7:01.0,C. Osman misses 2-pt shot from 19 ft,,12-14,,
6:59.0,,,12-14,,Defensive rebound by A. Abrines
6:54.0,,,12-14,,R. Westbrook misses 2-pt shot from 15 ft
6:52.0,,,12-14,,Offensive rebound by S. Adams
6:50.0,,,12-16,2,R. Westbrook makes 2-pt shot from 9 ft (assist by S. Adams)
6:42.0,Cleveland full timeout,,12-16,,
6:35.0,J. Smith makes 3-pt shot from 22 ft (assist by L. James),3,15-16,,
6:15.0,,,15-16,,S. Adams misses 2-pt shot at rim
6:14.0,,,15-16,,Offensive rebound by S. Adams
6:14.0,,,15-18,2,S. Adams makes 2-pt shot at rim
6:00.0,L. James makes 2-pt shot at rim,2,17-18,,
5:43.0,,,17-20,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
5:25.0,C. Osman misses 2-pt shot from 6 ft,,17-20,,
5:24.0,,,17-20,,Defensive rebound by A. Abrines
5:17.0,,,17-22,2,R. Westbrook makes 2-pt shot from 1 ft (assist by P. George)
4:59.0,L. James misses 3-pt shot from 22 ft,,17-22,,
4:57.0,,,17-22,,Defensive rebound by C. Anthony
4:51.0,,,17-24,2,S. Adams makes 2-pt shot from 8 ft (assist by R. Westbrook)
4:25.0,J. Smith makes 3-pt shot from 22 ft (assist by L. James),3,20-24,,
4:03.0,,,20-24,,C. Anthony misses 3-pt shot from 24 ft
4:01.0,Defensive rebound by C. Osman,,20-24,,
3:53.0,Turnover by T. Thompson (lost ball; steal by C. Anthony),,20-24,,
3:45.0,,,20-24,,C. Anthony misses 2-pt shot at rim
3:43.0,Defensive rebound by L. James,,20-24,,
3:38.0,J. Smith makes 3-pt shot from 22 ft (assist by L. James),3,23-24,,
3:23.0,Personal foul by C. Osman (drawn by P. George),,23-24,,
3:23.0,,,23-24,,J. Huestis enters the game for P. George
3:23.0,R. Hood enters the game for C. Osman,,23-24,,
3:15.0,,,23-24,,R. Westbrook misses 2-pt shot at rim
3:14.0,Defensive rebound by T. Thompson,,23-24,,
3:14.0,,,23-24,,Technical foul by R. Westbrook
3:14.0,L. James misses technical free throw,,23-24,,
3:14.0,Offensive rebound by Team,,23-24,,
2:56.0,T. Thompson makes 2-pt shot from 1 ft (assist by G. Hill),2,25-24,,
2:43.0,,,25-24,,Shooting foul by R. Hood (drawn by R. Westbrook)
2:43.0,,,25-24,,Oklahoma City full timeout
2:43.0,,,25-24,,P. Patterson enters the game for S. Adams
2:43.0,J. Green enters the game for G. Hill,,25-24,,
2:43.0,L. Nance enters the game for J. Smith,,25-24,,
2:43.0,J. Clarkson enters the game for T. Thompson,,25-24,,
2:43.0,,,25-25,1,R. Westbrook makes free throw 1 of 2
2:43.0,,,25-26,1,R. Westbrook makes free throw 2 of 2
2:23.0,L. James misses 2-pt shot from 3 ft,,25-26,,
2:21.0,,,25-26,,Defensive rebound by J. Huestis
2:13.0,,,25-26,,C. Anthony misses 2-pt shot at rim
2:11.0,Defensive rebound by J. Green,,25-26,,
2:05.0,J. Green misses 2-pt shot from 1 ft,,25-26,,
2:03.0,,,25-26,,Defensive rebound by P. Patterson
1:49.0,,,25-26,,R. Westbrook misses 2-pt shot from 18 ft
1:47.0,Defensive rebound by L. James,,25-26,,
1:42.0,Shooting foul by J. Huestis (drawn by L. James),,25-26,,
1:42.0,L. James misses free throw 1 of 2,,25-26,,
1:42.0,Offensive rebound by Team,,25-26,,
1:42.0,,,25-26,,R. Felton enters the game for R. Westbrook
1:42.0,,,25-26,,J. Grant enters the game for C. Anthony
1:42.0,L. James makes free throw 2 of 2,1,26-26,,
1:21.0,,,26-26,,A. Abrines misses 3-pt shot from 23 ft
1:18.0,Defensive rebound by J. Clarkson,,26-26,,
1:08.0,J. Green misses 3-pt shot from 23 ft,,26-26,,
1:04.0,Offensive rebound by L. Nance,,26-26,,
1:03.0,R. Hood misses 3-pt shot from 25 ft,,26-26,,
1:00.0,,,26-26,,Defensive rebound by J. Grant
0:49.0,,,26-28,2,J. Grant makes 2-pt shot at rim
0:49.0,,,26-28,,Shooting foul by J. Clarkson (drawn by J. Grant)
0:49.0,,,26-28,,P. George enters the game for A. Abrines
0:49.0,K. Korver enters the game for L. James,,26-28,,
0:49.0,,,26-28,,J. Grant misses free throw 1 of 1
0:47.0,Defensive rebound by R. Hood,,26-28,,
0:37.0,J. Clarkson makes 2-pt shot from 1 ft,2,28-28,,
0:14.0,,,28-28,,J. Grant misses 2-pt shot from 6 ft (block by L. Nance)
0:13.0,,,28-28,,Offensive rebound by P. Patterson
0:13.0,,,28-28,,Turnover by Team (shot clock)
0:03.0,,,28-28,,Personal foul by P. Patterson (drawn by J. Clarkson)
0:03.0,J. Clarkson makes free throw 1 of 2,1,29-28,,
0:03.0,J. Clarkson misses free throw 2 of 2,,29-28,,
0:02.0,,,29-28,,Defensive rebound by J. Grant
0:00.0,,,29-28,,R. Felton misses 3-pt shot from 49 ft
0:00.0,,,29-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,R. Hood makes 3-pt shot from 25 ft (assist by L. Nance),3,32-28,,
11:24.0,,,32-31,3,R. Felton makes 3-pt shot from 24 ft (assist by P. Patterson)
11:12.0,L. Nance makes 2-pt shot from 2 ft (assist by J. Clarkson),2,34-31,,
10:54.0,,,34-31,,Turnover by P. George (lost ball; steal by R. Hood)
10:49.0,R. Hood misses 3-pt shot from 26 ft,,34-31,,
10:45.0,,,34-31,,Defensive rebound by J. Grant
10:41.0,,,34-33,2,P. George makes 2-pt shot at rim (assist by J. Grant)
10:27.0,J. Clarkson misses 3-pt shot from 25 ft,,34-33,,
10:27.0,Offensive rebound by L. Nance,,34-33,,
10:24.0,L. Nance makes 2-pt shot from 1 ft,2,36-33,,
10:23.0,,,36-33,,Oklahoma City full timeout
10:07.0,,,36-36,3,R. Felton makes 3-pt shot from 23 ft (assist by P. George)
9:44.0,J. Green misses 2-pt shot from 10 ft,,36-36,,
9:43.0,,,36-36,,Defensive rebound by P. Patterson
9:32.0,,,36-36,,J. Grant misses 2-pt shot at rim (block by L. Nance)
9:29.0,Defensive rebound by K. Korver,,36-36,,
9:17.0,K. Korver misses 2-pt shot from 21 ft,,36-36,,
9:16.0,,,36-36,,Defensive rebound by S. Adams
9:06.0,Personal foul by L. Nance (drawn by S. Adams),,36-36,,
9:06.0,,,36-36,,R. Westbrook enters the game for P. Patterson
8:55.0,,,36-38,2,S. Adams makes 2-pt shot at rim (assist by J. Grant)
8:34.0,R. Hood makes 3-pt shot from 26 ft,3,39-38,,
8:21.0,L. James enters the game for K. Korver,,39-38,,
8:20.0,Jump ball: S. Adams vs. L. Nance (R. Felton gains possession),,,,Jump ball: S. Adams vs. L. Nance (R. Felton gains possession)
8:15.0,,,39-38,,R. Felton misses 3-pt shot from 25 ft
8:11.0,Defensive rebound by J. Clarkson,,39-38,,
8:06.0,L. James makes 2-pt shot from 1 ft (assist by J. Clarkson),2,41-38,,
7:56.0,,,41-38,,R. Westbrook misses 2-pt shot from 13 ft
7:54.0,Defensive rebound by J. Green,,41-38,,
7:50.0,Shooting foul by P. George (drawn by J. Green),,41-38,,
7:50.0,J. Green makes free throw 1 of 2,1,42-38,,
7:50.0,,,42-38,,J. Huestis enters the game for R. Felton
7:50.0,J. Green makes free throw 2 of 2,1,43-38,,
7:33.0,,,43-38,,J. Grant misses 3-pt shot from 23 ft
7:29.0,Defensive rebound by L. Nance,,43-38,,
7:14.0,L. Nance misses 2-pt shot from 4 ft,,43-38,,
7:13.0,,,43-38,,Defensive rebound by P. George
7:04.0,,,43-38,,C. Anthony enters the game for J. Grant
7:01.0,,,43-38,,R. Westbrook misses 3-pt shot from 24 ft
6:59.0,Defensive rebound by L. James,,43-38,,
6:52.0,J. Clarkson makes 2-pt shot from 15 ft,2,45-38,,
6:27.0,,,45-40,2,C. Anthony makes 2-pt shot from 10 ft
6:13.0,R. Hood makes 3-pt shot from 22 ft (assist by L. James),3,48-40,,
5:53.0,,,48-42,2,S. Adams makes 2-pt shot from 11 ft (assist by P. George)
