time,Chicago,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Frye vs. R. Lopez (J. Calderon gains possession),,,,Jump ball: C. Frye vs. R. Lopez (J. Calderon gains possession)
11:46.0,,,0-0,,K. Love misses 2-pt shot from 1 ft
11:39.0,,,0-0,,Offensive rebound by K. Love
11:39.0,,,0-2,2,K. Love makes 2-pt shot at rim
11:26.0,R. Lopez misses 2-pt shot from 5 ft,,0-2,,
11:23.0,,,0-2,,Defensive rebound by C. Frye
11:20.0,,,0-2,,L. James misses 2-pt shot from 18 ft
11:17.0,Defensive rebound by J. Holiday,,0-2,,
11:09.0,Turnover by D. Valentine (bad pass; steal by L. James),,0-2,,
11:06.0,,,0-4,2,L. James makes 2-pt shot at rim (assist by J. Calderon)
10:48.0,D. Valentine makes 3-pt shot from 22 ft (assist by K. Dunn),3,3-4,,
10:29.0,,,3-4,,Turnover by L. James (bad pass)
10:12.0,Turnover by J. Holiday (bad pass; steal by J. Crowder),,3-4,,
10:07.0,,,3-7,3,K. Love makes 3-pt shot from 25 ft (assist by C. Frye)
9:48.0,L. Markkanen misses 3-pt shot from 25 ft,,3-7,,
9:46.0,,,3-7,,Defensive rebound by C. Frye
9:34.0,,,3-7,,K. Love misses 2-pt shot from 21 ft
9:31.0,Defensive rebound by J. Holiday,,3-7,,
9:17.0,K. Dunn misses 2-pt shot from 14 ft,,3-7,,
9:14.0,,,3-7,,Defensive rebound by C. Frye
9:08.0,,,3-10,3,J. Calderon makes 3-pt shot from 25 ft
8:54.0,J. Holiday makes 3-pt shot from 25 ft (assist by K. Dunn),3,6-10,,
8:32.0,,,6-10,,K. Love misses 3-pt shot from 24 ft
8:31.0,Defensive rebound by K. Dunn,,6-10,,
8:10.0,R. Lopez makes 2-pt shot from 6 ft,2,8-10,,
7:50.0,,,8-10,,J. Calderon misses 3-pt shot from 24 ft
7:47.0,Defensive rebound by D. Valentine,,8-10,,
7:38.0,,,8-10,,Personal foul by J. Calderon (drawn by R. Lopez)
7:27.0,L. Markkanen misses 2-pt shot from 8 ft (block by C. Frye),,8-10,,
7:27.0,Offensive rebound by Team,,8-10,,
7:25.0,J. Holiday misses 3-pt shot from 23 ft,,8-10,,
7:22.0,,,8-10,,Defensive rebound by L. James
7:17.0,,,8-10,,C. Frye misses 3-pt shot from 26 ft
7:14.0,Defensive rebound by K. Dunn,,8-10,,
7:08.0,L. Markkanen makes 2-pt shot at rim (assist by K. Dunn),2,10-10,,
6:50.0,,,10-12,2,C. Frye makes 2-pt shot at rim (assist by L. James)
6:31.0,R. Lopez makes 2-pt shot from 2 ft,2,12-12,,
6:20.0,,,12-12,,Shooting foul by L. Markkanen (drawn by K. Love)
6:20.0,,,12-12,,Cleveland full timeout
6:20.0,,,12-13,1,K. Love makes free throw 1 of 2
6:20.0,,,12-14,1,K. Love makes free throw 2 of 2
6:02.0,R. Lopez makes 2-pt shot from 7 ft (assist by L. Markkanen),2,14-14,,
5:41.0,,,14-14,,L. James misses 2-pt shot from 2 ft (block by D. Valentine)
5:38.0,,,14-14,,Offensive rebound by L. James
5:36.0,,,14-17,3,K. Love makes 3-pt shot from 25 ft (assist by L. James)
5:25.0,K. Dunn makes 2-pt shot from 20 ft (assist by R. Lopez),2,16-17,,
5:01.0,,,16-19,2,L. James makes 2-pt shot from 1 ft (assist by J. Crowder)
4:51.0,,,16-19,,D. Wade enters the game for C. Frye
4:51.0,,,16-19,,T. Thompson enters the game for J. Calderon
4:51.0,N. Mirotic enters the game for L. Markkanen,,16-19,,
4:35.0,D. Valentine makes 2-pt shot at rim,2,18-19,,
4:13.0,,,18-19,,K. Love misses 3-pt shot from 26 ft
4:12.0,,,18-19,,Offensive rebound by Team
4:12.0,Loose ball foul by D. Valentine (drawn by J. Crowder),,18-19,,
4:04.0,,,18-19,,L. James misses 3-pt shot from 26 ft
4:01.0,,,18-19,,Offensive rebound by J. Crowder
3:59.0,,,18-19,,J. Crowder misses 2-pt shot from 14 ft
3:59.0,Defensive rebound by J. Holiday,,18-19,,
3:53.0,N. Mirotic makes 2-pt shot from 1 ft (assist by J. Holiday),2,20-19,,
3:41.0,,,20-19,,Turnover by D. Wade (lost ball; steal by K. Dunn)
3:29.0,K. Dunn misses 2-pt shot from 2 ft,,20-19,,
3:24.0,Offensive rebound by R. Lopez,,20-19,,
3:24.0,R. Lopez misses 2-pt shot at rim,,20-19,,
3:23.0,,,20-19,,Defensive rebound by K. Love
