time,LA Lakers,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. B. Lopez (J. Holiday gains possession),,,,Jump ball: A. Davis vs. B. Lopez (J. Holiday gains possession)
11:37.0,,,0-2,2,A. Davis makes 2-pt shot from 9 ft
11:22.0,J. Hart misses 2-pt shot from 16 ft,,0-2,,
11:19.0,,,0-2,,Defensive rebound by A. Davis
11:13.0,,,0-2,,E. Moore misses 3-pt shot from 23 ft
11:08.0,Defensive rebound by K. Caldwell-Pope,,0-2,,
11:03.0,B. Ingram misses 3-pt shot from 24 ft,,0-2,,
10:59.0,,,0-2,,Defensive rebound by E. Okafor
10:49.0,,,0-4,2,R. Rondo makes 2-pt shot from 1 ft
10:33.0,B. Lopez misses 3-pt shot from 23 ft,,0-4,,
10:30.0,,,0-4,,Defensive rebound by R. Rondo
10:26.0,,,0-4,,R. Rondo misses 2-pt shot from 2 ft
10:24.0,,,0-4,,Offensive rebound by E. Okafor
10:24.0,,,0-4,,Shooting foul by B. Lopez (drawn by E. Okafor)
10:24.0,,,0-5,1,E. Okafor makes free throw 1 of 2
10:24.0,,,0-5,,E. Okafor misses free throw 2 of 2
10:22.0,Defensive rebound by J. Randle,,0-5,,
10:09.0,J. Randle makes 2-pt shot from 3 ft (assist by B. Ingram),2,2-5,,
10:01.0,,,2-7,2,J. Holiday makes 2-pt shot from 6 ft
9:51.0,J. Randle misses 2-pt shot from 4 ft,,2-7,,
9:46.0,,,2-7,,Defensive rebound by A. Davis
9:46.0,,,2-7,,E. Okafor misses 2-pt shot from 1 ft (block by J. Randle)
9:46.0,,,2-7,,Offensive rebound by J. Holiday
9:43.0,,,2-7,,R. Rondo misses 2-pt shot from 1 ft
9:33.0,,,2-7,,Offensive rebound by E. Okafor
9:31.0,,,2-10,3,J. Holiday makes 3-pt shot from 24 ft (assist by A. Davis)
9:16.0,B. Ingram misses 2-pt shot from 8 ft,,2-10,,
9:13.0,,,2-10,,Defensive rebound by E. Okafor
9:05.0,,,2-12,2,J. Holiday makes 2-pt shot from 8 ft (assist by R. Rondo)
9:05.0,LA Lakers full timeout,,2-12,,
8:47.0,Turnover by J. Randle (bad pass; steal by A. Davis),,2-12,,
8:36.0,,,2-15,3,E. Moore makes 3-pt shot from 23 ft (assist by R. Rondo)
8:11.0,B. Lopez makes 2-pt shot from 8 ft (assist by K. Caldwell-Pope),2,4-15,,
7:57.0,,,4-15,,Turnover by E. Moore (lost ball; steal by K. Caldwell-Pope)
7:56.0,,,4-15,,Personal foul by J. Holiday (drawn by K. Caldwell-Pope)
7:43.0,B. Ingram misses 2-pt shot from 8 ft,,4-15,,
7:41.0,,,4-15,,Defensive rebound by R. Rondo
7:35.0,,,4-15,,J. Holiday misses 2-pt shot from 14 ft
7:31.0,,,4-15,,Offensive rebound by A. Davis
7:27.0,,,4-15,,Turnover by J. Holiday (bad pass; steal by B. Ingram)
7:21.0,B. Ingram makes 2-pt shot from 1 ft,2,6-15,,
7:09.0,,,6-17,2,J. Holiday makes 2-pt shot at rim (assist by R. Rondo)
6:54.0,J. Randle makes 2-pt shot from 4 ft,2,8-17,,
6:54.0,Shooting foul by A. Davis (drawn by J. Randle),,8-17,,
6:54.0,J. Randle makes free throw 1 of 1,1,9-17,,
6:48.0,,,9-19,2,A. Davis makes 2-pt shot at rim (assist by R. Rondo)
6:36.0,B. Ingram misses 2-pt shot from 15 ft,,9-19,,
6:31.0,,,9-19,,Defensive rebound by R. Rondo
6:27.0,,,9-21,2,E. Moore makes 2-pt shot at rim (assist by R. Rondo)
6:15.0,J. Randle misses 2-pt shot from 1 ft,,9-21,,
6:13.0,,,9-21,,Defensive rebound by A. Davis
6:06.0,,,9-21,,R. Rondo misses 3-pt shot from 26 ft
6:02.0,Defensive rebound by K. Caldwell-Pope,,9-21,,
5:58.0,J. Hart makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope),3,12-21,,
5:44.0,,,12-23,2,J. Holiday makes 2-pt shot from 1 ft (assist by R. Rondo)
5:30.0,Turnover by J. Randle (bad pass; steal by J. Holiday),,12-23,,
5:24.0,,,12-25,2,E. Moore makes 2-pt shot from 5 ft
5:22.0,LA Lakers full timeout,,12-25,,
5:22.0,,,12-25,,N. Mirotic enters the game for E. Okafor
5:22.0,,,12-25,,D. Miller enters the game for R. Rondo
5:22.0,C. Brewer enters the game for B. Ingram,,12-25,,
5:22.0,I. Thomas enters the game for K. Caldwell-Pope,,12-25,,
5:02.0,J. Randle makes 2-pt shot from 2 ft,2,14-25,,
4:53.0,,,14-25,,New Orleans full timeout
4:37.0,,,14-28,3,D. Miller makes 3-pt shot from 22 ft (assist by J. Holiday)
4:16.0,J. Randle makes 2-pt shot from 8 ft (assist by I. Thomas),2,16-28,,
4:16.0,Shooting foul by N. Mirotic (drawn by J. Randle),,16-28,,
4:16.0,K. Kuzma enters the game for B. Lopez,,16-28,,
4:16.0,J. Randle makes free throw 1 of 1,1,17-28,,
4:05.0,,,17-30,2,A. Davis makes 2-pt shot from 5 ft
3:55.0,I. Thomas makes 2-pt shot from 2 ft,2,19-30,,
3:50.0,,,19-32,2,E. Moore makes 2-pt shot from 2 ft (assist by J. Holiday)
3:36.0,Turnover by I. Thomas (bad pass),,19-32,,
3:22.0,,,19-34,2,A. Davis makes 2-pt shot from 2 ft (assist by E. Moore)
2:59.0,Turnover by J. Randle (lost ball; steal by A. Davis),,19-34,,
2:59.0,Loose ball foul by J. Randle (drawn by A. Davis),,19-34,,
2:59.0,,,19-34,,New Orleans full timeout
2:59.0,,,19-34,,I. Clark enters the game for A. Davis
2:59.0,,,19-34,,C. Diallo enters the game for E. Moore
2:59.0,C. Frye enters the game for J. Hart,,19-34,,
2:59.0,B. Ingram enters the game for J. Randle,,19-34,,
2:47.0,,,19-37,3,I. Clark makes 3-pt shot from 22 ft (assist by J. Holiday)
2:29.0,B. Ingram misses 2-pt shot from 11 ft,,19-37,,
2:25.0,,,19-37,,Defensive rebound by C. Diallo
2:21.0,,,19-37,,Shooting foul by C. Brewer (drawn by D. Miller)
2:21.0,,,19-38,1,D. Miller makes free throw 1 of 2
2:21.0,,,19-39,1,D. Miller makes free throw 2 of 2
2:13.0,Shooting foul by C. Diallo (drawn by B. Ingram),,19-39,,
2:13.0,B. Ingram misses free throw 1 of 2,,19-39,,
2:13.0,Offensive rebound by Team,,19-39,,
2:13.0,,,19-39,,R. Rondo enters the game for J. Holiday
2:13.0,B. Ingram makes free throw 2 of 2,1,20-39,,
2:01.0,,,20-41,2,C. Diallo makes 2-pt shot at rim (assist by D. Miller)
1:52.0,Turnover by I. Thomas (lost ball; steal by R. Rondo),,20-41,,
1:49.0,,,20-43,2,R. Rondo makes 2-pt shot at rim
1:42.0,K. Kuzma makes 3-pt shot from 23 ft (assist by C. Brewer),3,23-43,,
1:26.0,,,23-43,,N. Mirotic misses 2-pt shot from 14 ft
1:22.0,Defensive rebound by I. Thomas,,23-43,,
1:17.0,,,23-43,,Violation by N. Mirotic (kicked ball)
1:07.0,K. Kuzma makes 2-pt shot from 3 ft,2,25-43,,
0:56.0,,,25-43,,I. Clark misses 3-pt shot from 23 ft
