time,Sacramento,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. W. Cauley-Stein (J. Jackson gains possession),,,,Jump ball: Z. Pachulia vs. W. Cauley-Stein (J. Jackson gains possession)
11:37.0,Turnover by W. Cauley-Stein (lost ball; steal by D. Green),,0-0,,
11:16.0,,,0-3,3,A. Iguodala makes 3-pt shot from 22 ft (assist by Q. Cook)
10:56.0,Z. Randolph makes 3-pt shot from 25 ft (assist by D. Fox),3,3-3,,
10:40.0,,,3-3,,D. Green misses 3-pt shot from 27 ft
10:37.0,Defensive rebound by Z. Randolph,,3-3,,
10:29.0,,,3-3,,Personal foul by Z. Pachulia (drawn by Z. Randolph)
10:23.0,D. Fox misses 2-pt shot from 14 ft,,3-3,,
10:21.0,,,3-3,,Defensive rebound by Z. Pachulia
10:11.0,,,3-5,2,Q. Cook makes 2-pt shot from 20 ft
9:57.0,Turnover by D. Fox (bad pass),,3-5,,
9:44.0,,,3-8,3,Q. Cook makes 3-pt shot from 23 ft (assist by D. Green)
9:23.0,J. Jackson misses 3-pt shot from 26 ft,,3-8,,
9:19.0,,,3-8,,Defensive rebound by D. Green
9:15.0,,,3-11,3,N. Young makes 3-pt shot from 25 ft (assist by D. Green)
8:53.0,Z. Randolph makes 2-pt shot from 17 ft,2,5-11,,
8:42.0,,,5-11,,Turnover by N. Young (bad pass; steal by Z. Randolph)
8:35.0,J. Jackson makes 2-pt shot from 2 ft (assist by Z. Randolph),2,7-11,,
8:12.0,,,7-13,2,D. Green makes 2-pt shot from 2 ft (assist by Z. Pachulia)
7:50.0,D. Fox misses 3-pt shot from 25 ft,,7-13,,
7:47.0,,,7-13,,Defensive rebound by Z. Pachulia
7:35.0,,,7-15,2,Z. Pachulia makes 2-pt shot from 19 ft (assist by Q. Cook)
7:14.0,W. Cauley-Stein misses 2-pt shot from 2 ft,,7-15,,
7:11.0,Offensive rebound by W. Cauley-Stein,,7-15,,
7:10.0,J. Jackson makes 2-pt shot from 1 ft (assist by W. Cauley-Stein),2,9-15,,
6:49.0,,,9-15,,Shooting foul by J. Jackson (drawn by A. Iguodala)
6:49.0,,,9-15,,Golden State full timeout
6:49.0,,,9-16,1,A. Iguodala makes free throw 1 of 2
6:49.0,,,9-16,,A. Iguodala misses free throw 2 of 2
6:47.0,Defensive rebound by J. Jackson,,9-16,,
6:34.0,Z. Randolph misses 3-pt shot from 25 ft,,9-16,,
6:29.0,,,9-16,,Defensive rebound by D. Green
6:17.0,Personal foul by B. Bogdanovic (drawn by N. Young),,9-16,,
6:04.0,,,9-19,3,N. Young makes 3-pt shot from 28 ft (assist by A. Iguodala)
5:56.0,B. Bogdanovic makes 3-pt shot from 24 ft (assist by D. Fox),3,12-19,,
5:38.0,,,12-19,,Z. Pachulia misses 2-pt shot from 2 ft
5:33.0,Defensive rebound by Z. Randolph,,12-19,,
5:30.0,Turnover by D. Fox (lost ball; steal by Q. Cook),,12-19,,
5:19.0,,,12-19,,Z. Pachulia misses 2-pt shot from 7 ft
5:15.0,Defensive rebound by J. Jackson,,12-19,,
5:12.0,Turnover by B. Bogdanovic (bad pass; steal by D. Green),,12-19,,
5:06.0,,,12-21,2,Q. Cook makes 2-pt shot from 2 ft (assist by D. Green)
4:56.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by W. Cauley-Stein),3,15-21,,
4:43.0,Personal foul by B. Bogdanovic (drawn by A. Iguodala),,15-21,,
4:43.0,,,15-21,,J. McGee enters the game for D. Green
4:43.0,,,15-21,,K. Looney enters the game for Z. Pachulia
4:43.0,S. Labissiere enters the game for W. Cauley-Stein,,15-21,,
4:37.0,,,15-21,,N. Young misses 3-pt shot from 24 ft
4:34.0,Defensive rebound by B. Bogdanovic,,15-21,,
4:29.0,B. Bogdanovic misses 3-pt shot from 24 ft,,15-21,,
4:28.0,Offensive rebound by Team,,15-21,,
4:28.0,,,15-21,,Loose ball foul by J. McGee (drawn by S. Labissiere)
4:15.0,S. Labissiere makes 3-pt shot from 23 ft (assist by B. Bogdanovic),3,18-21,,
3:51.0,,,18-23,2,A. Iguodala makes 2-pt shot from 2 ft (assist by K. Looney)
3:24.0,B. Bogdanovic misses 2-pt shot from 2 ft (block by J. McGee),,18-23,,
3:21.0,,,18-23,,Defensive rebound by Q. Cook
3:18.0,,,18-23,,N. Young misses 2-pt shot from 1 ft
3:16.0,,,18-23,,Offensive rebound by N. Young
3:13.0,,,18-26,3,Q. Cook makes 3-pt shot from 23 ft (assist by N. Young)
3:02.0,Sacramento full timeout,,18-26,,
3:02.0,,,18-26,,O. Casspi enters the game for N. Young
3:02.0,,,18-26,,S. Livingston enters the game for A. Iguodala
3:02.0,K. Koufos enters the game for B. Bogdanovic,,18-26,,
3:02.0,G. Temple enters the game for J. Jackson,,18-26,,
3:02.0,B. Hield enters the game for Z. Randolph,,18-26,,
2:50.0,S. Labissiere misses 2-pt shot from 6 ft,,18-26,,
2:47.0,,,18-26,,Defensive rebound by J. McGee
2:27.0,,,18-26,,S. Livingston misses 2-pt shot from 13 ft
2:23.0,Defensive rebound by B. Hield,,18-26,,
2:20.0,B. Hield makes 2-pt shot at rim,2,20-26,,
1:56.0,,,20-28,2,K. Looney makes 2-pt shot from 10 ft (assist by O. Casspi)
1:41.0,Turnover by D. Fox (bad pass; steal by Q. Cook),,20-28,,
1:36.0,,,20-30,2,S. Livingston makes 2-pt shot from 10 ft
1:18.0,B. Hield makes 3-pt shot from 25 ft (assist by S. Labissiere),3,23-30,,
1:00.0,,,23-33,3,Q. Cook makes 3-pt shot from 27 ft
0:51.0,S. Labissiere misses 2-pt shot from 7 ft,,23-33,,
0:46.0,Offensive rebound by S. Labissiere,,23-33,,
0:46.0,S. Labissiere misses 2-pt shot at rim,,23-33,,
0:46.0,Offensive rebound by K. Koufos,,23-33,,
0:45.0,K. Koufos misses 2-pt shot at rim,,23-33,,
0:44.0,,,23-33,,Defensive rebound by K. Looney
0:43.0,Personal foul by K. Koufos (drawn by O. Casspi),,23-33,,
0:43.0,,,23-33,,D. Green enters the game for Q. Cook
0:43.0,F. Mason enters the game for D. Fox,,23-33,,
0:33.0,,,23-33,,O. Casspi misses 2-pt shot from 10 ft
0:28.0,Defensive rebound by S. Labissiere,,23-33,,
0:11.0,G. Temple makes 3-pt shot from 25 ft (assist by F. Mason),3,26-33,,
0:05.0,,,26-36,3,D. Green makes 3-pt shot from 26 ft
0:00.0,B. Hield makes 3-pt shot from 25 ft (assist by S. Labissiere),3,29-36,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,29-36,,D. West misses 2-pt shot from 13 ft
11:41.0,,,29-36,,Offensive rebound by Team
11:35.0,,,29-36,,D. Green misses 3-pt shot from 25 ft
11:27.0,,,29-36,,Offensive rebound by O. Casspi
11:27.0,,,29-38,2,O. Casspi makes 2-pt shot at rim
11:06.0,G. Temple misses 3-pt shot from 25 ft,,29-38,,
10:59.0,Offensive rebound by F. Mason,,29-38,,
10:58.0,F. Mason makes 2-pt shot from 15 ft,2,31-38,,
10:41.0,,,31-40,2,O. Casspi makes 2-pt shot from 2 ft (assist by J. Bell)
10:23.0,G. Temple misses 3-pt shot from 25 ft,,31-40,,
