time,Memphis,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. M. Gasol (J. Martin gains possession),,,,Jump ball: J. Nurkic vs. M. Gasol (J. Martin gains possession)
11:37.0,M. Gasol misses 2-pt shot from 19 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by N. Vonleh
11:20.0,,,0-0,,J. Nurkic misses 2-pt shot from 2 ft
11:18.0,,,0-0,,Offensive rebound by N. Vonleh
11:17.0,,,0-2,2,N. Vonleh makes 2-pt shot from 1 ft
11:08.0,,,0-2,,Personal foul by D. Lillard (drawn by J. Ennis)
10:53.0,Shooting foul by J. Nurkic (drawn by M. Gasol),,0-2,,
10:53.0,M. Gasol makes free throw 1 of 2,1,1-2,,
10:53.0,M. Gasol makes free throw 2 of 2,1,2-2,,
10:38.0,,,2-2,,Turnover by J. Nurkic (bad pass; steal by D. Brooks)
10:36.0,Shooting foul by J. Nurkic (drawn by J. Ennis),,2-2,,
10:36.0,J. Ennis misses free throw 1 of 2,,2-2,,
10:36.0,Offensive rebound by Team,,2-2,,
10:36.0,,,2-2,,E. Davis enters the game for J. Nurkic
10:36.0,J. Ennis makes free throw 2 of 2,1,3-2,,
10:20.0,,,3-2,,C. McCollum misses 3-pt shot from 24 ft
10:16.0,Defensive rebound by J. Ennis,,3-2,,
10:11.0,D. Brooks misses 3-pt shot from 23 ft,,3-2,,
10:08.0,,,3-2,,Defensive rebound by D. Lillard
9:58.0,,,3-2,,D. Lillard misses 2-pt shot from 1 ft
9:57.0,Defensive rebound by J. Martin,,3-2,,
9:48.0,M. Conley misses 3-pt shot from 25 ft,,3-2,,
9:45.0,,,3-2,,Defensive rebound by N. Vonleh
9:38.0,Jump ball: N. Vonleh vs. M. Conley (E. Davis gains possession),,,,Jump ball: N. Vonleh vs. M. Conley (E. Davis gains possession)
9:27.0,,,3-2,,E. Davis misses 2-pt shot from 2 ft (block by J. Martin)
9:27.0,,,3-2,,Offensive rebound by Team
9:22.0,,,3-2,,N. Vonleh misses 2-pt shot from 8 ft
9:20.0,,,3-2,,E. Davis misses 2-pt shot from 3 ft (block by J. Ennis)
9:19.0,,,3-2,,Offensive rebound by E. Davis
9:14.0,Defensive rebound by Team,,3-2,,
9:10.0,M. Gasol misses 3-pt shot from 25 ft,,3-2,,
9:08.0,Offensive rebound by J. Ennis,,3-2,,
8:59.0,Turnover by M. Gasol (lost ball; steal by D. Lillard),,3-2,,
8:50.0,,,3-2,,D. Lillard misses 2-pt shot from 1 ft
8:47.0,,,3-2,,Offensive rebound by E. Davis
8:45.0,,,3-5,3,M. Harkless makes 3-pt shot from 24 ft (assist by E. Davis)
8:28.0,M. Conley misses 2-pt shot from 19 ft,,3-5,,
8:26.0,,,3-5,,Defensive rebound by M. Harkless
8:16.0,,,3-5,,C. McCollum misses 2-pt shot from 15 ft (block by D. Brooks)
8:11.0,Defensive rebound by J. Martin,,3-5,,
8:10.0,J. Ennis makes 2-pt shot from 1 ft (assist by D. Brooks),2,5-5,,
7:41.0,,,5-5,,C. McCollum misses 2-pt shot from 8 ft
7:39.0,,,5-5,,Offensive rebound by N. Vonleh
7:28.0,Personal foul by J. Ennis (drawn by N. Vonleh),,5-5,,
7:20.0,,,5-5,,M. Harkless misses 3-pt shot from 23 ft
7:18.0,Defensive rebound by M. Gasol,,5-5,,
7:12.0,M. Gasol makes 3-pt shot from 25 ft (assist by M. Conley),3,8-5,,
6:46.0,,,8-8,3,C. McCollum makes 3-pt shot from 24 ft
6:28.0,J. Martin makes 3-pt shot from 23 ft (assist by M. Conley),3,11-8,,
6:07.0,,,11-8,,D. Lillard misses 2-pt shot from 19 ft
6:06.0,Defensive rebound by Team,,11-8,,
6:06.0,,,11-8,,Portland full timeout
5:54.0,D. Brooks misses 2-pt shot from 1 ft,,11-8,,
5:52.0,,,11-8,,Defensive rebound by N. Vonleh
5:32.0,,,11-8,,Turnover by D. Lillard (bad pass)
5:32.0,C. Parsons enters the game for J. Martin,,11-8,,
5:32.0,T. Evans enters the game for D. Brooks,,11-8,,
5:20.0,,,11-8,,Personal foul by E. Davis (drawn by M. Gasol)
5:20.0,M. Chalmers enters the game for M. Conley,,11-8,,
5:06.0,M. Chalmers makes 3-pt shot from 26 ft (assist by M. Gasol),3,14-8,,
4:47.0,,,14-8,,C. McCollum misses 3-pt shot from 24 ft
4:44.0,Defensive rebound by T. Evans,,14-8,,
4:31.0,M. Gasol makes 2-pt shot from 4 ft (assist by M. Chalmers),2,16-8,,
4:16.0,,,16-10,2,C. McCollum makes 2-pt shot from 1 ft
4:09.0,T. Evans misses 2-pt shot from 1 ft,,16-10,,
4:04.0,,,16-10,,Defensive rebound by E. Davis
3:55.0,Personal foul by T. Evans (drawn by D. Lillard),,16-10,,
3:55.0,,,16-10,,E. Turner enters the game for C. McCollum
3:55.0,,,16-10,,P. Connaughton enters the game for M. Harkless
3:55.0,D. Brooks enters the game for J. Ennis,,16-10,,
3:49.0,,,16-10,,E. Turner misses 2-pt shot from 12 ft
3:47.0,Defensive rebound by C. Parsons,,16-10,,
3:35.0,M. Gasol misses 2-pt shot from 3 ft,,16-10,,
3:32.0,Offensive rebound by D. Brooks,,16-10,,
3:32.0,D. Brooks misses 2-pt shot at rim,,16-10,,
3:31.0,,,16-10,,Defensive rebound by N. Vonleh
3:27.0,,,16-10,,D. Lillard misses 2-pt shot from 3 ft
3:23.0,,,16-10,,Offensive rebound by N. Vonleh
3:23.0,,,16-12,2,N. Vonleh makes 2-pt shot at rim
3:02.0,D. Brooks misses 2-pt shot from 2 ft,,16-12,,
3:00.0,Offensive rebound by C. Parsons,,16-12,,
3:00.0,C. Parsons misses 2-pt shot at rim,,16-12,,
3:00.0,Offensive rebound by Team,,16-12,,
3:00.0,B. Wright enters the game for M. Gasol,,16-12,,
2:53.0,Shooting foul by P. Connaughton (drawn by B. Wright),,16-12,,
2:53.0,Memphis full timeout,,16-12,,
2:53.0,B. Wright makes free throw 1 of 2,1,17-12,,
2:53.0,B. Wright makes free throw 2 of 2,1,18-12,,
2:41.0,,,18-14,2,P. Connaughton makes 2-pt shot from 22 ft (assist by E. Turner)
2:25.0,C. Parsons misses 3-pt shot from 23 ft,,18-14,,
2:23.0,,,18-14,,Defensive rebound by E. Turner
2:11.0,,,18-14,,Turnover by N. Vonleh (step out of bounds)
