time,Brooklyn,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. J. Allen (S. Dinwiddie gains possession),,,,Jump ball: D. Howard vs. J. Allen (S. Dinwiddie gains possession)
11:31.0,S. Dinwiddie misses 3-pt shot from 26 ft,,0-0,,
11:28.0,Offensive rebound by J. Allen,,0-0,,
11:27.0,J. Allen makes 2-pt shot from 1 ft,2,2-0,,
11:06.0,,,2-0,,N. Batum misses 2-pt shot from 18 ft
11:04.0,Defensive rebound by J. Allen,,2-0,,
10:59.0,D. Carroll misses 3-pt shot from 25 ft,,2-0,,
10:55.0,,,2-0,,Defensive rebound by M. Kidd-Gilchrist
10:44.0,,,2-0,,N. Batum misses 2-pt shot from 10 ft
10:42.0,Defensive rebound by J. Allen,,2-0,,
10:18.0,D. Carroll misses 2-pt shot from 18 ft,,2-0,,
10:18.0,Offensive rebound by Team,,2-0,,
10:18.0,Turnover by Team (shot clock),,2-0,,
10:07.0,,,2-2,2,D. Howard makes 2-pt shot from 2 ft
9:52.0,D. Russell misses 3-pt shot from 29 ft,,2-2,,
9:48.0,,,2-2,,Defensive rebound by N. Batum
9:40.0,,,2-4,2,M. Kidd-Gilchrist makes 2-pt shot from 13 ft (assist by N. Batum)
9:30.0,A. Crabbe makes 3-pt shot from 29 ft (assist by D. Carroll),3,5-4,,
9:16.0,,,5-4,,M. Williams misses 3-pt shot from 26 ft
9:13.0,Defensive rebound by A. Crabbe,,5-4,,
9:02.0,A. Crabbe makes 2-pt shot from 1 ft (assist by D. Russell),2,7-4,,
8:51.0,Personal foul by S. Dinwiddie (drawn by K. Walker),,7-4,,
8:44.0,,,7-4,,M. Kidd-Gilchrist misses 2-pt shot from 14 ft
8:41.0,Defensive rebound by A. Crabbe,,7-4,,
8:34.0,J. Allen makes 2-pt shot from 4 ft (assist by D. Carroll),2,9-4,,
8:34.0,,,9-4,,Violation by D. Howard (def goaltending)
8:24.0,,,9-6,2,N. Batum makes 2-pt shot from 9 ft
8:05.0,A. Crabbe makes 3-pt shot from 25 ft,3,12-6,,
7:50.0,,,12-8,2,D. Howard makes 2-pt shot from 2 ft (assist by K. Walker)
7:50.0,,,12-8,,Shooting foul by J. Allen (drawn by D. Howard)
7:50.0,,,12-9,1,D. Howard makes free throw 1 of 1
7:36.0,D. Russell makes 2-pt shot from 12 ft,2,14-9,,
7:23.0,,,14-12,3,K. Walker makes 3-pt shot from 25 ft
7:02.0,D. Carroll makes 2-pt shot from 2 ft (assist by D. Russell),2,16-12,,
6:45.0,,,16-14,2,D. Howard makes 2-pt shot at rim
6:30.0,D. Carroll makes 3-pt shot from 23 ft (assist by S. Dinwiddie),3,19-14,,
6:10.0,,,19-16,2,M. Williams makes 2-pt shot from 7 ft
5:58.0,S. Dinwiddie makes 2-pt shot from 10 ft,2,21-16,,
5:38.0,,,21-16,,D. Howard misses 2-pt shot from 2 ft
5:33.0,,,21-16,,Offensive rebound by N. Batum
5:33.0,,,21-18,2,N. Batum makes 2-pt shot at rim
5:19.0,D. Russell misses 2-pt shot from 18 ft,,21-18,,
5:14.0,,,21-18,,Defensive rebound by D. Howard
5:02.0,,,21-20,2,D. Howard makes 2-pt shot from 1 ft (assist by M. Kidd-Gilchrist)
5:02.0,Brooklyn full timeout,,21-20,,
5:02.0,J. Harris enters the game for J. Allen,,21-20,,
5:02.0,D. Cunningham enters the game for D. Russell,,21-20,,
4:40.0,J. Harris misses 2-pt shot from 14 ft,,21-20,,
4:38.0,,,21-20,,Defensive rebound by D. Howard
4:32.0,,,21-20,,N. Batum misses 2-pt shot from 19 ft
4:28.0,Defensive rebound by A. Crabbe,,21-20,,
4:21.0,S. Dinwiddie makes 2-pt shot from 5 ft,2,23-20,,
4:09.0,,,23-20,,Offensive foul by M. Kidd-Gilchrist (drawn by J. Harris)
4:09.0,,,23-20,,Turnover by M. Kidd-Gilchrist (offensive foul)
4:09.0,R. Hollis-Jefferson enters the game for D. Carroll,,23-20,,
4:09.0,C. LeVert enters the game for A. Crabbe,,23-20,,
3:59.0,Offensive foul by R. Hollis-Jefferson (drawn by M. Kidd-Gilchrist),,23-20,,
3:59.0,Turnover by R. Hollis-Jefferson (offensive foul),,23-20,,
3:59.0,,,23-20,,F. Kaminsky enters the game for M. Williams
3:59.0,,,23-20,,J. Lamb enters the game for M. Kidd-Gilchrist
3:36.0,,,23-20,,D. Howard misses 2-pt shot from 12 ft
3:34.0,Defensive rebound by C. LeVert,,23-20,,
3:28.0,D. Cunningham makes 3-pt shot from 23 ft (assist by S. Dinwiddie),3,26-20,,
3:14.0,,,26-20,,F. Kaminsky misses 2-pt shot from 1 ft (block by D. Cunningham)
3:11.0,Defensive rebound by D. Cunningham,,26-20,,
3:08.0,J. Harris makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,28-20,,
2:57.0,,,28-22,2,K. Walker makes 2-pt shot from 9 ft
2:57.0,,,28-22,,Shooting foul by S. Dinwiddie (drawn by K. Walker)
2:57.0,,,28-22,,Charlotte full timeout
2:57.0,,,28-22,,C. Zeller enters the game for D. Howard
2:57.0,,,28-23,1,K. Walker makes free throw 1 of 1
2:57.0,D. Russell enters the game for S. Dinwiddie,,28-23,,
2:40.0,J. Harris makes 2-pt shot from 1 ft (assist by R. Hollis-Jefferson),2,30-23,,
2:31.0,Personal foul by J. Harris (drawn by N. Batum),,30-23,,
2:31.0,,,30-23,,M. Monk enters the game for K. Walker
2:24.0,,,30-25,2,N. Batum makes 2-pt shot from 13 ft
2:09.0,J. Harris misses 3-pt shot from 25 ft,,30-25,,
2:09.0,,,30-25,,Defensive rebound by N. Batum
1:57.0,,,30-25,,J. Lamb misses 2-pt shot from 19 ft
1:54.0,Defensive rebound by C. LeVert,,30-25,,
1:50.0,Shooting foul by C. Zeller (drawn by C. LeVert),,30-25,,
1:50.0,C. LeVert makes free throw 1 of 2,1,31-25,,
1:50.0,C. LeVert makes free throw 2 of 2,1,32-25,,
1:41.0,,,32-25,,Shooting foul by D. Cunningham (drawn by C. Zeller)
1:41.0,,,32-26,1,C. Zeller makes free throw 1 of 2
