time,Minnesota,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. K. Towns (A. Wiggins gains possession),,,,Jump ball: J. Embiid vs. K. Towns (A. Wiggins gains possession)
11:33.0,N. Bjelica misses 2-pt shot from 6 ft,,0-0,,
11:31.0,,,0-0,,Defensive rebound by B. Simmons
11:26.0,,,0-0,,R. Covington misses 3-pt shot from 26 ft
11:22.0,Defensive rebound by K. Towns,,0-0,,
11:09.0,K. Towns makes 3-pt shot from 27 ft (assist by A. Wiggins),3,3-0,,
10:57.0,,,3-0,,B. Simmons misses 2-pt shot from 2 ft
10:55.0,Defensive rebound by K. Towns,,3-0,,
10:45.0,T. Gibson misses 2-pt shot from 5 ft (block by R. Covington),,3-0,,
10:41.0,,,3-0,,Defensive rebound by J. Embiid
10:32.0,,,3-0,,Shooting foul by K. Towns (drawn by J. Embiid)
10:32.0,,,3-1,1,J. Embiid makes free throw 1 of 2
10:32.0,,,3-2,1,J. Embiid makes free throw 2 of 2
10:17.0,K. Towns misses 2-pt shot from 3 ft,,3-2,,
10:15.0,,,3-2,,Defensive rebound by R. Covington
10:10.0,,,3-5,3,D. Saric makes 3-pt shot from 25 ft (assist by B. Simmons)
9:53.0,K. Towns misses 2-pt shot from 3 ft,,3-5,,
9:50.0,Offensive rebound by T. Gibson,,3-5,,
9:49.0,T. Gibson makes 2-pt shot at rim,2,5-5,,
9:36.0,,,5-5,,J. Embiid misses 3-pt shot from 26 ft
9:33.0,Defensive rebound by A. Wiggins,,5-5,,
9:28.0,K. Towns makes 3-pt shot from 25 ft (assist by A. Wiggins),3,8-5,,
9:19.0,,,8-8,3,D. Saric makes 3-pt shot from 26 ft (assist by B. Simmons)
9:05.0,T. Gibson misses 2-pt shot from 6 ft,,8-8,,
9:03.0,,,8-8,,Defensive rebound by J. Embiid
8:52.0,,,8-8,,J. Embiid misses 2-pt shot from 13 ft
8:50.0,Defensive rebound by N. Bjelica,,8-8,,
8:36.0,K. Towns misses 3-pt shot from 25 ft,,8-8,,
8:32.0,Offensive rebound by T. Gibson,,8-8,,
8:30.0,K. Towns misses 3-pt shot from 27 ft,,8-8,,
8:27.0,,,8-8,,Defensive rebound by R. Covington
8:21.0,,,8-10,2,D. Saric makes 2-pt shot from 2 ft (assist by B. Simmons)
8:04.0,N. Bjelica makes 3-pt shot from 25 ft (assist by A. Wiggins),3,11-10,,
8:03.0,,,11-10,,Philadelphia full timeout
7:53.0,,,11-10,,J. Redick misses 2-pt shot from 23 ft
7:50.0,Defensive rebound by K. Towns,,11-10,,
7:49.0,Turnover by K. Towns (lost ball; steal by B. Simmons),,11-10,,
7:45.0,,,11-13,3,J. Redick makes 3-pt shot from 25 ft (assist by B. Simmons)
7:27.0,Turnover by J. Teague (bad pass; steal by R. Covington),,11-13,,
7:25.0,,,11-13,,Turnover by R. Covington (traveling)
7:25.0,,,11-13,,M. Belinelli enters the game for J. Redick
7:06.0,A. Wiggins misses 3-pt shot from 25 ft,,11-13,,
7:03.0,,,11-13,,Defensive rebound by J. Embiid
6:58.0,,,11-16,3,D. Saric makes 3-pt shot from 23 ft (assist by R. Covington)
6:46.0,,,11-16,,Personal foul by R. Covington (drawn by J. Teague)
6:46.0,,,11-16,,A. Johnson enters the game for J. Embiid
6:30.0,K. Towns misses 2-pt shot from 6 ft,,11-16,,
6:29.0,Offensive rebound by T. Gibson,,11-16,,
6:27.0,T. Gibson makes 2-pt shot from 2 ft,2,13-16,,
6:17.0,,,13-16,,D. Saric misses 3-pt shot from 26 ft
6:14.0,Defensive rebound by A. Wiggins,,13-16,,
6:01.0,A. Wiggins makes 2-pt shot from 1 ft,2,15-16,,
5:55.0,,,15-18,2,R. Covington makes 2-pt shot from 2 ft (assist by B. Simmons)
5:44.0,J. Teague misses 2-pt shot from 9 ft,,15-18,,
5:40.0,,,15-18,,Defensive rebound by B. Simmons
5:28.0,,,15-18,,Offensive foul by B. Simmons (drawn by J. Teague)
5:28.0,,,15-18,,Turnover by B. Simmons (offensive foul)
5:28.0,J. Crawford enters the game for N. Bjelica,,15-18,,
5:28.0,G. Dieng enters the game for K. Towns,,15-18,,
5:16.0,A. Wiggins misses 2-pt shot from 3 ft (block by A. Johnson),,15-18,,
5:15.0,Offensive rebound by Team,,15-18,,
5:15.0,Technical foul by T. Gibson,,15-18,,
5:15.0,,,15-19,1,M. Belinelli makes technical free throw
5:05.0,J. Teague misses 3-pt shot from 25 ft,,15-19,,
5:02.0,,,15-19,,Defensive rebound by B. Simmons
4:55.0,,,15-19,,R. Covington misses 3-pt shot from 24 ft
4:54.0,Defensive rebound by Team,,15-19,,
4:54.0,,,15-19,,Loose ball foul by D. Saric (drawn by T. Gibson)
4:48.0,Shooting foul by R. Covington (drawn by J. Teague),,15-19,,
4:48.0,J. Teague misses free throw 1 of 2,,15-19,,
4:48.0,Offensive rebound by Team,,15-19,,
4:48.0,,,15-19,,E. Ilyasova enters the game for D. Saric
4:48.0,,,15-19,,J. Anderson enters the game for R. Covington
4:48.0,J. Teague makes free throw 2 of 2,1,16-19,,
4:38.0,,,16-22,3,M. Belinelli makes 3-pt shot from 24 ft (assist by J. Anderson)
4:25.0,J. Teague misses 2-pt shot from 3 ft (block by A. Johnson),,16-22,,
4:21.0,,,16-22,,Defensive rebound by M. Belinelli
4:17.0,,,16-22,,J. Anderson misses 3-pt shot from 24 ft
4:14.0,Defensive rebound by T. Gibson,,16-22,,
4:06.0,J. Crawford misses 3-pt shot from 27 ft,,16-22,,
4:03.0,,,16-22,,Defensive rebound by B. Simmons
4:01.0,,,16-25,3,M. Belinelli makes 3-pt shot from 25 ft (assist by B. Simmons)
3:36.0,Shooting foul by A. Johnson (drawn by A. Wiggins),,16-25,,
3:36.0,A. Wiggins misses free throw 1 of 2,,16-25,,
3:36.0,Offensive rebound by Team,,16-25,,
3:36.0,,,16-25,,J. Embiid enters the game for A. Johnson
3:36.0,,,16-25,,T. McConnell enters the game for B. Simmons
3:36.0,T. Jones enters the game for J. Teague,,16-25,,
3:36.0,A. Wiggins misses free throw 2 of 2,,16-25,,
3:33.0,Offensive rebound by G. Dieng,,16-25,,
3:31.0,G. Dieng makes 2-pt shot at rim,2,18-25,,
3:18.0,K. Towns enters the game for T. Gibson,,18-25,,
3:10.0,,,18-25,,J. Anderson misses 2-pt shot from 2 ft
3:08.0,Defensive rebound by G. Dieng,,18-25,,
2:57.0,G. Dieng misses 2-pt shot from 3 ft,,18-25,,
2:54.0,,,18-25,,Defensive rebound by T. McConnell
2:51.0,,,18-27,2,J. Anderson makes 2-pt shot from 2 ft (assist by E. Ilyasova)
2:25.0,K. Towns misses 2-pt shot from 6 ft,,18-27,,
2:23.0,Offensive rebound by K. Towns,,18-27,,
2:23.0,,,18-27,,Personal foul by J. Embiid (drawn by K. Towns)
2:23.0,Minnesota full timeout,,18-27,,
2:23.0,,,18-27,,J. Redick enters the game for M. Belinelli
2:23.0,K. Towns makes free throw 1 of 2,1,19-27,,
2:23.0,K. Towns makes free throw 2 of 2,1,20-27,,
2:07.0,,,20-27,,J. Redick misses 2-pt shot from 21 ft
2:04.0,Defensive rebound by K. Towns,,20-27,,
2:00.0,Offensive charge foul by A. Wiggins (drawn by E. Ilyasova),,20-27,,
2:00.0,Turnover by A. Wiggins (offensive foul),,20-27,,
