time,Milwaukee,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. J. Henson (G. Antetokounmpo gains possession),,,,Jump ball: R. Lopez vs. J. Henson (G. Antetokounmpo gains possession)
11:41.0,E. Bledsoe misses 3-pt shot from 25 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by Z. LaVine
11:25.0,,,0-0,,R. Lopez misses 2-pt shot from 14 ft
11:22.0,Defensive rebound by E. Bledsoe,,0-0,,
11:13.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,0-0,,
11:11.0,,,0-0,,Defensive rebound by L. Markkanen
11:02.0,,,0-2,2,R. Lopez makes 2-pt shot at rim (assist by L. Markkanen)
10:45.0,Turnover by T. Snell (bad pass; steal by J. Holiday),,0-2,,
10:30.0,,,0-2,,Z. LaVine misses 3-pt shot from 21 ft
10:26.0,Defensive rebound by E. Bledsoe,,0-2,,
10:09.0,G. Antetokounmpo misses 2-pt shot from 22 ft,,0-2,,
10:09.0,,,0-2,,Defensive rebound by L. Markkanen
10:00.0,,,0-4,2,J. Grant makes 2-pt shot from 15 ft
9:34.0,K. Middleton makes 2-pt shot from 15 ft (assist by J. Henson),2,2-4,,
9:14.0,,,2-4,,J. Holiday misses 2-pt shot from 21 ft
9:12.0,Defensive rebound by E. Bledsoe,,2-4,,
9:03.0,K. Middleton misses 2-pt shot from 13 ft,,2-4,,
9:01.0,,,2-4,,Defensive rebound by J. Grant
8:49.0,,,2-4,,Turnover by J. Grant (bad pass; steal by E. Bledsoe)
8:33.0,G. Antetokounmpo misses 2-pt shot from 23 ft,,2-4,,
8:30.0,,,2-4,,Defensive rebound by L. Markkanen
8:23.0,,,2-4,,J. Holiday misses 2-pt shot from 3 ft
8:21.0,Defensive rebound by J. Henson,,2-4,,
8:19.0,T. Snell makes 3-pt shot from 25 ft (assist by J. Henson),3,5-4,,
7:58.0,,,5-4,,J. Grant misses 2-pt shot from 1 ft
7:58.0,,,5-4,,Offensive rebound by R. Lopez
7:56.0,,,5-4,,R. Lopez misses 2-pt shot from 4 ft (block by G. Antetokounmpo)
7:56.0,Defensive rebound by Team,,5-4,,
7:48.0,G. Antetokounmpo misses 2-pt shot from 18 ft,,5-4,,
7:48.0,,,5-4,,Defensive rebound by J. Grant
7:41.0,Violation by J. Henson (kicked ball),,5-4,,
7:34.0,Personal foul by E. Bledsoe (drawn by J. Grant),,5-4,,
7:28.0,,,5-4,,L. Markkanen misses 3-pt shot from 25 ft
7:24.0,Defensive rebound by T. Snell,,5-4,,
7:19.0,T. Snell misses 3-pt shot from 25 ft,,5-4,,
7:15.0,,,5-4,,Defensive rebound by Z. LaVine
7:09.0,,,5-4,,Z. LaVine misses 2-pt shot from 1 ft
7:09.0,Defensive rebound by K. Middleton,,5-4,,
6:48.0,J. Henson makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,7-4,,
6:48.0,Shooting foul by Z. LaVine (drawn by J. Henson),,7-4,,
6:48.0,,,7-4,,Chicago full timeout
6:48.0,J. Henson misses free throw 1 of 1,,7-4,,
6:45.0,,,7-4,,Defensive rebound by J. Holiday
6:34.0,,,7-7,3,L. Markkanen makes 3-pt shot from 25 ft (assist by Z. LaVine)
6:12.0,J. Henson misses 2-pt shot from 19 ft,,7-7,,
6:08.0,,,7-7,,Defensive rebound by J. Holiday
6:00.0,,,7-7,,Turnover by J. Holiday (lost ball; steal by K. Middleton)
6:00.0,,,7-7,,Personal foul by J. Holiday (drawn by K. Middleton)
6:00.0,S. Brown enters the game for G. Antetokounmpo,,7-7,,
5:37.0,J. Henson makes 2-pt shot at rim (assist by K. Middleton),2,9-7,,
5:22.0,,,9-7,,Z. LaVine misses 3-pt shot from 24 ft
5:22.0,Defensive rebound by K. Middleton,,9-7,,
5:14.0,Turnover by J. Henson (lost ball; steal by R. Lopez),,9-7,,
5:09.0,,,9-7,,Turnover by J. Holiday (lost ball; steal by S. Brown)
5:04.0,Turnover by E. Bledsoe (lost ball; steal by Z. LaVine),,9-7,,
4:59.0,,,9-7,,Turnover by Z. LaVine (bad pass; steal by J. Henson)
4:48.0,K. Middleton misses 2-pt shot from 11 ft,,9-7,,
4:45.0,,,9-7,,Defensive rebound by L. Markkanen
4:45.0,,,9-7,,Turnover by L. Markkanen (bad pass)
4:45.0,,,9-7,,D. Valentine enters the game for Z. LaVine
4:37.0,E. Bledsoe makes 2-pt shot from 1 ft (assist by J. Henson),2,11-7,,
4:18.0,,,11-7,,Turnover by J. Grant (bad pass; steal by T. Snell)
4:09.0,J. Henson makes 2-pt shot from 13 ft (assist by E. Bledsoe),2,13-7,,
3:42.0,,,13-9,2,D. Valentine makes 2-pt shot from 11 ft (assist by R. Lopez)
3:28.0,E. Bledsoe makes 3-pt shot from 25 ft (assist by K. Middleton),3,16-9,,
3:12.0,,,16-11,2,D. Valentine makes 2-pt shot from 10 ft (assist by J. Holiday)
2:52.0,E. Bledsoe misses 3-pt shot from 25 ft,,16-11,,
2:52.0,,,16-11,,Defensive rebound by D. Valentine
2:42.0,,,16-13,2,D. Valentine makes 2-pt shot from 10 ft
2:19.0,S. Brown misses 2-pt shot from 9 ft,,16-13,,
2:17.0,,,16-13,,Defensive rebound by D. Valentine
2:17.0,Personal foul by E. Bledsoe (drawn by J. Grant),,16-13,,
2:17.0,Milwaukee full timeout,,16-13,,
2:17.0,,,16-13,,N. Mirotic enters the game for L. Markkanen
2:17.0,M. Dellavedova enters the game for E. Bledsoe,,16-13,,
2:17.0,J. Terry enters the game for T. Snell,,16-13,,
2:03.0,,,16-13,,J. Holiday misses 3-pt shot from 23 ft
2:03.0,Defensive rebound by K. Middleton,,16-13,,
1:54.0,J. Terry makes 3-pt shot from 22 ft (assist by K. Middleton),3,19-13,,
1:41.0,,,19-15,2,J. Grant makes 2-pt shot from 19 ft
1:30.0,Shooting foul by J. Holiday (drawn by K. Middleton),,19-15,,
1:30.0,K. Middleton misses free throw 1 of 2,,19-15,,
1:30.0,Offensive rebound by Team,,19-15,,
1:30.0,,,19-15,,B. Portis enters the game for J. Grant
1:30.0,,,19-15,,D. Nwaba enters the game for J. Holiday
1:30.0,,,19-15,,R. Arcidiacono enters the game for R. Lopez
1:30.0,T. Maker enters the game for J. Henson,,19-15,,
1:30.0,K. Middleton makes free throw 2 of 2,1,20-15,,
1:03.0,,,20-15,,D. Valentine misses 3-pt shot from 23 ft
1:01.0,Defensive rebound by T. Maker,,20-15,,
1:01.0,Turnover by K. Middleton (out of bounds lost ball),,20-15,,
1:01.0,G. Antetokounmpo enters the game for K. Middleton,,20-15,,
0:53.0,,,20-15,,Shooting foul by G. Antetokounmpo (drawn by B. Portis)
0:53.0,,,20-15,,Technical foul by B. Portis
0:53.0,M. Dellavedova makes technical free throw,1,21-15,,
0:53.0,,,21-16,1,B. Portis makes free throw 1 of 2
0:53.0,,,21-17,1,B. Portis makes free throw 2 of 2
0:41.0,S. Brown misses 2-pt shot from 2 ft,,21-17,,
0:39.0,,,21-17,,Defensive rebound by B. Portis
0:37.0,,,21-17,,Turnover by B. Portis (lost ball; steal by S. Brown)
0:29.0,G. Antetokounmpo misses 2-pt shot from 1 ft (block by N. Mirotic),,21-17,,
0:23.0,Offensive rebound by G. Antetokounmpo,,21-17,,
0:23.0,G. Antetokounmpo makes 2-pt shot at rim,2,23-17,,
0:17.0,,,23-20,3,N. Mirotic makes 3-pt shot from 25 ft (assist by D. Valentine)
0:01.0,S. Brown makes 3-pt shot from 26 ft (assist by M. Dellavedova),3,26-20,,
0:00.0,,,26-20,,R. Arcidiacono misses 3-pt shot from 60 ft
0:00.0,,,26-20,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,26-20,,B. Portis misses 2-pt shot from 4 ft
11:41.0,Defensive rebound by S. Brown,,26-20,,
11:35.0,Turnover by G. Antetokounmpo (out of bounds lost ball),,26-20,,
11:12.0,,,26-22,2,D. Valentine makes 2-pt shot from 12 ft
10:57.0,,,26-22,,Personal foul by R. Arcidiacono (drawn by M. Dellavedova)
10:50.0,G. Antetokounmpo misses 2-pt shot from 15 ft,,26-22,,
10:46.0,Offensive rebound by M. Dellavedova,,26-22,,
10:39.0,T. Maker makes 2-pt shot at rim (assist by G. Antetokounmpo),2,28-22,,
10:26.0,,,28-22,,B. Portis misses 3-pt shot from 25 ft
10:23.0,,,28-22,,Offensive rebound by D. Nwaba
10:14.0,,,28-22,,B. Portis misses 2-pt shot from 2 ft
10:10.0,,,28-22,,Offensive rebound by B. Portis
10:10.0,,,28-22,,B. Portis misses 2-pt shot at rim
10:10.0,Defensive rebound by S. Brown,,28-22,,
9:56.0,J. Terry makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,31-22,,
9:36.0,,,31-22,,Turnover by B. Portis (bad pass; steal by T. Maker)
9:30.0,J. Terry makes 3-pt shot from 23 ft (assist by G. Antetokounmpo),3,34-22,,
9:30.0,,,34-22,,Chicago full timeout
9:30.0,,,34-22,,Z. LaVine enters the game for R. Arcidiacono
9:11.0,,,34-24,2,D. Valentine makes 2-pt shot from 10 ft (assist by Z. LaVine)
8:53.0,Turnover by M. Dellavedova (bad pass; steal by Z. LaVine),,34-24,,
8:48.0,,,34-24,,D. Nwaba misses 2-pt shot from 7 ft
8:46.0,Defensive rebound by S. Brown,,34-24,,
8:42.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,36-24,,
8:20.0,,,36-24,,D. Valentine misses 3-pt shot from 25 ft
8:16.0,Defensive rebound by T. Maker,,36-24,,
8:06.0,G. Antetokounmpo misses 2-pt shot from 1 ft (block by D. Nwaba),,36-24,,
8:06.0,,,36-24,,Defensive rebound by Team
7:48.0,,,36-24,,N. Mirotic misses 3-pt shot from 26 ft
7:48.0,,,36-24,,Offensive rebound by B. Portis
7:40.0,,,36-26,2,N. Mirotic makes 2-pt shot at rim (assist by B. Portis)
7:28.0,M. Dellavedova makes 3-pt shot from 26 ft (assist by G. Antetokounmpo),3,39-26,,
7:14.0,,,39-29,3,D. Valentine makes 3-pt shot from 23 ft (assist by Z. LaVine)
6:52.0,S. Brown misses 3-pt shot from 22 ft,,39-29,,
6:47.0,,,39-29,,Defensive rebound by D. Valentine
6:44.0,,,39-29,,Shooting foul by J. Terry (drawn by D. Nwaba)
6:44.0,,,39-30,1,D. Nwaba makes free throw 1 of 2
6:44.0,,,39-30,,L. Markkanen enters the game for B. Portis
6:44.0,E. Bledsoe enters the game for M. Dellavedova,,39-30,,
6:44.0,,,39-30,,D. Nwaba misses free throw 2 of 2
6:41.0,Defensive rebound by T. Maker,,39-30,,
6:30.0,S. Brown makes 2-pt shot from 19 ft (assist by G. Antetokounmpo),2,41-30,,
6:09.0,,,41-30,,Turnover by L. Markkanen (bad pass; steal by T. Maker)
6:04.0,Turnover by E. Bledsoe (lost ball; steal by D. Nwaba),,41-30,,
6:01.0,K. Middleton enters the game for G. Antetokounmpo,,41-30,,
5:56.0,,,41-30,,Z. LaVine misses 3-pt shot from 25 ft
5:53.0,Defensive rebound by K. Middleton,,41-30,,
5:40.0,E. Bledsoe misses 3-pt shot from 26 ft,,41-30,,
5:36.0,,,41-30,,Defensive rebound by N. Mirotic
5:32.0,,,41-30,,D. Valentine misses 3-pt shot from 25 ft
5:31.0,,,41-30,,J. Grant enters the game for D. Valentine
5:31.0,,,41-30,,Offensive rebound by L. Markkanen
5:31.0,,,41-32,2,L. Markkanen makes 2-pt shot at rim
5:31.0,,,41-32,,Shooting foul by K. Middleton (drawn by L. Markkanen)
5:31.0,,,41-33,1,L. Markkanen makes free throw 1 of 1
5:31.0,T. Snell enters the game for J. Terry,,41-33,,
5:17.0,K. Middleton makes 2-pt shot from 19 ft (assist by E. Bledsoe),2,43-33,,
5:02.0,,,43-33,,Turnover by D. Nwaba (bad pass; steal by E. Bledsoe)
4:50.0,S. Brown makes 2-pt shot from 12 ft,2,45-33,,
4:26.0,,,45-33,,Z. LaVine misses 2-pt shot from 4 ft (block by T. Maker)
4:26.0,,,45-33,,Offensive rebound by Team
4:26.0,,,45-33,,J. Holiday enters the game for D. Nwaba
4:26.0,,,45-33,,R. Lopez enters the game for N. Mirotic
4:21.0,,,45-33,,J. Holiday misses 2-pt shot from 20 ft
4:19.0,,,45-33,,Offensive rebound by J. Grant
4:10.0,,,45-33,,R. Lopez misses 2-pt shot from 20 ft
4:08.0,Defensive rebound by T. Maker,,45-33,,
4:03.0,K. Middleton makes 2-pt shot from 1 ft,2,47-33,,
3:42.0,,,47-33,,R. Lopez misses 2-pt shot from 11 ft
3:42.0,Defensive rebound by S. Brown,,47-33,,
3:39.0,Shooting foul by Z. LaVine (drawn by T. Maker),,47-33,,
3:39.0,T. Maker makes free throw 1 of 2,1,48-33,,
3:39.0,,,48-33,,D. Valentine enters the game for Z. LaVine
3:39.0,T. Maker misses free throw 2 of 2,,48-33,,
3:36.0,,,48-33,,Defensive rebound by L. Markkanen
3:25.0,,,48-36,3,J. Holiday makes 3-pt shot from 23 ft (assist by R. Lopez)
3:15.0,S. Brown makes 3-pt shot from 23 ft (assist by E. Bledsoe),3,51-36,,
2:52.0,Milwaukee full timeout,,51-36,,
2:52.0,J. Henson enters the game for T. Maker,,51-36,,
2:52.0,G. Antetokounmpo enters the game for S. Brown,,51-36,,
2:39.0,,,51-36,,R. Lopez misses 2-pt shot from 2 ft
2:37.0,Defensive rebound by E. Bledsoe,,51-36,,
2:30.0,K. Middleton makes 3-pt shot from 26 ft (assist by G. Antetokounmpo),3,54-36,,
2:18.0,,,54-36,,J. Grant misses 2-pt shot from 2 ft
2:18.0,,,54-36,,Offensive rebound by Team
2:18.0,Loose ball foul by T. Snell (drawn by R. Lopez),,54-36,,
2:18.0,,,54-36,,N. Mirotic enters the game for R. Lopez
2:06.0,,,54-36,,L. Markkanen misses 2-pt shot from 14 ft
2:06.0,Defensive rebound by K. Middleton,,54-36,,
1:54.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton),2,56-36,,
1:53.0,,,56-36,,Chicago full timeout
1:45.0,,,56-36,,J. Grant misses 2-pt shot from 21 ft
1:42.0,Defensive rebound by K. Middleton,,56-36,,
1:38.0,,,56-36,,Personal foul by J. Grant (drawn by K. Middleton)
1:32.0,E. Bledsoe misses 3-pt shot from 24 ft,,56-36,,
1:29.0,,,56-36,,Defensive rebound by J. Holiday
1:18.0,,,56-39,3,D. Valentine makes 3-pt shot from 25 ft (assist by J. Holiday)
0:59.0,Turnover by K. Middleton (step out of bounds),,56-39,,
0:51.0,,,56-42,3,N. Mirotic makes 3-pt shot from 24 ft (assist by J. Grant)
0:33.0,T. Snell makes 3-pt shot from 25 ft (assist by E. Bledsoe),3,59-42,,
0:25.0,,,59-42,,N. Mirotic misses 3-pt shot from 22 ft
0:21.0,Defensive rebound by E. Bledsoe,,59-42,,
0:01.0,G. Antetokounmpo makes 2-pt shot from 13 ft (assist by E. Bledsoe),2,61-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,,,61-42,,J. Holiday misses 3-pt shot from 25 ft
11:48.0,Defensive rebound by J. Henson,,61-42,,
11:30.0,J. Henson misses 2-pt shot from 4 ft,,61-42,,
11:27.0,,,61-42,,Defensive rebound by L. Markkanen
11:06.0,,,61-44,2,R. Lopez makes 2-pt shot from 4 ft (assist by Z. LaVine)
10:44.0,Shooting foul by J. Holiday (drawn by G. Antetokounmpo),,61-44,,
10:44.0,G. Antetokounmpo makes free throw 1 of 2,1,62-44,,
10:44.0,G. Antetokounmpo makes free throw 2 of 2,1,63-44,,
10:31.0,,,63-44,,Z. LaVine misses 2-pt shot from 20 ft
10:28.0,,,63-44,,Offensive rebound by R. Lopez
10:19.0,,,63-47,3,J. Holiday makes 3-pt shot from 24 ft (assist by J. Grant)
10:03.0,K. Middleton misses 2-pt shot from 13 ft,,63-47,,
10:03.0,,,63-47,,Defensive rebound by Z. LaVine
9:54.0,,,63-50,3,L. Markkanen makes 3-pt shot from 23 ft (assist by Z. LaVine)
9:28.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,65-50,,
9:14.0,,,65-50,,J. Holiday misses 2-pt shot from 19 ft
9:11.0,Defensive rebound by E. Bledsoe,,65-50,,
9:09.0,,,65-50,,Shooting block foul by L. Markkanen (drawn by G. Antetokounmpo)
9:09.0,G. Antetokounmpo makes free throw 1 of 2,1,66-50,,
9:09.0,G. Antetokounmpo makes free throw 2 of 2,1,67-50,,
9:01.0,,,67-52,2,J. Grant makes 2-pt shot from 1 ft
8:46.0,J. Henson makes 2-pt shot from 3 ft (assist by G. Antetokounmpo),2,69-52,,
8:33.0,,,69-54,2,R. Lopez makes 2-pt shot at rim (assist by J. Holiday)
8:18.0,G. Antetokounmpo makes 2-pt shot at rim,2,71-54,,
8:05.0,,,71-56,2,L. Markkanen makes 2-pt shot at rim (assist by R. Lopez)
7:47.0,E. Bledsoe misses 3-pt shot from 25 ft,,71-56,,
7:44.0,,,71-56,,Defensive rebound by L. Markkanen
7:38.0,,,71-56,,L. Markkanen misses 3-pt shot from 25 ft
7:36.0,,,71-56,,Offensive rebound by Team
7:36.0,Loose ball foul by J. Henson (drawn by R. Lopez),,71-56,,
7:33.0,,,71-56,,J. Holiday misses 3-pt shot from 25 ft
7:29.0,Defensive rebound by E. Bledsoe,,71-56,,
7:14.0,G. Antetokounmpo misses 2-pt shot from 7 ft,,71-56,,
7:12.0,,,71-56,,Defensive rebound by Team
7:01.0,,,71-56,,R. Lopez misses 2-pt shot from 5 ft
6:57.0,Defensive rebound by G. Antetokounmpo,,71-56,,
6:50.0,Shooting foul by J. Holiday (drawn by K. Middleton),,71-56,,
6:50.0,,,71-56,,Chicago full timeout
6:50.0,K. Middleton makes free throw 1 of 2,1,72-56,,
6:50.0,K. Middleton makes free throw 2 of 2,1,73-56,,
6:39.0,,,73-56,,Z. LaVine misses 3-pt shot from 25 ft
6:35.0,Defensive rebound by E. Bledsoe,,73-56,,
6:25.0,E. Bledsoe misses 3-pt shot from 24 ft,,73-56,,
6:25.0,Offensive rebound by K. Middleton,,73-56,,
6:19.0,K. Middleton makes 2-pt shot from 1 ft,2,75-56,,
6:03.0,,,75-56,,Z. LaVine misses 3-pt shot from 24 ft
6:00.0,Defensive rebound by G. Antetokounmpo,,75-56,,
5:54.0,G. Antetokounmpo makes 2-pt shot from 20 ft,2,77-56,,
5:35.0,,,77-58,2,R. Lopez makes 2-pt shot from 7 ft (assist by J. Grant)
5:16.0,E. Bledsoe misses 3-pt shot from 25 ft,,77-58,,
5:16.0,Offensive rebound by G. Antetokounmpo,,77-58,,
5:06.0,E. Bledsoe makes 2-pt shot from 1 ft,2,79-58,,
5:06.0,Shooting foul by L. Markkanen (drawn by E. Bledsoe),,79-58,,
5:06.0,,,79-58,,N. Mirotic enters the game for R. Lopez
