time,Milwaukee,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. J. Henson (G. Antetokounmpo gains possession),,,,Jump ball: D. Favors vs. J. Henson (G. Antetokounmpo gains possession)
11:50.0,Turnover by K. Middleton (lost ball; steal by J. Ingles),,0-0,,
11:45.0,,,0-2,2,D. Favors makes 2-pt shot from 2 ft (assist by J. Ingles)
11:31.0,Turnover by K. Middleton (turnover),,0-2,,
11:30.0,Loose ball foul by K. Middleton (drawn by J. Ingles),,0-2,,
11:15.0,,,0-5,3,D. Mitchell makes 3-pt shot from 25 ft (assist by D. Favors)
10:51.0,E. Bledsoe misses 2-pt shot from 17 ft,,0-5,,
10:49.0,,,0-5,,Defensive rebound by J. Jerebko
10:30.0,,,0-5,,D. Favors misses 2-pt shot from 11 ft
10:23.0,Defensive rebound by G. Payton,,0-5,,
10:21.0,Offensive foul by G. Antetokounmpo (drawn by J. Jerebko),,0-5,,
10:21.0,Turnover by G. Antetokounmpo (offensive foul),,0-5,,
10:02.0,,,0-5,,Turnover by J. Jerebko (lost ball; steal by K. Middleton)
9:55.0,,,0-5,,Personal foul by J. Jerebko (drawn by G. Antetokounmpo)
9:50.0,Shooting foul by R. Rubio (drawn by G. Antetokounmpo),,0-5,,
9:50.0,G. Antetokounmpo makes free throw 1 of 2,1,1-5,,
9:50.0,G. Antetokounmpo makes free throw 2 of 2,1,2-5,,
9:36.0,,,2-7,2,R. Rubio makes 2-pt shot from 18 ft
9:21.0,K. Middleton misses 3-pt shot from 24 ft,,2-7,,
9:19.0,,,2-7,,Defensive rebound by D. Favors
9:01.0,,,2-7,,Turnover by D. Favors (out of bounds lost ball)
8:53.0,Shooting foul by R. Rubio (drawn by E. Bledsoe),,2-7,,
8:53.0,E. Bledsoe makes free throw 1 of 2,1,3-7,,
8:53.0,,,3-7,,R. Neto enters the game for R. Rubio
8:53.0,E. Bledsoe makes free throw 2 of 2,1,4-7,,
8:41.0,,,4-10,3,J. Ingles makes 3-pt shot from 24 ft (assist by R. Neto)
8:32.0,Shooting foul by J. Jerebko (drawn by J. Henson),,4-10,,
8:32.0,J. Henson makes free throw 1 of 2,1,5-10,,
8:32.0,,,5-10,,T. Sefolosha enters the game for J. Jerebko
8:32.0,J. Henson makes free throw 2 of 2,1,6-10,,
8:19.0,,,6-13,3,D. Mitchell makes 3-pt shot from 23 ft (assist by R. Neto)
8:06.0,J. Henson makes 2-pt shot from 7 ft (assist by K. Middleton),2,8-13,,
7:53.0,,,8-15,2,D. Favors makes 2-pt shot from 1 ft (assist by J. Ingles)
7:41.0,K. Middleton misses 2-pt shot from 10 ft,,8-15,,
7:38.0,,,8-15,,Defensive rebound by T. Sefolosha
7:19.0,,,8-15,,D. Favors misses 2-pt shot from 21 ft
7:14.0,Defensive rebound by G. Antetokounmpo,,8-15,,
7:06.0,E. Bledsoe misses 3-pt shot from 24 ft,,8-15,,
7:02.0,,,8-15,,Defensive rebound by D. Mitchell
6:49.0,,,8-15,,R. Neto misses 2-pt shot from 2 ft (block by J. Henson)
6:48.0,Defensive rebound by G. Antetokounmpo,,8-15,,
6:48.0,,,8-15,,Personal foul by D. Mitchell (drawn by G. Antetokounmpo)
6:48.0,,,8-15,,Utah full timeout
6:48.0,,,8-15,,R. Hood enters the game for D. Mitchell
6:48.0,D. Liggins enters the game for G. Payton,,8-15,,
6:48.0,T. Snell enters the game for K. Middleton,,8-15,,
6:48.0,G. Antetokounmpo makes free throw 1 of 2,1,9-15,,
6:48.0,G. Antetokounmpo makes free throw 2 of 2,1,10-15,,
