time,Philadelphia,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:48.0,Jump ball: A. Horford vs. A. Johnson (D. Saric gains possession),,,,Jump ball: A. Horford vs. A. Johnson (D. Saric gains possession)
11:42.0,D. Saric misses 2-pt shot from 19 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by J. Tatum
11:24.0,,,0-0,,Turnover by A. Horford (bad pass)
11:08.0,B. Simmons makes 2-pt shot from 12 ft (assist by A. Johnson),2,2-0,,
10:43.0,,,2-2,2,K. Irving makes 2-pt shot from 2 ft
10:34.0,D. Saric makes 3-pt shot from 26 ft (assist by B. Simmons),3,5-2,,
10:16.0,,,5-2,,A. Baynes misses 2-pt shot from 20 ft
10:13.0,Defensive rebound by A. Johnson,,5-2,,
10:06.0,B. Simmons makes 2-pt shot from 10 ft,2,7-2,,
9:58.0,Personal foul by B. Simmons (drawn by A. Horford),,7-2,,
9:51.0,,,7-2,,Turnover by A. Horford (out of bounds lost ball)
9:32.0,D. Saric misses 2-pt shot from 5 ft,,7-2,,
9:29.0,Offensive rebound by A. Johnson,,7-2,,
9:28.0,A. Johnson makes 2-pt shot from 2 ft,2,9-2,,
9:18.0,,,9-5,3,K. Irving makes 3-pt shot from 28 ft
9:00.0,B. Simmons misses 2-pt shot from 10 ft,,9-5,,
8:57.0,,,9-5,,Defensive rebound by A. Baynes
8:54.0,,,9-8,3,A. Horford makes 3-pt shot from 27 ft (assist by J. Brown)
8:50.0,Philadelphia full timeout,,9-8,,
8:35.0,B. Simmons misses 2-pt shot from 2 ft,,9-8,,
8:31.0,Offensive rebound by D. Saric,,9-8,,
8:28.0,R. Covington misses 3-pt shot from 25 ft,,9-8,,
8:28.0,,,9-8,,Defensive rebound by Team
8:28.0,R. Holmes enters the game for A. Johnson,,9-8,,
8:12.0,,,9-8,,K. Irving misses 2-pt shot from 5 ft
8:12.0,,,9-8,,Offensive rebound by Team
8:10.0,Loose ball foul by R. Holmes (drawn by A. Baynes),,9-8,,
7:55.0,,,9-8,,J. Tatum misses 2-pt shot from 11 ft
7:52.0,Defensive rebound by R. Covington,,9-8,,
7:47.0,Turnover by R. Covington (bad pass),,9-8,,
7:28.0,,,9-8,,J. Brown misses 3-pt shot from 22 ft
7:24.0,Defensive rebound by J. Redick,,9-8,,
7:09.0,D. Saric makes 2-pt shot from 2 ft (assist by J. Redick),2,11-8,,
6:56.0,,,11-10,2,A. Horford makes 2-pt shot from 8 ft (assist by K. Irving)
6:33.0,R. Holmes misses 2-pt shot from 2 ft,,11-10,,
6:30.0,,,11-10,,Defensive rebound by A. Baynes
6:27.0,,,11-10,,Turnover by J. Brown (lost ball; steal by J. Redick)
6:21.0,R. Covington misses 3-pt shot from 26 ft,,11-10,,
6:18.0,Offensive rebound by B. Simmons,,11-10,,
6:16.0,J. Redick misses 3-pt shot from 24 ft,,11-10,,
6:16.0,,,11-10,,Defensive rebound by A. Horford
6:04.0,,,11-12,2,J. Brown makes 2-pt shot from 1 ft (assist by A. Horford)
5:45.0,R. Holmes misses 2-pt shot from 8 ft,,11-12,,
5:45.0,Offensive rebound by Team,,11-12,,
5:45.0,,,11-12,,Loose ball foul by J. Brown (drawn by R. Covington)
5:45.0,,,11-12,,M. Morris enters the game for J. Tatum
5:45.0,,,11-12,,M. Smart enters the game for A. Baynes
5:45.0,J. Bayless enters the game for R. Covington,,11-12,,
5:45.0,T. Luwawu-Cabarrot enters the game for J. Redick,,11-12,,
5:40.0,B. Simmons misses 2-pt shot from 7 ft,,11-12,,
5:36.0,,,11-12,,Defensive rebound by M. Morris
5:34.0,,,11-12,,Turnover by J. Brown (bad pass; steal by B. Simmons)
5:14.0,T. Luwawu-Cabarrot makes 3-pt shot from 26 ft (assist by B. Simmons),3,14-12,,
5:01.0,,,14-14,2,K. Irving makes 2-pt shot from 16 ft
5:01.0,,,14-14,,Shooting foul by J. Bayless (drawn by K. Irving)
5:01.0,,,14-15,1,K. Irving makes free throw 1 of 1
4:51.0,Offensive charge foul by R. Holmes,,14-15,,
4:51.0,Turnover by R. Holmes (offensive foul),,14-15,,
4:51.0,Technical foul by R. Holmes,,14-15,,
4:51.0,A. Johnson enters the game for R. Holmes,,14-15,,
4:51.0,,,14-16,1,K. Irving makes technical free throw
4:36.0,,,14-18,2,A. Horford makes 2-pt shot from 21 ft (assist by M. Smart)
4:23.0,Shooting foul by J. Brown (drawn by A. Johnson),,14-18,,
4:23.0,A. Johnson makes free throw 1 of 2,1,15-18,,
4:23.0,R. Covington enters the game for D. Saric,,15-18,,
4:23.0,J. Redick enters the game for B. Simmons,,15-18,,
4:23.0,A. Johnson misses free throw 2 of 2,,15-18,,
4:21.0,,,15-18,,Defensive rebound by M. Morris
4:06.0,,,15-18,,J. Brown misses 2-pt shot from 3 ft
4:05.0,,,15-18,,Offensive rebound by J. Brown
4:04.0,,,15-18,,J. Brown misses 2-pt shot from 2 ft (block by J. Redick)
4:04.0,,,15-18,,Offensive rebound by Team
3:59.0,,,15-21,3,M. Smart makes 3-pt shot from 27 ft (assist by A. Horford)
3:38.0,A. Johnson misses 2-pt shot from 6 ft,,15-21,,
3:36.0,Offensive rebound by A. Johnson,,15-21,,
