time,Portland,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. J. Nurkic (P. Tucker gains possession),,,,Jump ball: C. Capela vs. J. Nurkic (P. Tucker gains possession)
11:34.0,,,0-2,2,T. Ariza makes 2-pt shot from 2 ft (assist by J. Harden)
11:09.0,J. Nurkic makes 2-pt shot from 13 ft,2,2-2,,
10:56.0,,,2-2,,C. Capela misses 2-pt shot at rim
10:54.0,Defensive rebound by E. Turner,,2-2,,
10:48.0,J. Nurkic makes 2-pt shot at rim (assist by E. Turner),2,4-2,,
10:44.0,,,4-5,3,T. Ariza makes 3-pt shot from 25 ft (assist by C. Paul)
10:16.0,J. Nurkic misses 2-pt shot from 4 ft,,4-5,,
10:12.0,Offensive rebound by A. Aminu,,4-5,,
10:12.0,A. Aminu misses 2-pt shot at rim,,4-5,,
10:12.0,Offensive rebound by A. Aminu,,4-5,,
10:10.0,A. Aminu makes 2-pt shot from 1 ft,2,6-5,,
9:54.0,,,6-5,,P. Tucker misses 3-pt shot from 26 ft
9:50.0,,,6-5,,Offensive rebound by C. Capela
9:37.0,,,6-5,,C. Capela misses 2-pt shot from 2 ft
9:35.0,Defensive rebound by A. Aminu,,6-5,,
9:26.0,E. Turner misses 2-pt shot from 3 ft,,6-5,,
9:20.0,Offensive rebound by J. Nurkic,,6-5,,
9:20.0,J. Nurkic makes 2-pt shot at rim,2,8-5,,
9:11.0,,,8-7,2,C. Paul makes 2-pt shot from 16 ft
8:52.0,Turnover by J. Nurkic (bad pass),,8-7,,
8:40.0,,,8-9,2,C. Paul makes 2-pt shot from 2 ft
8:31.0,Turnover by C. McCollum (bad pass),,8-9,,
8:25.0,,,8-9,,C. Paul misses 3-pt shot from 26 ft
8:21.0,Defensive rebound by A. Aminu,,8-9,,
8:11.0,C. McCollum misses 2-pt shot from 16 ft,,8-9,,
8:08.0,,,8-9,,Defensive rebound by J. Harden
8:05.0,,,8-11,2,C. Paul makes 2-pt shot from 5 ft
8:05.0,,,8-11,,Shooting foul by S. Napier (drawn by C. Paul)
8:05.0,,,8-12,1,C. Paul makes free throw 1 of 1
7:51.0,C. McCollum misses 2-pt shot from 5 ft,,8-12,,
7:49.0,,,8-12,,Defensive rebound by C. Capela
7:33.0,,,8-12,,T. Ariza misses 3-pt shot from 23 ft
7:29.0,,,8-12,,Offensive rebound by C. Capela
7:29.0,,,8-15,3,T. Ariza makes 3-pt shot from 22 ft (assist by C. Capela)
7:09.0,S. Napier misses 3-pt shot from 26 ft,,8-15,,
7:07.0,,,8-15,,Defensive rebound by C. Capela
6:53.0,,,8-15,,C. Paul misses 2-pt shot from 7 ft
6:49.0,Defensive rebound by S. Napier,,8-15,,
6:45.0,A. Aminu misses 2-pt shot from 21 ft,,8-15,,
6:41.0,,,8-15,,Defensive rebound by C. Capela
6:36.0,,,8-18,3,J. Harden makes 3-pt shot from 26 ft
6:34.0,Portland full timeout,,8-18,,
6:34.0,,,8-18,,L. Mbah a Moute enters the game for C. Paul
6:20.0,J. Nurkic makes 2-pt shot from 5 ft (assist by E. Turner),2,10-18,,
6:01.0,,,10-18,,T. Ariza misses 2-pt shot from 12 ft (block by C. McCollum)
5:58.0,Defensive rebound by A. Aminu,,10-18,,
5:55.0,E. Turner makes 2-pt shot from 3 ft (assist by C. McCollum),2,12-18,,
5:37.0,Personal foul by A. Aminu (drawn by J. Harden),,12-18,,
5:37.0,Z. Collins enters the game for E. Turner,,12-18,,
5:26.0,,,12-21,3,P. Tucker makes 3-pt shot from 25 ft (assist by J. Harden)
5:10.0,,,12-21,,Personal foul by T. Ariza (drawn by J. Nurkic)
5:05.0,C. McCollum misses 3-pt shot from 25 ft,,12-21,,
5:01.0,,,12-21,,Defensive rebound by C. Capela
4:55.0,,,12-23,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
4:40.0,C. McCollum misses 2-pt shot from 21 ft,,12-23,,
4:35.0,Offensive rebound by J. Nurkic,,12-23,,
4:32.0,,,12-23,,J. Johnson enters the game for T. Ariza
4:32.0,,,12-23,,G. Green enters the game for P. Tucker
4:32.0,P. Connaughton enters the game for S. Napier,,12-23,,
4:29.0,Jump ball: L. Mbah a Moute vs. J. Nurkic (C. McCollum gains possession),,,,Jump ball: L. Mbah a Moute vs. J. Nurkic (C. McCollum gains possession)
4:26.0,C. McCollum misses 2-pt shot from 1 ft (block by C. Capela),,12-23,,
4:23.0,Offensive rebound by J. Nurkic,,12-23,,
4:19.0,,,12-23,,Personal foul by L. Mbah a Moute (drawn by J. Nurkic)
4:08.0,P. Connaughton misses 3-pt shot from 25 ft,,12-23,,
4:04.0,,,12-23,,Defensive rebound by L. Mbah a Moute
3:59.0,,,12-23,,J. Harden misses 3-pt shot from 27 ft
3:55.0,,,12-23,,Offensive rebound by J. Harden
3:46.0,,,12-23,,Shooting foul by P. Connaughton (drawn by J. Harden)
3:46.0,,,12-23,,J. Harden misses free throw 1 of 3
3:46.0,,,12-23,,Offensive rebound by Team
3:46.0,,,12-24,1,J. Harden makes free throw 2 of 3
3:46.0,,,12-24,,T. Black enters the game for C. Capela
3:46.0,,,12-25,1,J. Harden makes free throw 3 of 3
3:33.0,C. McCollum misses 2-pt shot from 21 ft,,12-25,,
3:30.0,,,12-25,,Defensive rebound by J. Johnson
3:19.0,,,12-25,,Shooting foul by A. Aminu (drawn by L. Mbah a Moute)
3:19.0,,,12-25,,L. Mbah a Moute misses free throw 1 of 2
3:19.0,,,12-25,,Offensive rebound by Team
3:19.0,M. Leonard enters the game for A. Aminu,,12-25,,
3:19.0,W. Baldwin enters the game for J. Nurkic,,12-25,,
3:19.0,,,12-25,,L. Mbah a Moute misses free throw 2 of 2
3:19.0,Defensive rebound by M. Leonard,,12-25,,
3:04.0,Turnover by Z. Collins (bad pass; steal by L. Mbah a Moute),,12-25,,
2:56.0,,,12-27,2,T. Black makes 2-pt shot from 1 ft (assist by J. Harden)
2:39.0,C. McCollum makes 2-pt shot from 2 ft (assist by W. Baldwin),2,14-27,,
2:23.0,,,14-27,,Shooting foul by Z. Collins (drawn by L. Mbah a Moute)
2:23.0,,,14-27,,Houston full timeout
2:23.0,,,14-27,,C. Paul enters the game for J. Harden
2:23.0,,,14-27,,T. Black misses free throw 1 of 2
2:23.0,,,14-27,,Offensive rebound by Team
2:23.0,,,14-27,,T. Black misses free throw 2 of 2
2:21.0,Defensive rebound by Z. Collins,,14-27,,
2:06.0,Shooting foul by T. Black (drawn by Z. Collins),,14-27,,
2:06.0,Z. Collins misses free throw 1 of 2,,14-27,,
2:06.0,Offensive rebound by Team,,14-27,,
2:06.0,Z. Collins makes free throw 2 of 2,1,15-27,,
1:46.0,,,15-27,,G. Green misses 2-pt shot from 21 ft
1:43.0,Defensive rebound by M. Leonard,,15-27,,
1:32.0,Turnover by C. McCollum (bad pass; steal by L. Mbah a Moute),,15-27,,
1:27.0,,,15-30,3,C. Paul makes 3-pt shot from 26 ft
1:11.0,C. McCollum misses 2-pt shot from 3 ft (block by T. Black),,15-30,,
1:09.0,,,15-30,,Defensive rebound by G. Green
1:05.0,,,15-33,3,L. Mbah a Moute makes 3-pt shot from 23 ft (assist by G. Green)
0:38.0,M. Leonard makes 2-pt shot from 8 ft (assist by W. Baldwin),2,17-33,,
0:28.0,,,17-33,,C. Paul misses 3-pt shot from 26 ft
0:25.0,,,17-33,,Offensive rebound by T. Black
0:04.0,,,17-36,3,G. Green makes 3-pt shot from 24 ft (assist by C. Paul)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,S. Napier misses 2-pt shot from 18 ft,,17-36,,
11:42.0,,,17-36,,Defensive rebound by J. Johnson
11:33.0,,,17-38,2,J. Johnson makes 2-pt shot from 5 ft
11:15.0,,,17-38,,Personal foul by G. Green (drawn by C. Swanigan)
11:15.0,J. Nurkic enters the game for Z. Collins,,17-38,,
11:02.0,W. Baldwin misses 2-pt shot from 1 ft,,17-38,,
10:59.0,,,17-38,,Defensive rebound by T. Black
10:49.0,Personal foul by C. Swanigan (drawn by T. Black),,17-38,,
10:41.0,,,17-38,,L. Mbah a Moute misses 3-pt shot from 25 ft
10:39.0,Defensive rebound by S. Napier,,17-38,,
10:33.0,S. Napier misses 2-pt shot from 3 ft,,17-38,,
10:31.0,,,17-38,,Defensive rebound by J. Johnson
10:28.0,,,17-41,3,G. Green makes 3-pt shot from 25 ft (assist by C. Paul)
10:07.0,W. Baldwin makes 2-pt shot from 3 ft,2,19-41,,
9:51.0,,,19-41,,Turnover by G. Green (bad pass; steal by J. Nurkic)
9:47.0,J. Nurkic makes 2-pt shot from 8 ft,2,21-41,,
9:36.0,,,21-41,,Turnover by C. Paul (out of bounds lost ball)
9:28.0,Turnover by W. Baldwin (traveling),,21-41,,
9:28.0,,,21-41,,C. Capela enters the game for T. Black
9:09.0,,,21-44,3,C. Paul makes 3-pt shot from 22 ft
8:57.0,S. Napier makes 3-pt shot from 28 ft (assist by J. Nurkic),3,24-44,,
8:57.0,Shooting foul by C. Capela (drawn by S. Napier),,24-44,,
8:57.0,S. Napier makes free throw 1 of 1,1,25-44,,
8:38.0,,,25-46,2,C. Paul makes 2-pt shot from 3 ft
8:29.0,Shooting foul by G. Green (drawn by S. Napier),,25-46,,
