time,Charlotte,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. D. Howard (J. Wall gains possession),,,,Jump ball: M. Gortat vs. D. Howard (J. Wall gains possession)
11:48.0,,,0-2,2,O. Porter makes 2-pt shot from 18 ft
11:27.0,D. Howard misses 2-pt shot from 16 ft,,0-2,,
11:23.0,,,0-2,,Defensive rebound by M. Morris
11:08.0,,,0-2,,Turnover by M. Morris (bad pass; steal by D. Howard)
11:02.0,K. Walker misses 3-pt shot from 30 ft,,0-2,,
10:58.0,,,0-2,,Defensive rebound by O. Porter
10:48.0,,,0-2,,M. Gortat misses 2-pt shot from 5 ft
10:46.0,,,0-2,,Offensive rebound by O. Porter
10:44.0,,,0-5,3,J. Wall makes 3-pt shot from 25 ft (assist by O. Porter)
10:22.0,D. Howard misses 2-pt shot from 11 ft,,0-5,,
10:20.0,,,0-5,,Defensive rebound by B. Beal
10:10.0,,,0-5,,M. Morris misses 3-pt shot from 23 ft
10:06.0,Defensive rebound by D. Howard,,0-5,,
9:55.0,Turnover by K. Walker (bad pass; steal by M. Morris),,0-5,,
9:54.0,,,0-5,,Turnover by M. Morris (bad pass)
9:44.0,M. Williams misses 2-pt shot from 8 ft,,0-5,,
9:41.0,Offensive rebound by N. Batum,,0-5,,
9:41.0,N. Batum misses 2-pt shot at rim,,0-5,,
9:41.0,,,0-5,,Defensive rebound by M. Gortat
9:33.0,,,0-5,,B. Beal misses 2-pt shot from 18 ft
9:30.0,Defensive rebound by M. Williams,,0-5,,
9:25.0,N. Batum makes 2-pt shot from 18 ft,2,2-5,,
8:58.0,,,2-7,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
8:44.0,D. Howard makes 2-pt shot from 1 ft (assist by M. Williams),2,4-7,,
8:33.0,Personal foul by M. Kidd-Gilchrist (drawn by B. Beal),,4-7,,
8:25.0,,,4-7,,J. Wall misses 3-pt shot from 25 ft
8:22.0,Defensive rebound by D. Howard,,4-7,,
8:10.0,Turnover by M. Williams (bad pass; steal by O. Porter),,4-7,,
8:05.0,,,4-7,,B. Beal misses 2-pt shot from 8 ft
8:02.0,Defensive rebound by M. Kidd-Gilchrist,,4-7,,
7:50.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by N. Batum),2,6-7,,
7:39.0,,,6-7,,Turnover by B. Beal (bad pass; steal by N. Batum)
7:35.0,Shooting foul by B. Beal (drawn by M. Kidd-Gilchrist),,6-7,,
7:35.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,7-7,,
7:35.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,8-7,,
7:27.0,,,8-10,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
7:10.0,N. Batum misses 2-pt shot from 19 ft,,8-10,,
7:07.0,,,8-10,,Defensive rebound by M. Morris
6:59.0,,,8-13,3,M. Morris makes 3-pt shot from 25 ft (assist by J. Wall)
6:39.0,Turnover by N. Batum (bad pass; steal by B. Beal),,8-13,,
6:34.0,,,8-15,2,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall)
6:34.0,Away from play foul by D. Howard (drawn by M. Gortat),,8-15,,
6:34.0,,,8-16,1,M. Gortat makes free throw 1 of 1
6:34.0,,,8-16,,Washington full timeout
6:15.0,M. Kidd-Gilchrist makes 2-pt shot from 18 ft,2,10-16,,
5:54.0,,,10-16,,Turnover by M. Gortat (bad pass; steal by M. Kidd-Gilchrist)
5:45.0,D. Howard makes 2-pt shot from 8 ft (assist by N. Batum),2,12-16,,
5:22.0,,,12-16,,M. Morris misses 3-pt shot from 23 ft
5:18.0,,,12-16,,Offensive rebound by M. Gortat
5:16.0,,,12-16,,J. Wall misses 2-pt shot from 20 ft
5:13.0,Defensive rebound by D. Howard,,12-16,,
5:09.0,M. Williams makes 3-pt shot from 26 ft (assist by N. Batum),3,15-16,,
4:53.0,,,15-19,3,B. Beal makes 3-pt shot from 23 ft (assist by J. Wall)
4:40.0,Shooting foul by O. Porter (drawn by N. Batum),,15-19,,
4:40.0,N. Batum makes free throw 1 of 2,1,16-19,,
4:40.0,,,16-19,,K. Oubre enters the game for O. Porter
4:40.0,N. Batum makes free throw 2 of 2,1,17-19,,
4:23.0,,,17-19,,K. Oubre misses 3-pt shot from 25 ft
4:19.0,,,17-19,,Offensive rebound by M. Morris
4:15.0,,,17-19,,B. Beal misses 2-pt shot from 13 ft
4:14.0,,,17-19,,Offensive rebound by M. Gortat
4:07.0,,,17-21,2,J. Wall makes 2-pt shot from 17 ft
3:52.0,Shooting foul by M. Gortat (drawn by M. Williams),,17-21,,
3:52.0,M. Williams makes free throw 1 of 2,1,18-21,,
3:52.0,,,18-21,,I. Mahinmi enters the game for M. Gortat
3:52.0,M. Williams makes free throw 2 of 2,1,19-21,,
3:43.0,,,19-21,,Turnover by M. Morris (out of bounds lost ball)
3:43.0,F. Kaminsky enters the game for M. Williams,,19-21,,
3:29.0,F. Kaminsky misses 2-pt shot from 16 ft,,19-21,,
3:26.0,,,19-21,,Defensive rebound by I. Mahinmi
3:07.0,,,19-21,,K. Oubre misses 2-pt shot from 12 ft
3:06.0,,,19-21,,Offensive rebound by I. Mahinmi
3:06.0,,,19-21,,Shooting foul by M. Kidd-Gilchrist (drawn by I. Mahinmi)
3:06.0,,,19-22,1,I. Mahinmi makes free throw 1 of 2
3:06.0,,,19-22,,T. Satoransky enters the game for J. Wall
3:06.0,D. Bacon enters the game for M. Kidd-Gilchrist,,19-22,,
3:06.0,,,19-22,,I. Mahinmi misses free throw 2 of 2
3:04.0,Defensive rebound by D. Howard,,19-22,,
2:55.0,D. Howard misses 2-pt shot from 6 ft,,19-22,,
2:51.0,Offensive rebound by D. Howard,,19-22,,
2:51.0,D. Howard makes 2-pt shot from 2 ft,2,21-22,,
2:37.0,,,21-22,,M. Morris misses 2-pt shot from 6 ft (block by D. Howard)
2:34.0,Defensive rebound by N. Batum,,21-22,,
2:27.0,Turnover by F. Kaminsky (traveling),,21-22,,
2:27.0,Charlotte full timeout,,21-22,,
2:27.0,,,21-22,,M. Scott enters the game for M. Morris
2:27.0,M. Monk enters the game for K. Walker,,21-22,,
2:09.0,,,21-24,2,T. Satoransky makes 2-pt shot from 9 ft
1:56.0,Turnover by N. Batum (bad pass; steal by I. Mahinmi),,21-24,,
1:47.0,,,21-26,2,M. Scott makes 2-pt shot from 12 ft (assist by I. Mahinmi)
1:30.0,W. Hernangomez enters the game for N. Batum,,21-26,,
1:30.0,T. Graham enters the game for D. Howard,,21-26,,
1:24.0,,,21-26,,Personal foul by M. Scott (drawn by W. Hernangomez)
1:19.0,M. Monk makes 2-pt shot from 4 ft,2,23-26,,
1:02.0,,,23-28,2,T. Satoransky makes 2-pt shot at rim (assist by I. Mahinmi)
0:49.0,F. Kaminsky misses 2-pt shot from 4 ft (block by I. Mahinmi),,23-28,,
0:49.0,Offensive rebound by W. Hernangomez,,23-28,,
0:48.0,W. Hernangomez makes 2-pt shot from 1 ft,2,25-28,,
0:35.0,,,25-28,,M. Scott misses 2-pt shot from 16 ft
0:33.0,Defensive rebound by F. Kaminsky,,25-28,,
0:26.0,Turnover by M. Monk (bad pass; steal by K. Oubre),,25-28,,
0:22.0,,,25-30,2,T. Satoransky makes 2-pt shot from 1 ft (assist by K. Oubre)
0:00.0,F. Kaminsky makes 2-pt shot from 6 ft (assist by T. Graham),2,27-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,Turnover by M. Monk (out of bounds lost ball),,27-30,,
11:31.0,,,27-30,,K. Oubre misses 2-pt shot from 8 ft
11:29.0,Defensive rebound by F. Kaminsky,,27-30,,
11:19.0,M. Monk makes 3-pt shot from 26 ft (assist by D. Bacon),3,30-30,,
