time,LA Clippers,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Allen vs. D. Jordan (D. Carroll gains possession),,,,Jump ball: J. Allen vs. D. Jordan (D. Carroll gains possession)
11:41.0,,,0-0,,S. Dinwiddie misses 2-pt shot from 14 ft
11:38.0,Defensive rebound by D. Jordan,,0-0,,
11:24.0,A. Bradley makes 2-pt shot from 3 ft (assist by A. Rivers),2,2-0,,
11:05.0,,,2-0,,A. Crabbe misses 3-pt shot from 25 ft
11:02.0,Defensive rebound by D. Jordan,,2-0,,
10:56.0,D. Gallinari makes 2-pt shot from 13 ft (assist by A. Bradley),2,4-0,,
10:30.0,,,4-2,2,J. Allen makes 2-pt shot at rim (assist by D. Carroll)
10:13.0,T. Harris misses 2-pt shot from 3 ft (block by J. Allen),,4-2,,
10:11.0,,,4-2,,Defensive rebound by D. Carroll
9:55.0,,,4-5,3,D. Carroll makes 3-pt shot from 25 ft (assist by S. Dinwiddie)
9:31.0,T. Harris makes 2-pt shot from 13 ft,2,6-5,,
9:03.0,,,6-5,,D. Carroll misses 2-pt shot from 17 ft
9:01.0,Defensive rebound by D. Jordan,,6-5,,
8:55.0,A. Bradley makes 2-pt shot from 8 ft,2,8-5,,
8:43.0,,,8-5,,D. Carroll misses 3-pt shot from 25 ft
8:41.0,Defensive rebound by D. Jordan,,8-5,,
8:30.0,T. Harris misses 2-pt shot from 7 ft,,8-5,,
8:28.0,,,8-5,,Defensive rebound by Q. Acy
8:19.0,,,8-5,,A. Crabbe misses 2-pt shot from 11 ft
8:15.0,,,8-5,,Offensive rebound by Q. Acy
8:09.0,,,8-5,,S. Dinwiddie misses 3-pt shot from 24 ft
8:06.0,Defensive rebound by D. Jordan,,8-5,,
7:53.0,D. Gallinari makes 2-pt shot from 15 ft,2,10-5,,
7:32.0,,,10-7,2,A. Crabbe makes 2-pt shot from 13 ft (assist by J. Allen)
7:15.0,Turnover by D. Jordan (out of bounds lost ball),,10-7,,
6:59.0,,,10-7,,Brooklyn full timeout
6:59.0,,,10-7,,D. Cunningham enters the game for J. Allen
6:56.0,,,10-7,,Q. Acy misses 3-pt shot from 24 ft
6:50.0,Defensive rebound by A. Rivers,,10-7,,
6:48.0,,,10-7,,Personal foul by Q. Acy (drawn by D. Jordan)
6:36.0,D. Gallinari makes 2-pt shot from 10 ft (assist by T. Harris),2,12-7,,
6:17.0,,,12-9,2,A. Crabbe makes 2-pt shot from 22 ft (assist by Q. Acy)
6:07.0,A. Rivers makes 2-pt shot from 9 ft,2,14-9,,
