time,Milwaukee,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Baynes vs. J. Henson (A. Horford gains possession),,,,Jump ball: A. Baynes vs. J. Henson (A. Horford gains possession)
11:44.0,,,0-2,2,A. Horford makes 2-pt shot from 5 ft (assist by T. Rozier)
11:26.0,J. Henson makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,2-2,,
11:12.0,,,2-2,,J. Brown misses 3-pt shot from 25 ft
11:10.0,Defensive rebound by J. Henson,,2-2,,
11:02.0,E. Bledsoe misses 2-pt shot from 17 ft,,2-2,,
10:59.0,,,2-2,,Defensive rebound by J. Tatum
10:52.0,Personal foul by E. Bledsoe (drawn by T. Rozier),,2-2,,
10:40.0,,,2-4,2,J. Brown makes 2-pt shot from 1 ft
10:23.0,Turnover by G. Antetokounmpo (lost ball; steal by A. Horford),,2-4,,
10:05.0,,,2-4,,J. Brown misses 2-pt shot from 1 ft
10:04.0,,,2-4,,Offensive rebound by Team
9:59.0,,,2-6,2,J. Tatum makes 2-pt shot from 18 ft (assist by A. Baynes)
9:39.0,E. Bledsoe misses 2-pt shot from 3 ft,,2-6,,
9:38.0,,,2-6,,Defensive rebound by A. Baynes
9:30.0,,,2-6,,T. Rozier misses 3-pt shot from 25 ft
9:27.0,Defensive rebound by K. Middleton,,2-6,,
9:21.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton),2,4-6,,
9:08.0,,,4-6,,A. Baynes misses 2-pt shot from 18 ft
9:05.0,Defensive rebound by G. Antetokounmpo,,4-6,,
9:01.0,Shooting foul by A. Baynes (drawn by G. Antetokounmpo),,4-6,,
9:01.0,G. Antetokounmpo makes free throw 1 of 2,1,5-6,,
9:01.0,G. Antetokounmpo makes free throw 2 of 2,1,6-6,,
8:47.0,,,6-6,,Turnover by J. Brown (traveling)
8:30.0,Turnover by J. Henson (lost ball; steal by A. Horford),,6-6,,
8:26.0,,,6-8,2,J. Tatum makes 2-pt shot at rim (assist by A. Horford)
8:07.0,K. Middleton makes 2-pt shot from 2 ft,2,8-8,,
7:53.0,,,8-8,,A. Baynes misses 2-pt shot from 15 ft
7:50.0,Defensive rebound by T. Snell,,8-8,,
7:43.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,8-8,,
7:41.0,,,8-8,,Defensive rebound by J. Brown
7:33.0,,,8-10,2,T. Rozier makes 2-pt shot from 2 ft
7:13.0,K. Middleton makes 2-pt shot from 9 ft,2,10-10,,
6:57.0,,,10-10,,J. Brown misses 3-pt shot from 25 ft
6:54.0,Defensive rebound by E. Bledsoe,,10-10,,
6:40.0,J. Henson makes 2-pt shot from 10 ft (assist by G. Antetokounmpo),2,12-10,,
