time,Golden State,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. Z. Pachulia (A. Rivers gains possession),,,,Jump ball: D. Jordan vs. Z. Pachulia (A. Rivers gains possession)
11:37.0,,,0-0,,D. Jordan misses 2-pt shot at rim
11:34.0,Defensive rebound by D. Green,,0-0,,
11:31.0,K. Thompson misses 3-pt shot from 25 ft,,0-0,,
11:31.0,,,0-0,,Defensive rebound by P. Beverley
11:13.0,,,0-2,2,D. Jordan makes 2-pt shot at rim (assist by P. Beverley)
10:47.0,K. Thompson misses 2-pt shot from 6 ft,,0-2,,
10:44.0,,,0-2,,Defensive rebound by B. Griffin
10:42.0,,,0-2,,Turnover by B. Griffin (bad pass; steal by S. Curry)
10:36.0,S. Curry misses 3-pt shot from 22 ft,,0-2,,
10:34.0,,,0-2,,Defensive rebound by D. Gallinari
10:24.0,Def 3 sec tech foul by Z. Pachulia,,0-2,,
10:24.0,,,0-3,1,D. Gallinari makes technical free throw
10:08.0,,,0-3,,P. Beverley misses 2-pt shot from 12 ft
10:05.0,Defensive rebound by D. Green,,0-3,,
9:58.0,Shooting foul by D. Jordan (drawn by D. Green),,0-3,,
9:58.0,D. Green misses free throw 1 of 2,,0-3,,
9:58.0,Offensive rebound by Team,,0-3,,
9:58.0,D. Green makes free throw 2 of 2,1,1-3,,
9:38.0,,,1-5,2,A. Rivers makes 2-pt shot from 3 ft
9:37.0,Golden State full timeout,,1-5,,
9:24.0,Z. Pachulia makes 2-pt shot from 13 ft (assist by K. Thompson),2,3-5,,
9:04.0,,,3-5,,A. Rivers misses 3-pt shot from 27 ft
9:01.0,Defensive rebound by D. Green,,3-5,,
8:57.0,K. Durant makes 3-pt shot from 25 ft (assist by S. Curry),3,6-5,,
8:44.0,,,6-5,,P. Beverley misses 2-pt shot from 3 ft
8:44.0,Defensive rebound by K. Durant,,6-5,,
8:40.0,Shooting foul by B. Griffin (drawn by S. Curry),,6-5,,
8:40.0,S. Curry makes free throw 1 of 2,1,7-5,,
8:40.0,S. Curry makes free throw 2 of 2,1,8-5,,
8:19.0,,,8-8,3,P. Beverley makes 3-pt shot from 26 ft (assist by A. Rivers)
8:01.0,D. Green misses 2-pt shot from 16 ft,,8-8,,
7:59.0,,,8-8,,Defensive rebound by D. Jordan
7:55.0,,,8-10,2,D. Gallinari makes 2-pt shot from 2 ft (assist by B. Griffin)
7:42.0,K. Durant misses 2-pt shot from 14 ft,,8-10,,
7:41.0,Personal foul by K. Thompson (drawn by A. Rivers),,8-10,,
7:40.0,,,8-10,,Defensive rebound by A. Rivers
7:28.0,,,8-13,3,B. Griffin makes 3-pt shot from 26 ft
