time,Golden State,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Love vs. J. Bell (J. Crowder gains possession),,,,Jump ball: K. Love vs. J. Bell (J. Crowder gains possession)
11:40.0,,,0-2,2,I. Thomas makes 2-pt shot from 23 ft
11:21.0,D. Green misses 3-pt shot from 25 ft,,0-2,,
11:19.0,,,0-2,,Defensive rebound by K. Love
11:15.0,Personal foul by D. Green (drawn by L. James),,0-2,,
11:07.0,,,0-2,,Turnover by J. Smith (bad pass; steal by S. Curry)
11:01.0,K. Thompson makes 3-pt shot from 25 ft (assist by K. Durant),3,3-2,,
10:40.0,Personal foul by K. Thompson (drawn by I. Thomas),,3-2,,
10:30.0,,,3-4,2,J. Smith makes 2-pt shot from 22 ft
10:17.0,D. Green makes 2-pt shot from 2 ft (assist by K. Durant),2,5-4,,
10:03.0,,,5-4,,I. Thomas misses 2-pt shot from 11 ft
10:00.0,Defensive rebound by K. Thompson,,5-4,,
9:50.0,K. Thompson misses 2-pt shot from 17 ft,,5-4,,
9:48.0,,,5-4,,Defensive rebound by J. Crowder
9:41.0,,,5-6,2,K. Love makes 2-pt shot from 13 ft (assist by L. James)
9:33.0,Turnover by D. Green (traveling),,5-6,,
9:21.0,Violation by J. Bell (kicked ball),,5-6,,
9:16.0,,,5-8,2,L. James makes 2-pt shot at rim (assist by K. Love)
8:59.0,D. Green misses 2-pt shot from 2 ft,,5-8,,
8:59.0,Offensive rebound by J. Bell,,5-8,,
8:59.0,Shooting foul by L. James (drawn by J. Bell),,5-8,,
8:59.0,J. Bell makes free throw 1 of 2,1,6-8,,
8:59.0,J. Bell makes free throw 2 of 2,1,7-8,,
8:45.0,,,7-8,,I. Thomas misses 3-pt shot from 25 ft
8:43.0,,,7-8,,Offensive rebound by Team
8:43.0,Loose ball foul by S. Curry (drawn by J. Crowder),,7-8,,
8:34.0,,,7-10,2,L. James makes 2-pt shot from 3 ft
8:21.0,S. Curry makes 2-pt shot from 1 ft (assist by D. Green),2,9-10,,
8:05.0,,,9-13,3,J. Crowder makes 3-pt shot from 25 ft (assist by L. James)
7:53.0,,,9-13,,Personal foul by K. Love (drawn by K. Durant)
7:48.0,K. Thompson makes 2-pt shot from 18 ft (assist by S. Curry),2,11-13,,
7:33.0,,,11-16,3,K. Love makes 3-pt shot from 26 ft (assist by I. Thomas)
7:27.0,K. Thompson misses 3-pt shot from 30 ft,,11-16,,
7:24.0,,,11-16,,Defensive rebound by K. Love
7:18.0,,,11-18,2,I. Thomas makes 2-pt shot from 13 ft
7:13.0,Golden State full timeout,,11-18,,
7:04.0,Turnover by D. Green (bad pass; steal by L. James),,11-18,,
6:56.0,,,11-18,,I. Thomas misses 3-pt shot from 25 ft
6:53.0,Defensive rebound by D. Green,,11-18,,
6:47.0,K. Thompson makes 3-pt shot from 23 ft (assist by K. Durant),3,14-18,,
6:33.0,,,14-18,,K. Love misses 2-pt shot from 1 ft
6:30.0,Defensive rebound by D. Green,,14-18,,
6:23.0,K. Thompson makes 3-pt shot from 22 ft (assist by S. Curry),3,17-18,,
6:02.0,,,17-18,,L. James misses 2-pt shot from 22 ft
5:59.0,Defensive rebound by J. Bell,,17-18,,
5:51.0,J. Bell makes 2-pt shot at rim (assist by K. Durant),2,19-18,,
5:51.0,,,19-18,,Cleveland full timeout
5:36.0,,,19-18,,Turnover by J. Smith (lost ball; steal by S. Curry)
5:31.0,Turnover by K. Durant (bad pass; steal by L. James),,19-18,,
5:26.0,,,19-18,,Shooting foul by J. Bell (drawn by K. Love)
5:26.0,,,19-19,1,K. Love makes free throw 1 of 3
5:26.0,,,19-20,1,K. Love makes free throw 2 of 3
5:26.0,,,19-21,1,K. Love makes free throw 3 of 3
5:17.0,,,19-21,,Personal foul by J. Smith (drawn by J. Bell)
5:17.0,A. Iguodala enters the game for D. Green,,19-21,,
5:11.0,J. Bell makes 2-pt shot from 2 ft (assist by S. Curry),2,21-21,,
4:54.0,,,21-23,2,L. James makes 2-pt shot from 1 ft
4:49.0,K. Thompson makes 2-pt shot at rim (assist by S. Curry),2,23-23,,
4:35.0,,,23-25,2,L. James makes 2-pt shot from 1 ft (assist by I. Thomas)
