time,Washington,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. M. Gortat (B. Beal gains possession),,,,Jump ball: M. Turner vs. M. Gortat (B. Beal gains possession)
11:48.0,O. Porter makes 2-pt shot from 2 ft,2,2-0,,
11:24.0,,,2-0,,M. Turner misses 2-pt shot from 22 ft
11:21.0,Defensive rebound by M. Morris,,2-0,,
11:17.0,Turnover by B. Beal (bad pass),,2-0,,
11:05.0,,,2-0,,L. Stephenson misses 3-pt shot from 25 ft
11:04.0,,,2-0,,Offensive rebound by T. Young
11:01.0,,,2-0,,T. Young misses 2-pt shot at rim
10:59.0,Defensive rebound by M. Morris,,2-0,,
10:45.0,B. Beal misses 3-pt shot from 22 ft,,2-0,,
10:43.0,,,2-0,,Defensive rebound by L. Stephenson
10:38.0,,,2-0,,Turnover by L. Stephenson (bad pass)
10:28.0,M. Morris makes 2-pt shot from 3 ft (assist by T. Satoransky),2,4-0,,
10:08.0,,,4-0,,C. Joseph misses 2-pt shot from 10 ft
10:05.0,Defensive rebound by M. Gortat,,4-0,,
9:51.0,M. Gortat misses 2-pt shot from 2 ft (block by B. Bogdanovic),,4-0,,
9:49.0,Offensive rebound by M. Gortat,,4-0,,
9:45.0,O. Porter misses 3-pt shot from 28 ft,,4-0,,
9:42.0,,,4-0,,Defensive rebound by M. Turner
9:25.0,,,4-0,,Shooting foul by O. Porter (drawn by M. Turner)
9:25.0,,,4-1,1,M. Turner makes free throw 1 of 2
9:25.0,,,4-2,1,M. Turner makes free throw 2 of 2
9:15.0,,,4-2,,Personal foul by C. Joseph (drawn by B. Beal)
9:09.0,M. Gortat makes 2-pt shot from 1 ft (assist by O. Porter),2,6-2,,
8:53.0,,,6-2,,Turnover by M. Turner (bad pass; steal by T. Satoransky)
8:45.0,M. Morris makes 2-pt shot from 12 ft (assist by T. Satoransky),2,8-2,,
8:30.0,,,8-2,,M. Turner misses 2-pt shot from 12 ft
8:30.0,,,8-2,,Offensive rebound by T. Young
8:27.0,,,8-2,,T. Young misses 2-pt shot from 1 ft
8:27.0,Defensive rebound by M. Gortat,,8-2,,
8:15.0,B. Beal makes 2-pt shot from 18 ft,2,10-2,,
8:07.0,,,10-2,,Indiana full timeout
7:54.0,,,10-4,2,M. Turner makes 2-pt shot from 13 ft
7:32.0,M. Gortat makes 2-pt shot from 9 ft,2,12-4,,
7:06.0,,,12-4,,L. Stephenson misses 2-pt shot from 20 ft
7:03.0,Defensive rebound by M. Morris,,12-4,,
6:49.0,B. Beal misses 2-pt shot from 18 ft,,12-4,,
6:48.0,,,12-4,,Defensive rebound by C. Joseph
6:45.0,Shooting block foul by B. Beal (drawn by C. Joseph),,12-4,,
6:45.0,,,12-5,1,C. Joseph makes free throw 1 of 2
6:45.0,,,12-6,1,C. Joseph makes free throw 2 of 2
6:30.0,M. Gortat misses 2-pt shot from 12 ft,,12-6,,
6:27.0,Offensive rebound by M. Morris,,12-6,,
6:25.0,O. Porter misses 3-pt shot from 26 ft,,12-6,,
6:22.0,,,12-6,,Defensive rebound by T. Young
6:18.0,,,12-6,,B. Bogdanovic misses 2-pt shot at rim
6:15.0,Defensive rebound by M. Gortat,,12-6,,
6:06.0,B. Beal makes 2-pt shot from 4 ft,2,14-6,,
5:56.0,,,14-8,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by C. Joseph)
5:46.0,M. Gortat makes 2-pt shot from 1 ft (assist by T. Satoransky),2,16-8,,
5:46.0,Shooting foul by M. Turner (drawn by M. Gortat),,16-8,,
5:46.0,M. Gortat makes free throw 1 of 1,1,17-8,,
5:37.0,,,17-8,,C. Joseph misses 3-pt shot from 27 ft
5:35.0,Defensive rebound by Team,,17-8,,
5:19.0,B. Beal misses 3-pt shot from 25 ft,,17-8,,
5:16.0,,,17-8,,Defensive rebound by T. Young
5:05.0,,,17-8,,T. Young misses 2-pt shot from 2 ft
5:02.0,,,17-8,,Offensive rebound by M. Turner
4:58.0,Personal foul by O. Porter (drawn by M. Turner),,17-8,,
4:58.0,K. Oubre enters the game for O. Porter,,17-8,,
4:52.0,,,17-10,2,B. Bogdanovic makes 2-pt shot from 2 ft (assist by T. Young)
4:28.0,M. Morris misses 2-pt shot from 20 ft,,17-10,,
4:27.0,,,17-10,,Defensive rebound by Team
4:27.0,,,17-10,,J. Young enters the game for T. Young
4:27.0,,,17-10,,D. Sabonis enters the game for B. Bogdanovic
4:18.0,,,17-10,,M. Turner misses 2-pt shot from 20 ft
4:14.0,Defensive rebound by K. Oubre,,17-10,,
4:11.0,,,17-10,,Personal foul by M. Turner (drawn by M. Gortat)
4:11.0,,,17-10,,A. Jefferson enters the game for M. Turner
4:03.0,M. Morris misses 3-pt shot from 23 ft,,17-10,,
4:01.0,,,17-10,,Defensive rebound by L. Stephenson
3:49.0,,,17-12,2,D. Sabonis makes 2-pt shot from 5 ft (assist by A. Jefferson)
3:28.0,K. Oubre misses 3-pt shot from 22 ft,,17-12,,
3:26.0,,,17-12,,Defensive rebound by J. Young
3:11.0,,,17-14,2,L. Stephenson makes 2-pt shot at rim
3:11.0,Washington full timeout,,17-14,,
3:11.0,M. Scott enters the game for M. Gortat,,17-14,,
3:11.0,I. Mahinmi enters the game for T. Satoransky,,17-14,,
3:11.0,T. Frazier enters the game for M. Morris,,17-14,,
2:57.0,B. Beal makes 2-pt shot from 5 ft (assist by T. Frazier),2,19-14,,
2:35.0,,,19-16,2,A. Jefferson makes 2-pt shot from 12 ft
2:22.0,M. Scott makes 3-pt shot from 28 ft (assist by T. Frazier),3,22-16,,
2:01.0,,,22-16,,A. Jefferson misses 2-pt shot from 13 ft
1:59.0,Defensive rebound by T. Frazier,,22-16,,
1:40.0,I. Mahinmi makes 2-pt shot from 6 ft,2,24-16,,
1:15.0,,,24-18,2,D. Sabonis makes 2-pt shot from 3 ft
1:02.0,Shooting foul by C. Joseph (drawn by B. Beal),,24-18,,
1:02.0,B. Beal makes free throw 1 of 2,1,25-18,,
1:02.0,,,25-18,,B. Bogdanovic enters the game for C. Joseph
1:02.0,B. Beal makes free throw 2 of 2,1,26-18,,
0:45.0,,,26-20,2,D. Sabonis makes 2-pt shot from 7 ft (assist by L. Stephenson)
0:35.0,M. Scott misses 3-pt shot from 27 ft,,26-20,,
0:32.0,,,26-20,,Defensive rebound by A. Jefferson
0:20.0,,,26-23,3,J. Young makes 3-pt shot from 24 ft (assist by L. Stephenson)
0:03.0,B. Beal makes 2-pt shot from 19 ft,2,28-23,,
0:00.0,,,28-23,,J. Young misses 3-pt shot from 35 ft
0:00.0,,,28-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,28-25,2,J. Young makes 2-pt shot from 18 ft (assist by B. Bogdanovic)
11:27.0,T. Frazier misses 2-pt shot from 19 ft,,28-25,,
11:25.0,,,28-25,,Defensive rebound by D. Sabonis
11:14.0,,,28-25,,B. Bogdanovic misses 2-pt shot from 2 ft
11:13.0,,,28-25,,Offensive rebound by Team
11:13.0,Loose ball foul by I. Mahinmi (drawn by B. Moore),,28-25,,
11:06.0,,,28-25,,D. Sabonis misses 3-pt shot from 26 ft
11:02.0,,,28-25,,Offensive rebound by B. Bogdanovic
11:02.0,,,28-27,2,B. Bogdanovic makes 2-pt shot at rim
10:43.0,,,28-27,,Personal foul by A. Jefferson (drawn by K. Oubre)
10:37.0,K. Oubre misses 2-pt shot from 18 ft,,28-27,,
10:35.0,,,28-27,,Defensive rebound by Team
10:17.0,,,28-29,2,D. Sabonis makes 2-pt shot from 7 ft
9:57.0,M. Scott misses 2-pt shot from 20 ft,,28-29,,
9:56.0,,,28-29,,Defensive rebound by Team
9:39.0,,,28-29,,Turnover by D. Sabonis (lost ball; steal by I. Mahinmi)
9:36.0,J. Meeks makes 3-pt shot from 27 ft (assist by T. Frazier),3,31-29,,
9:21.0,,,31-31,2,A. Jefferson makes 2-pt shot from 8 ft
9:07.0,M. Scott makes 2-pt shot from 1 ft (assist by J. Meeks),2,33-31,,
8:50.0,Personal foul by T. Frazier (drawn by B. Bogdanovic),,33-31,,
8:46.0,,,33-34,3,B. Bogdanovic makes 3-pt shot from 28 ft (assist by A. Jefferson)
8:27.0,J. Meeks makes 2-pt shot from 14 ft,2,35-34,,
8:21.0,Personal foul by I. Mahinmi (drawn by D. Sabonis),,35-34,,
8:15.0,,,35-34,,B. Bogdanovic misses 2-pt shot at rim
8:13.0,Defensive rebound by I. Mahinmi,,35-34,,
8:08.0,J. Meeks misses 3-pt shot from 25 ft,,35-34,,
8:05.0,,,35-34,,Defensive rebound by B. Moore
8:02.0,,,35-34,,J. Young misses 2-pt shot from 18 ft
7:58.0,Defensive rebound by K. Oubre,,35-34,,
7:49.0,Shooting foul by B. Moore (drawn by K. Oubre),,35-34,,
7:49.0,K. Oubre makes free throw 1 of 3,1,36-34,,
7:49.0,K. Oubre misses free throw 2 of 3,,36-34,,
7:49.0,Offensive rebound by Team,,36-34,,
7:49.0,,,36-34,,T. Young enters the game for A. Jefferson
7:49.0,K. Oubre makes free throw 3 of 3,1,37-34,,
7:38.0,,,37-34,,B. Bogdanovic misses 2-pt shot from 21 ft
7:34.0,,,37-34,,Offensive rebound by T. Young
7:33.0,,,37-34,,Turnover by T. Young (lost ball; steal by T. Frazier)
7:31.0,K. Oubre makes 2-pt shot from 6 ft (assist by T. Frazier),2,39-34,,
7:31.0,,,39-34,,Shooting block foul by B. Moore (drawn by K. Oubre)
7:31.0,K. Oubre makes free throw 1 of 1,1,40-34,,
7:28.0,,,40-34,,Indiana full timeout
7:28.0,,,40-34,,L. Stephenson enters the game for B. Bogdanovic
7:16.0,,,40-34,,Turnover by L. Stephenson (bad pass; steal by K. Oubre)
7:12.0,T. Frazier makes 2-pt shot from 2 ft (assist by M. Scott),2,42-34,,
7:01.0,,,42-34,,L. Stephenson misses 2-pt shot from 3 ft (block by K. Oubre)
7:01.0,,,42-34,,Offensive rebound by Team
6:51.0,,,42-37,3,J. Young makes 3-pt shot from 27 ft (assist by T. Young)
6:30.0,M. Scott misses 3-pt shot from 23 ft,,42-37,,
6:26.0,,,42-37,,Defensive rebound by T. Young
6:20.0,,,42-39,2,D. Sabonis makes 2-pt shot from 1 ft (assist by L. Stephenson)
6:14.0,Turnover by I. Mahinmi (traveling),,42-39,,
6:14.0,B. Beal enters the game for J. Meeks,,42-39,,
5:59.0,,,42-39,,D. Sabonis misses 2-pt shot from 3 ft
5:57.0,Defensive rebound by I. Mahinmi,,42-39,,
5:52.0,B. Beal makes 3-pt shot from 27 ft (assist by T. Frazier),3,45-39,,
5:37.0,,,45-39,,Turnover by D. Sabonis (lost ball; steal by I. Mahinmi)
5:37.0,,,45-39,,Personal foul by L. Stephenson (drawn by K. Oubre)
5:37.0,,,45-39,,C. Joseph enters the game for J. Young
5:37.0,,,45-39,,B. Bogdanovic enters the game for D. Sabonis
5:37.0,,,45-39,,M. Turner enters the game for B. Moore
5:37.0,M. Morris enters the game for T. Frazier,,45-39,,
5:37.0,O. Porter enters the game for M. Scott,,45-39,,
5:25.0,B. Beal makes 2-pt shot from 6 ft (assist by M. Morris),2,47-39,,
5:10.0,,,47-39,,Offensive foul by M. Turner (drawn by K. Oubre)
5:10.0,,,47-39,,Turnover by M. Turner (offensive foul)
5:10.0,,,47-39,,D. Sabonis enters the game for M. Turner
4:53.0,M. Morris makes 3-pt shot from 26 ft (assist by K. Oubre),3,50-39,,
4:42.0,,,50-39,,Offensive charge foul by L. Stephenson (drawn by K. Oubre)
4:42.0,,,50-39,,Turnover by L. Stephenson (offensive foul)
4:27.0,K. Oubre makes 3-pt shot from 25 ft (assist by O. Porter),3,53-39,,
4:20.0,,,53-39,,Indiana full timeout
4:01.0,,,53-39,,T. Young misses 2-pt shot from 14 ft
3:59.0,Defensive rebound by B. Beal,,53-39,,
3:45.0,M. Morris misses 3-pt shot from 28 ft,,53-39,,
3:43.0,Offensive rebound by O. Porter,,53-39,,
3:40.0,K. Oubre misses 2-pt shot from 10 ft,,53-39,,
3:37.0,,,53-39,,Defensive rebound by B. Bogdanovic
3:28.0,,,53-39,,C. Joseph misses 3-pt shot from 22 ft
3:25.0,Defensive rebound by K. Oubre,,53-39,,
3:14.0,B. Beal makes 2-pt shot from 11 ft,2,55-39,,
2:58.0,Def 3 sec tech foul by K. Oubre,,55-39,,
2:58.0,,,55-40,1,B. Bogdanovic makes technical free throw
2:58.0,M. Gortat enters the game for I. Mahinmi,,55-40,,
2:47.0,,,55-40,,Turnover by B. Bogdanovic (step out of bounds)
2:28.0,Turnover by M. Morris (step out of bounds),,55-40,,
2:16.0,,,55-43,3,L. Stephenson makes 3-pt shot from 29 ft
1:57.0,O. Porter misses 3-pt shot from 25 ft,,55-43,,
1:52.0,,,55-43,,Defensive rebound by L. Stephenson
1:44.0,,,55-46,3,B. Bogdanovic makes 3-pt shot from 22 ft
1:42.0,Washington full timeout,,55-46,,
1:42.0,T. Satoransky enters the game for O. Porter,,55-46,,
1:36.0,Offensive foul by M. Morris (drawn by B. Bogdanovic),,55-46,,
1:36.0,Turnover by M. Morris (offensive foul),,55-46,,
1:25.0,,,55-48,2,D. Sabonis makes 2-pt shot at rim (assist by L. Stephenson)
1:25.0,,,55-48,,Shooting foul by M. Gortat (drawn by D. Sabonis)
1:25.0,,,55-48,,D. Sabonis misses free throw 1 of 1
1:23.0,Defensive rebound by M. Gortat,,55-48,,
1:06.0,,,55-48,,Personal foul by C. Joseph (drawn by K. Oubre)
1:06.0,K. Oubre makes free throw 1 of 2,1,56-48,,
1:06.0,,,56-48,,J. Young enters the game for C. Joseph
1:06.0,K. Oubre misses free throw 2 of 2,,56-48,,
1:04.0,,,56-48,,Defensive rebound by B. Bogdanovic
0:52.0,,,56-48,,D. Sabonis misses 2-pt shot from 1 ft
0:51.0,,,56-48,,Offensive rebound by D. Sabonis
0:51.0,,,56-48,,Shooting foul by M. Gortat (drawn by D. Sabonis)
