time,LA Lakers,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. B. Lopez (L. Ball gains possession),,,,Jump ball: M. Plumlee vs. B. Lopez (L. Ball gains possession)
11:44.0,B. Lopez misses 2-pt shot from 3 ft,,0-0,,
11:41.0,Offensive rebound by B. Lopez,,0-0,,
11:40.0,,,0-0,,Shooting block foul by J. Hernangomez (drawn by B. Ingram)
11:40.0,B. Ingram makes free throw 1 of 2,1,1-0,,
11:40.0,B. Ingram makes free throw 2 of 2,1,2-0,,
11:28.0,,,2-0,,G. Harris misses 2-pt shot from 9 ft (block by B. Lopez)
11:27.0,,,2-0,,Offensive rebound by G. Harris
11:16.0,,,2-0,,J. Murray misses 2-pt shot from 20 ft
11:10.0,Defensive rebound by K. Caldwell-Pope,,2-0,,
11:05.0,B. Lopez makes 2-pt shot from 6 ft (assist by L. Ball),2,4-0,,
10:46.0,,,4-3,3,J. Murray makes 3-pt shot from 22 ft (assist by J. Hernangomez)
10:36.0,Turnover by L. Ball (turnover),,4-3,,
10:27.0,,,4-6,3,J. Hernangomez makes 3-pt shot from 22 ft (assist by K. Faried)
10:07.0,B. Ingram makes 2-pt shot from 1 ft (assist by B. Lopez),2,6-6,,
9:43.0,,,6-8,2,G. Harris makes 2-pt shot from 2 ft
9:30.0,B. Ingram misses 2-pt shot from 3 ft,,6-8,,
9:28.0,,,6-8,,Defensive rebound by K. Faried
9:10.0,,,6-8,,Shooting foul by B. Ingram (drawn by J. Murray)
9:10.0,,,6-9,1,J. Murray makes free throw 1 of 2
9:10.0,,,6-10,1,J. Murray makes free throw 2 of 2
8:54.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,6-10,,
8:50.0,,,6-10,,Defensive rebound by J. Hernangomez
8:50.0,Loose ball foul by L. Nance (drawn by J. Hernangomez),,6-10,,
8:33.0,,,6-10,,Shooting foul by L. Nance (drawn by M. Plumlee)
8:33.0,,,6-11,1,M. Plumlee makes free throw 1 of 2
8:33.0,,,6-12,1,M. Plumlee makes free throw 2 of 2
8:20.0,L. Ball misses 3-pt shot from 25 ft,,6-12,,
8:17.0,,,6-12,,Defensive rebound by J. Murray
8:12.0,Personal foul by B. Ingram (drawn by M. Plumlee),,6-12,,
7:59.0,,,6-15,3,J. Murray makes 3-pt shot from 24 ft (assist by M. Plumlee)
7:57.0,LA Lakers full timeout,,6-15,,
7:44.0,B. Lopez makes 2-pt shot from 1 ft,2,8-15,,
7:26.0,,,8-18,3,J. Murray makes 3-pt shot from 25 ft (assist by J. Hernangomez)
7:10.0,Turnover by L. Ball (bad pass),,8-18,,
6:56.0,,,8-18,,J. Murray misses 3-pt shot from 25 ft
6:52.0,Defensive rebound by K. Caldwell-Pope,,8-18,,
6:48.0,Shooting foul by J. Murray (drawn by K. Caldwell-Pope),,8-18,,
6:48.0,K. Caldwell-Pope misses free throw 1 of 2,,8-18,,
6:48.0,Offensive rebound by Team,,8-18,,
