time,Dallas,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Nance vs. D. Powell (D. Nowitzki gains possession),,,,Jump ball: L. Nance vs. D. Powell (D. Nowitzki gains possession)
11:49.0,Turnover by D. Smith (bad pass; steal by K. Love),,0-0,,
11:32.0,,,0-2,2,K. Love makes 2-pt shot from 1 ft (assist by L. James)
11:20.0,H. Barnes makes 3-pt shot from 25 ft (assist by D. Nowitzki),3,3-2,,
11:00.0,,,3-2,,L. James misses 2-pt shot from 2 ft (block by D. Finney-Smith)
10:57.0,Defensive rebound by D. Powell,,3-2,,
10:42.0,H. Barnes misses 3-pt shot from 27 ft,,3-2,,
10:36.0,,,3-2,,Defensive rebound by L. James
10:30.0,,,3-2,,L. James misses 2-pt shot from 2 ft
10:27.0,Defensive rebound by D. Nowitzki,,3-2,,
10:20.0,Turnover by D. Smith (bad pass; steal by L. Nance),,3-2,,
10:12.0,,,3-2,,K. Love misses 3-pt shot from 23 ft
10:10.0,Defensive rebound by D. Smith,,3-2,,
9:51.0,D. Smith makes 3-pt shot from 22 ft (assist by H. Barnes),3,6-2,,
9:34.0,,,6-2,,J. Calderon misses 3-pt shot from 24 ft
9:32.0,Defensive rebound by D. Nowitzki,,6-2,,
9:24.0,D. Nowitzki misses 3-pt shot from 28 ft,,6-2,,
9:20.0,,,6-2,,Defensive rebound by L. Nance
9:12.0,,,6-4,2,L. Nance makes 2-pt shot at rim (assist by J. Calderon)
9:00.0,Turnover by D. Smith (bad pass),,6-4,,
8:48.0,,,6-4,,Shooting foul by D. Finney-Smith (drawn by L. Nance)
8:48.0,,,6-4,,L. Nance misses free throw 1 of 2
8:48.0,,,6-4,,Offensive rebound by Team
8:48.0,,,6-4,,L. Nance misses free throw 2 of 2
8:46.0,Defensive rebound by D. Nowitzki,,6-4,,
8:31.0,D. Smith makes 2-pt shot from 5 ft,2,8-4,,
8:18.0,,,8-4,,R. Hood misses 2-pt shot from 14 ft
8:16.0,Defensive rebound by H. Barnes,,8-4,,
8:10.0,D. Nowitzki makes 2-pt shot from 14 ft (assist by H. Barnes),2,10-4,,
7:53.0,,,10-4,,R. Hood misses 3-pt shot from 22 ft
7:50.0,Defensive rebound by D. Finney-Smith,,10-4,,
7:33.0,D. Smith misses 3-pt shot from 26 ft,,10-4,,
7:31.0,,,10-4,,Defensive rebound by L. James
7:25.0,,,10-4,,L. James misses 2-pt shot from 7 ft
7:21.0,,,10-4,,Offensive rebound by L. James
7:19.0,,,10-7,3,K. Love makes 3-pt shot from 23 ft (assist by L. James)
7:02.0,,,10-7,,Shooting block foul by K. Love (drawn by D. Powell)
7:02.0,D. Powell misses free throw 1 of 2,,10-7,,
7:02.0,Offensive rebound by Team,,10-7,,
7:02.0,D. Powell makes free throw 2 of 2,1,11-7,,
6:50.0,,,11-9,2,K. Love makes 2-pt shot from 14 ft (assist by L. James)
6:35.0,D. Smith makes 2-pt shot from 1 ft,2,13-9,,
6:23.0,,,13-9,,Cleveland full timeout
6:23.0,M. Kleber enters the game for D. Nowitzki,,13-9,,
6:18.0,Def 3 sec tech foul by M. Kleber,,13-9,,
6:18.0,,,13-9,,K. Love misses technical free throw
6:18.0,,,13-9,,Offensive rebound by Team
6:14.0,,,13-9,,Shooting foul by D. Powell (drawn by K. Love)
6:14.0,,,13-9,,K. Love misses free throw 1 of 2
6:14.0,,,13-9,,Offensive rebound by Team
6:14.0,,,13-10,1,K. Love makes free throw 2 of 2
6:03.0,Turnover by D. Powell (bad pass),,13-10,,
5:49.0,,,13-12,2,L. James makes 2-pt shot at rim
5:37.0,D. Finney-Smith misses 3-pt shot from 25 ft,,13-12,,
5:33.0,,,13-12,,Defensive rebound by R. Hood
5:28.0,,,13-12,,Turnover by K. Love (out of bounds lost ball)
5:17.0,D. Smith misses 3-pt shot from 25 ft,,13-12,,
5:14.0,,,13-12,,Defensive rebound by K. Love
5:04.0,Personal foul by D. Finney-Smith (drawn by L. James),,13-12,,
5:04.0,,,13-12,,J. Clarkson enters the game for K. Love
5:04.0,,,13-12,,J. Green enters the game for J. Calderon
5:04.0,A. Harrison enters the game for D. Powell,,13-12,,
5:04.0,N. Noel enters the game for D. Finney-Smith,,13-12,,
4:58.0,,,13-14,2,R. Hood makes 2-pt shot at rim (assist by L. Nance)
4:40.0,H. Barnes makes 2-pt shot from 6 ft,2,15-14,,
4:27.0,,,15-14,,J. Clarkson misses 2-pt shot from 3 ft
