time,Denver,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Adebayo vs. N. Jokic (W. Barton gains possession),,,,Jump ball: B. Adebayo vs. N. Jokic (W. Barton gains possession)
11:45.0,Shooting foul by B. Adebayo (drawn by N. Jokic),,0-0,,
11:45.0,N. Jokic makes free throw 1 of 2,1,1-0,,
11:45.0,N. Jokic makes free throw 2 of 2,1,2-0,,
11:32.0,,,2-2,2,J. Johnson makes 2-pt shot from 2 ft (assist by J. Richardson)
11:07.0,W. Barton makes 3-pt shot from 23 ft,3,5-2,,
10:57.0,,,5-5,3,J. Richardson makes 3-pt shot from 25 ft (assist by J. Johnson)
10:41.0,N. Jokic makes 2-pt shot from 1 ft,2,7-5,,
10:30.0,,,7-5,,Turnover by B. Adebayo (lost ball; steal by P. Millsap)
10:16.0,P. Millsap makes 3-pt shot from 25 ft (assist by W. Barton),3,10-5,,
10:00.0,,,10-5,,J. Richardson misses 2-pt shot from 3 ft
9:55.0,Defensive rebound by W. Chandler,,10-5,,
9:50.0,W. Chandler makes 2-pt shot from 2 ft,2,12-5,,
9:24.0,,,12-5,,T. Johnson misses 2-pt shot from 13 ft
9:20.0,Defensive rebound by J. Murray,,12-5,,
9:10.0,P. Millsap misses 2-pt shot from 1 ft (block by J. Johnson),,12-5,,
9:10.0,Offensive rebound by Team,,12-5,,
9:05.0,P. Millsap misses 2-pt shot from 14 ft,,12-5,,
9:02.0,Offensive rebound by J. Murray,,12-5,,
9:00.0,W. Barton misses 3-pt shot from 25 ft,,12-5,,
8:58.0,,,12-5,,Defensive rebound by J. Richardson
8:55.0,,,12-5,,G. Dragic misses 3-pt shot from 25 ft
8:50.0,Defensive rebound by W. Barton,,12-5,,
8:47.0,W. Barton makes 2-pt shot from 1 ft,2,14-5,,
8:47.0,,,14-5,,Miami full timeout
8:30.0,,,14-5,,Turnover by G. Dragic (bad pass; steal by W. Barton)
8:26.0,Shooting foul by J. Johnson (drawn by W. Barton),,14-5,,
8:26.0,W. Barton makes free throw 1 of 2,1,15-5,,
8:26.0,W. Barton makes free throw 2 of 2,1,16-5,,
8:15.0,,,16-8,3,T. Johnson makes 3-pt shot from 25 ft (assist by G. Dragic)
7:55.0,N. Jokic misses 2-pt shot from 12 ft,,16-8,,
7:52.0,,,16-8,,Defensive rebound by J. Johnson
7:42.0,,,16-8,,G. Dragic misses 2-pt shot from 10 ft
7:37.0,,,16-8,,Offensive rebound by B. Adebayo
7:37.0,,,16-8,,B. Adebayo misses 2-pt shot at rim
7:37.0,,,16-8,,Offensive rebound by B. Adebayo
7:35.0,,,16-8,,B. Adebayo misses 2-pt shot from 2 ft
7:34.0,,,16-8,,Offensive rebound by B. Adebayo
7:33.0,,,16-10,2,B. Adebayo makes 2-pt shot at rim
7:20.0,N. Jokic makes 2-pt shot from 1 ft,2,18-10,,
7:00.0,,,18-10,,B. Adebayo misses 2-pt shot from 4 ft
6:58.0,Defensive rebound by P. Millsap,,18-10,,
6:54.0,N. Jokic misses 2-pt shot at rim (block by J. Richardson),,18-10,,
6:50.0,,,18-10,,Defensive rebound by J. Johnson
6:44.0,,,18-13,3,T. Johnson makes 3-pt shot from 25 ft (assist by B. Adebayo)
6:18.0,W. Chandler makes 3-pt shot from 23 ft (assist by J. Murray),3,21-13,,
6:05.0,,,21-15,2,J. Johnson makes 2-pt shot from 5 ft
5:58.0,Shooting foul by J. Richardson (drawn by W. Chandler),,21-15,,
5:58.0,W. Chandler makes free throw 1 of 2,1,22-15,,
5:58.0,,,22-15,,K. Olynyk enters the game for J. Richardson
5:58.0,,,22-15,,J. Winslow enters the game for B. Adebayo
5:58.0,M. Plumlee enters the game for N. Jokic,,22-15,,
5:58.0,W. Chandler misses free throw 2 of 2,,22-15,,
5:55.0,,,22-15,,Defensive rebound by K. Olynyk
5:38.0,,,22-17,2,J. Winslow makes 2-pt shot from 5 ft
5:29.0,W. Barton misses 2-pt shot from 4 ft,,22-17,,
5:25.0,,,22-17,,Defensive rebound by T. Johnson
5:22.0,,,22-19,2,G. Dragic makes 2-pt shot from 1 ft (assist by J. Johnson)
5:22.0,Denver full timeout,,22-19,,
5:22.0,D. Harris enters the game for J. Murray,,22-19,,
4:59.0,P. Millsap makes 2-pt shot from 10 ft,2,24-19,,
4:42.0,,,24-21,2,G. Dragic makes 2-pt shot from 1 ft (assist by K. Olynyk)
4:25.0,P. Millsap makes 2-pt shot from 9 ft,2,26-21,,
4:15.0,,,26-23,2,T. Johnson makes 2-pt shot from 1 ft (assist by G. Dragic)
4:07.0,P. Millsap misses 2-pt shot from 8 ft,,26-23,,
4:05.0,,,26-23,,Defensive rebound by J. Winslow
4:02.0,,,26-26,3,K. Olynyk makes 3-pt shot from 26 ft (assist by J. Winslow)
3:33.0,Turnover by Team (shot clock),,26-26,,
3:20.0,,,26-26,,Turnover by J. Winslow (lost ball; steal by W. Chandler)
