time,San Antonio,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. P. Gasol (J. Randle gains possession),,,,Jump ball: B. Lopez vs. P. Gasol (J. Randle gains possession)
11:49.0,,,0-0,,Offensive foul by J. Randle (drawn by K. Anderson)
11:49.0,,,0-0,,Turnover by J. Randle (offensive foul)
11:39.0,L. Aldridge makes 2-pt shot from 18 ft (assist by P. Gasol),2,2-0,,
11:17.0,,,2-2,2,K. Caldwell-Pope makes 2-pt shot from 20 ft (assist by J. Randle)
11:02.0,P. Gasol misses 2-pt shot from 20 ft,,2-2,,
11:00.0,,,2-2,,Defensive rebound by J. Randle
10:52.0,,,2-4,2,J. Randle makes 2-pt shot from 1 ft
10:29.0,K. Anderson makes 2-pt shot from 2 ft,2,4-4,,
10:13.0,,,4-4,,K. Kuzma misses 2-pt shot from 19 ft
10:11.0,Defensive rebound by L. Aldridge,,4-4,,
9:56.0,P. Mills makes 2-pt shot from 18 ft,2,6-4,,
9:47.0,,,6-4,,Turnover by A. Caruso (bad pass; steal by D. Murray)
9:40.0,L. Aldridge misses 3-pt shot from 26 ft,,6-4,,
9:36.0,,,6-4,,Defensive rebound by B. Lopez
9:28.0,,,6-4,,J. Randle misses 2-pt shot from 3 ft
9:25.0,Defensive rebound by K. Anderson,,6-4,,
9:16.0,P. Mills misses 2-pt shot from 22 ft,,6-4,,
9:10.0,,,6-4,,Defensive rebound by J. Randle
8:56.0,,,6-4,,Shooting foul by P. Gasol (drawn by B. Lopez)
8:56.0,,,6-5,1,B. Lopez makes free throw 1 of 2
8:56.0,,,6-6,1,B. Lopez makes free throw 2 of 2
8:41.0,L. Aldridge makes 2-pt shot from 2 ft (assist by P. Mills),2,8-6,,
8:28.0,,,8-6,,K. Kuzma misses 3-pt shot from 25 ft
8:26.0,Defensive rebound by P. Gasol,,8-6,,
8:14.0,L. Aldridge misses 2-pt shot from 19 ft,,8-6,,
8:09.0,Offensive rebound by K. Anderson,,8-6,,
8:09.0,K. Anderson misses 2-pt shot from 2 ft,,8-6,,
8:02.0,Offensive rebound by P. Gasol,,8-6,,
8:01.0,P. Gasol makes 2-pt shot from 14 ft,2,10-6,,
7:48.0,,,10-6,,B. Lopez misses 2-pt shot from 9 ft
7:46.0,Defensive rebound by D. Murray,,10-6,,
7:45.0,Turnover by D. Murray (bad pass),,10-6,,
7:30.0,,,10-8,2,J. Randle makes 2-pt shot from 2 ft (assist by K. Caldwell-Pope)
7:15.0,P. Gasol makes 2-pt shot from 14 ft (assist by D. Murray),2,12-8,,
7:14.0,,,12-8,,LA Lakers full timeout
6:57.0,,,12-10,2,K. Kuzma makes 2-pt shot from 2 ft (assist by K. Caldwell-Pope)
6:42.0,D. Murray misses 2-pt shot from 14 ft,,12-10,,
6:40.0,,,12-10,,Defensive rebound by J. Randle
6:35.0,,,12-12,2,K. Caldwell-Pope makes 2-pt shot from 19 ft (assist by J. Randle)
6:12.0,P. Gasol misses 3-pt shot from 23 ft,,12-12,,
6:09.0,,,12-12,,Defensive rebound by A. Caruso
6:04.0,,,12-15,3,K. Kuzma makes 3-pt shot from 24 ft (assist by J. Randle)
5:38.0,P. Gasol makes 3-pt shot from 27 ft (assist by L. Aldridge),3,15-15,,
5:19.0,,,15-15,,K. Caldwell-Pope misses 2-pt shot from 16 ft
5:17.0,Defensive rebound by D. Murray,,15-15,,
5:09.0,K. Anderson makes 2-pt shot from 2 ft (assist by D. Murray),2,17-15,,
4:58.0,,,17-15,,J. Randle misses 2-pt shot from 15 ft
4:56.0,Defensive rebound by P. Gasol,,17-15,,
4:52.0,Shooting foul by B. Lopez (drawn by D. Murray),,17-15,,
4:52.0,D. Murray makes free throw 1 of 2,1,18-15,,
4:52.0,,,18-15,,I. Zubac enters the game for B. Lopez
4:52.0,,,18-15,,T. Ennis enters the game for A. Caruso
4:52.0,B. Forbes enters the game for K. Anderson,,18-15,,
4:52.0,R. Gay enters the game for P. Gasol,,18-15,,
4:52.0,D. Green enters the game for P. Mills,,18-15,,
4:52.0,D. Murray makes free throw 2 of 2,1,19-15,,
4:26.0,,,19-15,,I. Zubac misses 2-pt shot from 9 ft
4:24.0,Defensive rebound by B. Forbes,,19-15,,
4:10.0,B. Forbes makes 2-pt shot from 6 ft (assist by D. Green),2,21-15,,
3:53.0,,,21-15,,J. Randle misses 2-pt shot from 5 ft
3:50.0,Defensive rebound by L. Aldridge,,21-15,,
3:36.0,L. Aldridge makes 2-pt shot from 2 ft,2,23-15,,
3:36.0,,,23-15,,LA Lakers full timeout
3:36.0,,,23-15,,C. Frye enters the game for K. Caldwell-Pope
3:36.0,,,23-15,,J. Hart enters the game for J. Randle
3:36.0,T. Parker enters the game for D. Murray,,23-15,,
3:36.0,P. Gasol enters the game for L. Aldridge,,23-15,,
3:19.0,,,23-17,2,K. Kuzma makes 2-pt shot from 5 ft
3:03.0,R. Gay makes 2-pt shot from 1 ft,2,25-17,,
2:57.0,,,25-20,3,K. Kuzma makes 3-pt shot from 27 ft (assist by T. Ennis)
2:43.0,Shooting foul by I. Zubac (drawn by P. Gasol),,25-20,,
2:43.0,P. Gasol makes free throw 1 of 2,1,26-20,,
2:43.0,P. Gasol makes free throw 2 of 2,1,27-20,,
2:29.0,Violation by P. Gasol (kicked ball),,27-20,,
2:17.0,,,27-22,2,C. Frye makes 2-pt shot from 2 ft
2:01.0,R. Gay makes 3-pt shot from 23 ft (assist by D. Green),3,30-22,,
