time,Washington,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. M. Gortat (J. Wall gains possession),,,,Jump ball: J. Henson vs. M. Gortat (J. Wall gains possession)
11:45.0,M. Morris makes 2-pt shot from 9 ft (assist by B. Beal),2,2-0,,
11:29.0,,,2-2,2,T. Snell makes 2-pt shot from 19 ft (assist by G. Antetokounmpo)
11:14.0,O. Porter misses 3-pt shot from 23 ft,,2-2,,
11:11.0,,,2-2,,Defensive rebound by G. Antetokounmpo
11:05.0,,,2-2,,G. Antetokounmpo misses 2-pt shot from 9 ft
11:03.0,Defensive rebound by O. Porter,,2-2,,
10:54.0,O. Porter misses 2-pt shot from 2 ft (block by G. Antetokounmpo),,2-2,,
10:54.0,,,2-2,,Defensive rebound by G. Antetokounmpo
10:47.0,,,2-2,,E. Bledsoe misses 2-pt shot at rim
10:47.0,Defensive rebound by J. Wall,,2-2,,
10:34.0,Shooting foul by T. Snell (drawn by B. Beal),,2-2,,
10:34.0,B. Beal misses free throw 1 of 2,,2-2,,
10:34.0,Offensive rebound by Team,,2-2,,
10:34.0,B. Beal makes free throw 2 of 2,1,3-2,,
10:19.0,,,3-4,2,J. Henson makes 2-pt shot at rim (assist by E. Bledsoe)
10:09.0,J. Wall misses 3-pt shot from 26 ft,,3-4,,
10:03.0,,,3-4,,Defensive rebound by G. Antetokounmpo
10:00.0,,,3-6,2,G. Antetokounmpo makes 2-pt shot from 7 ft
10:00.0,,,3-6,,Shooting foul by M. Morris (drawn by G. Antetokounmpo)
10:00.0,,,3-7,1,G. Antetokounmpo makes free throw 1 of 1
9:44.0,Turnover by B. Beal (bad pass; steal by E. Bledsoe),,3-7,,
9:39.0,,,3-7,,Turnover by K. Middleton (bad pass; steal by B. Beal)
9:22.0,,,3-7,,Personal foul by K. Middleton (drawn by M. Gortat)
9:09.0,J. Wall misses 2-pt shot from 21 ft,,3-7,,
9:07.0,Offensive rebound by M. Gortat,,3-7,,
9:00.0,M. Gortat misses 2-pt shot from 14 ft,,3-7,,
8:57.0,,,3-7,,Defensive rebound by K. Middleton
8:50.0,,,3-7,,K. Middleton misses 2-pt shot from 11 ft
8:49.0,Defensive rebound by O. Porter,,3-7,,
8:44.0,B. Beal makes 2-pt shot from 1 ft,2,5-7,,
8:26.0,,,5-7,,G. Antetokounmpo misses 3-pt shot from 25 ft
8:25.0,Defensive rebound by M. Gortat,,5-7,,
8:07.0,B. Beal misses 3-pt shot from 26 ft,,5-7,,
8:07.0,Offensive rebound by O. Porter,,5-7,,
8:02.0,O. Porter makes 2-pt shot from 15 ft,2,7-7,,
7:49.0,,,7-7,,E. Bledsoe misses 3-pt shot from 28 ft
7:49.0,Defensive rebound by M. Morris,,7-7,,
7:38.0,B. Beal makes 2-pt shot at rim (assist by J. Wall),2,9-7,,
7:16.0,,,9-7,,Turnover by K. Middleton (bad pass; steal by O. Porter)
7:10.0,J. Wall misses 3-pt shot from 27 ft,,9-7,,
7:06.0,,,9-7,,Defensive rebound by J. Henson
7:02.0,,,9-7,,Turnover by E. Bledsoe (lost ball; steal by O. Porter)
6:54.0,Turnover by O. Porter (bad pass; steal by T. Snell),,9-7,,
6:46.0,,,9-7,,K. Middleton misses 3-pt shot from 26 ft
6:44.0,Defensive rebound by M. Gortat,,9-7,,
6:30.0,B. Beal makes 2-pt shot from 4 ft (assist by J. Wall),2,11-7,,
6:30.0,,,11-7,,Milwaukee full timeout
6:30.0,,,11-7,,M. Brogdon enters the game for E. Bledsoe
6:18.0,,,11-7,,Turnover by J. Henson (turnover)
5:54.0,M. Gortat misses 2-pt shot from 15 ft,,11-7,,
5:53.0,,,11-7,,Defensive rebound by G. Antetokounmpo
5:39.0,,,11-7,,M. Brogdon misses 2-pt shot from 4 ft
5:39.0,,,11-7,,Offensive rebound by J. Henson
5:35.0,,,11-7,,J. Henson misses 2-pt shot from 3 ft
5:35.0,Defensive rebound by M. Gortat,,11-7,,
5:25.0,,,11-7,,Personal foul by G. Antetokounmpo (drawn by M. Morris)
5:25.0,,,11-7,,D. Liggins enters the game for K. Middleton
5:15.0,M. Morris misses 2-pt shot from 3 ft,,11-7,,
5:09.0,Offensive rebound by M. Morris,,11-7,,
5:09.0,M. Morris makes 2-pt shot at rim,2,13-7,,
5:02.0,,,13-7,,T. Snell misses 3-pt shot from 24 ft
4:59.0,Defensive rebound by M. Morris,,13-7,,
4:48.0,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall),2,15-7,,
4:22.0,,,15-7,,M. Brogdon misses 2-pt shot from 12 ft
4:21.0,Defensive rebound by M. Gortat,,15-7,,
4:07.0,J. Wall makes 2-pt shot from 20 ft,2,17-7,,
3:44.0,,,17-9,2,G. Antetokounmpo makes 2-pt shot at rim
3:44.0,,,17-9,,Shooting foul by M. Morris (drawn by G. Antetokounmpo)
3:44.0,,,17-9,,T. Maker enters the game for J. Henson
3:44.0,T. Frazier enters the game for J. Wall,,17-9,,
3:44.0,K. Oubre enters the game for M. Morris,,17-9,,
3:44.0,,,17-10,1,G. Antetokounmpo makes free throw 1 of 1
3:22.0,O. Porter makes 3-pt shot from 23 ft (assist by T. Frazier),3,20-10,,
3:10.0,Personal foul by O. Porter (drawn by G. Antetokounmpo),,20-10,,
3:02.0,,,20-12,2,G. Antetokounmpo makes 2-pt shot from 17 ft
2:48.0,M. Gortat misses 2-pt shot from 3 ft,,20-12,,
2:46.0,,,20-12,,Defensive rebound by T. Snell
2:38.0,,,20-14,2,T. Snell makes 2-pt shot from 19 ft (assist by M. Brogdon)
2:36.0,Washington full timeout,,20-14,,
2:36.0,,,20-14,,E. Bledsoe enters the game for T. Snell
2:36.0,J. Meeks enters the game for B. Beal,,20-14,,
2:20.0,O. Porter makes 2-pt shot from 17 ft (assist by T. Frazier),2,22-14,,
1:55.0,,,22-17,3,D. Liggins makes 3-pt shot from 22 ft (assist by G. Antetokounmpo)
1:32.0,K. Oubre makes 3-pt shot from 26 ft,3,25-17,,
