time,Boston,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. A. Horford (J. Brown gains possession),,,,Jump ball: T. Thompson vs. A. Horford (J. Brown gains possession)
11:42.0,J. Tatum misses 2-pt shot from 12 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by K. Love
11:25.0,,,0-2,2,G. Hill makes 2-pt shot from 12 ft
11:10.0,J. Brown misses 2-pt shot from 16 ft,,0-2,,
11:08.0,,,0-2,,Defensive rebound by G. Hill
11:00.0,,,0-4,2,T. Thompson makes 2-pt shot at rim (assist by G. Hill)
10:46.0,T. Rozier makes 2-pt shot from 20 ft (assist by A. Horford),2,2-4,,
10:27.0,Personal foul by J. Brown (drawn by L. James),,2-4,,
10:16.0,,,2-7,3,G. Hill makes 3-pt shot from 23 ft (assist by L. James)
10:06.0,T. Rozier misses 3-pt shot from 27 ft,,2-7,,
10:03.0,,,2-7,,Defensive rebound by K. Love
9:54.0,,,2-7,,G. Hill misses 3-pt shot from 24 ft
9:51.0,Defensive rebound by M. Morris,,2-7,,
9:45.0,M. Morris misses 2-pt shot from 12 ft,,2-7,,
9:42.0,,,2-7,,Defensive rebound by T. Thompson
9:39.0,,,2-7,,Turnover by K. Love (step out of bounds)
9:26.0,T. Rozier makes 2-pt shot at rim,2,4-7,,
9:03.0,,,4-9,2,L. James makes 2-pt shot at rim (assist by G. Hill)
8:40.0,M. Morris misses 2-pt shot from 18 ft,,4-9,,
8:37.0,,,4-9,,Defensive rebound by K. Love
8:24.0,,,4-9,,K. Love misses 2-pt shot from 9 ft
8:22.0,Defensive rebound by T. Rozier,,4-9,,
8:11.0,Turnover by J. Brown (step out of bounds),,4-9,,
7:50.0,,,4-9,,K. Love misses 2-pt shot from 13 ft
7:46.0,Defensive rebound by M. Morris,,4-9,,
7:35.0,M. Morris misses 2-pt shot from 2 ft,,4-9,,
7:32.0,,,4-9,,Defensive rebound by K. Love
7:20.0,,,4-9,,G. Hill misses 3-pt shot from 23 ft
7:18.0,,,4-9,,Offensive rebound by Team
7:18.0,A. Baynes enters the game for J. Tatum,,4-9,,
7:13.0,Personal foul by J. Brown (drawn by T. Thompson),,4-9,,
7:07.0,,,4-9,,J. Smith misses 2-pt shot from 11 ft
7:07.0,,,4-9,,Offensive rebound by Team
6:54.0,,,4-9,,L. James misses 2-pt shot from 16 ft
6:52.0,Defensive rebound by A. Horford,,4-9,,
6:48.0,T. Rozier misses 2-pt shot from 7 ft,,4-9,,
6:48.0,,,4-9,,Defensive rebound by Team
6:48.0,Loose ball foul by A. Baynes (drawn by T. Thompson),,4-9,,
6:48.0,,,4-9,,Cleveland full timeout
6:26.0,,,4-12,3,J. Smith makes 3-pt shot from 27 ft (assist by L. James)
6:09.0,Turnover by J. Brown (turnover),,4-12,,
5:55.0,,,4-15,3,L. James makes 3-pt shot from 25 ft
5:43.0,,,4-15,,Personal foul by L. James (drawn by M. Morris)
5:43.0,M. Smart enters the game for J. Brown,,4-15,,
5:33.0,Turnover by T. Rozier (bad pass; steal by L. James),,4-15,,
5:33.0,,,4-15,,Shooting foul by T. Rozier (drawn by L. James)
5:33.0,,,4-16,1,L. James makes free throw 1 of 2
5:33.0,,,4-17,1,L. James makes free throw 2 of 2
5:19.0,A. Baynes misses 2-pt shot from 2 ft (block by L. James),,4-17,,
5:14.0,,,4-17,,Defensive rebound by J. Smith
5:10.0,,,4-17,,J. Smith misses 2-pt shot from 21 ft
5:09.0,,,4-17,,Offensive rebound by Team
5:09.0,J. Tatum enters the game for T. Rozier,,4-17,,
5:03.0,,,4-20,3,L. James makes 3-pt shot from 27 ft
4:51.0,M. Smart misses 2-pt shot from 2 ft,,4-20,,
4:43.0,Offensive rebound by A. Baynes,,4-20,,
4:43.0,A. Baynes makes 2-pt shot at rim,2,6-20,,
4:27.0,,,6-22,2,L. James makes 2-pt shot from 2 ft
4:16.0,J. Tatum makes 2-pt shot from 1 ft (assist by A. Horford),2,8-22,,
3:50.0,,,8-22,,L. James misses 2-pt shot from 11 ft
3:50.0,,,8-22,,Offensive rebound by Team
3:50.0,,,8-22,,Shooting foul by J. Tatum (drawn by T. Thompson)
3:50.0,,,8-23,1,T. Thompson makes free throw 1 of 2
3:50.0,G. Yabusele enters the game for A. Horford,,8-23,,
3:50.0,,,8-24,1,T. Thompson makes free throw 2 of 2
3:35.0,M. Morris makes 3-pt shot from 25 ft (assist by A. Baynes),3,11-24,,
3:21.0,,,11-27,3,G. Hill makes 3-pt shot from 25 ft
3:00.0,Turnover by A. Baynes (bad pass),,11-27,,
3:00.0,,,11-27,,L. Nance enters the game for T. Thompson
2:46.0,,,11-27,,K. Love misses 3-pt shot from 24 ft
2:44.0,Defensive rebound by M. Morris,,11-27,,
2:38.0,M. Morris misses 3-pt shot from 24 ft,,11-27,,
2:36.0,,,11-27,,Defensive rebound by J. Smith
2:27.0,,,11-27,,J. Smith misses 2-pt shot from 3 ft
2:24.0,Defensive rebound by A. Baynes,,11-27,,
2:16.0,Shooting foul by G. Hill (drawn by J. Tatum),,11-27,,
2:16.0,Boston full timeout,,11-27,,
2:16.0,,,11-27,,K. Korver enters the game for J. Smith
2:16.0,,,11-27,,J. Green enters the game for L. James
2:16.0,J. Tatum makes free throw 1 of 2,1,12-27,,
2:16.0,G. Monroe enters the game for G. Yabusele,,12-27,,
2:16.0,A. Horford enters the game for A. Baynes,,12-27,,
2:16.0,J. Tatum makes free throw 2 of 2,1,13-27,,
1:54.0,,,13-30,3,G. Hill makes 3-pt shot from 24 ft (assist by K. Love)
1:32.0,G. Monroe misses 2-pt shot from 1 ft,,13-30,,
1:27.0,,,13-30,,Defensive rebound by K. Love
1:21.0,,,13-32,2,K. Love makes 2-pt shot from 1 ft
1:05.0,Shooting foul by J. Green (drawn by J. Tatum),,13-32,,
