time,Milwaukee,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. J. Henson (G. Antetokounmpo gains possession),,,,Jump ball: M. Turner vs. J. Henson (G. Antetokounmpo gains possession)
11:42.0,T. Snell misses 2-pt shot from 7 ft (block by M. Turner),,0-0,,
11:40.0,Offensive rebound by J. Henson,,0-0,,
11:39.0,Turnover by J. Henson (bad pass; steal by T. Young),,0-0,,
11:26.0,,,0-0,,V. Oladipo misses 2-pt shot from 19 ft
11:23.0,Defensive rebound by G. Antetokounmpo,,0-0,,
11:10.0,E. Bledsoe makes 3-pt shot from 23 ft (assist by T. Snell),3,3-0,,
10:47.0,,,3-2,2,T. Young makes 2-pt shot from 1 ft (assist by M. Turner)
10:25.0,E. Bledsoe misses 3-pt shot from 28 ft,,3-2,,
10:23.0,,,3-2,,Defensive rebound by Team
10:06.0,,,3-4,2,B. Bogdanovic makes 2-pt shot from 1 ft
9:41.0,J. Henson misses 2-pt shot from 18 ft,,3-4,,
9:39.0,,,3-4,,Defensive rebound by T. Young
9:36.0,,,3-4,,Turnover by V. Oladipo (lost ball; steal by G. Antetokounmpo)
9:32.0,E. Bledsoe makes 2-pt shot at rim,2,5-4,,
9:11.0,,,5-4,,Shooting foul by E. Bledsoe (drawn by B. Bogdanovic)
9:11.0,,,5-5,1,B. Bogdanovic makes free throw 1 of 2
9:11.0,,,5-6,1,B. Bogdanovic makes free throw 2 of 2
8:57.0,K. Middleton misses 2-pt shot from 18 ft,,5-6,,
8:55.0,,,5-6,,Defensive rebound by T. Young
8:48.0,,,5-6,,T. Young misses 3-pt shot from 26 ft
8:46.0,Defensive rebound by J. Henson,,5-6,,
8:32.0,G. Antetokounmpo misses 2-pt shot from 12 ft,,5-6,,
8:28.0,,,5-6,,Defensive rebound by V. Oladipo
8:20.0,,,5-6,,M. Turner misses 2-pt shot from 2 ft (block by G. Antetokounmpo)
8:20.0,,,5-6,,Offensive rebound by Team
8:08.0,,,5-6,,V. Oladipo misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
8:08.0,,,5-6,,Offensive rebound by Team
8:08.0,,,5-6,,Turnover by V. Oladipo (bad pass)
7:47.0,T. Snell misses 3-pt shot from 22 ft,,5-6,,
7:44.0,,,5-6,,Defensive rebound by T. Young
7:31.0,,,5-8,2,M. Turner makes 2-pt shot from 17 ft (assist by C. Joseph)
7:15.0,G. Antetokounmpo misses 2-pt shot from 6 ft,,5-8,,
7:13.0,Offensive rebound by J. Henson,,5-8,,
7:09.0,Jump ball: M. Turner vs. J. Henson (T. Young gains possession),,,,Jump ball: M. Turner vs. J. Henson (T. Young gains possession)
7:09.0,Turnover by J. Henson (turnover; steal by M. Turner),,5-8,,
7:02.0,,,5-8,,B. Bogdanovic misses 3-pt shot from 27 ft
6:59.0,Defensive rebound by T. Snell,,5-8,,
6:47.0,K. Middleton misses 2-pt shot from 16 ft,,5-8,,
6:45.0,,,5-8,,Defensive rebound by V. Oladipo
6:41.0,,,5-8,,V. Oladipo misses 2-pt shot from 20 ft
6:38.0,Defensive rebound by K. Middleton,,5-8,,
6:34.0,,,5-8,,Personal foul by V. Oladipo (drawn by K. Middleton)
6:34.0,,,5-8,,Indiana full timeout
6:34.0,T. Maker enters the game for J. Henson,,5-8,,
6:16.0,K. Middleton misses 2-pt shot from 21 ft,,5-8,,
6:13.0,,,5-8,,Defensive rebound by Team
6:00.0,,,5-8,,T. Young misses 2-pt shot from 5 ft
5:58.0,Defensive rebound by T. Maker,,5-8,,
5:53.0,Turnover by E. Bledsoe (out of bounds lost ball),,5-8,,
5:53.0,J. Parker enters the game for G. Antetokounmpo,,5-8,,
5:36.0,,,5-8,,B. Bogdanovic misses 2-pt shot from 1 ft
5:34.0,Defensive rebound by K. Middleton,,5-8,,
5:24.0,,,5-8,,Personal foul by C. Joseph (drawn by E. Bledsoe)
5:20.0,J. Parker makes 2-pt shot from 1 ft (assist by T. Maker),2,7-8,,
5:01.0,,,7-8,,B. Bogdanovic misses 2-pt shot from 1 ft
4:59.0,Defensive rebound by J. Parker,,7-8,,
4:56.0,J. Parker makes 2-pt shot from 2 ft,2,9-8,,
4:34.0,,,9-8,,C. Joseph misses 2-pt shot from 17 ft
4:30.0,Defensive rebound by J. Parker,,9-8,,
4:24.0,T. Maker misses 2-pt shot at rim (block by T. Young),,9-8,,
4:21.0,,,9-8,,Defensive rebound by C. Joseph
4:12.0,,,9-11,3,V. Oladipo makes 3-pt shot from 27 ft (assist by B. Bogdanovic)
3:52.0,E. Bledsoe misses 3-pt shot from 23 ft,,9-11,,
3:50.0,,,9-11,,Defensive rebound by M. Turner
3:39.0,Personal foul by T. Snell (drawn by T. Young),,9-11,,
3:39.0,,,9-11,,J. Young enters the game for C. Joseph
3:39.0,,,9-11,,D. Sabonis enters the game for T. Young
3:39.0,,,9-11,,G. Robinson enters the game for B. Bogdanovic
3:39.0,S. Brown enters the game for T. Snell,,9-11,,
3:31.0,,,9-13,2,D. Sabonis makes 2-pt shot from 1 ft (assist by V. Oladipo)
3:31.0,,,9-13,,Shooting foul by J. Parker (drawn by D. Sabonis)
3:31.0,,,9-14,1,D. Sabonis makes free throw 1 of 1
3:17.0,E. Bledsoe misses 3-pt shot from 25 ft,,9-14,,
3:13.0,,,9-14,,Defensive rebound by D. Sabonis
3:05.0,,,9-14,,Turnover by V. Oladipo (lost ball; steal by E. Bledsoe)
2:57.0,K. Middleton makes 2-pt shot from 19 ft,2,11-14,,
2:44.0,Personal foul by E. Bledsoe (drawn by J. Young),,11-14,,
2:44.0,Milwaukee full timeout,,11-14,,
2:44.0,,,11-14,,L. Stephenson enters the game for V. Oladipo
2:44.0,J. Terry enters the game for E. Bledsoe,,11-14,,
2:33.0,,,11-16,2,D. Sabonis makes 2-pt shot from 1 ft
2:12.0,J. Parker misses 2-pt shot from 17 ft,,11-16,,
2:09.0,,,11-16,,Defensive rebound by L. Stephenson
2:02.0,,,11-16,,L. Stephenson misses 2-pt shot from 10 ft
2:01.0,Defensive rebound by Team,,11-16,,
2:01.0,,,11-16,,T. Leaf enters the game for M. Turner
1:42.0,S. Brown misses 2-pt shot from 5 ft,,11-16,,
1:39.0,,,11-16,,Defensive rebound by D. Sabonis
1:27.0,,,11-16,,Turnover by D. Sabonis (lost ball; steal by T. Maker)
1:19.0,Shooting foul by G. Robinson (drawn by K. Middleton),,11-16,,
1:19.0,K. Middleton makes free throw 1 of 2,1,12-16,,
1:19.0,J. Henson enters the game for T. Maker,,12-16,,
1:19.0,K. Middleton makes free throw 2 of 2,1,13-16,,
1:06.0,,,13-16,,G. Robinson misses 2-pt shot from 18 ft
1:04.0,Defensive rebound by J. Terry,,13-16,,
1:00.0,J. Henson makes 2-pt shot at rim (assist by J. Terry),2,15-16,,
0:44.0,,,15-18,2,J. Young makes 2-pt shot from 8 ft
0:26.0,Turnover by J. Parker (lost ball; steal by G. Robinson),,15-18,,
0:06.0,,,15-20,2,D. Sabonis makes 2-pt shot from 17 ft (assist by L. Stephenson)
0:01.0,Shooting foul by L. Stephenson (drawn by K. Middleton),,15-20,,
0:01.0,K. Middleton makes free throw 1 of 3,1,16-20,,
0:01.0,K. Middleton misses free throw 2 of 3,,16-20,,
0:01.0,Offensive rebound by Team,,16-20,,
0:01.0,K. Middleton makes free throw 3 of 3,1,17-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,17-22,2,G. Robinson makes 2-pt shot at rim (assist by L. Stephenson)
11:34.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,17-22,,
11:31.0,Offensive rebound by G. Antetokounmpo,,17-22,,
11:30.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,19-22,,
11:10.0,,,19-24,2,L. Stephenson makes 2-pt shot from 4 ft
10:50.0,J. Parker misses 2-pt shot from 3 ft,,19-24,,
10:47.0,,,19-24,,Defensive rebound by T. Leaf
10:43.0,,,19-24,,J. Young misses 3-pt shot from 25 ft
10:39.0,Defensive rebound by S. Brown,,19-24,,
10:37.0,J. Terry makes 2-pt shot at rim (assist by S. Brown),2,21-24,,
10:19.0,,,21-24,,Turnover by T. Leaf (bad pass)
10:19.0,,,21-24,,T. Young enters the game for T. Leaf
10:07.0,G. Antetokounmpo misses 2-pt shot from 11 ft,,21-24,,
10:02.0,Offensive rebound by S. Brown,,21-24,,
10:00.0,Turnover by S. Brown (bad pass; steal by J. Young),,21-24,,
9:56.0,,,21-26,2,J. Young makes 2-pt shot from 1 ft
9:29.0,Shooting foul by G. Robinson (drawn by S. Brown),,21-26,,
9:29.0,S. Brown makes free throw 1 of 2,1,22-26,,
9:29.0,S. Muhammad enters the game for J. Parker,,22-26,,
9:29.0,S. Brown makes free throw 2 of 2,1,23-26,,
9:16.0,,,23-26,,L. Stephenson misses 2-pt shot from 19 ft
9:11.0,Defensive rebound by G. Antetokounmpo,,23-26,,
8:59.0,J. Terry makes 3-pt shot from 23 ft (assist by S. Brown),3,26-26,,
8:35.0,,,26-26,,J. Young misses 2-pt shot from 8 ft
8:33.0,,,26-26,,Offensive rebound by J. Young
8:33.0,,,26-26,,J. Young misses 2-pt shot from 12 ft (block by J. Henson)
8:31.0,,,26-26,,Offensive rebound by J. Young
8:26.0,,,26-26,,Shooting foul by J. Henson (drawn by L. Stephenson)
8:26.0,,,26-27,1,L. Stephenson makes free throw 1 of 2
8:26.0,,,26-27,,B. Bogdanovic enters the game for G. Robinson
