time,New Orleans,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. A. Davis,,,,Jump ball: B. Lopez vs. A. Davis
11:47.0,,,0-0,,L. Nance misses 2-pt shot from 9 ft
11:44.0,Defensive rebound by D. Cousins,,0-0,,
11:30.0,J. Holiday misses 2-pt shot from 8 ft,,0-0,,
11:27.0,,,0-0,,Defensive rebound by B. Ingram
11:16.0,,,0-0,,Turnover by L. Ball (bad pass; steal by D. Cunningham)
11:15.0,,,0-0,,Personal foul by B. Ingram (drawn by J. Holiday)
11:03.0,E. Moore makes 2-pt shot from 9 ft,2,2-0,,
10:37.0,,,2-0,,B. Lopez misses 2-pt shot from 17 ft
10:34.0,Defensive rebound by E. Moore,,2-0,,
10:17.0,J. Holiday makes 2-pt shot from 2 ft (assist by D. Cousins),2,4-0,,
10:05.0,,,4-0,,L. Nance misses 2-pt shot from 5 ft (block by A. Davis)
10:05.0,Defensive rebound by A. Davis,,4-0,,
9:51.0,D. Cousins misses 3-pt shot from 26 ft,,4-0,,
9:49.0,Offensive rebound by A. Davis,,4-0,,
9:49.0,,,4-0,,Loose ball foul by L. Nance (drawn by A. Davis)
9:42.0,A. Davis misses 2-pt shot from 16 ft,,4-0,,
9:39.0,,,4-0,,Defensive rebound by B. Lopez
9:32.0,,,4-0,,L. Nance misses 2-pt shot from 21 ft
9:29.0,Personal foul by E. Moore (drawn by B. Lopez),,4-0,,
9:28.0,,,4-0,,Defensive rebound by B. Lopez
9:16.0,,,4-0,,B. Ingram misses 2-pt shot from 1 ft
9:14.0,Defensive rebound by D. Cunningham,,4-0,,
9:09.0,D. Cousins makes 2-pt shot from 7 ft,2,6-0,,
8:58.0,,,6-0,,LA Lakers full timeout
8:45.0,,,6-0,,L. Ball misses 2-pt shot from 19 ft
8:43.0,Defensive rebound by D. Cousins,,6-0,,
8:36.0,D. Cunningham misses 2-pt shot from 1 ft,,6-0,,
8:36.0,,,6-0,,Defensive rebound by B. Lopez
8:26.0,,,6-0,,B. Lopez misses 2-pt shot from 8 ft
8:26.0,,,6-0,,Offensive rebound by K. Caldwell-Pope
8:19.0,,,6-0,,L. Ball misses 3-pt shot from 25 ft
8:19.0,Defensive rebound by D. Cousins,,6-0,,
8:01.0,Turnover by D. Cousins (bad pass; steal by L. Nance),,6-0,,
7:58.0,,,6-2,2,L. Ball makes 2-pt shot from 1 ft (assist by B. Ingram)
7:58.0,Violation by D. Cunningham (def goaltending),,6-2,,
7:49.0,Offensive foul by D. Cousins (drawn by L. Ball),,6-2,,
7:49.0,Turnover by D. Cousins (offensive foul),,6-2,,
7:38.0,,,6-2,,Shooting foul by D. Cunningham (drawn by B. Ingram)
7:38.0,,,6-3,1,B. Ingram makes free throw 1 of 2
7:38.0,,,6-3,,B. Ingram misses free throw 2 of 2
7:36.0,Defensive rebound by A. Davis,,6-3,,
7:28.0,J. Holiday makes 2-pt shot at rim,2,8-3,,
7:20.0,,,8-3,,B. Ingram misses 2-pt shot from 10 ft
7:17.0,,,8-3,,Offensive rebound by L. Nance
7:13.0,,,8-3,,B. Ingram misses 3-pt shot from 25 ft
7:13.0,Defensive rebound by D. Cousins,,8-3,,
7:10.0,,,8-3,,Personal foul by B. Lopez (drawn by A. Davis)
7:03.0,D. Cunningham misses 3-pt shot from 23 ft,,8-3,,
7:00.0,,,8-3,,Defensive rebound by L. Ball
6:47.0,,,8-3,,B. Ingram misses 2-pt shot from 14 ft
6:44.0,Defensive rebound by Team,,8-3,,
6:28.0,D. Cunningham makes 2-pt shot from 1 ft (assist by J. Holiday),2,10-3,,
6:18.0,,,10-5,2,L. Ball makes 2-pt shot from 15 ft
6:01.0,Shooting foul by L. Ball (drawn by A. Davis),,10-5,,
6:01.0,A. Davis makes free throw 1 of 2,1,11-5,,
6:01.0,A. Davis makes free throw 2 of 2,1,12-5,,
5:52.0,Personal foul by E. Moore (drawn by L. Ball),,12-5,,
5:40.0,,,12-5,,K. Caldwell-Pope misses 2-pt shot at rim
5:38.0,Defensive rebound by A. Davis,,12-5,,
5:35.0,,,12-5,,Personal foul by L. Nance (drawn by D. Cousins)
5:35.0,D. Cousins makes free throw 1 of 2,1,13-5,,
5:35.0,,,13-5,,J. Randle enters the game for L. Nance
5:35.0,J. Nelson enters the game for E. Moore,,13-5,,
5:35.0,D. Cousins makes free throw 2 of 2,1,14-5,,
5:14.0,,,14-7,2,B. Ingram makes 2-pt shot from 1 ft
5:08.0,A. Davis makes 2-pt shot from 18 ft,2,16-7,,
4:49.0,,,16-7,,B. Ingram misses 2-pt shot from 11 ft
4:47.0,Defensive rebound by D. Cousins,,16-7,,
4:41.0,D. Cousins makes 2-pt shot from 3 ft,2,18-7,,
4:32.0,,,18-7,,Shooting foul by A. Davis (drawn by B. Lopez)
4:32.0,,,18-8,1,B. Lopez makes free throw 1 of 2
4:32.0,I. Clark enters the game for D. Cousins,,18-8,,
4:32.0,,,18-9,1,B. Lopez makes free throw 2 of 2
