time,Boston,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. D. Theis (D. Collison gains possession),,,,Jump ball: M. Turner vs. D. Theis (D. Collison gains possession)
11:42.0,,,0-2,2,M. Turner makes 2-pt shot from 20 ft (assist by D. Collison)
11:21.0,D. Theis misses 2-pt shot from 6 ft,,0-2,,
11:18.0,,,0-2,,Defensive rebound by B. Bogdanovic
11:12.0,,,0-2,,Turnover by T. Young (bad pass; steal by D. Theis)
11:01.0,K. Irving misses 2-pt shot from 18 ft,,0-2,,
10:57.0,,,0-2,,Defensive rebound by L. Stephenson
10:46.0,,,0-2,,Shooting foul by J. Tatum (drawn by L. Stephenson)
10:46.0,,,0-3,1,L. Stephenson makes free throw 1 of 2
10:46.0,,,0-4,1,L. Stephenson makes free throw 2 of 2
10:30.0,A. Horford misses 2-pt shot from 12 ft,,0-4,,
10:27.0,,,0-4,,Defensive rebound by L. Stephenson
10:25.0,,,0-4,,Offensive charge foul by L. Stephenson (drawn by J. Tatum)
10:25.0,,,0-4,,Turnover by L. Stephenson (offensive foul)
10:14.0,A. Horford makes 2-pt shot from 2 ft (assist by K. Irving),2,2-4,,
9:48.0,,,2-6,2,B. Bogdanovic makes 2-pt shot from 3 ft
9:37.0,A. Horford makes 3-pt shot from 28 ft (assist by M. Smart),3,5-6,,
9:13.0,,,5-9,3,L. Stephenson makes 3-pt shot from 26 ft
8:56.0,Turnover by J. Tatum (lost ball; steal by T. Young),,5-9,,
8:52.0,,,5-12,3,D. Collison makes 3-pt shot from 23 ft (assist by T. Young)
8:38.0,K. Irving makes 3-pt shot from 26 ft (assist by A. Horford),3,8-12,,
8:26.0,Personal foul by D. Theis (drawn by D. Collison),,8-12,,
8:22.0,,,8-12,,B. Bogdanovic misses 3-pt shot from 26 ft
8:19.0,Defensive rebound by A. Horford,,8-12,,
8:05.0,A. Horford makes 2-pt shot from 1 ft (assist by K. Irving),2,10-12,,
7:54.0,,,10-12,,Offensive foul by M. Turner (drawn by K. Irving)
7:54.0,,,10-12,,Turnover by M. Turner (offensive foul)
7:45.0,K. Irving misses 2-pt shot from 17 ft,,10-12,,
7:42.0,,,10-12,,Defensive rebound by T. Young
7:25.0,,,10-14,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by T. Young)
7:04.0,J. Tatum makes 2-pt shot at rim (assist by D. Theis),2,12-14,,
6:56.0,,,12-16,2,T. Young makes 2-pt shot from 1 ft (assist by L. Stephenson)
6:45.0,K. Irving makes 2-pt shot from 16 ft,2,14-16,,
6:34.0,,,14-18,2,D. Collison makes 2-pt shot at rim
6:14.0,M. Smart makes 2-pt shot from 18 ft,2,16-18,,
5:58.0,,,16-18,,L. Stephenson misses 3-pt shot from 26 ft
5:56.0,Defensive rebound by D. Theis,,16-18,,
5:43.0,Turnover by D. Theis (lost ball; steal by D. Collison),,16-18,,
5:43.0,,,16-18,,Turnover by D. Collison (out of bounds lost ball)
5:43.0,,,16-18,,Indiana full timeout
5:43.0,A. Nader enters the game for J. Tatum,,16-18,,
