time,Detroit,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Drummond (R. Jackson gains possession),,,,Jump ball: M. Gortat vs. A. Drummond (R. Jackson gains possession)
11:41.0,A. Bradley misses 2-pt shot from 9 ft,,0-0,,
11:40.0,Offensive rebound by Team,,0-0,,
11:38.0,Turnover by R. Jackson (bad pass; steal by K. Oubre),,0-0,,
11:33.0,,,0-2,2,K. Oubre makes 2-pt shot from 1 ft
11:18.0,S. Johnson makes 3-pt shot from 25 ft (assist by A. Bradley),3,3-2,,
10:49.0,,,3-4,2,B. Beal makes 2-pt shot from 4 ft (assist by O. Porter)
10:49.0,Violation by A. Drummond (def goaltending),,3-4,,
10:45.0,A. Bradley misses 2-pt shot from 21 ft,,3-4,,
10:38.0,,,3-4,,Defensive rebound by O. Porter
10:35.0,,,3-6,2,J. Wall makes 2-pt shot from 1 ft
10:19.0,R. Jackson misses 2-pt shot at rim,,3-6,,
10:19.0,Offensive rebound by A. Drummond,,3-6,,
10:15.0,A. Drummond makes 2-pt shot at rim,2,5-6,,
10:12.0,,,5-6,,O. Porter misses 3-pt shot from 26 ft
10:12.0,Defensive rebound by R. Jackson,,5-6,,
10:06.0,R. Jackson misses 2-pt shot from 16 ft,,5-6,,
10:01.0,Offensive rebound by A. Drummond,,5-6,,
9:57.0,T. Harris makes 2-pt shot from 1 ft (assist by S. Johnson),2,7-6,,
9:38.0,,,7-8,2,M. Gortat makes 2-pt shot from 13 ft (assist by B. Beal)
9:23.0,T. Harris makes 3-pt shot from 26 ft,3,10-8,,
9:08.0,,,10-10,2,B. Beal makes 2-pt shot from 12 ft (assist by J. Wall)
9:08.0,,,10-10,,Shooting foul by S. Johnson (drawn by B. Beal)
9:08.0,,,10-10,,B. Beal misses free throw 1 of 1
9:05.0,Defensive rebound by A. Drummond,,10-10,,
8:45.0,Turnover by A. Bradley (lost ball; steal by O. Porter),,10-10,,
