time,Brooklyn,pts.away,score,pts.home,Washington
6:56.0,,,4-14,2,J. Wall makes 2-pt shot from 1 ft
6:43.0,D. Carroll misses 3-pt shot from 22 ft,,4-14,,
6:41.0,,,4-14,,Defensive rebound by M. Gortat
6:33.0,,,4-16,2,M. Morris makes 2-pt shot from 2 ft (assist by B. Beal)
6:33.0,,,4-16,,Shooting foul by A. Crabbe (drawn by M. Morris)
6:33.0,J. Harris enters the game for S. Dinwiddie,,4-16,,
6:33.0,J. Allen enters the game for D. Carroll,,4-16,,
6:33.0,C. LeVert enters the game for Q. Acy,,4-16,,
6:33.0,,,4-17,1,M. Morris makes free throw 1 of 1
6:19.0,Turnover by J. Harris (lost ball; steal by O. Porter),,4-17,,
6:13.0,,,4-17,,O. Porter misses 2-pt shot from 5 ft
6:11.0,Defensive rebound by J. Allen,,4-17,,
6:08.0,A. Crabbe misses 3-pt shot from 26 ft,,4-17,,
6:08.0,,,4-17,,Defensive rebound by O. Porter
5:57.0,,,4-20,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
5:46.0,R. Hollis-Jefferson makes 2-pt shot from 11 ft,2,6-20,,
5:31.0,,,6-20,,J. Wall misses 3-pt shot from 27 ft
5:31.0,,,6-20,,Offensive rebound by M. Gortat
5:26.0,,,6-20,,Shooting foul by C. LeVert (drawn by M. Gortat)
5:26.0,,,6-20,,M. Gortat misses free throw 1 of 2
5:26.0,,,6-20,,Offensive rebound by Team
5:26.0,,,6-21,1,M. Gortat makes free throw 2 of 2
5:08.0,Turnover by A. Crabbe (bad pass),,6-21,,
4:47.0,,,6-23,2,M. Gortat makes 2-pt shot from 1 ft (assist by M. Morris)
4:33.0,C. LeVert makes 2-pt shot from 1 ft,2,8-23,,
4:26.0,,,8-25,2,B. Beal makes 2-pt shot from 20 ft
4:03.0,A. Crabbe misses 3-pt shot from 29 ft,,8-25,,
4:00.0,,,8-25,,Defensive rebound by M. Morris
3:50.0,,,8-25,,Turnover by O. Porter (out of bounds lost ball)
3:50.0,N. Stauskas enters the game for R. Hollis-Jefferson,,8-25,,
3:50.0,Q. Acy enters the game for A. Crabbe,,8-25,,
3:34.0,J. Harris makes 2-pt shot at rim,2,10-25,,
3:33.0,,,10-25,,Washington full timeout
3:33.0,,,10-25,,K. Oubre enters the game for J. Wall
3:33.0,,,10-25,,T. Satoransky enters the game for O. Porter
3:21.0,,,10-28,3,M. Morris makes 3-pt shot from 25 ft (assist by B. Beal)
3:01.0,J. Harris misses 3-pt shot from 23 ft,,10-28,,
2:56.0,Offensive rebound by J. Allen,,10-28,,
2:55.0,J. Allen misses 2-pt shot at rim,,10-28,,
2:53.0,,,10-28,,Defensive rebound by M. Morris
2:47.0,,,10-30,2,B. Beal makes 2-pt shot from 2 ft
2:31.0,J. Allen makes 2-pt shot at rim (assist by C. LeVert),2,12-30,,
2:14.0,,,12-30,,T. Satoransky misses 2-pt shot from 9 ft
2:11.0,Defensive rebound by J. Allen,,12-30,,
2:04.0,J. Allen makes 2-pt shot from 1 ft (assist by C. LeVert),2,14-30,,
2:04.0,Shooting foul by T. Satoransky (drawn by J. Allen),,14-30,,
2:04.0,,,14-30,,I. Mahinmi enters the game for M. Gortat
2:04.0,J. Allen misses free throw 1 of 1,,14-30,,
2:02.0,,,14-30,,Defensive rebound by I. Mahinmi
1:48.0,,,14-30,,M. Morris misses 2-pt shot from 17 ft
1:44.0,Defensive rebound by J. Allen,,14-30,,
1:35.0,Turnover by C. LeVert (lost ball; steal by B. Beal),,14-30,,
1:32.0,,,14-30,,Turnover by B. Beal (traveling)
1:32.0,,,14-30,,M. Scott enters the game for M. Morris
1:32.0,,,14-30,,J. Meeks enters the game for B. Beal
1:16.0,J. Allen makes 2-pt shot at rim (assist by N. Stauskas),2,16-30,,
1:01.0,,,16-30,,I. Mahinmi misses 2-pt shot from 17 ft
0:57.0,Defensive rebound by Q. Acy,,16-30,,
0:52.0,Offensive foul by J. Allen (drawn by I. Mahinmi),,16-30,,
0:52.0,Turnover by J. Allen (offensive foul),,16-30,,
0:47.0,,,16-30,,Offensive foul by I. Mahinmi (drawn by C. LeVert)
0:47.0,,,16-30,,Turnover by I. Mahinmi (offensive foul)
0:35.0,C. LeVert makes 2-pt shot from 12 ft,2,18-30,,
0:22.0,,,18-33,3,J. Meeks makes 3-pt shot from 26 ft (assist by M. Scott)
0:11.0,,,18-33,,Personal take foul by T. Satoransky (drawn by C. LeVert)
0:00.0,C. LeVert misses 3-pt shot from 25 ft,,18-33,,
0:00.0,Offensive rebound by Team,,18-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,Turnover by Team (shot clock),,18-33,,
11:18.0,,,18-33,,M. Scott misses 3-pt shot from 26 ft
11:16.0,Defensive rebound by Team,,18-33,,
11:06.0,C. LeVert misses 2-pt shot from 2 ft,,18-33,,
11:03.0,,,18-33,,Defensive rebound by I. Mahinmi
10:54.0,,,18-35,2,T. Satoransky makes 2-pt shot from 6 ft (assist by M. Scott)
10:39.0,J. Harris makes 3-pt shot from 25 ft,3,21-35,,
10:23.0,,,21-35,,M. Scott misses 2-pt shot from 14 ft
10:19.0,Defensive rebound by J. Harris,,21-35,,
10:14.0,C. LeVert misses 3-pt shot from 25 ft,,21-35,,
10:10.0,,,21-35,,Defensive rebound by J. Meeks
10:06.0,,,21-35,,I. Mahinmi misses 2-pt shot at rim
10:06.0,Defensive rebound by Team,,21-35,,
9:53.0,J. Okafor makes 2-pt shot from 8 ft (assist by C. LeVert),2,23-35,,
9:34.0,,,23-35,,Shooting foul by D. Carroll (drawn by K. Oubre)
9:34.0,,,23-36,1,K. Oubre makes free throw 1 of 2
9:34.0,,,23-37,1,K. Oubre makes free throw 2 of 2
9:24.0,N. Stauskas makes 3-pt shot from 25 ft (assist by J. Okafor),3,26-37,,
9:02.0,,,26-37,,T. Satoransky misses 3-pt shot from 26 ft
8:59.0,Defensive rebound by D. Carroll,,26-37,,
8:43.0,C. LeVert misses 2-pt shot from 19 ft,,26-37,,
8:38.0,,,26-37,,Defensive rebound by M. Scott
8:38.0,Personal foul by J. Harris (drawn by K. Oubre),,26-37,,
8:38.0,,,26-37,,J. Wall enters the game for T. Satoransky
8:31.0,,,26-39,2,K. Oubre makes 2-pt shot from 14 ft (assist by J. Wall)
8:31.0,,,26-39,,Shooting foul by N. Stauskas (drawn by K. Oubre)
8:31.0,,,26-39,,O. Porter enters the game for J. Meeks
8:31.0,A. Crabbe enters the game for N. Stauskas,,26-39,,
8:31.0,,,26-40,1,K. Oubre makes free throw 1 of 1
8:12.0,,,26-40,,Personal foul by O. Porter (drawn by C. LeVert)
8:12.0,S. Dinwiddie enters the game for J. Harris,,26-40,,
8:06.0,C. LeVert misses 3-pt shot from 26 ft,,26-40,,
8:01.0,,,26-40,,Defensive rebound by M. Scott
7:54.0,,,26-42,2,M. Scott makes 2-pt shot at rim (assist by J. Wall)
7:37.0,J. Okafor misses 2-pt shot from 1 ft (block by I. Mahinmi),,26-42,,
7:28.0,,,26-42,,Defensive rebound by I. Mahinmi
7:16.0,,,26-42,,O. Porter misses 2-pt shot from 14 ft
7:11.0,Defensive rebound by A. Crabbe,,26-42,,
6:50.0,Turnover by S. Dinwiddie (lost ball; steal by J. Wall),,26-42,,
6:47.0,,,26-44,2,O. Porter makes 2-pt shot from 1 ft (assist by K. Oubre)
6:47.0,Brooklyn full timeout,,26-44,,
6:47.0,,,26-44,,B. Beal enters the game for I. Mahinmi
6:47.0,,,26-44,,M. Morris enters the game for M. Scott
6:47.0,R. Hollis-Jefferson enters the game for C. LeVert,,26-44,,
6:37.0,Turnover by J. Okafor (bad pass; steal by J. Wall),,26-44,,
6:34.0,,,26-44,,Turnover by J. Wall (bad pass)
6:11.0,A. Crabbe misses 3-pt shot from 27 ft,,26-44,,
6:08.0,,,26-44,,Defensive rebound by J. Wall
6:05.0,,,26-47,3,K. Oubre makes 3-pt shot from 25 ft (assist by J. Wall)
5:37.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,28-47,,
5:18.0,,,28-47,,M. Morris misses 2-pt shot from 11 ft
5:14.0,Defensive rebound by R. Hollis-Jefferson,,28-47,,
5:11.0,D. Carroll makes 2-pt shot from 1 ft (assist by R. Hollis-Jefferson),2,30-47,,
4:52.0,,,30-49,2,J. Wall makes 2-pt shot from 16 ft
4:29.0,A. Crabbe misses 3-pt shot from 24 ft,,30-49,,
4:24.0,,,30-49,,Defensive rebound by O. Porter
4:19.0,,,30-51,2,J. Wall makes 2-pt shot from 14 ft
4:17.0,Brooklyn full timeout,,30-51,,
4:17.0,,,30-51,,M. Gortat enters the game for K. Oubre
4:17.0,J. Harris enters the game for J. Okafor,,30-51,,
4:17.0,C. LeVert enters the game for S. Dinwiddie,,30-51,,
4:17.0,J. Allen enters the game for A. Crabbe,,30-51,,
4:03.0,Turnover by C. LeVert (bad pass; steal by M. Morris),,30-51,,
3:59.0,,,30-51,,Turnover by J. Wall (bad pass)
3:42.0,Shooting foul by M. Morris (drawn by R. Hollis-Jefferson),,30-51,,
3:42.0,R. Hollis-Jefferson makes free throw 1 of 2,1,31-51,,
3:42.0,R. Hollis-Jefferson makes free throw 2 of 2,1,32-51,,
3:20.0,,,32-53,2,M. Gortat makes 2-pt shot from 11 ft
2:54.0,J. Allen misses 2-pt shot from 3 ft,,32-53,,
2:50.0,Offensive rebound by D. Carroll,,32-53,,
2:41.0,D. Carroll makes 2-pt shot from 10 ft (assist by C. LeVert),2,34-53,,
2:19.0,,,34-53,,Shooting foul by D. Carroll (drawn by M. Gortat)
2:19.0,,,34-54,1,M. Gortat makes free throw 1 of 2
2:19.0,,,34-54,,K. Oubre enters the game for O. Porter
2:19.0,,,34-55,1,M. Gortat makes free throw 2 of 2
2:05.0,J. Harris misses 2-pt shot from 12 ft,,34-55,,
2:01.0,,,34-55,,Defensive rebound by M. Gortat
1:46.0,,,34-57,2,B. Beal makes 2-pt shot from 18 ft
1:22.0,R. Hollis-Jefferson makes 2-pt shot from 12 ft (assist by D. Carroll),2,36-57,,
1:03.0,,,36-59,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
0:52.0,D. Carroll makes 3-pt shot from 26 ft (assist by R. Hollis-Jefferson),3,39-59,,
0:38.0,,,39-59,,J. Wall misses 3-pt shot from 26 ft
0:35.0,,,39-59,,Offensive rebound by M. Gortat
0:31.0,,,39-59,,Turnover by J. Wall (out of bounds lost ball)
0:19.0,D. Carroll misses 3-pt shot from 25 ft,,39-59,,
0:15.0,,,39-59,,Defensive rebound by J. Wall
0:01.0,,,39-59,,B. Beal misses 2-pt shot from 2 ft
0:01.0,,,39-59,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,R. Hollis-Jefferson misses 2-pt shot from 12 ft,,39-59,,
11:40.0,,,39-59,,Defensive rebound by Team
11:20.0,,,39-59,,B. Beal misses 2-pt shot from 19 ft
11:17.0,Defensive rebound by R. Hollis-Jefferson,,39-59,,
11:12.0,Shooting foul by M. Gortat (drawn by R. Hollis-Jefferson),,39-59,,
11:12.0,R. Hollis-Jefferson makes free throw 1 of 2,1,40-59,,
11:12.0,R. Hollis-Jefferson makes free throw 2 of 2,1,41-59,,
10:56.0,,,41-59,,M. Morris misses 2-pt shot from 15 ft
10:56.0,Defensive rebound by D. Carroll,,41-59,,
10:43.0,Q. Acy makes 3-pt shot from 26 ft (assist by R. Hollis-Jefferson),3,44-59,,
10:22.0,,,44-61,2,J. Wall makes 2-pt shot from 17 ft
10:11.0,Q. Acy misses 3-pt shot from 26 ft,,44-61,,
10:08.0,,,44-61,,Defensive rebound by M. Gortat
10:04.0,,,44-61,,J. Wall misses 2-pt shot from 16 ft
10:01.0,Defensive rebound by R. Hollis-Jefferson,,44-61,,
9:42.0,R. Hollis-Jefferson misses 2-pt shot from 18 ft,,44-61,,
9:38.0,Offensive rebound by D. Carroll,,44-61,,
9:37.0,A. Crabbe misses 3-pt shot from 27 ft,,44-61,,
9:34.0,,,44-61,,Defensive rebound by M. Gortat
9:29.0,,,44-61,,Turnover by J. Wall (bad pass; steal by Q. Acy)
9:28.0,,,44-61,,Personal foul by M. Morris (drawn by R. Hollis-Jefferson)
9:21.0,S. Dinwiddie misses 2-pt shot from 23 ft,,44-61,,
9:21.0,,,44-61,,Defensive rebound by O. Porter
9:02.0,,,44-61,,Turnover by J. Wall (bad pass; steal by D. Carroll)
8:53.0,D. Carroll misses 3-pt shot from 25 ft,,44-61,,
8:51.0,,,44-61,,Defensive rebound by B. Beal
8:45.0,,,44-61,,B. Beal misses 2-pt shot from 1 ft (block by Q. Acy)
8:41.0,Defensive rebound by D. Carroll,,44-61,,
8:37.0,S. Dinwiddie misses 3-pt shot from 25 ft,,44-61,,
8:32.0,,,44-61,,Defensive rebound by O. Porter
8:30.0,,,44-61,,B. Beal misses 2-pt shot at rim (block by Q. Acy)
8:27.0,Defensive rebound by S. Dinwiddie,,44-61,,
8:23.0,A. Crabbe makes 2-pt shot from 3 ft (assist by R. Hollis-Jefferson),2,46-61,,
8:23.0,,,46-61,,Washington full timeout
8:05.0,,,46-61,,J. Wall misses 2-pt shot from 15 ft
8:03.0,Defensive rebound by Team,,46-61,,
7:52.0,,,46-61,,Personal foul by J. Wall (drawn by S. Dinwiddie)
7:50.0,R. Hollis-Jefferson makes 2-pt shot from 12 ft (assist by D. Carroll),2,48-61,,
7:35.0,,,48-63,2,O. Porter makes 2-pt shot from 9 ft (assist by J. Wall)
7:15.0,S. Dinwiddie makes 3-pt shot from 24 ft,3,51-63,,
6:53.0,,,51-63,,B. Beal misses 3-pt shot from 25 ft
6:50.0,Defensive rebound by D. Carroll,,51-63,,
6:33.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by Q. Acy),2,53-63,,
6:18.0,,,53-63,,Shooting foul by S. Dinwiddie (drawn by J. Wall)
6:18.0,,,53-64,1,J. Wall makes free throw 1 of 2
6:18.0,,,53-64,,K. Oubre enters the game for O. Porter
6:18.0,,,53-64,,J. Wall misses free throw 2 of 2
6:15.0,Defensive rebound by S. Dinwiddie,,53-64,,
6:09.0,Turnover by A. Crabbe (lost ball; steal by B. Beal),,53-64,,
6:05.0,,,53-66,2,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall)
5:57.0,R. Hollis-Jefferson misses 2-pt shot from 6 ft,,53-66,,
5:57.0,Offensive rebound by D. Carroll,,53-66,,
5:53.0,S. Dinwiddie misses 3-pt shot from 26 ft,,53-66,,
5:53.0,,,53-66,,Defensive rebound by J. Wall
5:48.0,,,53-66,,Shooting foul by A. Crabbe (drawn by J. Wall)
5:48.0,,,53-67,1,J. Wall makes free throw 1 of 2
5:48.0,C. LeVert enters the game for S. Dinwiddie,,53-67,,
5:48.0,J. Allen enters the game for Q. Acy,,53-67,,
5:48.0,,,53-68,1,J. Wall makes free throw 2 of 2
5:37.0,A. Crabbe misses 2-pt shot from 21 ft,,53-68,,
5:36.0,,,53-68,,Defensive rebound by Team
5:36.0,Loose ball foul by D. Carroll (drawn by K. Oubre),,53-68,,
5:26.0,,,53-68,,Turnover by J. Wall (lost ball; steal by C. LeVert)
5:22.0,D. Carroll makes 2-pt shot at rim (assist by C. LeVert),2,55-68,,
5:07.0,,,55-68,,Turnover by M. Gortat (traveling)
5:07.0,S. Dinwiddie enters the game for A. Crabbe,,55-68,,
5:07.0,,,55-68,,Technical foul by J. Wall
5:07.0,S. Dinwiddie makes technical free throw,1,56-68,,
4:49.0,R. Hollis-Jefferson misses 3-pt shot from 25 ft,,56-68,,
4:46.0,Offensive rebound by S. Dinwiddie,,56-68,,
4:45.0,S. Dinwiddie makes 2-pt shot from 2 ft,2,58-68,,
4:31.0,,,58-68,,B. Beal misses 3-pt shot from 24 ft
4:26.0,Defensive rebound by D. Carroll,,58-68,,
4:12.0,J. Allen makes 2-pt shot from 2 ft (assist by R. Hollis-Jefferson),2,60-68,,
4:11.0,,,60-68,,Washington full timeout
4:11.0,,,60-68,,I. Mahinmi enters the game for M. Morris
4:11.0,,,60-68,,M. Scott enters the game for M. Gortat
4:11.0,J. Harris enters the game for D. Carroll,,60-68,,
3:59.0,,,60-68,,J. Wall misses 2-pt shot from 4 ft
3:56.0,Defensive rebound by C. LeVert,,60-68,,
3:56.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by C. LeVert),2,62-68,,
3:56.0,Shooting foul by B. Beal (drawn by R. Hollis-Jefferson),,62-68,,
3:56.0,R. Hollis-Jefferson misses free throw 1 of 1,,62-68,,
3:54.0,,,62-68,,Defensive rebound by I. Mahinmi
3:33.0,,,62-68,,B. Beal misses 2-pt shot from 19 ft
3:31.0,Defensive rebound by Team,,62-68,,
3:20.0,J. Allen misses 2-pt shot from 2 ft,,62-68,,
3:18.0,,,62-68,,Defensive rebound by M. Scott
3:16.0,,,62-70,2,J. Wall makes 2-pt shot at rim (assist by B. Beal)
3:06.0,C. LeVert makes 3-pt shot from 26 ft (assist by S. Dinwiddie),3,65-70,,
2:41.0,,,65-70,,J. Wall misses 2-pt shot from 1 ft
2:40.0,Defensive rebound by J. Harris,,65-70,,
2:40.0,,,65-70,,Personal foul by I. Mahinmi (drawn by J. Harris)
2:40.0,J. Harris makes free throw 1 of 2,1,66-70,,
2:40.0,,,66-70,,T. Satoransky enters the game for J. Wall
2:40.0,Q. Acy enters the game for R. Hollis-Jefferson,,66-70,,
2:40.0,J. Harris makes free throw 2 of 2,1,67-70,,
2:26.0,,,67-70,,Turnover by B. Beal (out of bounds lost ball)
2:14.0,C. LeVert misses 2-pt shot from 10 ft,,67-70,,
2:11.0,,,67-70,,Defensive rebound by M. Scott
1:57.0,,,67-72,2,T. Satoransky makes 2-pt shot from 1 ft (assist by B. Beal)
1:48.0,Turnover by S. Dinwiddie (bad pass; steal by T. Satoransky),,67-72,,
1:42.0,,,67-75,3,B. Beal makes 3-pt shot from 25 ft (assist by T. Satoransky)
1:42.0,Brooklyn full timeout,,67-75,,
1:19.0,J. Harris misses 2-pt shot from 2 ft,,67-75,,
1:17.0,Offensive rebound by C. LeVert,,67-75,,
1:17.0,C. LeVert makes 2-pt shot from 1 ft,2,69-75,,
1:01.0,Personal foul by Q. Acy (drawn by B. Beal),,69-75,,
0:56.0,,,69-75,,B. Beal misses 3-pt shot from 25 ft
0:53.0,,,69-75,,Offensive rebound by B. Beal
0:52.0,,,69-78,3,K. Oubre makes 3-pt shot from 25 ft (assist by B. Beal)
0:42.0,,,69-78,,Personal foul by K. Oubre (drawn by Q. Acy)
0:42.0,Q. Acy makes free throw 1 of 2,1,70-78,,
0:42.0,Q. Acy makes free throw 2 of 2,1,71-78,,
0:34.0,,,71-78,,Shooting foul by J. Allen (drawn by M. Scott)
0:34.0,,,71-78,,M. Scott misses free throw 1 of 2
0:34.0,,,71-78,,Offensive rebound by Team
0:34.0,,,71-79,1,M. Scott makes free throw 2 of 2
0:13.0,Shooting foul by K. Oubre (drawn by C. LeVert),,71-79,,
0:13.0,C. LeVert makes free throw 1 of 2,1,72-79,,
0:13.0,R. Hollis-Jefferson enters the game for Q. Acy,,72-79,,
0:13.0,C. LeVert misses free throw 2 of 2,,72-79,,
0:12.0,,,72-79,,Defensive rebound by I. Mahinmi
0:12.0,Personal foul by C. LeVert (drawn by I. Mahinmi),,72-79,,
0:12.0,,,72-79,,I. Mahinmi misses free throw 1 of 2
0:12.0,,,72-79,,Offensive rebound by Team
0:12.0,Q. Acy enters the game for R. Hollis-Jefferson,,72-79,,
0:12.0,,,72-80,1,I. Mahinmi makes free throw 2 of 2
0:04.0,S. Dinwiddie misses 2-pt shot from 2 ft,,72-80,,
0:04.0,Offensive rebound by J. Allen,,72-80,,
0:04.0,J. Allen makes 2-pt shot at rim,2,74-80,,
0:00.0,,,74-83,3,K. Oubre makes 3-pt shot from 31 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,74-83,,Turnover by K. Oubre (bad pass; steal by D. Carroll)
11:40.0,,,74-83,,Personal foul by I. Mahinmi (drawn by J. Allen)
11:21.0,C. LeVert misses 3-pt shot from 26 ft,,74-83,,
11:18.0,Offensive rebound by Team,,74-83,,
11:10.0,J. Harris makes 3-pt shot from 26 ft,3,77-83,,
11:10.0,Shooting foul by I. Mahinmi (drawn by J. Harris),,77-83,,
11:10.0,J. Harris makes free throw 1 of 1,1,78-83,,
10:56.0,Personal foul by C. LeVert (drawn by T. Satoransky),,78-83,,
10:47.0,,,78-85,2,O. Porter makes 2-pt shot at rim (assist by T. Satoransky)
10:27.0,D. Carroll misses 3-pt shot from 25 ft,,78-85,,
10:22.0,,,78-85,,Defensive rebound by K. Oubre
10:19.0,,,78-85,,K. Oubre misses 3-pt shot from 25 ft
10:18.0,,,78-85,,Offensive rebound by Team
10:18.0,Loose ball foul by J. Harris (drawn by T. Satoransky),,78-85,,
10:10.0,,,78-85,,O. Porter misses 2-pt shot from 8 ft
10:07.0,Defensive rebound by C. LeVert,,78-85,,
10:03.0,D. Carroll makes 2-pt shot from 1 ft,2,80-85,,
9:49.0,,,80-87,2,M. Scott makes 2-pt shot from 21 ft (assist by O. Porter)
9:39.0,C. LeVert misses 3-pt shot from 25 ft,,80-87,,
9:34.0,,,80-87,,Defensive rebound by T. Satoransky
9:29.0,,,80-89,2,T. Satoransky makes 2-pt shot from 2 ft
9:29.0,Brooklyn full timeout,,80-89,,
9:29.0,S. Dinwiddie enters the game for J. Harris,,80-89,,
9:29.0,R. Hollis-Jefferson enters the game for J. Allen,,80-89,,
9:15.0,,,80-89,,Personal foul by I. Mahinmi (drawn by R. Hollis-Jefferson)
9:09.0,C. LeVert misses 2-pt shot from 6 ft,,80-89,,
9:07.0,,,80-89,,Defensive rebound by I. Mahinmi
8:49.0,,,80-89,,Turnover by M. Scott (traveling)
8:28.0,Shooting foul by O. Porter (drawn by S. Dinwiddie),,80-89,,
8:28.0,S. Dinwiddie makes free throw 1 of 2,1,81-89,,
8:28.0,,,81-89,,J. Wall enters the game for I. Mahinmi
8:28.0,,,81-89,,M. Morris enters the game for M. Scott
8:28.0,,,81-89,,B. Beal enters the game for T. Satoransky
8:28.0,A. Crabbe enters the game for C. LeVert,,81-89,,
8:28.0,S. Dinwiddie makes free throw 2 of 2,1,82-89,,
8:16.0,,,82-91,2,O. Porter makes 2-pt shot at rim (assist by J. Wall)
8:03.0,S. Dinwiddie misses 2-pt shot from 6 ft,,82-91,,
8:00.0,Offensive rebound by Q. Acy,,82-91,,
7:51.0,S. Dinwiddie makes 2-pt shot from 1 ft,2,84-91,,
7:36.0,,,84-93,2,K. Oubre makes 2-pt shot at rim (assist by J. Wall)
7:17.0,S. Dinwiddie misses 2-pt shot from 5 ft,,84-93,,
7:14.0,,,84-93,,Defensive rebound by M. Morris
7:10.0,,,84-95,2,J. Wall makes 2-pt shot at rim
6:53.0,Q. Acy misses 3-pt shot from 26 ft,,84-95,,
6:50.0,,,84-95,,Defensive rebound by O. Porter
6:44.0,,,84-95,,Turnover by J. Wall (lost ball; steal by S. Dinwiddie)
6:28.0,A. Crabbe makes 3-pt shot from 26 ft (assist by D. Carroll),3,87-95,,
6:10.0,,,87-95,,B. Beal misses 3-pt shot from 24 ft
6:08.0,Defensive rebound by D. Carroll,,87-95,,
5:51.0,Turnover by R. Hollis-Jefferson (lost ball; steal by K. Oubre),,87-95,,
5:45.0,,,87-97,2,J. Wall makes 2-pt shot from 1 ft
5:25.0,R. Hollis-Jefferson makes 2-pt shot from 5 ft,2,89-97,,
5:05.0,,,89-99,2,M. Morris makes 2-pt shot at rim (assist by J. Wall)
5:05.0,,,89-99,,Shooting foul by Q. Acy (drawn by M. Morris)
5:05.0,J. Allen enters the game for D. Carroll,,89-99,,
5:05.0,C. LeVert enters the game for Q. Acy,,89-99,,
5:05.0,,,89-100,1,M. Morris makes free throw 1 of 1
4:58.0,A. Crabbe misses 3-pt shot from 25 ft,,89-100,,
4:54.0,,,89-100,,Defensive rebound by K. Oubre
4:49.0,,,89-100,,J. Wall misses 2-pt shot from 16 ft
4:45.0,Defensive rebound by A. Crabbe,,89-100,,
4:32.0,R. Hollis-Jefferson makes 2-pt shot at rim (assist by J. Allen),2,91-100,,
4:15.0,,,91-102,2,O. Porter makes 2-pt shot from 14 ft (assist by J. Wall)
3:49.0,J. Allen makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,93-102,,
3:46.0,,,93-102,,Washington full timeout
3:46.0,,,93-102,,M. Gortat enters the game for K. Oubre
3:28.0,,,93-102,,J. Wall misses 2-pt shot from 13 ft
3:26.0,Defensive rebound by C. LeVert,,93-102,,
3:26.0,Turnover by C. LeVert (traveling),,93-102,,
3:22.0,,,93-102,,O. Porter misses 2-pt shot from 19 ft
3:19.0,Defensive rebound by R. Hollis-Jefferson,,93-102,,
