time,LA Lakers,pts.away,score,pts.home,Detroit
4:42.0,,,93-99,,Personal foul by A. Drummond (drawn by B. Lopez)
4:42.0,B. Lopez misses free throw 1 of 2,,93-99,,
4:42.0,Offensive rebound by Team,,93-99,,
4:42.0,,,93-99,,B. Griffin enters the game for A. Tolliver
4:42.0,B. Lopez misses free throw 2 of 2,,93-99,,
4:40.0,,,93-99,,Defensive rebound by B. Griffin
4:22.0,,,93-99,,S. Johnson misses 2-pt shot from 4 ft
4:20.0,,,93-99,,Offensive rebound by A. Drummond
4:20.0,Personal foul by B. Lopez (drawn by A. Drummond),,93-99,,
4:01.0,,,93-99,,R. Jackson misses 3-pt shot from 30 ft
3:57.0,Defensive rebound by J. Randle,,93-99,,
3:47.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,93-99,,
3:44.0,,,93-99,,Defensive rebound by A. Drummond
3:33.0,,,93-102,3,B. Griffin makes 3-pt shot from 26 ft (assist by R. Jackson)
3:32.0,LA Lakers full timeout,,93-102,,
3:20.0,K. Caldwell-Pope misses 2-pt shot from 22 ft,,93-102,,
3:17.0,,,93-102,,Defensive rebound by B. Griffin
3:10.0,,,93-102,,R. Jackson misses 2-pt shot from 4 ft (block by B. Lopez)
3:10.0,,,93-102,,Offensive rebound by Team
2:57.0,,,93-105,3,R. Jackson makes 3-pt shot from 25 ft (assist by B. Griffin)
2:44.0,L. Ball makes 3-pt shot from 24 ft,3,96-105,,
2:23.0,,,96-105,,R. Jackson misses 3-pt shot from 25 ft
2:20.0,Defensive rebound by B. Lopez,,96-105,,
2:17.0,Shooting foul by A. Drummond (drawn by J. Randle),,96-105,,
2:17.0,J. Randle makes free throw 1 of 2,1,97-105,,
2:17.0,J. Randle makes free throw 2 of 2,1,98-105,,
2:13.0,Personal take foul by K. Caldwell-Pope (drawn by A. Drummond),,98-105,,
2:11.0,Away from play foul by B. Lopez (drawn by A. Drummond),,98-105,,
2:11.0,,,98-106,1,A. Drummond makes free throw 1 of 2
2:11.0,,,98-107,1,A. Drummond makes free throw 2 of 2
2:05.0,K. Kuzma misses 2-pt shot from 12 ft,,98-107,,
2:03.0,,,98-107,,Defensive rebound by A. Drummond
2:02.0,Personal foul by B. Lopez (drawn by A. Drummond),,98-107,,
2:02.0,,,98-108,1,A. Drummond makes free throw 1 of 2
2:02.0,,,98-109,1,A. Drummond makes free throw 2 of 2
1:53.0,J. Randle misses 2-pt shot from 2 ft (block by A. Drummond),,98-109,,
1:50.0,,,98-109,,Defensive rebound by A. Drummond
1:34.0,,,98-109,,R. Jackson misses 2-pt shot from 10 ft
1:32.0,Defensive rebound by K. Kuzma,,98-109,,
1:29.0,K. Kuzma makes 3-pt shot from 26 ft,3,101-109,,
1:17.0,Personal foul by J. Randle (drawn by B. Griffin),,101-109,,
1:17.0,,,101-109,,B. Griffin misses free throw 1 of 2
1:17.0,,,101-109,,Offensive rebound by Team
1:17.0,,,101-110,1,B. Griffin makes free throw 2 of 2
1:08.0,,,101-110,,Personal foul by S. Johnson (drawn by K. Kuzma)
1:08.0,K. Kuzma makes free throw 1 of 2,1,102-110,,
1:08.0,T. Wear enters the game for B. Lopez,,102-110,,
1:08.0,K. Kuzma makes free throw 2 of 2,1,103-110,,
0:45.0,,,103-112,2,R. Jackson makes 2-pt shot from 19 ft
0:38.0,J. Randle makes 2-pt shot from 3 ft (assist by K. Caldwell-Pope),2,105-112,,
0:38.0,Shooting foul by B. Griffin (drawn by J. Randle),,105-112,,
0:38.0,,,105-112,,A. Tolliver enters the game for B. Griffin
0:38.0,T. Bryant enters the game for K. Kuzma,,105-112,,
0:38.0,I. Zubac enters the game for L. Ball,,105-112,,
0:38.0,T. Ennis enters the game for K. Caldwell-Pope,,105-112,,
0:38.0,J. Randle makes free throw 1 of 1,1,106-112,,
0:17.0,,,106-112,,Turnover by R. Jackson (lost ball; steal by J. Randle)
0:14.0,Turnover by J. Randle (bad pass),,106-112,,
