time,LA Lakers,pts.away,score,pts.home,Detroit
2:46.0,,,20-19,1,A. Tolliver makes free throw 2 of 2
2:32.0,I. Zubac misses 2-pt shot from 7 ft,,20-19,,
2:30.0,,,20-19,,Defensive rebound by A. Drummond
2:20.0,,,20-22,3,I. Smith makes 3-pt shot from 25 ft (assist by A. Tolliver)
2:13.0,Shooting foul by I. Smith (drawn by I. Zubac),,20-22,,
2:13.0,I. Zubac misses free throw 1 of 2,,20-22,,
2:13.0,Offensive rebound by Team,,20-22,,
2:13.0,,,20-22,,L. Kennard enters the game for R. Bullock
2:13.0,L. Ball enters the game for K. Caldwell-Pope,,20-22,,
2:13.0,I. Zubac makes free throw 2 of 2,1,21-22,,
1:57.0,,,21-24,2,I. Smith makes 2-pt shot from 2 ft
1:44.0,L. Ball makes 2-pt shot from 9 ft (assist by I. Zubac),2,23-24,,
1:30.0,,,23-24,,Turnover by A. Drummond (bad pass; steal by L. Ball)
1:28.0,L. Ball makes 2-pt shot at rim,2,25-24,,
1:09.0,,,25-26,2,A. Drummond makes 2-pt shot from 1 ft
0:56.0,K. Kuzma makes 2-pt shot from 17 ft (assist by T. Ennis),2,27-26,,
0:50.0,,,27-26,,A. Tolliver misses 3-pt shot from 26 ft
0:46.0,Defensive rebound by K. Kuzma,,27-26,,
0:42.0,K. Kuzma misses 3-pt shot from 25 ft,,27-26,,
0:40.0,Offensive rebound by T. Ennis,,27-26,,
0:40.0,,,27-26,,Personal foul by I. Smith (drawn by I. Zubac)
0:40.0,I. Zubac makes free throw 1 of 2,1,28-26,,
0:40.0,,,28-26,,E. Moreland enters the game for A. Drummond
0:40.0,K. Caldwell-Pope enters the game for K. Kuzma,,28-26,,
0:40.0,I. Zubac makes free throw 2 of 2,1,29-26,,
0:29.0,,,29-26,,L. Kennard misses 3-pt shot from 25 ft
0:26.0,,,29-26,,Offensive rebound by E. Moreland
0:12.0,Personal foul by T. Ennis (drawn by I. Smith),,29-26,,
0:02.0,,,29-26,,I. Smith misses 2-pt shot from 15 ft
0:02.0,Defensive rebound by L. Ball,,29-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,C. Frye makes 2-pt shot from 1 ft (assist by L. Ball),2,31-26,,
11:46.0,,,31-26,,Violation by E. Moreland (def goaltending)
11:27.0,,,31-26,,R. Jackson misses 2-pt shot from 18 ft
11:24.0,,,31-26,,Offensive rebound by R. Jackson
11:21.0,,,31-26,,L. Kennard misses 3-pt shot from 25 ft
11:21.0,Defensive rebound by L. Ball,,31-26,,
11:17.0,T. Ennis makes 2-pt shot from 1 ft (assist by L. Ball),2,33-26,,
11:06.0,,,33-26,,Detroit full timeout
10:59.0,,,33-26,,L. Kennard misses 3-pt shot from 22 ft
10:55.0,Defensive rebound by T. Wear,,33-26,,
10:43.0,T. Wear misses 3-pt shot from 25 ft,,33-26,,
10:39.0,,,33-26,,Defensive rebound by R. Jackson
10:31.0,,,33-28,2,R. Jackson makes 2-pt shot from 6 ft
10:16.0,L. Ball makes 2-pt shot from 17 ft,2,35-28,,
10:04.0,,,35-30,2,R. Jackson makes 2-pt shot from 8 ft
9:45.0,Shooting foul by E. Moreland (drawn by T. Wear),,35-30,,
9:45.0,T. Wear makes free throw 1 of 2,1,36-30,,
9:45.0,,,36-30,,S. Johnson enters the game for J. Ennis
9:45.0,T. Wear makes free throw 2 of 2,1,37-30,,
9:23.0,,,37-30,,R. Jackson misses 3-pt shot from 25 ft
9:20.0,Defensive rebound by L. Ball,,37-30,,
9:15.0,T. Wear misses 3-pt shot from 21 ft,,37-30,,
9:12.0,,,37-30,,Defensive rebound by E. Moreland
9:05.0,,,37-30,,R. Jackson misses 2-pt shot from 9 ft
9:05.0,Defensive rebound by Team,,37-30,,
8:54.0,T. Ennis misses 2-pt shot from 18 ft,,37-30,,
8:53.0,,,37-30,,Defensive rebound by S. Johnson
8:47.0,,,37-30,,L. Kennard misses 3-pt shot from 25 ft
8:44.0,,,37-30,,Offensive rebound by E. Moreland
8:44.0,,,37-30,,Shooting foul by C. Frye (drawn by E. Moreland)
8:44.0,,,37-30,,E. Moreland misses free throw 1 of 2
8:44.0,,,37-30,,Offensive rebound by Team
8:44.0,,,37-30,,B. Griffin enters the game for A. Tolliver
8:44.0,B. Lopez enters the game for T. Wear,,37-30,,
8:44.0,,,37-31,1,E. Moreland makes free throw 2 of 2
8:25.0,B. Lopez makes 2-pt shot from 1 ft (assist by L. Ball),2,39-31,,
8:25.0,Shooting foul by S. Johnson (drawn by B. Lopez),,39-31,,
8:25.0,,,39-31,,A. Drummond enters the game for E. Moreland
8:25.0,J. Randle enters the game for T. Ennis,,39-31,,
8:25.0,K. Kuzma enters the game for C. Frye,,39-31,,
8:25.0,B. Lopez makes free throw 1 of 1,1,40-31,,
8:16.0,,,40-31,,A. Drummond misses 2-pt shot from 5 ft
8:15.0,,,40-31,,Offensive rebound by A. Drummond
8:15.0,,,40-31,,Shooting foul by B. Lopez (drawn by A. Drummond)
8:15.0,,,40-32,1,A. Drummond makes free throw 1 of 2
8:15.0,,,40-32,,A. Drummond misses free throw 2 of 2
8:11.0,Defensive rebound by J. Randle,,40-32,,
7:53.0,K. Kuzma makes 2-pt shot at rim (assist by B. Lopez),2,42-32,,
7:23.0,,,42-32,,A. Drummond misses 2-pt shot at rim (block by K. Caldwell-Pope)
7:22.0,,,42-32,,Offensive rebound by L. Kennard
7:10.0,,,42-32,,S. Johnson misses 2-pt shot from 6 ft
7:06.0,,,42-32,,Offensive rebound by Team
6:56.0,,,42-34,2,A. Drummond makes 2-pt shot from 4 ft (assist by B. Griffin)
6:40.0,Turnover by L. Ball (step out of bounds),,42-34,,
6:27.0,,,42-36,2,R. Jackson makes 2-pt shot from 1 ft
6:09.0,L. Ball makes 2-pt shot from 5 ft (assist by B. Lopez),2,44-36,,
5:47.0,Personal foul by L. Ball (drawn by B. Griffin),,44-36,,
5:47.0,,,44-36,,I. Smith enters the game for R. Jackson
5:38.0,,,44-39,3,B. Griffin makes 3-pt shot from 25 ft (assist by I. Smith)
5:16.0,J. Randle misses 2-pt shot from 5 ft,,44-39,,
5:14.0,,,44-39,,Defensive rebound by A. Drummond
4:57.0,,,44-39,,B. Griffin misses 2-pt shot from 6 ft
4:55.0,Defensive rebound by J. Randle,,44-39,,
4:51.0,Turnover by J. Randle (lost ball; steal by S. Johnson),,44-39,,
4:45.0,,,44-42,3,L. Kennard makes 3-pt shot from 26 ft (assist by S. Johnson)
4:44.0,LA Lakers full timeout,,44-42,,
4:44.0,,,44-42,,R. Bullock enters the game for L. Kennard
4:33.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,44-42,,
4:32.0,,,44-42,,Defensive rebound by Team
4:18.0,,,44-42,,R. Bullock misses 2-pt shot from 5 ft (block by B. Lopez)
4:16.0,Defensive rebound by B. Lopez,,44-42,,
4:10.0,J. Randle makes 2-pt shot from 2 ft (assist by L. Ball),2,46-42,,
3:57.0,,,46-42,,R. Bullock misses 3-pt shot from 25 ft
3:54.0,Defensive rebound by J. Randle,,46-42,,
3:45.0,Offensive charge foul by J. Randle (drawn by B. Griffin),,46-42,,
3:45.0,Turnover by J. Randle (offensive foul),,46-42,,
3:45.0,I. Zubac enters the game for J. Randle,,46-42,,
3:37.0,,,46-42,,A. Tolliver enters the game for B. Griffin
3:37.0,T. Wear enters the game for I. Zubac,,46-42,,
3:28.0,,,46-42,,R. Bullock misses 2-pt shot from 3 ft
3:24.0,,,46-42,,Offensive rebound by R. Bullock
3:24.0,,,46-44,2,R. Bullock makes 2-pt shot at rim
3:08.0,K. Kuzma misses 2-pt shot from 15 ft,,46-44,,
3:05.0,,,46-44,,Defensive rebound by A. Drummond
3:04.0,,,46-44,,Turnover by A. Drummond (bad pass; steal by L. Ball)
3:00.0,K. Caldwell-Pope makes 2-pt shot from 2 ft (assist by B. Lopez),2,48-44,,
2:40.0,T. Ennis enters the game for K. Caldwell-Pope,,48-44,,
2:36.0,,,48-44,,Offensive foul by A. Drummond (drawn by T. Wear)
2:36.0,,,48-44,,Turnover by A. Drummond (offensive foul)
2:28.0,,,48-44,,Personal foul by S. Johnson (drawn by K. Kuzma)
2:28.0,,,48-44,,J. Ennis enters the game for S. Johnson
2:21.0,B. Lopez makes 2-pt shot from 7 ft (assist by L. Ball),2,50-44,,
2:04.0,,,50-44,,A. Drummond misses 2-pt shot from 8 ft
2:02.0,Defensive rebound by T. Wear,,50-44,,
1:53.0,Shooting foul by A. Tolliver (drawn by T. Wear),,50-44,,
1:53.0,T. Wear makes free throw 1 of 2,1,51-44,,
1:53.0,T. Wear makes free throw 2 of 2,1,52-44,,
1:37.0,,,52-46,2,R. Bullock makes 2-pt shot from 9 ft (assist by A. Drummond)
1:22.0,B. Lopez misses 2-pt shot from 9 ft,,52-46,,
1:20.0,,,52-46,,Defensive rebound by A. Drummond
1:14.0,,,52-46,,I. Smith misses 2-pt shot from 4 ft (block by B. Lopez)
1:14.0,Defensive rebound by Team,,52-46,,
1:01.0,K. Kuzma makes 3-pt shot from 25 ft (assist by B. Lopez),3,55-46,,
0:47.0,,,55-48,2,R. Bullock makes 2-pt shot from 12 ft
0:37.0,T. Ennis misses 2-pt shot from 5 ft,,55-48,,
0:35.0,,,55-48,,Defensive rebound by A. Drummond
0:30.0,,,55-50,2,J. Ennis makes 2-pt shot from 2 ft (assist by A. Tolliver)
0:08.0,B. Lopez misses 2-pt shot from 8 ft,,55-50,,
0:07.0,,,55-50,,Defensive rebound by A. Drummond
0:00.0,,,55-53,3,I. Smith makes 3-pt shot from 24 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,B. Lopez misses 3-pt shot from 27 ft,,55-53,,
11:41.0,,,55-53,,Defensive rebound by A. Drummond
11:34.0,,,55-53,,R. Bullock misses 2-pt shot from 19 ft
11:31.0,Defensive rebound by J. Randle,,55-53,,
11:17.0,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by B. Lopez),3,58-53,,
10:59.0,,,58-55,2,B. Griffin makes 2-pt shot from 15 ft (assist by R. Jackson)
10:43.0,Turnover by K. Kuzma (bad pass; steal by R. Bullock),,58-55,,
10:37.0,,,58-55,,S. Johnson misses 3-pt shot from 25 ft
10:34.0,Defensive rebound by L. Ball,,58-55,,
10:20.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,58-55,,
10:16.0,,,58-55,,Defensive rebound by S. Johnson
10:12.0,,,58-58,3,R. Bullock makes 3-pt shot from 26 ft (assist by S. Johnson)
9:53.0,J. Randle makes 2-pt shot from 2 ft (assist by K. Caldwell-Pope),2,60-58,,
9:53.0,,,60-58,,Detroit full timeout
9:44.0,Violation by L. Ball (kicked ball),,60-58,,
9:38.0,,,60-58,,S. Johnson misses 3-pt shot from 24 ft
9:34.0,Defensive rebound by J. Randle,,60-58,,
9:13.0,B. Lopez misses 2-pt shot from 15 ft,,60-58,,
9:10.0,,,60-58,,Defensive rebound by R. Bullock
8:59.0,,,60-60,2,A. Drummond makes 2-pt shot from 5 ft (assist by S. Johnson)
8:48.0,B. Lopez makes 2-pt shot from 2 ft (assist by L. Ball),2,62-60,,
8:30.0,,,62-62,2,A. Drummond makes 2-pt shot from 1 ft (assist by S. Johnson)
8:13.0,Shooting foul by B. Griffin (drawn by J. Randle),,62-62,,
8:13.0,J. Randle makes free throw 1 of 2,1,63-62,,
8:13.0,,,63-62,,A. Tolliver enters the game for B. Griffin
8:13.0,J. Randle makes free throw 2 of 2,1,64-62,,
8:02.0,,,64-62,,R. Jackson misses 2-pt shot from 13 ft
7:58.0,Defensive rebound by L. Ball,,64-62,,
7:52.0,B. Lopez misses 3-pt shot from 26 ft,,64-62,,
7:49.0,,,64-62,,Defensive rebound by S. Johnson
7:44.0,,,64-65,3,A. Tolliver makes 3-pt shot from 25 ft (assist by S. Johnson)
7:21.0,B. Lopez misses 2-pt shot from 1 ft,,64-65,,
7:19.0,,,64-65,,Defensive rebound by A. Drummond
7:06.0,,,64-68,3,R. Jackson makes 3-pt shot from 24 ft
6:49.0,J. Randle makes 2-pt shot from 4 ft (assist by B. Lopez),2,66-68,,
6:37.0,,,66-68,,R. Jackson misses 2-pt shot from 14 ft
6:35.0,Defensive rebound by J. Randle,,66-68,,
6:22.0,LA Lakers full timeout,,66-68,,
6:18.0,J. Randle misses 2-pt shot from 5 ft,,66-68,,
6:16.0,,,66-68,,Defensive rebound by A. Tolliver
6:10.0,,,66-68,,A. Tolliver misses 3-pt shot from 24 ft
6:07.0,Defensive rebound by J. Randle,,66-68,,
5:54.0,B. Lopez misses 3-pt shot from 26 ft,,66-68,,
5:48.0,,,66-68,,Defensive rebound by S. Johnson
5:43.0,,,66-68,,A. Drummond misses 2-pt shot from 2 ft (block by B. Lopez)
5:40.0,Defensive rebound by K. Kuzma,,66-68,,
5:39.0,K. Kuzma misses 3-pt shot from 25 ft,,66-68,,
5:34.0,,,66-68,,Defensive rebound by S. Johnson
5:24.0,,,66-68,,A. Drummond misses 2-pt shot from 9 ft
5:20.0,,,66-68,,Offensive rebound by R. Jackson
5:08.0,,,66-68,,R. Jackson misses 2-pt shot from 1 ft
5:06.0,Defensive rebound by K. Kuzma,,66-68,,
4:53.0,B. Lopez misses 2-pt shot from 11 ft,,66-68,,
4:51.0,,,66-68,,Defensive rebound by A. Tolliver
4:47.0,,,66-68,,S. Johnson misses 2-pt shot from 17 ft
4:42.0,Defensive rebound by K. Caldwell-Pope,,66-68,,
4:35.0,L. Ball makes 2-pt shot from 17 ft,2,68-68,,
4:15.0,,,68-68,,A. Tolliver misses 3-pt shot from 22 ft
4:13.0,Defensive rebound by K. Kuzma,,68-68,,
4:03.0,,,68-68,,Personal foul by R. Jackson (drawn by J. Randle)
4:03.0,,,68-68,,I. Smith enters the game for R. Jackson
