time,Portland,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Labissiere vs. J. Nurkic (D. Lillard gains possession),,,,Jump ball: S. Labissiere vs. J. Nurkic (D. Lillard gains possession)
11:42.0,J. Nurkic misses 2-pt shot from 10 ft,,0-0,,
11:41.0,Offensive rebound by Team,,0-0,,
11:30.0,M. Harkless misses 3-pt shot from 24 ft,,0-0,,
11:26.0,,,0-0,,Defensive rebound by G. Temple
11:09.0,,,0-2,2,G. Temple makes 2-pt shot from 2 ft (assist by D. Fox)
10:53.0,Turnover by J. Nurkic (lost ball; steal by D. Fox),,0-2,,
10:47.0,,,0-5,3,G. Hill makes 3-pt shot from 23 ft (assist by D. Fox)
10:32.0,D. Lillard misses 3-pt shot from 25 ft,,0-5,,
10:28.0,,,0-5,,Defensive rebound by D. Fox
10:26.0,,,0-5,,D. Fox misses 2-pt shot from 6 ft (block by D. Lillard)
10:26.0,Defensive rebound by Team,,0-5,,
10:19.0,Jump ball: D. Fox vs. D. Lillard (C. McCollum gains possession),,,,Jump ball: D. Fox vs. D. Lillard (C. McCollum gains possession)
10:17.0,D. Lillard misses 2-pt shot from 1 ft,,0-5,,
10:14.0,,,0-5,,Defensive rebound by Z. Randolph
10:05.0,Personal foul by J. Nurkic (drawn by G. Temple),,0-5,,
9:57.0,,,0-5,,G. Hill misses 3-pt shot from 23 ft
9:55.0,Defensive rebound by C. Swanigan,,0-5,,
9:50.0,C. McCollum misses 3-pt shot from 25 ft,,0-5,,
9:44.0,,,0-5,,Defensive rebound by S. Labissiere
9:30.0,,,0-5,,Z. Randolph misses 2-pt shot from 20 ft
9:27.0,Defensive rebound by J. Nurkic,,0-5,,
9:17.0,Turnover by J. Nurkic (bad pass; steal by G. Temple),,0-5,,
9:08.0,,,0-5,,Turnover by D. Fox (lost ball; steal by C. McCollum)
9:07.0,,,0-5,,Personal foul by S. Labissiere (drawn by C. McCollum)
8:45.0,,,0-5,,Personal foul by Z. Randolph (drawn by J. Nurkic)
8:38.0,C. McCollum makes 2-pt shot from 16 ft,2,2-5,,
8:15.0,,,2-8,3,G. Temple makes 3-pt shot from 25 ft (assist by Z. Randolph)
8:02.0,D. Lillard misses 3-pt shot from 25 ft,,2-8,,
7:58.0,Offensive rebound by J. Nurkic,,2-8,,
7:56.0,D. Lillard makes 3-pt shot from 28 ft (assist by M. Harkless),3,5-8,,
7:44.0,Personal foul by J. Nurkic (drawn by S. Labissiere),,5-8,,
7:44.0,E. Davis enters the game for J. Nurkic,,5-8,,
7:38.0,,,5-8,,Offensive foul by G. Hill (drawn by C. Swanigan)
7:38.0,,,5-8,,Turnover by G. Hill (offensive foul)
7:27.0,Offensive foul by C. Swanigan (drawn by G. Temple),,5-8,,
7:27.0,Turnover by C. Swanigan (offensive foul),,5-8,,
7:16.0,,,5-8,,Z. Randolph misses 2-pt shot from 9 ft
7:12.0,Defensive rebound by C. Swanigan,,5-8,,
6:58.0,E. Davis makes 2-pt shot from 3 ft (assist by C. Swanigan),2,7-8,,
6:44.0,Personal foul by C. Swanigan (drawn by S. Labissiere),,7-8,,
6:44.0,,,7-8,,Sacramento full timeout
