time,Cleveland,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. K. Love (L. Markkanen gains possession),,,,Jump ball: R. Lopez vs. K. Love (L. Markkanen gains possession)
11:37.0,,,0-0,,R. Lopez misses 2-pt shot from 1 ft
11:32.0,,,0-0,,Offensive rebound by R. Lopez
11:32.0,,,0-2,2,R. Lopez makes 2-pt shot at rim
11:21.0,J. Crowder misses 3-pt shot from 22 ft,,0-2,,
11:18.0,,,0-2,,Defensive rebound by K. Dunn
11:02.0,,,0-4,2,D. Valentine makes 2-pt shot from 5 ft (assist by R. Lopez)
10:39.0,J. Calderon misses 3-pt shot from 24 ft,,0-4,,
10:37.0,,,0-4,,Defensive rebound by J. Holiday
10:16.0,,,0-6,2,R. Lopez makes 2-pt shot at rim (assist by K. Dunn)
9:54.0,L. James makes 2-pt shot from 2 ft,2,2-6,,
9:54.0,Shooting foul by J. Holiday (drawn by L. James),,2-6,,
9:54.0,L. James makes free throw 1 of 1,1,3-6,,
9:30.0,,,3-9,3,J. Holiday makes 3-pt shot from 24 ft (assist by L. Markkanen)
9:05.0,L. James misses 3-pt shot from 26 ft,,3-9,,
9:03.0,Offensive rebound by J. Calderon,,3-9,,
8:49.0,Turnover by J. Crowder (bad pass; steal by L. Markkanen),,3-9,,
8:44.0,,,3-9,,L. Markkanen misses 3-pt shot from 24 ft
8:41.0,Defensive rebound by K. Love,,3-9,,
8:23.0,J. Calderon misses 2-pt shot from 1 ft (block by R. Lopez),,3-9,,
8:20.0,,,3-9,,Defensive rebound by J. Holiday
8:17.0,,,3-9,,D. Valentine misses 3-pt shot from 25 ft
8:15.0,Defensive rebound by K. Love,,3-9,,
8:08.0,Turnover by L. James (out of bounds lost ball),,3-9,,
7:46.0,,,3-9,,R. Lopez misses 2-pt shot from 9 ft
7:45.0,Defensive rebound by L. James,,3-9,,
7:34.0,L. James misses 2-pt shot from 2 ft (block by L. Markkanen),,3-9,,
7:32.0,,,3-9,,Defensive rebound by R. Lopez
7:19.0,,,3-9,,Turnover by K. Dunn (bad pass)
7:06.0,Turnover by J. Crowder (bad pass),,3-9,,
6:50.0,,,3-9,,L. Markkanen misses 2-pt shot from 3 ft (block by J. Crowder)
6:47.0,Defensive rebound by K. Love,,3-9,,
6:38.0,L. James makes 2-pt shot from 2 ft,2,5-9,,
6:27.0,,,5-9,,K. Dunn misses 2-pt shot from 1 ft
6:24.0,Defensive rebound by K. Love,,5-9,,
6:17.0,L. James makes 2-pt shot at rim (assist by J. Crowder),2,7-9,,
6:17.0,,,7-9,,Chicago full timeout
6:17.0,D. Wade enters the game for L. James,,7-9,,
5:56.0,,,7-9,,J. Holiday misses 3-pt shot from 25 ft
5:52.0,Defensive rebound by J. Calderon,,7-9,,
5:41.0,K. Love makes 2-pt shot from 20 ft (assist by J. Smith),2,9-9,,
5:19.0,,,9-9,,L. Markkanen misses 3-pt shot from 26 ft
5:15.0,Defensive rebound by K. Love,,9-9,,
5:08.0,K. Love makes 3-pt shot from 26 ft (assist by J. Smith),3,12-9,,
4:51.0,,,12-9,,K. Dunn misses 2-pt shot from 3 ft
4:49.0,Defensive rebound by D. Wade,,12-9,,
4:41.0,J. Crowder misses 3-pt shot from 25 ft,,12-9,,
4:38.0,,,12-9,,Defensive rebound by D. Valentine
4:32.0,,,12-11,2,D. Valentine makes 2-pt shot from 18 ft
4:11.0,K. Love makes 2-pt shot from 15 ft,2,14-11,,
4:11.0,Shooting foul by L. Markkanen (drawn by K. Love),,14-11,,
4:11.0,,,14-11,,J. Grant enters the game for L. Markkanen
4:11.0,,,14-11,,B. Portis enters the game for K. Dunn
4:11.0,K. Love makes free throw 1 of 1,1,15-11,,
4:01.0,,,15-11,,J. Holiday misses 3-pt shot from 24 ft
3:57.0,,,15-11,,Offensive rebound by R. Lopez
