time,Philadelphia,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Baynes vs. J. Embiid (T. McConnell gains possession),,,,Jump ball: A. Baynes vs. J. Embiid (T. McConnell gains possession)
11:49.0,T. McConnell makes 2-pt shot from 5 ft,2,2-0,,
11:31.0,,,2-2,2,J. Brown makes 2-pt shot from 3 ft (assist by T. Rozier)
11:16.0,J. Redick misses 2-pt shot from 2 ft (block by J. Brown),,2-2,,
11:14.0,,,2-2,,Defensive rebound by J. Brown
11:04.0,,,2-2,,A. Horford misses 2-pt shot from 3 ft
11:02.0,Defensive rebound by B. Simmons,,2-2,,
10:51.0,D. Saric makes 2-pt shot from 1 ft (assist by B. Simmons),2,4-2,,
10:42.0,,,4-4,2,J. Brown makes 2-pt shot from 5 ft
10:24.0,B. Simmons makes 2-pt shot from 8 ft,2,6-4,,
10:24.0,Loose ball foul by J. Embiid (drawn by A. Horford),,6-4,,
10:09.0,,,6-6,2,J. Tatum makes 2-pt shot from 18 ft
9:55.0,,,6-6,,Personal foul by J. Tatum (drawn by J. Redick)
9:48.0,B. Simmons misses 2-pt shot from 11 ft,,6-6,,
9:47.0,,,6-6,,Defensive rebound by A. Horford
9:28.0,Personal foul by B. Simmons (drawn by T. Rozier),,6-6,,
9:20.0,,,6-8,2,J. Brown makes 2-pt shot from 17 ft (assist by A. Baynes)
9:14.0,Shooting foul by A. Baynes (drawn by D. Saric),,6-8,,
9:14.0,D. Saric makes free throw 1 of 2,1,7-8,,
9:14.0,D. Saric misses free throw 2 of 2,,7-8,,
9:11.0,Offensive rebound by B. Simmons,,7-8,,
9:04.0,J. Embiid misses 3-pt shot from 25 ft,,7-8,,
9:02.0,Offensive rebound by B. Simmons,,7-8,,
8:53.0,Turnover by B. Simmons (bad pass; steal by A. Baynes),,7-8,,
8:43.0,,,7-10,2,A. Horford makes 2-pt shot from 3 ft
8:24.0,D. Saric misses 2-pt shot from 12 ft,,7-10,,
8:22.0,,,7-10,,Defensive rebound by A. Horford
8:18.0,Personal foul by J. Redick (drawn by J. Tatum),,7-10,,
8:11.0,,,7-10,,Turnover by J. Tatum (bad pass; steal by T. McConnell)
8:04.0,J. Redick makes 2-pt shot from 3 ft (assist by T. McConnell),2,9-10,,
7:56.0,,,9-10,,J. Brown misses 3-pt shot from 29 ft
7:54.0,Defensive rebound by B. Simmons,,9-10,,
7:43.0,T. McConnell makes 3-pt shot from 22 ft (assist by J. Redick),3,12-10,,
7:18.0,,,12-10,,T. Rozier misses 2-pt shot from 1 ft
7:16.0,Defensive rebound by J. Embiid,,12-10,,
7:05.0,D. Saric makes 2-pt shot from 2 ft (assist by J. Embiid),2,14-10,,
7:01.0,,,14-10,,Boston full timeout
7:01.0,,,14-10,,M. Morris enters the game for J. Tatum
7:01.0,,,14-10,,M. Smart enters the game for A. Baynes
7:01.0,M. Belinelli enters the game for J. Redick,,14-10,,
7:01.0,E. Ilyasova enters the game for J. Embiid,,14-10,,
7:01.0,R. Covington enters the game for T. McConnell,,14-10,,
6:44.0,,,14-10,,A. Horford misses 2-pt shot from 13 ft
6:40.0,Defensive rebound by D. Saric,,14-10,,
6:33.0,,,14-10,,Personal foul by T. Rozier (drawn by B. Simmons)
6:23.0,E. Ilyasova misses 2-pt shot from 19 ft,,14-10,,
6:19.0,,,14-10,,Defensive rebound by J. Brown
6:14.0,,,14-13,3,T. Rozier makes 3-pt shot from 27 ft
6:01.0,B. Simmons makes 2-pt shot from 1 ft,2,16-13,,
5:41.0,,,16-13,,M. Morris misses 2-pt shot from 4 ft (block by B. Simmons)
5:38.0,,,16-13,,Offensive rebound by M. Smart
5:36.0,,,16-13,,M. Morris misses 2-pt shot from 16 ft
5:34.0,Defensive rebound by D. Saric,,16-13,,
5:17.0,D. Saric misses 2-pt shot from 20 ft (block by M. Morris),,16-13,,
5:17.0,,,16-13,,Defensive rebound by T. Rozier
5:12.0,,,16-13,,Shooting foul by M. Belinelli (drawn by T. Rozier)
5:12.0,,,16-14,1,T. Rozier makes free throw 1 of 2
5:12.0,,,16-15,1,T. Rozier makes free throw 2 of 2
