time,Indiana,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. D. Sabonis (J. Jerebko gains possession),,,,Jump ball: D. Favors vs. D. Sabonis (J. Jerebko gains possession)
11:44.0,,,0-0,,Turnover by R. Rubio (bad pass; steal by V. Oladipo)
11:40.0,D. Collison makes 2-pt shot from 1 ft (assist by V. Oladipo),2,2-0,,
11:20.0,,,2-0,,Turnover by D. Favors (bad pass)
11:02.0,Turnover by D. Sabonis (bad pass; steal by D. Mitchell),,2-0,,
10:58.0,,,2-2,2,D. Mitchell makes 2-pt shot from 2 ft
10:34.0,D. Sabonis misses 2-pt shot from 2 ft,,2-2,,
10:31.0,,,2-2,,Defensive rebound by J. Jerebko
10:24.0,,,2-2,,D. Favors misses 2-pt shot from 1 ft
10:18.0,,,2-2,,Offensive rebound by D. Favors
10:18.0,,,2-4,2,D. Favors makes 2-pt shot at rim
10:10.0,,,2-4,,Violation by D. Favors (kicked ball)
10:04.0,Shooting foul by J. Jerebko (drawn by D. Sabonis),,2-4,,
10:04.0,D. Sabonis makes free throw 1 of 2,1,3-4,,
10:04.0,D. Sabonis makes free throw 2 of 2,1,4-4,,
9:49.0,,,4-6,2,J. Jerebko makes 2-pt shot from 3 ft
9:33.0,T. Young makes 3-pt shot from 23 ft (assist by B. Bogdanovic),3,7-6,,
9:18.0,,,7-6,,R. Rubio misses 2-pt shot from 1 ft
9:16.0,,,7-6,,Offensive rebound by D. Favors
9:15.0,,,7-8,2,D. Favors makes 2-pt shot from 1 ft
9:05.0,,,7-8,,Def 3 sec tech foul by D. Favors
9:05.0,B. Bogdanovic makes technical free throw,1,8-8,,
8:58.0,B. Bogdanovic misses 3-pt shot from 28 ft,,8-8,,
8:54.0,,,8-8,,Defensive rebound by D. Favors
8:42.0,,,8-8,,D. Favors misses 2-pt shot from 4 ft
8:39.0,Defensive rebound by V. Oladipo,,8-8,,
8:36.0,V. Oladipo misses 2-pt shot from 8 ft,,8-8,,
8:32.0,,,8-8,,Defensive rebound by R. Rubio
8:24.0,,,8-8,,Turnover by R. Rubio (bad pass; steal by B. Bogdanovic)
8:10.0,D. Sabonis makes 2-pt shot from 8 ft,2,10-8,,
7:51.0,,,10-8,,R. Rubio misses 2-pt shot from 1 ft (block by T. Young)
7:48.0,Defensive rebound by B. Bogdanovic,,10-8,,
7:47.0,V. Oladipo makes 2-pt shot from 1 ft (assist by B. Bogdanovic),2,12-8,,
7:33.0,Personal foul by B. Bogdanovic (drawn by J. Ingles),,12-8,,
7:25.0,,,12-10,2,D. Favors makes 2-pt shot from 1 ft (assist by J. Jerebko)
6:59.0,T. Young makes 2-pt shot from 23 ft,2,14-10,,
6:43.0,,,14-10,,J. Jerebko misses 3-pt shot from 26 ft
6:41.0,,,14-10,,Offensive rebound by D. Favors
6:40.0,,,14-12,2,D. Favors makes 2-pt shot from 2 ft
