time,Cleveland,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. K. Love (E. Payton gains possession),,,,Jump ball: B. Biyombo vs. K. Love (E. Payton gains possession)
11:47.0,,,0-2,2,E. Fournier makes 2-pt shot from 11 ft (assist by M. Hezonja)
11:30.0,I. Thomas misses 3-pt shot from 23 ft,,0-2,,
11:27.0,,,0-2,,Defensive rebound by M. Hezonja
11:22.0,Personal foul by I. Thomas (drawn by B. Biyombo),,0-2,,
11:05.0,,,0-2,,B. Biyombo misses 2-pt shot from 8 ft
11:05.0,,,0-2,,Offensive rebound by E. Payton
11:05.0,,,0-2,,Turnover by Team (shot clock)
10:56.0,J. Crowder makes 2-pt shot from 2 ft (assist by I. Thomas),2,2-2,,
10:48.0,,,2-2,,M. Hezonja misses 3-pt shot from 25 ft
10:48.0,,,2-2,,Offensive rebound by A. Gordon
10:43.0,,,2-4,2,A. Gordon makes 2-pt shot from 2 ft
10:33.0,Shooting foul by E. Fournier (drawn by J. Smith),,2-4,,
10:33.0,J. Smith makes free throw 1 of 2,1,3-4,,
10:33.0,J. Smith makes free throw 2 of 2,1,4-4,,
10:20.0,,,4-6,2,M. Hezonja makes 2-pt shot at rim (assist by E. Payton)
9:54.0,J. Crowder misses 3-pt shot from 24 ft,,4-6,,
9:50.0,,,4-6,,Defensive rebound by M. Hezonja
9:36.0,,,4-8,2,B. Biyombo makes 2-pt shot from 9 ft
9:17.0,K. Love misses 3-pt shot from 23 ft,,4-8,,
9:14.0,,,4-8,,Defensive rebound by M. Hezonja
9:08.0,,,4-10,2,E. Payton makes 2-pt shot from 2 ft
9:08.0,Cleveland full timeout,,4-10,,
8:58.0,Shooting foul by E. Payton (drawn by I. Thomas),,4-10,,
8:58.0,I. Thomas misses free throw 1 of 2,,4-10,,
8:58.0,Offensive rebound by Team,,4-10,,
8:58.0,I. Thomas makes free throw 2 of 2,1,5-10,,
8:43.0,,,5-10,,A. Gordon misses 3-pt shot from 24 ft
8:38.0,,,5-10,,Offensive rebound by B. Biyombo
8:37.0,,,5-12,2,A. Gordon makes 2-pt shot from 3 ft
8:27.0,J. Crowder misses 2-pt shot from 3 ft,,5-12,,
8:22.0,,,5-12,,Defensive rebound by E. Payton
8:21.0,,,5-12,,Shooting foul by K. Love (drawn by E. Payton)
8:21.0,,,5-13,1,E. Payton makes free throw 1 of 2
8:21.0,,,5-13,,E. Payton misses free throw 2 of 2
8:18.0,Defensive rebound by K. Love,,5-13,,
8:03.0,I. Thomas misses 2-pt shot from 2 ft,,5-13,,
8:01.0,,,5-13,,Defensive rebound by M. Hezonja
7:59.0,,,5-13,,Turnover by M. Hezonja (lost ball; steal by L. James)
7:55.0,L. James makes 2-pt shot from 1 ft (assist by I. Thomas),2,7-13,,
7:40.0,,,7-13,,M. Hezonja misses 2-pt shot from 2 ft
7:40.0,Defensive rebound by K. Love,,7-13,,
7:34.0,I. Thomas misses 2-pt shot from 2 ft,,7-13,,
7:34.0,Offensive rebound by J. Crowder,,7-13,,
7:23.0,I. Thomas misses 2-pt shot from 14 ft,,7-13,,
7:19.0,,,7-13,,Defensive rebound by A. Gordon
7:17.0,,,7-13,,A. Gordon misses 2-pt shot from 2 ft
7:13.0,Defensive rebound by K. Love,,7-13,,
6:59.0,Shooting foul by A. Gordon (drawn by K. Love),,7-13,,
6:59.0,K. Love makes free throw 1 of 2,1,8-13,,
6:59.0,K. Love makes free throw 2 of 2,1,9-13,,
6:41.0,,,9-13,,Turnover by A. Gordon (bad pass; steal by L. James)
6:37.0,Offensive charge foul by L. James (drawn by A. Gordon),,9-13,,
6:37.0,Turnover by L. James (offensive foul),,9-13,,
6:37.0,C. Osman enters the game for I. Thomas,,9-13,,
6:37.0,Technical foul by I. Thomas,,9-13,,
6:19.0,,,9-13,,E. Payton misses 2-pt shot from 4 ft
6:19.0,,,9-13,,Offensive rebound by Team
6:19.0,Personal foul by K. Love (drawn by B. Biyombo),,9-13,,
6:04.0,,,9-16,3,E. Fournier makes 3-pt shot from 25 ft
5:47.0,L. James misses 2-pt shot from 4 ft,,9-16,,
5:47.0,,,9-16,,Defensive rebound by A. Gordon
5:36.0,,,9-16,,A. Gordon misses 2-pt shot from 14 ft
5:36.0,Defensive rebound by L. James,,9-16,,
