time,Denver,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. P. Millsap (C. Swanigan gains possession),,,,Jump ball: J. Nurkic vs. P. Millsap (C. Swanigan gains possession)
11:46.0,,,0-0,,J. Nurkic misses 2-pt shot from 2 ft
11:43.0,,,0-0,,Offensive rebound by J. Nurkic
11:42.0,,,0-0,,Turnover by J. Nurkic (bad pass; steal by W. Barton)
11:25.0,N. Jokic misses 2-pt shot from 5 ft,,0-0,,
11:23.0,,,0-0,,Defensive rebound by D. Lillard
11:13.0,,,0-0,,Turnover by J. Nurkic (bad pass; steal by W. Chandler)
11:07.0,W. Barton makes 3-pt shot from 22 ft (assist by W. Chandler),3,3-0,,
10:46.0,,,3-3,3,C. McCollum makes 3-pt shot from 25 ft (assist by C. Swanigan)
10:26.0,J. Murray makes 2-pt shot from 1 ft (assist by N. Jokic),2,5-3,,
10:11.0,,,5-3,,D. Lillard misses 3-pt shot from 24 ft
10:07.0,Defensive rebound by N. Jokic,,5-3,,
10:02.0,W. Barton misses 2-pt shot at rim (block by C. Swanigan),,5-3,,
10:02.0,Offensive rebound by Team,,5-3,,
9:53.0,W. Chandler makes 2-pt shot from 20 ft,2,7-3,,
9:33.0,,,7-5,2,C. Swanigan makes 2-pt shot at rim (assist by J. Nurkic)
9:14.0,P. Millsap makes 3-pt shot from 23 ft (assist by W. Chandler),3,10-5,,
9:02.0,,,10-5,,Turnover by D. Lillard (bad pass; steal by N. Jokic)
8:59.0,W. Barton makes 2-pt shot at rim (assist by N. Jokic),2,12-5,,
8:36.0,,,12-7,2,J. Nurkic makes 2-pt shot from 20 ft (assist by D. Lillard)
8:15.0,P. Millsap misses 2-pt shot from 3 ft,,12-7,,
8:13.0,,,12-7,,Defensive rebound by M. Harkless
8:07.0,,,12-7,,Shooting foul by N. Jokic (drawn by J. Nurkic)
8:07.0,,,12-8,1,J. Nurkic makes free throw 1 of 2
8:07.0,,,12-9,1,J. Nurkic makes free throw 2 of 2
7:56.0,Turnover by J. Murray (bad pass; steal by C. McCollum),,12-9,,
7:52.0,,,12-11,2,C. McCollum makes 2-pt shot at rim
7:34.0,J. Murray makes 2-pt shot from 21 ft,2,14-11,,
7:16.0,Jump ball: C. Swanigan vs. P. Millsap (W. Chandler gains possession),,,,Jump ball: C. Swanigan vs. P. Millsap (W. Chandler gains possession)
7:16.0,,,14-11,,Turnover by C. Swanigan (turnover; steal by P. Millsap)
7:07.0,Turnover by N. Jokic (bad pass; steal by D. Lillard),,14-11,,
6:58.0,,,14-11,,M. Harkless misses 3-pt shot from 23 ft
6:58.0,Defensive rebound by Team,,14-11,,
6:58.0,,,14-11,,Portland full timeout
6:41.0,P. Millsap misses 2-pt shot from 9 ft,,14-11,,
6:37.0,,,14-11,,Defensive rebound by J. Nurkic
6:25.0,,,14-11,,Shooting foul by P. Millsap (drawn by C. Swanigan)
6:25.0,,,14-12,1,C. Swanigan makes free throw 1 of 2
6:25.0,,,14-13,1,C. Swanigan makes free throw 2 of 2
6:16.0,J. Murray makes 2-pt shot from 1 ft,2,16-13,,
6:11.0,,,16-13,,Turnover by C. McCollum (traveling)
6:02.0,Turnover by J. Murray (bad pass; steal by D. Lillard),,16-13,,
5:57.0,,,16-15,2,M. Harkless makes 2-pt shot from 1 ft (assist by D. Lillard)
5:43.0,W. Barton misses 2-pt shot from 1 ft,,16-15,,
5:43.0,E. Mudiay enters the game for W. Chandler,,16-15,,
5:43.0,,,16-15,,E. Turner enters the game for M. Harkless
5:41.0,Jump ball: J. Nurkic vs. N. Jokic (E. Turner gains possession),,,,Jump ball: J. Nurkic vs. N. Jokic (E. Turner gains possession)
5:41.0,,,16-15,,Offensive rebound by Team
5:32.0,,,16-15,,Loose ball foul by C. Swanigan (drawn by P. Millsap)
5:32.0,M. Plumlee enters the game for N. Jokic,,16-15,,
5:31.0,,,16-15,,J. Nurkic misses 2-pt shot from 8 ft
5:31.0,Defensive rebound by Team,,16-15,,
5:15.0,J. Murray misses 3-pt shot from 28 ft,,16-15,,
5:11.0,,,16-15,,Defensive rebound by D. Lillard
5:04.0,,,16-17,2,C. Swanigan makes 2-pt shot from 1 ft (assist by D. Lillard)
4:50.0,J. Murray misses 2-pt shot from 3 ft (block by C. Swanigan),,16-17,,
4:48.0,Offensive rebound by J. Murray,,16-17,,
4:39.0,Turnover by P. Millsap (lost ball; steal by C. McCollum),,16-17,,
4:39.0,Personal foul by P. Millsap (drawn by D. Lillard),,16-17,,
4:39.0,N. Jokic enters the game for P. Millsap,,16-17,,
4:33.0,,,16-17,,D. Lillard misses 3-pt shot from 25 ft
4:30.0,Defensive rebound by N. Jokic,,16-17,,
4:22.0,E. Mudiay misses 2-pt shot from 15 ft,,16-17,,
4:21.0,Offensive rebound by Team,,16-17,,
4:21.0,,,16-17,,Loose ball foul by C. Swanigan (drawn by N. Jokic)
4:21.0,,,16-17,,N. Vonleh enters the game for C. Swanigan
4:17.0,M. Plumlee misses 2-pt shot from 15 ft,,16-17,,
4:14.0,,,16-17,,Defensive rebound by N. Vonleh
4:02.0,,,16-19,2,E. Turner makes 2-pt shot from 6 ft
3:44.0,N. Jokic misses 3-pt shot from 25 ft,,16-19,,
3:41.0,,,16-19,,Defensive rebound by J. Nurkic
3:32.0,,,16-21,2,J. Nurkic makes 2-pt shot from 2 ft (assist by D. Lillard)
3:32.0,Denver full timeout,,16-21,,
3:32.0,W. Chandler enters the game for J. Murray,,16-21,,
3:19.0,Turnover by N. Jokic (bad pass; steal by N. Vonleh),,16-21,,
3:11.0,,,16-23,2,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard)
3:00.0,N. Jokic misses 2-pt shot from 4 ft,,16-23,,
2:58.0,,,16-23,,Defensive rebound by E. Turner
2:56.0,,,16-23,,Turnover by E. Turner (palming)
2:56.0,,,16-23,,E. Davis enters the game for J. Nurkic
2:42.0,W. Chandler makes 3-pt shot from 27 ft (assist by W. Barton),3,19-23,,
2:20.0,,,19-23,,C. McCollum misses 2-pt shot from 13 ft
2:19.0,Defensive rebound by N. Jokic,,19-23,,
2:10.0,Turnover by M. Plumlee (turnover),,19-23,,
2:10.0,,,19-23,,P. Connaughton enters the game for C. McCollum
1:54.0,,,19-23,,Turnover by D. Lillard (bad pass; steal by W. Barton)
1:50.0,W. Barton makes 2-pt shot from 1 ft,2,21-23,,
1:27.0,,,21-25,2,E. Davis makes 2-pt shot at rim (assist by N. Vonleh)
1:12.0,N. Jokic misses 3-pt shot from 26 ft,,21-25,,
1:10.0,Offensive rebound by Team,,21-25,,
1:10.0,,,21-25,,Loose ball foul by E. Davis (drawn by M. Plumlee)
1:05.0,M. Plumlee misses 2-pt shot from 16 ft,,21-25,,
1:02.0,,,21-25,,Defensive rebound by N. Vonleh
0:56.0,,,21-25,,D. Lillard misses 2-pt shot from 6 ft
0:56.0,,,21-25,,E. Turner misses 2-pt shot from 1 ft
0:56.0,,,21-25,,Offensive rebound by E. Davis
0:53.0,,,21-25,,Offensive rebound by E. Davis
0:40.0,,,21-25,,E. Turner misses 2-pt shot from 19 ft
0:37.0,Defensive rebound by N. Jokic,,21-25,,
0:30.0,Turnover by E. Mudiay (bad pass; steal by N. Vonleh),,21-25,,
0:18.0,,,21-25,,Offensive foul by N. Vonleh (drawn by W. Barton)
0:18.0,,,21-25,,Turnover by N. Vonleh (offensive foul)
0:18.0,,,21-25,,S. Napier enters the game for D. Lillard
0:01.0,M. Plumlee misses 2-pt shot from 1 ft,,21-25,,
0:01.0,,,21-25,,Defensive rebound by E. Davis
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,P. Millsap misses 2-pt shot at rim,,21-25,,
11:38.0,Offensive rebound by K. Faried,,21-25,,
11:38.0,K. Faried makes 2-pt shot at rim,2,23-25,,
11:17.0,,,23-27,2,N. Vonleh makes 2-pt shot from 14 ft (assist by E. Turner)
11:05.0,K. Faried misses 2-pt shot from 2 ft,,23-27,,
11:05.0,,,23-27,,Defensive rebound by E. Davis
10:55.0,,,23-29,2,E. Turner makes 2-pt shot from 14 ft
10:45.0,Turnover by E. Mudiay (bad pass; steal by S. Napier),,23-29,,
10:29.0,,,23-29,,E. Davis misses 2-pt shot from 3 ft
10:27.0,Defensive rebound by P. Millsap,,23-29,,
10:17.0,Shooting foul by N. Vonleh (drawn by E. Mudiay),,23-29,,
10:17.0,E. Mudiay makes free throw 1 of 2,1,24-29,,
10:17.0,E. Mudiay makes free throw 2 of 2,1,25-29,,
10:02.0,,,25-31,2,E. Turner makes 2-pt shot from 16 ft (assist by S. Napier)
9:45.0,Turnover by E. Mudiay (out of bounds lost ball),,25-31,,
9:31.0,,,25-33,2,P. Connaughton makes 2-pt shot from 3 ft (assist by E. Turner)
9:31.0,Violation by P. Millsap (def goaltending),,25-33,,
9:18.0,M. Beasley misses 3-pt shot from 25 ft,,25-33,,
9:15.0,,,25-33,,Defensive rebound by N. Vonleh
9:01.0,,,25-33,,Turnover by N. Vonleh (out of bounds lost ball)
8:41.0,M. Beasley misses 2-pt shot from 3 ft,,25-33,,
8:40.0,,,25-33,,Defensive rebound by E. Davis
8:33.0,Denver full timeout,,25-33,,
8:33.0,J. Murray enters the game for M. Beasley,,25-33,,
8:32.0,,,25-35,2,S. Napier makes 2-pt shot from 22 ft
8:16.0,E. Mudiay makes 2-pt shot from 21 ft,2,27-35,,
7:52.0,,,27-37,2,E. Turner makes 2-pt shot from 15 ft
7:37.0,K. Faried makes 2-pt shot from 3 ft (assist by R. Jefferson),2,29-37,,
7:18.0,,,29-39,2,N. Vonleh makes 2-pt shot from 16 ft (assist by P. Connaughton)
7:08.0,J. Murray misses 2-pt shot from 16 ft,,29-39,,
7:05.0,,,29-39,,Defensive rebound by N. Vonleh
6:53.0,,,29-41,2,E. Davis makes 2-pt shot from 1 ft (assist by E. Turner)
6:41.0,J. Murray misses 2-pt shot from 1 ft,,29-41,,
6:38.0,Offensive rebound by E. Mudiay,,29-41,,
6:29.0,Offensive foul by J. Murray (drawn by P. Connaughton),,29-41,,
6:29.0,Turnover by J. Murray (offensive foul),,29-41,,
6:29.0,W. Chandler enters the game for E. Mudiay,,29-41,,
6:29.0,N. Jokic enters the game for P. Millsap,,29-41,,
6:29.0,W. Barton enters the game for R. Jefferson,,29-41,,
6:09.0,,,29-43,2,E. Turner makes 2-pt shot from 16 ft
5:54.0,,,29-43,,Personal foul by N. Vonleh (drawn by N. Jokic)
5:54.0,,,29-43,,J. Nurkic enters the game for E. Davis
5:54.0,,,29-43,,C. Swanigan enters the game for N. Vonleh
5:49.0,J. Murray misses 2-pt shot from 17 ft,,29-43,,
5:46.0,Offensive rebound by K. Faried,,29-43,,
5:36.0,N. Jokic makes 3-pt shot from 22 ft (assist by W. Chandler),3,32-43,,
5:24.0,,,32-43,,Shooting foul by J. Murray (drawn by S. Napier)
5:24.0,,,32-44,1,S. Napier makes free throw 1 of 1
5:24.0,,,32-45,1,S. Napier makes free throw 1 of 2
5:24.0,,,32-45,,C. McCollum enters the game for P. Connaughton
5:24.0,,,32-46,1,S. Napier makes free throw 2 of 2
5:12.0,J. Murray misses 2-pt shot from 18 ft,,32-46,,
5:09.0,,,32-46,,Defensive rebound by C. Swanigan
5:05.0,,,32-46,,D. Lillard enters the game for S. Napier
5:05.0,P. Millsap enters the game for K. Faried,,32-46,,
4:55.0,,,32-46,,E. Turner misses 3-pt shot from 22 ft
4:52.0,Defensive rebound by W. Barton,,32-46,,
4:49.0,W. Chandler makes 2-pt shot from 1 ft (assist by W. Barton),2,34-46,,
