time,Boston,pts.away,score,pts.home,Detroit
7:50.0,Defensive rebound by A. Baynes,,11-10,,
7:48.0,A. Horford makes 2-pt shot from 2 ft,2,13-10,,
7:32.0,,,13-10,,T. Harris misses 3-pt shot from 25 ft
7:29.0,Defensive rebound by A. Baynes,,13-10,,
7:17.0,K. Irving misses 2-pt shot from 19 ft,,13-10,,
7:15.0,,,13-10,,Defensive rebound by A. Drummond
7:13.0,,,13-10,,Turnover by A. Bradley (out of bounds lost ball)
7:01.0,Boston full timeout,,13-10,,
7:01.0,M. Smart enters the game for K. Irving,,13-10,,
6:49.0,A. Horford makes 2-pt shot from 5 ft (assist by J. Brown),2,15-10,,
6:30.0,Personal foul by A. Baynes (drawn by A. Drummond),,15-10,,
6:30.0,,,15-10,,L. Kennard enters the game for A. Bradley
6:24.0,,,15-10,,T. Harris misses 3-pt shot from 22 ft
6:21.0,Defensive rebound by A. Baynes,,15-10,,
6:10.0,A. Horford makes 2-pt shot from 2 ft,2,17-10,,
5:54.0,,,17-13,3,S. Johnson makes 3-pt shot from 22 ft (assist by R. Jackson)
5:37.0,J. Tatum misses 2-pt shot from 2 ft,,17-13,,
5:34.0,,,17-13,,Defensive rebound by S. Johnson
5:24.0,,,17-13,,Turnover by A. Drummond (traveling)
5:24.0,,,17-13,,A. Tolliver enters the game for S. Johnson
5:16.0,J. Tatum makes 2-pt shot from 16 ft (assist by M. Smart),2,19-13,,
4:59.0,Personal foul by A. Horford (drawn by A. Tolliver),,19-13,,
4:53.0,,,19-13,,R. Jackson misses 2-pt shot from 17 ft
4:50.0,,,19-13,,Shooting foul by J. Brown (drawn by R. Jackson)
4:50.0,,,19-14,1,R. Jackson makes free throw 1 of 2
4:50.0,,,19-14,,A. Bradley enters the game for T. Harris
4:50.0,K. Irving enters the game for J. Brown,,19-14,,
4:50.0,,,19-15,1,R. Jackson makes free throw 2 of 2
4:49.0,,,19-15,,Offensive rebound by R. Jackson
4:38.0,S. Ojeleye enters the game for A. Horford,,19-15,,
4:31.0,Shooting foul by R. Jackson (drawn by M. Smart),,19-15,,
4:31.0,M. Smart makes free throw 1 of 2,1,20-15,,
4:31.0,T. Rozier enters the game for J. Tatum,,20-15,,
4:31.0,M. Smart makes free throw 2 of 2,1,21-15,,
4:18.0,,,21-15,,R. Jackson misses 3-pt shot from 21 ft
4:14.0,Defensive rebound by T. Rozier,,21-15,,
4:00.0,M. Smart misses 2-pt shot from 5 ft,,21-15,,
3:57.0,Offensive rebound by A. Baynes,,21-15,,
3:57.0,A. Baynes makes 2-pt shot at rim,2,23-15,,
3:57.0,,,23-15,,Detroit full timeout
3:57.0,,,23-15,,I. Smith enters the game for R. Jackson
3:44.0,,,23-15,,A. Bradley misses 2-pt shot from 8 ft
3:40.0,Defensive rebound by A. Baynes,,23-15,,
3:25.0,,,23-15,,Personal foul by A. Drummond (drawn by K. Irving)
3:14.0,T. Rozier makes 3-pt shot from 25 ft,3,26-15,,
2:58.0,,,26-17,2,I. Smith makes 2-pt shot from 8 ft
2:41.0,S. Ojeleye makes 3-pt shot from 25 ft (assist by M. Smart),3,29-17,,
2:21.0,,,29-20,3,A. Tolliver makes 3-pt shot from 22 ft (assist by I. Smith)
2:04.0,M. Smart misses 2-pt shot from 17 ft,,29-20,,
1:58.0,Offensive rebound by T. Rozier,,29-20,,
1:49.0,M. Smart misses 3-pt shot from 26 ft,,29-20,,
1:46.0,,,29-20,,Defensive rebound by A. Drummond
1:44.0,A. Horford enters the game for A. Baynes,,29-20,,
1:31.0,Personal foul by K. Irving (drawn by A. Tolliver),,29-20,,
1:23.0,,,29-20,,A. Bradley misses 2-pt shot from 21 ft
1:21.0,Defensive rebound by A. Horford,,29-20,,
1:11.0,T. Rozier misses 3-pt shot from 22 ft,,29-20,,
1:06.0,Offensive rebound by S. Ojeleye,,29-20,,
0:55.0,M. Smart misses 2-pt shot from 7 ft,,29-20,,
0:52.0,,,29-20,,Defensive rebound by A. Bradley
0:48.0,J. Tatum enters the game for S. Ojeleye,,29-20,,
