time,Boston,pts.away,score,pts.home,Detroit
1:43.0,,,87-79,,Shooting foul by A. Horford (drawn by A. Drummond)
1:43.0,,,87-80,1,A. Drummond makes free throw 1 of 2
1:43.0,,,87-80,,A. Drummond misses free throw 2 of 2
1:40.0,Defensive rebound by J. Brown,,87-80,,
1:18.0,M. Smart makes 2-pt shot from 4 ft,2,89-80,,
1:18.0,,,89-80,,Detroit full timeout
1:10.0,,,89-80,,T. Harris misses 3-pt shot from 25 ft
1:07.0,Defensive rebound by K. Irving,,89-80,,
0:54.0,,,89-80,,Personal foul by A. Drummond (drawn by A. Horford)
0:54.0,A. Horford makes free throw 1 of 2,1,90-80,,
0:54.0,A. Horford makes free throw 2 of 2,1,91-80,,
0:43.0,,,91-80,,Shooting foul by J. Tatum (drawn by A. Drummond)
0:43.0,,,91-80,,A. Drummond misses free throw 1 of 2
0:43.0,,,91-80,,Offensive rebound by Team
0:43.0,,,91-81,1,A. Drummond makes free throw 2 of 2
0:21.0,A. Horford misses 3-pt shot from 26 ft,,91-81,,
0:19.0,Offensive rebound by Team,,91-81,,
