time,Orlando,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. N. Vucevic (E. Payton gains possession),,,,Jump ball: A. Horford vs. N. Vucevic (E. Payton gains possession)
11:43.0,E. Fournier misses 2-pt shot from 1 ft (block by J. Brown),,0-0,,
11:42.0,E. Fournier misses 2-pt shot from 1 ft,,0-0,,
11:42.0,Offensive rebound by E. Fournier,,0-0,,
11:35.0,Offensive rebound by E. Fournier,,0-0,,
11:34.0,E. Fournier misses 2-pt shot from 6 ft (block by A. Horford),,0-0,,
11:31.0,Offensive rebound by E. Payton,,0-0,,
11:29.0,E. Payton misses 2-pt shot from 14 ft,,0-0,,
11:29.0,,,0-0,,Defensive rebound by M. Morris
11:16.0,,,0-0,,J. Brown misses 3-pt shot from 24 ft
11:13.0,Defensive rebound by E. Payton,,0-0,,
11:11.0,Turnover by E. Payton (bad pass; steal by K. Irving),,0-0,,
11:04.0,,,0-0,,K. Irving misses 2-pt shot at rim
11:01.0,Defensive rebound by E. Fournier,,0-0,,
10:58.0,E. Payton makes 2-pt shot from 2 ft,2,2-0,,
10:43.0,,,2-0,,Turnover by A. Horford (lost ball; steal by N. Vucevic)
10:33.0,E. Fournier makes 2-pt shot from 2 ft (assist by N. Vucevic),2,4-0,,
10:14.0,,,4-2,2,K. Irving makes 2-pt shot from 21 ft (assist by A. Horford)
10:07.0,Turnover by E. Payton (step out of bounds),,4-2,,
9:49.0,,,4-5,3,J. Tatum makes 3-pt shot from 24 ft (assist by A. Horford)
9:38.0,N. Vucevic makes 2-pt shot from 20 ft (assist by E. Payton),2,6-5,,
9:22.0,,,6-7,2,J. Tatum makes 2-pt shot from 16 ft (assist by A. Horford)
8:57.0,E. Fournier misses 2-pt shot from 22 ft,,6-7,,
8:56.0,,,6-7,,Defensive rebound by A. Horford
8:47.0,,,6-9,2,K. Irving makes 2-pt shot at rim (assist by A. Horford)
8:29.0,N. Vucevic makes 2-pt shot from 15 ft,2,8-9,,
8:10.0,,,8-9,,K. Irving misses 3-pt shot from 24 ft
8:08.0,Defensive rebound by A. Gordon,,8-9,,
8:01.0,E. Fournier makes 3-pt shot from 23 ft (assist by N. Vucevic),3,11-9,,
7:48.0,,,11-12,3,M. Morris makes 3-pt shot from 25 ft (assist by K. Irving)
7:24.0,A. Gordon makes 2-pt shot from 16 ft (assist by E. Payton),2,13-12,,
7:04.0,,,13-15,3,J. Tatum makes 3-pt shot from 24 ft (assist by A. Horford)
6:57.0,Orlando full timeout,,13-15,,
6:37.0,A. Gordon misses 2-pt shot from 12 ft (block by J. Tatum),,13-15,,
6:32.0,Offensive rebound by A. Gordon,,13-15,,
6:32.0,A. Gordon misses 2-pt shot from 3 ft,,13-15,,
6:32.0,,,13-15,,Defensive rebound by K. Irving
6:24.0,,,13-15,,Turnover by K. Irving (bad pass; steal by N. Vucevic)
6:19.0,E. Payton makes 2-pt shot from 1 ft,2,15-15,,
6:06.0,,,15-15,,Shooting foul by E. Payton (drawn by K. Irving)
6:06.0,,,15-16,1,K. Irving makes free throw 1 of 2
6:06.0,,,15-16,,M. Smart enters the game for J. Tatum
6:06.0,,,15-17,1,K. Irving makes free throw 2 of 2
5:58.0,E. Fournier misses 2-pt shot from 1 ft (block by A. Horford),,15-17,,
5:52.0,,,15-17,,Defensive rebound by M. Morris
5:50.0,,,15-19,2,J. Brown makes 2-pt shot from 1 ft (assist by M. Morris)
5:35.0,Shooting foul by M. Smart (drawn by A. Gordon),,15-19,,
5:35.0,A. Gordon makes free throw 1 of 2,1,16-19,,
5:35.0,J. Simmons enters the game for T. Ross,,16-19,,
5:35.0,A. Gordon misses free throw 2 of 2,,16-19,,
5:32.0,,,16-19,,Defensive rebound by M. Morris
5:15.0,,,16-22,3,J. Brown makes 3-pt shot from 23 ft (assist by A. Horford)
5:07.0,Shooting foul by K. Irving (drawn by E. Payton),,16-22,,
5:07.0,E. Payton makes free throw 1 of 2,1,17-22,,
5:07.0,,,17-22,,S. Ojeleye enters the game for M. Morris
5:07.0,E. Payton makes free throw 2 of 2,1,18-22,,
